frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.24,-0.24,-2.54,-2.54,2.54,1.41,0.69,2.30,2.30,2.31
20.20,-0.21,-0.21,-2.51,-2.51,2.52,1.42,0.71,2.31,2.31,2.31
20.40,-0.18,-0.17,-2.48,-2.48,2.49,1.42,0.73,2.31,2.32,2.30
20.61,-0.14,-0.14,-2.44,-2.44,2.45,1.42,0.76,2.31,2.32,2.30
20.81,-0.10,-0.10,-2.40,-2.41,2.41,1.42,0.78,2.31,2.31,2.30
21.02,-0.06,-0.06,-2.37,-2.37,2.36,1.42,0.80,2.30,2.30,2.31
21.23,-0.02,-0.02,-2.33,-2.33,2.30,1.42,0.82,2.29,2.28,2.31
21.44,0.02,0.04,-2.29,-2.28,2.24,1.42,0.85,2.27,2.28,2.31
21.66,0.11,0.12,-2.20,-2.20,2.17,1.42,0.87,2.28,2.28,2.31
21.87,0.22,0.22,-2.09,-2.09,2.08,1.42,0.90,2.31,2.30,2.31
22.09,0.32,0.33,-1.99,-1.98,2.00,1.42,0.93,2.32,2.32,2.31
22.31,0.43,0.43,-1.88,-1.88,1.91,1.42,0.95,2.34,2.34,2.31
22.54,0.52,0.52,-1.79,-1.79,1.83,1.42,0.98,2.35,2.34,2.31
22.76,0.59,0.59,-1.73,-1.73,1.74,1.43,1.01,2.34,2.34,2.32
22.99,0.65,0.66,-1.68,-1.67,1.67,1.43,1.04,2.32,2.32,2.33
23.22,0.71,0.72,-1.62,-1.62,1.60,1.43,1.07,2.31,2.32,2.34
23.45,0.78,0.77,-1.56,-1.57,1.54,1.43,1.10,2.32,2.32,2.35
23.69,0.83,0.83,-1.52,-1.52,1.50,1.43,1.13,2.33,2.33,2.36
23.92,0.88,0.89,-1.47,-1.46,1.47,1.43,1.16,2.35,2.36,2.35
24.16,0.94,0.94,-1.41,-1.41,1.45,1.43,1.20,2.39,2.39,2.35
24.40,0.98,0.96,-1.37,-1.39,1.45,1.43,1.23,2.43,2.41,2.35
24.65,0.95,0.95,-1.41,-1.41,1.46,1.43,1.26,2.41,2.41,2.36
24.89,0.91,0.91,-1.46,-1.46,1.47,1.44,1.30,2.39,2.39,2.37
25.14,0.86,0.86,-1.52,-1.52,1.50,1.44,1.33,2.36,2.36,2.38
25.39,0.81,0.83,-1.58,-1.56,1.52,1.44,1.36,2.33,2.35,2.39
25.65,0.81,0.81,-1.58,-1.58,1.54,1.44,1.40,2.35,2.35,2.39
25.91,0.82,0.82,-1.57,-1.58,1.54,1.44,1.43,2.37,2.36,2.40
26.16,0.84,0.85,-1.55,-1.55,1.54,1.44,1.47,2.38,2.39,2.40
26.43,0.89,0.89,-1.51,-1.51,1.51,1.44,1.50,2.41,2.40,2.40
26.69,0.93,0.93,-1.46,-1.47,1.48,1.44,1.53,2.41,2.41,2.39
26.96,0.97,0.97,-1.43,-1.43,1.44,1.45,1.57,2.41,2.42,2.40
27.23,1.01,1.01,-1.39,-1.39,1.40,1.45,1.60,2.41,2.41,2.40
27.50,1.04,1.04,-1.36,-1.36,1.36,1.45,1.63,2.41,2.40,2.40
27.77,1.06,1.06,-1.34,-1.34,1.33,1.45,1.66,2.40,2.39,2.40
28.05,1.06,1.07,-1.32,-1.32,1.31,1.45,1.69,2.37,2.38,2.39
28.33,1.08,1.08,-1.29,-1.30,1.29,1.45,1.71,2.38,2.38,2.38
28.62,1.09,1.09,-1.28,-1.28,1.29,1.46,1.74,2.38,2.38,2.37
28.90,1.09,1.09,-1.28,-1.28,1.30,1.46,1.76,2.39,2.39,2.37
29.19,1.07,1.06,-1.28,-1.29,1.32,1.46,1.79,2.39,2.38,2.35
29.48,1.01,1.02,-1.33,-1.32,1.35,1.46,1.81,2.36,2.37,2.34
29.78,0.96,0.96,-1.36,-1.36,1.38,1.47,1.82,2.34,2.34,2.33
30.08,0.91,0.90,-1.39,-1.41,1.40,1.47,1.84,2.32,2.30,2.31
30.38,0.83,0.84,-1.47,-1.46,1.42,1.47,1.85,2.26,2.27,2.30
30.68,0.80,0.81,-1.49,-1.48,1.43,1.47,1.86,2.23,2.24,2.29
