frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.68,-3.67,-8.22,-8.21,6.00,6.35,2.64,2.32,2.33,4.54
20.20,-3.61,-3.61,-8.15,-8.15,6.00,6.33,2.71,2.39,2.39,4.54
20.40,-3.55,-3.55,-8.09,-8.09,6.00,6.32,2.79,2.45,2.45,4.54
20.61,-3.49,-3.49,-8.03,-8.03,6.00,6.30,2.87,2.51,2.51,4.54
20.81,-3.43,-3.43,-7.97,-7.97,6.00,6.29,2.95,2.57,2.57,4.54
21.02,-3.37,-3.37,-7.92,-7.91,6.00,6.27,3.04,2.63,2.63,4.55
21.23,-3.30,-3.30,-7.84,-7.85,6.00,6.26,3.12,2.70,2.70,4.55
21.44,-3.24,-3.23,-7.78,-7.78,6.00,6.24,3.21,2.76,2.77,4.55
21.66,-3.17,-3.17,-7.71,-7.71,6.00,6.22,3.31,2.83,2.83,4.55
21.87,-3.10,-3.10,-7.64,-7.65,6.00,6.20,3.40,2.90,2.90,4.55
22.09,-3.04,-3.03,-7.58,-7.58,6.00,6.19,3.50,2.96,2.97,4.54
22.31,-2.97,-2.97,-7.51,-7.51,6.00,6.17,3.60,3.03,3.03,4.54
22.54,-2.91,-2.91,-7.45,-7.45,6.00,6.15,3.70,3.09,3.09,4.54
22.76,-2.85,-2.85,-7.40,-7.40,6.00,6.13,3.81,3.15,3.15,4.55
22.99,-2.79,-2.79,-7.35,-7.35,6.00,6.11,3.92,3.21,3.21,4.56
23.22,-2.74,-2.73,-7.31,-7.31,6.00,6.10,4.03,3.26,3.27,4.57
23.45,-2.68,-2.68,-7.26,-7.26,6.00,6.08,4.14,3.32,3.32,4.58
23.69,-2.62,-2.62,-7.21,-7.21,6.00,6.06,4.26,3.38,3.38,4.59
23.92,-2.56,-2.56,-7.15,-7.15,6.00,6.04,4.37,3.44,3.44,4.59
24.16,-2.50,-2.50,-7.09,-7.09,6.00,6.02,4.50,3.50,3.50,4.59
24.40,-2.44,-2.43,-7.02,-7.02,6.00,6.00,4.62,3.56,3.57,4.59
24.65,-2.37,-2.37,-6.96,-6.97,6.00,5.98,4.74,3.63,3.63,4.60
24.89,-2.31,-2.31,-6.91,-6.91,6.00,5.96,4.87,3.69,3.69,4.61
25.14,-2.25,-2.25,-6.86,-6.86,6.00,5.94,4.99,3.75,3.75,4.61
25.39,-2.20,-2.19,-6.82,-6.82,6.00,5.92,5.12,3.80,3.81,4.62
25.65,-2.14,-2.14,-6.76,-6.77,6.00,5.89,5.25,3.86,3.86,4.62
25.91,-2.09,-2.09,-6.72,-6.72,6.00,5.87,5.38,3.91,3.91,4.63
26.16,-2.03,-2.03,-6.66,-6.66,6.00,5.85,5.51,3.97,3.97,4.63
26.43,-1.97,-1.97,-6.61,-6.60,6.00,5.83,5.64,4.03,4.03,4.64
26.69,-1.91,-1.91,-6.54,-6.54,6.00,5.81,5.76,4.09,4.09,4.63
26.96,-1.86,-1.85,-6.49,-6.49,6.00,5.78,5.89,4.14,4.15,4.64
27.23,-1.80,-1.80,-6.43,-6.43,6.00,5.76,6.01,4.20,4.20,4.64
27.50,-1.75,-1.75,-6.38,-6.38,6.00,5.74,6.13,4.25,4.25,4.63
27.77,-1.70,-1.70,-6.33,-6.33,6.00,5.71,6.25,4.31,4.31,4.63
28.05,-1.66,-1.66,-6.28,-6.28,6.01,5.69,6.36,4.35,4.35,4.62
28.33,-1.62,-1.62,-6.23,-6.23,6.01,5.67,6.46,4.40,4.39,4.61
28.62,-1.59,-1.58,-6.20,-6.19,6.01,5.64,6.56,4.42,4.43,4.61
28.90,-1.54,-1.54,-6.14,-6.14,6.00,5.62,6.65,4.46,4.46,4.61
29.19,-1.50,-1.49,-6.08,-6.08,5.98,5.59,6.74,4.48,4.49,4.58
29.48,-1.44,-1.44,-6.01,-6.01,5.95,5.57,6.81,4.52,4.51,4.57
29.78,-1.38,-1.38,-5.94,-5.94,5.91,5.54,6.88,4.53,4.53,4.56
30.08,-1.32,-1.32,-5.86,-5.86,5.86,5.51,6.93,4.55,4.55,4.54
30.38,-1.26,-1.26,-5.80,-5.79,5.81,5.49,6.98,4.55,4.55,4.54
30.68,-1.20,-1.20,-5.72,-5.73,5.75,5.46,7.01,4.55,4.54,4.53
30.99,-1.15,-1.15,-5.66,-5.66,5.68,5.43,7.04,4.53,4.53,4.51
31.30,-1.11,-1.11,-5.60,-5.60,5.61,5.41,7.05,4.50,4.50,4.49
31.61,-1.07,-1.07,-5.54,-5.54,5.53,5.38,7.05,4.47,4.47,4.47
31.93,-1.03,-1.03,-5.49,-5.48,5.47,5.35,7.03,4.44,4.44,4.46
32.24,-0.98,-0.98,-5.41,-5.41,5.40,5.32,7.01,4.43,4.42,4.43
32.57,-0.94,-0.93,-5.34,-5.34,5.34,5.29,6.97,4.40,4.41,4.40
32.89,-0.89,-0.89,-5.27,-5.27,5.28,5.27,6.93,4.39,4.39,4.38
33.22,-0.85,-0.85,-5.21,-5.21,5.22,5.24,6.87,4.37,4.37,4.37
33.55,-0.81,-0.81,-5.15,-5.15,5.16,5.21,6.81,4.35,4.35,4.34
33.89,-0.79,-0.79,-5.10,-5.10,5.10,5.18,6.74,4.32,4.32,4.31
34.23,-0.77,-0.76,-5.06,-5.05,5.05,5.15,6.66,4.28,4.28,4.29
34.57,-0.74,-0.74,-5.00,-5.01,4.99,5.12,6.57,4.26,4.25,4.26
34.92,-0.72,-0.72,-4.96,-4.95,4.94,5.09,6.48,4.22,4.23,4.24
35.27,-0.69,-0.68,-4.90,-4.90,4.89,5.05,6.38,4.20,4.21,4.21
35.62,-0.65,-0.65,-4.84,-4.84,4.84,5.02,6.28,4.20,4.19,4.19
35.97,-0.61,-0.61,-4.79,-4.79,4.80,4.99,6.17,4.19,4.18,4.18
36.33,-0.59,-0.58,-4.75,-4.75,4.76,4.96,6.07,4.17,4.17,4.17
36.70,-0.56,-0.56,-4.71,-4.71,4.72,4.93,5.95,4.16,4.16,4.15
37.06,-0.55,-0.55,-4.69,-4.69,4.69,4.89,5.84,4.14,4.14,4.14
37.43,-0.54,-0.54,-4.67,-4.67,4.67,4.86,5.73,4.13,4.13,4.14
37.81,-0.54,-0.54,-4.66,-4.66,4.66,4.83,5.62,4.12,4.13,4.12
38.19,-0.54,-0.54,-4.65,-4.66,4.66,4.79,5.51,4.13,4.12,4.12
38.57,-0.55,-0.55,-4.66,-4.66,4.67,4.76,5.39,4.12,4.12,4.11
38.95,-0.57,-0.57,-4.68,-4.68,4.69,4.73,5.28,4.12,4.12,4.12
