frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.67,7.67,2.91,2.91,-2.91,-3.29,-1.23,4.76,4.76,4.76
20.20,7.69,7.69,2.93,2.93,-2.93,-3.28,-1.26,4.76,4.76,4.76
20.40,7.72,7.71,2.96,2.95,-2.95,-3.27,-1.30,4.77,4.76,4.76
20.61,7.73,7.73,2.97,2.97,-2.97,-3.26,-1.34,4.76,4.76,4.76
20.81,7.74,7.74,2.98,2.98,-2.98,-3.26,-1.37,4.76,4.76,4.76
21.02,7.75,7.75,2.98,2.99,-2.99,-3.25,-1.42,4.76,4.76,4.77
21.23,7.77,7.76,3.00,2.99,-3.00,-3.24,-1.46,4.77,4.76,4.77
21.44,7.77,7.77,3.00,3.00,-3.00,-3.23,-1.50,4.77,4.77,4.77
21.66,7.77,7.77,3.00,3.00,-3.00,-3.21,-1.54,4.76,4.77,4.77
21.87,7.77,7.77,3.00,3.00,-3.00,-3.20,-1.59,4.77,4.77,4.77
22.09,7.77,7.77,3.00,3.00,-2.99,-3.19,-1.63,4.77,4.77,4.77
22.31,7.76,7.76,2.99,2.99,-2.98,-3.18,-1.68,4.78,4.78,4.77
22.54,7.75,7.75,2.98,2.98,-2.97,-3.17,-1.73,4.78,4.78,4.77
22.76,7.74,7.73,2.96,2.96,-2.95,-3.16,-1.78,4.79,4.78,4.77
22.99,7.72,7.72,2.93,2.93,-2.94,-3.14,-1.83,4.78,4.78,4.78
23.22,7.70,7.70,2.91,2.91,-2.93,-3.13,-1.88,4.77,4.78,4.79
23.45,7.69,7.70,2.89,2.89,-2.92,-3.11,-1.93,4.77,4.78,4.80
23.69,7.71,7.70,2.90,2.89,-2.92,-3.10,-1.98,4.79,4.79,4.81
23.92,7.72,7.72,2.91,2.91,-2.92,-3.09,-2.04,4.80,4.81,4.81
24.16,7.74,7.74,2.93,2.93,-2.92,-3.07,-2.09,4.82,4.82,4.81
24.40,7.76,7.75,2.95,2.94,-2.92,-3.05,-2.15,4.84,4.83,4.81
24.65,7.76,7.76,2.94,2.94,-2.92,-3.04,-2.21,4.84,4.83,4.82
24.89,7.75,7.76,2.92,2.93,-2.92,-3.02,-2.27,4.83,4.84,4.83
25.14,7.75,7.75,2.91,2.91,-2.91,-3.00,-2.33,4.83,4.83,4.84
25.39,7.75,7.74,2.90,2.90,-2.90,-2.99,-2.38,4.84,4.84,4.85
25.65,7.73,7.73,2.88,2.89,-2.89,-2.97,-2.44,4.84,4.84,4.84
25.91,7.72,7.72,2.87,2.87,-2.87,-2.95,-2.50,4.85,4.85,4.85
26.16,7.71,7.71,2.86,2.85,-2.85,-2.93,-2.56,4.85,4.85,4.85
26.43,7.69,7.69,2.83,2.84,-2.84,-2.91,-2.62,4.85,4.86,4.86
26.69,7.68,7.68,2.83,2.82,-2.82,-2.89,-2.68,4.86,4.86,4.85
26.96,7.66,7.66,2.80,2.80,-2.80,-2.87,-2.74,4.86,4.86,4.86
27.23,7.64,7.64,2.78,2.78,-2.78,-2.85,-2.80,4.86,4.86,4.86
27.50,7.61,7.61,2.75,2.76,-2.76,-2.83,-2.85,4.85,4.86,4.86
27.77,7.59,7.59,2.73,2.74,-2.74,-2.81,-2.91,4.85,4.85,4.85
28.05,7.57,7.56,2.73,2.72,-2.71,-2.79,-2.96,4.85,4.85,4.84
28.33,7.53,7.53,2.70,2.69,-2.69,-2.77,-3.01,4.83,4.84,4.83
28.62,7.50,7.50,2.67,2.67,-2.67,-2.75,-3.06,4.82,4.83,4.83
28.90,7.47,7.47,2.64,2.65,-2.66,-2.72,-3.10,4.81,4.81,4.83
