frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.49,4.49,1.15,1.16,-1.16,-1.13,-0.64,3.33,3.33,3.33
20.20,4.49,4.48,1.15,1.15,-1.15,-1.13,-0.65,3.33,3.33,3.33
20.40,4.49,4.48,1.16,1.15,-1.15,-1.13,-0.67,3.34,3.33,3.33
20.61,4.48,4.48,1.15,1.15,-1.15,-1.13,-0.69,3.33,3.33,3.33
20.81,4.48,4.48,1.15,1.14,-1.14,-1.13,-0.71,3.33,3.33,3.33
21.02,4.48,4.47,1.14,1.14,-1.14,-1.13,-0.74,3.34,3.33,3.34
21.23,4.48,4.47,1.14,1.13,-1.14,-1.13,-0.76,3.34,3.33,3.34
21.44,4.47,4.47,1.13,1.13,-1.13,-1.13,-0.78,3.33,3.33,3.34
21.66,4.47,4.47,1.13,1.13,-1.13,-1.13,-0.80,3.33,3.33,3.34
21.87,4.47,4.46,1.13,1.13,-1.13,-1.13,-0.83,3.33,3.33,3.34
22.09,4.47,4.47,1.13,1.13,-1.13,-1.13,-0.85,3.34,3.34,3.34
22.31,4.47,4.47,1.13,1.13,-1.13,-1.13,-0.88,3.34,3.34,3.33
22.54,4.47,4.47,1.13,1.13,-1.12,-1.13,-0.90,3.34,3.34,3.33
22.76,4.47,4.47,1.12,1.12,-1.12,-1.13,-0.93,3.35,3.35,3.34
22.99,4.47,4.47,1.11,1.11,-1.11,-1.13,-0.96,3.35,3.35,3.35
23.22,4.47,4.47,1.10,1.10,-1.11,-1.13,-0.99,3.36,3.36,3.36
23.45,4.47,4.47,1.09,1.09,-1.10,-1.13,-1.02,3.36,3.36,3.37
23.69,4.47,4.47,1.08,1.09,-1.09,-1.13,-1.04,3.37,3.37,3.38
23.92,4.47,4.47,1.09,1.09,-1.09,-1.13,-1.07,3.38,3.38,3.38
24.16,4.47,4.47,1.09,1.09,-1.08,-1.13,-1.10,3.38,3.38,3.38
24.40,4.47,4.47,1.09,1.08,-1.08,-1.13,-1.13,3.39,3.39,3.38
24.65,4.47,4.47,1.08,1.08,-1.07,-1.13,-1.17,3.39,3.39,3.39
24.89,4.47,4.46,1.07,1.07,-1.07,-1.12,-1.20,3.40,3.40,3.40
25.14,4.47,4.47,1.06,1.06,-1.06,-1.12,-1.23,3.40,3.40,3.41
25.39,4.47,4.47,1.05,1.06,-1.06,-1.12,-1.26,3.40,3.41,3.41
25.65,4.48,4.47,1.06,1.05,-1.06,-1.12,-1.29,3.42,3.41,3.41
25.91,4.48,4.48,1.05,1.05,-1.06,-1.12,-1.32,3.42,3.42,3.42
26.16,4.48,4.48,1.05,1.06,-1.05,-1.12,-1.35,3.42,3.43,3.42
26.43,4.49,4.48,1.06,1.06,-1.05,-1.12,-1.39,3.43,3.43,3.43
26.69,4.49,4.48,1.07,1.06,-1.06,-1.12,-1.42,3.43,3.43,3.42
