frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.40,-2.40,-5.74,-5.74,5.73,5.73,2.27,3.33,3.33,3.33
20.20,-2.36,-2.36,-5.70,-5.69,5.69,5.71,2.34,3.33,3.33,3.33
20.40,-2.32,-2.32,-5.65,-5.65,5.66,5.70,2.40,3.34,3.33,3.33
20.61,-2.28,-2.29,-5.61,-5.62,5.62,5.68,2.47,3.34,3.34,3.33
20.81,-2.25,-2.25,-5.58,-5.58,5.59,5.66,2.55,3.33,3.34,3.33
21.02,-2.21,-2.22,-5.55,-5.55,5.55,5.64,2.62,3.34,3.34,3.34
21.23,-2.18,-2.18,-5.52,-5.52,5.52,5.63,2.70,3.34,3.34,3.34
21.44,-2.15,-2.15,-5.49,-5.49,5.48,5.61,2.77,3.33,3.34,3.34
21.66,-2.11,-2.12,-5.45,-5.46,5.45,5.59,2.85,3.34,3.33,3.34
21.87,-2.08,-2.08,-5.42,-5.42,5.42,5.57,2.94,3.34,3.33,3.34
22.09,-2.05,-2.05,-5.39,-5.38,5.39,5.55,3.02,3.33,3.34,3.34
22.31,-2.01,-2.01,-5.35,-5.35,5.35,5.54,3.11,3.34,3.34,3.34
22.54,-1.97,-1.98,-5.31,-5.32,5.32,5.52,3.20,3.35,3.34,3.34
22.76,-1.94,-1.94,-5.29,-5.29,5.29,5.50,3.29,3.35,3.35,3.35
22.99,-1.91,-1.91,-5.27,-5.26,5.26,5.48,3.39,3.35,3.35,3.35
23.22,-1.87,-1.87,-5.24,-5.24,5.23,5.46,3.48,3.36,3.36,3.36
23.45,-1.83,-1.84,-5.21,-5.21,5.21,5.44,3.58,3.37,3.37,3.37
23.69,-1.81,-1.81,-5.20,-5.19,5.18,5.42,3.68,3.37,3.37,3.38
23.92,-1.78,-1.78,-5.16,-5.16,5.16,5.40,3.78,3.38,3.38,3.38
24.16,-1.75,-1.76,-5.13,-5.14,5.14,5.38,3.89,3.39,3.39,3.38
24.40,-1.73,-1.73,-5.11,-5.12,5.13,5.36,4.00,3.39,3.39,3.38
24.65,-1.72,-1.72,-5.11,-5.11,5.11,5.34,4.10,3.39,3.40,3.39
24.89,-1.70,-1.71,-5.10,-5.10,5.10,5.32,4.21,3.40,3.40,3.40
25.14,-1.69,-1.69,-5.10,-5.10,5.10,5.30,4.32,3.41,3.41,3.41
25.39,-1.68,-1.68,-5.10,-5.10,5.09,5.28,4.43,3.41,3.41,3.42
25.65,-1.67,-1.68,-5.09,-5.09,5.09,5.25,4.54,3.42,3.42,3.42
25.91,-1.67,-1.67,-5.10,-5.09,5.09,5.23,4.66,3.42,3.42,3.42
26.16,-1.66,-1.67,-5.09,-5.09,5.09,5.21,4.77,3.42,3.42,3.42
26.43,-1.66,-1.66,-5.09,-5.09,5.08,5.19,4.88,3.42,3.42,3.43
26.69,-1.65,-1.65,-5.07,-5.08,5.08,5.17,4.99,3.43,3.43,3.42
26.96,-1.64,-1.64,-5.07,-5.07,5.07,5.14,5.10,3.43,3.43,3.43
27.23,-1.63,-1.64,-5.06,-5.06,5.06,5.12,5.20,3.43,3.43,3.43
27.50,-1.63,-1.63,-5.06,-5.06,5.05,5.10,5.30,3.42,3.42,3.43
27.77,-1.62,-1.62,-5.05,-5.05,5.05,5.08,5.40,3.42,3.42,3.43
28.05,-1.62,-1.62,-5.04,-5.03,5.04,5.05,5.50,3.41,3.42,3.41
28.33,-1.61,-1.62,-5.02,-5.02,5.03,5.03,5.59,3.41,3.41,3.40
28.62,-1.61,-1.61,-5.01,-5.01,5.02,5.00,5.68,3.40,3.40,3.40
28.90,-1.61,-1.61,-5.01,-5.00,5.01,4.98,5.75,3.39,3.39,3.40
29.19,-1.61,-1.62,-4.99,-5.00,5.00,4.96,5.83,3.38,3.38,3.38
29.48,-1.62,-1.62,-4.99,-4.99,4.99,4.93,5.89,3.37,3.37,3.37
29.78,-1.62,-1.63,-4.98,-4.98,4.98,4.91,5.95,3.36,3.35,3.35
30.08,-1.63,-1.63,-4.97,-4.97,4.97,4.88,6.00,3.34,3.34,3.33
30.38,-1.63,-1.63,-4.96,-4.96,4.96,4.86,6.04,3.33,3.33,3.33
30.68,-1.63,-1.63,-4.95,-4.95,4.95,4.84,6.07,3.31,3.31,3.32
30.99,-1.63,-1.63,-4.94,-4.93,4.93,4.81,6.09,3.30,3.30,3.31
31.30,-1.62,-1.63,-4.91,-4.91,4.91,4.79,6.10,3.28,3.28,3.28
31.61,-1.62,-1.62,-4.88,-4.89,4.88,4.76,6.11,3.26,3.26,3.26
31.93,-1.61,-1.61,-4.86,-4.86,4.86,4.74,6.10,3.24,3.24,3.25
32.24,-1.60,-1.60,-4.83,-4.83,4.83,4.71,6.09,3.22,3.22,3.23
32.57,-1.59,-1.59,-4.79,-4.79,4.80,4.68,6.06,3.20,3.20,3.19
32.89,-1.58,-1.58,-4.75,-4.76,4.77,4.66,6.03,3.18,3.18,3.17
33.22,-1.57,-1.58,-4.73,-4.73,4.73,4.63,5.98,3.16,3.16,3.16
33.55,-1.57,-1.57,-4.71,-4.70,4.70,4.61,5.94,3.13,3.13,3.14
33.89,-1.56,-1.57,-4.67,-4.67,4.67,4.58,5.88,3.11,3.11,3.10
34.23,-1.56,-1.56,-4.64,-4.65,4.64,4.56,5.82,3.08,3.08,3.08
34.57,-1.56,-1.56,-4.62,-4.61,4.61,4.53,5.75,3.05,3.05,3.06
34.92,-1.55,-1.55,-4.59,-4.58,4.58,4.50,5.68,3.03,3.03,3.03
35.27,-1.54,-1.54,-4.54,-4.55,4.55,4.48,5.60,3.01,3.01,3.00
35.62,-1.53,-1.53,-4.52,-4.52,4.52,4.45,5.52,2.99,2.99,2.99
35.97,-1.52,-1.52,-4.50,-4.50,4.50,4.42,5.44,2.97,2.97,2.97
36.33,-1.51,-1.51,-4.47,-4.47,4.47,4.40,5.35,2.95,2.96,2.96
36.70,-1.49,-1.49,-4.44,-4.44,4.44,4.37,5.26,2.94,2.94,2.95
37.06,-1.47,-1.48,-4.40,-4.41,4.41,4.34,5.17,2.94,2.93,2.93
37.43,-1.46,-1.46,-4.39,-4.38,4.39,4.32,5.08,2.92,2.93,2.93
37.81,-1.44,-1.44,-4.36,-4.36,4.36,4.29,5.00,2.92,2.92,2.91
38.19,-1.42,-1.42,-4.33,-4.33,4.34,4.26,4.91,2.91,2.91,2.91
38.57,-1.40,-1.40,-4.31,-4.31,4.31,4.24,4.82,2.91,2.91,2.90
38.95,-1.38,-1.38,-4.29,-4.29,4.29,4.21,4.73,2.91,2.91,2.91
39.34,-1.36,-1.36,-4.27,-4.27,4.26,4.18,4.64,2.90,2.90,2.90
39.74,-1.33,-1.34,-4.24,-4.24,4.24,4.16,4.56,2.91,2.90,2.91
40.14,-1.31,-1.31,-4.22,-4.22,4.21,4.13,4.48,2.90,2.90,2.90
40.54,-1.28,-1.28,-4.19,-4.19,4.19,4.10,4.40,2.90,2.90,2.91
40.94,-1.25,-1.25,-4.16,-4.16,4.16,4.08,4.32,2.90,2.91,2.90
41.35,-1.21,-1.22,-4.12,-4.13,4.13,4.05,4.24,2.91,2.91,2.91
41.76,-1.19,-1.19,-4.10,-4.09,4.09,4.02,4.17,2.90,2.91,2.91
42.18,-1.16,-1.16,-4.06,-4.06,4.06,3.99,4.10,2.90,2.90,2.89
42.60,-1.13,-1.14,-4.03,-4.03,4.03,3.97,4.03,2.90,2.89,2.90
43.03,-1.11,-1.11,-4.00,-4.00,4.00,3.94,3.97,2.89,2.89,2.89
43.46,-1.08,-1.09,-3.97,-3.97,3.97,3.91,3.90,2.89,2.88,2.88
43.90,-1.06,-1.06,-3.94,-3.94,3.94,3.89,3.84,2.87,2.87,2.87
44.33,-1.04,-1.04,-3.91,-3.91,3.91,3.86,3.79,2.87,2.87,2.87
44.78,-1.02,-1.02,-3.88,-3.88,3.88,3.83,3.73,2.86,2.86,2.86
45.23,-1.00,-1.01,-3.85,-3.85,3.85,3.81,3.68,2.85,2.85,2.85
45.68,-0.99,-0.99,-3.83,-3.83,3.83,3.78,3.64,2.84,2.84,2.83
46.13,-0.98,-0.98,-3.81,-3.81,3.81,3.75,3.59,2.82,2.83,2.82
46.60,-0.97,-0.98,-3.79,-3.79,3.79,3.72,3.55,2.81,2.81,2.81
47.06,-0.97,-0.97,-3.77,-3.77,3.77,3.70,3.51,2.79,2.79,2.79
47.53,-0.97,-0.97,-3.75,-3.75,3.75,3.67,3.47,2.78,2.78,2.77
48.01,-0.97,-0.97,-3.73,-3.73,3.73,3.64,3.44,2.76,2.76,2.75
48.49,-0.97,-0.98,-3.72,-3.72,3.72,3.62,3.41,2.74,2.74,2.74
48.97,-0.98,-0.98,-3.71,-3.70,3.70,3.59,3.38,2.72,2.72,2.72
49.46,-0.98,-0.98,-3.68,-3.69,3.68,3.56,3.35,2.70,2.71,2.70
49.96,-0.97,-0.98,-3.67,-3.67,3.67,3.54,3.33,2.69,2.69,2.70
50.46,-0.97,-0.97,-3.65,-3.65,3.65,3.51,3.31,2.67,2.67,2.68
