frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.68,-5.68,-8.61,-8.61,6.00,6.33,2.63,0.32,0.32,2.93
20.20,-5.62,-5.62,-8.55,-8.55,6.00,6.32,2.71,0.38,0.38,2.93
20.40,-5.56,-5.56,-8.49,-8.49,6.00,6.30,2.78,0.44,0.44,2.93
20.61,-5.50,-5.50,-8.43,-8.43,6.00,6.29,2.87,0.50,0.50,2.93
20.81,-5.44,-5.44,-8.37,-8.38,6.00,6.28,2.95,0.56,0.56,2.93
21.02,-5.38,-5.38,-8.32,-8.32,6.00,6.26,3.03,0.62,0.62,2.94
21.23,-5.32,-5.32,-8.26,-8.26,6.00,6.25,3.12,0.68,0.68,2.94
21.44,-5.27,-5.27,-8.21,-8.21,6.00,6.23,3.21,0.73,0.73,2.94
21.66,-5.22,-5.22,-8.16,-8.16,6.00,6.22,3.30,0.78,0.78,2.94
21.87,-5.17,-5.17,-8.11,-8.11,6.00,6.20,3.40,0.83,0.83,2.94
22.09,-5.12,-5.12,-8.06,-8.06,6.00,6.19,3.49,0.88,0.88,2.94
22.31,-5.07,-5.07,-8.01,-8.01,6.00,6.17,3.59,0.93,0.93,2.94
22.54,-5.02,-5.02,-7.96,-7.96,6.00,6.16,3.69,0.98,0.98,2.94
22.76,-4.97,-4.97,-7.92,-7.92,6.00,6.14,3.80,1.03,1.03,2.95
22.99,-4.92,-4.92,-7.88,-7.88,6.00,6.13,3.91,1.08,1.08,2.96
23.22,-4.87,-4.87,-7.84,-7.84,6.00,6.11,4.02,1.13,1.13,2.97
23.45,-4.83,-4.83,-7.81,-7.80,6.00,6.10,4.13,1.17,1.17,2.98
23.69,-4.79,-4.79,-7.78,-7.77,6.00,6.08,4.25,1.21,1.21,2.98
23.92,-4.75,-4.75,-7.73,-7.74,6.00,6.06,4.36,1.25,1.25,2.98
24.16,-4.72,-4.72,-7.70,-7.70,6.00,6.05,4.48,1.28,1.28,2.98
24.40,-4.69,-4.69,-7.67,-7.67,6.00,6.03,4.61,1.31,1.31,2.98
24.65,-4.66,-4.66,-7.65,-7.65,6.00,6.01,4.73,1.34,1.34,2.99
24.89,-4.64,-4.64,-7.64,-7.64,6.00,6.00,4.85,1.36,1.36,3.00
25.14,-4.61,-4.61,-7.62,-7.62,6.00,5.98,4.98,1.39,1.39,3.01
25.39,-4.58,-4.58,-7.60,-7.59,6.00,5.96,5.11,1.42,1.42,3.02
25.65,-4.54,-4.54,-7.56,-7.56,6.00,5.94,5.24,1.46,1.46,3.02
25.91,-4.50,-4.50,-7.53,-7.53,6.00,5.92,5.37,1.50,1.50,3.03
26.16,-4.47,-4.47,-7.49,-7.49,6.00,5.91,5.49,1.53,1.53,3.03
26.43,-4.43,-4.43,-7.46,-7.46,6.00,5.89,5.62,1.57,1.57,3.03
26.69,-4.41,-4.41,-7.43,-7.44,6.00,5.87,5.75,1.59,1.59,3.02
26.96,-4.39,-4.39,-7.42,-7.42,6.00,5.85,5.87,1.61,1.61,3.03
27.23,-4.38,-4.38,-7.41,-7.41,6.00,5.83,6.00,1.62,1.62,3.03
27.50,-4.37,-4.37,-7.40,-7.40,6.00,5.81,6.12,1.63,1.63,3.03
27.77,-4.35,-4.35,-7.38,-7.37,6.00,5.79,6.23,1.65,1.65,3.03
28.05,-4.32,-4.32,-7.34,-7.33,6.00,5.77,6.34,1.68,1.68,3.02
28.33,-4.28,-4.28,-7.28,-7.29,6.00,5.75,6.45,1.72,1.72,3.00
28.62,-4.23,-4.23,-7.23,-7.23,6.00,5.73,6.55,1.77,1.77,3.00
28.90,-4.18,-4.18,-7.18,-7.18,6.00,5.71,6.64,1.82,1.82,3.00
29.19,-4.13,-4.13,-7.11,-7.12,6.00,5.69,6.73,1.87,1.87,2.98
29.48,-4.09,-4.09,-7.06,-7.05,6.00,5.67,6.80,1.91,1.91,2.97
29.78,-4.04,-4.04,-7.00,-7.00,6.00,5.64,6.87,1.96,1.96,2.96
30.08,-4.00,-4.00,-6.94,-6.94,6.00,5.62,6.93,2.00,2.00,2.93
30.38,-3.96,-3.96,-6.89,-6.89,6.00,5.60,6.98,2.04,2.04,2.93
30.68,-3.91,-3.91,-6.83,-6.83,6.00,5.58,7.01,2.09,2.09,2.92
30.99,-3.84,-3.84,-6.75,-6.75,6.00,5.55,7.04,2.16,2.16,2.91
31.30,-3.76,-3.76,-6.65,-6.65,6.01,5.53,7.05,2.25,2.25,2.89
31.61,-3.68,-3.68,-6.54,-6.55,6.02,5.50,7.06,2.34,2.34,2.86
31.93,-3.59,-3.59,-6.44,-6.44,6.02,5.48,7.04,2.43,2.43,2.85
32.24,-3.49,-3.49,-6.32,-6.32,6.01,5.45,7.03,2.52,2.52,2.83
32.57,-3.39,-3.39,-6.19,-6.19,5.98,5.43,7.00,2.59,2.59,2.80
