frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.59,6.59,2.55,2.55,-2.55,-3.15,-1.61,4.04,4.04,4.04
20.20,6.64,6.64,2.60,2.60,-2.60,-3.15,-1.66,4.04,4.04,4.04
20.40,6.69,6.69,2.65,2.66,-2.65,-3.15,-1.71,4.03,4.04,4.04
20.61,6.75,6.74,2.71,2.71,-2.71,-3.16,-1.76,4.04,4.04,4.04
20.81,6.80,6.79,2.76,2.76,-2.75,-3.16,-1.81,4.04,4.04,4.04
21.02,6.84,6.84,2.79,2.80,-2.80,-3.16,-1.86,4.04,4.04,4.05
21.23,6.89,6.89,2.84,2.84,-2.85,-3.16,-1.92,4.04,4.04,4.04
21.44,6.93,6.93,2.88,2.89,-2.89,-3.17,-1.97,4.04,4.04,4.04
21.66,6.98,6.97,2.93,2.93,-2.93,-3.17,-2.03,4.04,4.04,4.04
21.87,7.02,7.01,2.97,2.97,-2.97,-3.17,-2.09,4.05,4.04,4.04
22.09,7.05,7.05,3.01,3.01,-3.01,-3.17,-2.15,4.04,4.04,4.04
22.31,7.09,7.09,3.05,3.05,-3.04,-3.18,-2.21,4.04,4.05,4.04
22.54,7.13,7.12,3.09,3.08,-3.07,-3.18,-2.28,4.05,4.05,4.04
22.76,7.16,7.16,3.11,3.11,-3.10,-3.18,-2.34,4.05,4.05,4.05
22.99,7.19,7.19,3.13,3.13,-3.13,-3.18,-2.41,4.06,4.06,4.06
23.22,7.22,7.22,3.15,3.15,-3.15,-3.19,-2.48,4.06,4.07,4.07
23.45,7.25,7.25,3.17,3.17,-3.17,-3.19,-2.55,4.07,4.07,4.08
23.69,7.28,7.27,3.19,3.19,-3.19,-3.19,-2.62,4.08,4.08,4.09
23.92,7.30,7.30,3.21,3.21,-3.21,-3.20,-2.69,4.08,4.09,4.09
24.16,7.32,7.32,3.23,3.23,-3.23,-3.20,-2.77,4.09,4.09,4.09
24.40,7.34,7.34,3.25,3.25,-3.24,-3.20,-2.84,4.09,4.09,4.09
24.65,7.36,7.36,3.26,3.26,-3.26,-3.21,-2.92,4.10,4.10,4.09
24.89,7.38,7.38,3.27,3.27,-3.27,-3.21,-2.99,4.11,4.10,4.10
25.14,7.39,7.39,3.28,3.28,-3.28,-3.21,-3.07,4.11,4.11,4.11
25.39,7.41,7.41,3.29,3.29,-3.29,-3.21,-3.15,4.12,4.12,4.12
25.65,7.42,7.42,3.30,3.29,-3.30,-3.22,-3.23,4.12,4.12,4.12
25.91,7.43,7.43,3.30,3.30,-3.30,-3.22,-3.31,4.13,4.13,4.13
26.16,7.44,7.44,3.31,3.31,-3.31,-3.23,-3.39,4.13,4.13,4.13
26.43,7.45,7.45,3.31,3.32,-3.31,-3.23,-3.46,4.13,4.13,4.14
26.69,7.46,7.45,3.33,3.32,-3.32,-3.23,-3.54,4.14,4.13,4.13
26.96,7.46,7.46,3.32,3.33,-3.33,-3.24,-3.62,4.13,4.13,4.13
27.23,7.47,7.47,3.33,3.33,-3.34,-3.24,-3.69,4.13,4.13,4.13
27.50,7.48,7.47,3.35,3.34,-3.34,-3.24,-3.76,4.13,4.13,4.13
27.77,7.48,7.48,3.35,3.35,-3.35,-3.25,-3.83,4.12,4.13,4.13
28.05,7.49,7.49,3.37,3.37,-3.36,-3.25,-3.90,4.12,4.12,4.12
28.33,7.49,7.49,3.38,3.38,-3.38,-3.25,-3.97,4.11,4.11,4.11
28.62,7.50,7.50,3.39,3.39,-3.39,-3.26,-4.03,4.11,4.11,4.11
28.90,7.50,7.50,3.39,3.40,-3.41,-3.26,-4.08,4.09,4.09,4.10
29.19,7.51,7.50,3.42,3.42,-3.42,-3.27,-4.14,4.09,4.08,4.08
29.48,7.51,7.51,3.44,3.44,-3.44,-3.27,-4.18,4.07,4.07,4.07
29.78,7.52,7.52,3.46,3.46,-3.46,-3.28,-4.23,4.06,4.06,4.06
30.08,7.53,7.52,3.49,3.48,-3.47,-3.28,-4.27,4.05,4.05,4.04
30.38,7.53,7.53,3.49,3.50,-3.50,-3.28,-4.30,4.03,4.04,4.04
30.68,7.54,7.54,3.51,3.52,-3.52,-3.29,-4.33,4.02,4.02,4.02
30.99,7.55,7.55,3.54,3.54,-3.54,-3.29,-4.35,4.00,4.00,4.01
31.30,7.56,7.56,3.57,3.57,-3.57,-3.30,-4.36,3.99,3.99,3.99
31.61,7.57,7.57,3.60,3.59,-3.60,-3.30,-4.37,3.97,3.97,3.97
31.93,7.58,7.58,3.62,3.63,-3.63,-3.31,-4.38,3.95,3.95,3.95
32.24,7.59,7.59,3.66,3.66,-3.66,-3.31,-4.38,3.93,3.93,3.93
32.57,7.61,7.60,3.71,3.70,-3.70,-3.32,-4.37,3.91,3.91,3.90
32.89,7.62,7.62,3.74,3.73,-3.73,-3.32,-4.36,3.88,3.88,3.88
33.22,7.63,7.63,3.76,3.77,-3.77,-3.32,-4.34,3.86,3.86,3.86
33.55,7.65,7.65,3.81,3.81,-3.81,-3.33,-4.32,3.83,3.83,3.84
33.89,7.67,7.66,3.86,3.85,-3.85,-3.33,-4.29,3.81,3.81,3.81
34.23,7.68,7.68,3.89,3.89,-3.90,-3.34,-4.26,3.78,3.78,3.79
34.57,7.70,7.70,3.93,3.94,-3.94,-3.34,-4.22,3.76,3.76,3.76
