frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.32,-2.32,-3.38,-3.38,3.37,2.85,0.39,1.05,1.05,1.06
20.20,-2.22,-2.22,-3.28,-3.27,3.27,2.80,0.40,1.05,1.06,1.06
20.40,-2.12,-2.12,-3.17,-3.18,3.18,2.76,0.42,1.06,1.06,1.06
20.61,-2.03,-2.03,-3.09,-3.09,3.09,2.72,0.43,1.06,1.06,1.06
20.81,-1.95,-1.95,-3.00,-3.01,3.01,2.67,0.44,1.06,1.06,1.05
21.02,-1.87,-1.87,-2.93,-2.93,2.93,2.63,0.46,1.06,1.06,1.06
21.23,-1.79,-1.79,-2.85,-2.85,2.85,2.58,0.48,1.06,1.06,1.06
21.44,-1.71,-1.72,-2.77,-2.78,2.78,2.54,0.49,1.07,1.06,1.06
21.66,-1.65,-1.65,-2.71,-2.71,2.71,2.49,0.51,1.06,1.06,1.06
21.87,-1.59,-1.58,-2.65,-2.65,2.64,2.45,0.52,1.06,1.06,1.06
22.09,-1.52,-1.52,-2.58,-2.58,2.58,2.40,0.54,1.06,1.06,1.06
22.31,-1.46,-1.46,-2.52,-2.52,2.53,2.35,0.56,1.07,1.07,1.06
22.54,-1.40,-1.40,-2.46,-2.46,2.47,2.31,0.58,1.07,1.07,1.06
22.76,-1.35,-1.35,-2.42,-2.42,2.42,2.26,0.60,1.07,1.07,1.07
22.99,-1.29,-1.29,-2.37,-2.37,2.37,2.22,0.62,1.08,1.08,1.08
23.22,-1.24,-1.24,-2.33,-2.33,2.32,2.17,0.64,1.08,1.08,1.09
23.45,-1.18,-1.18,-2.28,-2.28,2.27,2.13,0.66,1.09,1.09,1.10
23.69,-1.12,-1.12,-2.23,-2.22,2.21,2.08,0.68,1.09,1.09,1.11
23.92,-1.06,-1.06,-2.17,-2.17,2.16,2.03,0.70,1.10,1.10,1.11
24.16,-1.00,-1.00,-2.10,-2.10,2.11,1.99,0.72,1.11,1.11,1.10
24.40,-0.94,-0.94,-2.04,-2.05,2.06,1.94,0.74,1.12,1.12,1.10
24.65,-0.88,-0.88,-1.99,-2.00,2.00,1.89,0.76,1.12,1.12,1.11
24.89,-0.83,-0.83,-1.95,-1.95,1.95,1.85,0.78,1.12,1.12,1.12
25.14,-0.78,-0.77,-1.91,-1.90,1.90,1.80,0.80,1.12,1.13,1.13
25.39,-0.72,-0.72,-1.86,-1.86,1.86,1.76,0.82,1.14,1.13,1.14
25.65,-0.66,-0.67,-1.80,-1.81,1.81,1.71,0.85,1.15,1.14,1.14
25.91,-0.62,-0.62,-1.77,-1.76,1.76,1.66,0.87,1.14,1.14,1.15
26.16,-0.57,-0.56,-1.72,-1.71,1.71,1.62,0.89,1.14,1.15,1.15
26.43,-0.50,-0.51,-1.66,-1.66,1.66,1.57,0.91,1.16,1.15,1.16
26.69,-0.45,-0.45,-1.59,-1.60,1.61,1.52,0.93,1.16,1.15,1.14
26.96,-0.40,-0.40,-1.55,-1.55,1.55,1.48,0.95,1.15,1.15,1.15
27.23,-0.35,-0.35,-1.50,-1.50,1.50,1.43,0.96,1.15,1.15,1.15
27.50,-0.29,-0.30,-1.44,-1.45,1.44,1.38,0.98,1.15,1.15,1.15
27.77,-0.24,-0.24,-1.39,-1.39,1.39,1.34,1.00,1.15,1.14,1.15
28.05,-0.20,-0.19,-1.34,-1.33,1.33,1.29,1.01,1.13,1.14,1.14
28.33,-0.14,-0.14,-1.27,-1.27,1.27,1.24,1.02,1.13,1.13,1.13
28.62,-0.08,-0.09,-1.21,-1.21,1.21,1.20,1.03,1.13,1.12,1.12
28.90,-0.04,-0.03,-1.16,-1.15,1.16,1.15,1.04,1.12,1.12,1.12
29.19,0.01,0.01,-1.09,-1.09,1.10,1.10,1.05,1.11,1.11,1.10
29.48,0.06,0.05,-1.03,-1.04,1.05,1.06,1.05,1.11,1.10,1.09
