frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-30.18,-30.13,-35.41,-35.35,6.00,5.99,2.69,-24.18,-24.13,5.22
20.20,-30.56,-30.62,-35.78,-35.84,6.00,5.99,2.77,-24.56,-24.62,5.22
20.40,-31.09,-31.14,-36.31,-36.37,6.00,5.99,2.84,-25.09,-25.14,5.22
20.61,-31.69,-31.71,-36.91,-36.93,6.00,6.00,2.92,-25.69,-25.71,5.22
20.81,-32.39,-32.37,-37.61,-37.59,6.00,6.00,3.01,-26.39,-26.37,5.22
21.02,-33.01,-33.01,-38.23,-38.23,6.00,6.00,3.09,-27.01,-27.01,5.22
21.23,-33.57,-33.56,-38.79,-38.77,6.00,6.00,3.18,-27.57,-27.56,5.22
21.44,-34.00,-33.99,-39.21,-39.21,6.00,6.00,3.27,-28.00,-27.99,5.22
21.66,-34.30,-34.31,-39.52,-39.53,6.00,6.00,3.36,-28.30,-28.31,5.22
21.87,-34.53,-34.52,-39.75,-39.74,6.00,6.00,3.46,-28.53,-28.52,5.22
22.09,-34.66,-34.65,-39.88,-39.87,6.00,6.00,3.56,-28.66,-28.65,5.22
22.31,-34.73,-34.73,-39.95,-39.95,6.00,6.00,3.66,-28.73,-28.73,5.21
22.54,-34.80,-34.80,-40.01,-40.02,6.00,6.00,3.76,-28.80,-28.80,5.21
22.76,-34.90,-34.92,-40.12,-40.13,6.00,6.00,3.87,-28.90,-28.92,5.21
22.99,-35.10,-35.11,-40.31,-40.33,6.00,6.01,3.97,-29.10,-29.11,5.21
23.22,-35.39,-35.40,-40.60,-40.61,6.00,6.01,4.09,-29.39,-29.40,5.21
23.45,-35.76,-35.76,-40.97,-40.97,6.00,6.01,4.20,-29.76,-29.76,5.21
23.69,-36.17,-36.17,-41.37,-41.38,6.00,6.01,4.31,-30.17,-30.17,5.21
23.92,-36.57,-36.56,-41.77,-41.77,6.00,6.01,4.43,-30.57,-30.56,5.21
24.16,-36.93,-36.91,-42.14,-42.12,6.00,6.01,4.55,-30.93,-30.91,5.21
24.40,-37.21,-37.21,-42.41,-42.41,6.00,6.01,4.68,-31.21,-31.21,5.21
24.65,-37.43,-37.44,-42.63,-42.64,6.00,6.01,4.80,-31.43,-31.44,5.20
24.89,-37.62,-37.62,-42.83,-42.82,6.00,6.01,4.93,-31.62,-31.62,5.20
25.14,-37.76,-37.75,-42.96,-42.96,6.00,6.02,5.05,-31.76,-31.75,5.20
25.39,-37.85,-37.85,-43.05,-43.05,6.00,6.02,5.18,-31.85,-31.85,5.20
25.65,-37.95,-37.95,-43.15,-43.15,6.00,6.02,5.31,-31.95,-31.95,5.20
25.91,-38.06,-38.08,-43.26,-43.28,6.00,6.02,5.44,-32.06,-32.08,5.20
26.16,-38.30,-38.30,-43.49,-43.50,6.00,6.02,5.57,-32.30,-32.30,5.20
26.43,-38.58,-38.60,-43.77,-43.80,6.00,6.02,5.70,-32.58,-32.60,5.19
26.69,-38.95,-38.95,-44.14,-44.14,6.00,6.02,5.83,-32.95,-32.95,5.19
26.96,-39.28,-39.28,-44.47,-44.47,6.00,6.02,5.96,-33.28,-33.28,5.19
27.23,-39.50,-39.50,-44.69,-44.69,6.00,6.03,6.08,-33.50,-33.50,5.19
27.50,-39.59,-39.55,-44.78,-44.73,6.00,6.03,6.21,-33.59,-33.55,5.19
27.77,-39.39,-39.37,-44.57,-44.56,6.00,6.03,6.32,-33.39,-33.37,5.18
28.05,-38.99,-38.99,-44.17,-44.17,6.00,6.03,6.44,-32.99,-32.99,5.18
28.33,-38.45,-38.43,-43.63,-43.61,6.00,6.03,6.55,-32.45,-32.43,5.18
28.62,-37.80,-37.81,-42.98,-42.99,6.00,6.03,6.65,-31.80,-31.81,5.18
28.90,-37.21,-37.22,-42.39,-42.39,6.00,6.03,6.75,-31.21,-31.22,5.18
29.19,-36.74,-36.76,-41.92,-41.93,6.00,6.03,6.84,-30.74,-30.76,5.17
29.48,-36.47,-36.50,-41.64,-41.67,6.00,6.04,6.93,-30.47,-30.50,5.17
29.78,-36.47,-36.47,-41.64,-41.64,6.00,6.04,7.00,-30.47,-30.47,5.17
30.08,-36.64,-36.66,-41.81,-41.82,6.00,6.04,7.07,-30.64,-30.66,5.17
30.38,-36.99,-37.00,-42.15,-42.16,6.00,6.04,7.13,-30.99,-31.00,5.16
30.68,-37.44,-37.43,-42.60,-42.59,6.00,6.04,7.17,-31.44,-31.43,5.16
30.99,-37.85,-37.85,-43.01,-43.01,6.00,6.04,7.21,-31.85,-31.85,5.16
31.30,-38.20,-38.16,-43.35,-43.31,6.00,6.04,7.24,-32.20,-32.16,5.15
31.61,-38.31,-38.31,-43.46,-43.46,6.00,6.04,7.26,-32.31,-32.31,5.15
31.93,-38.27,-38.27,-43.42,-43.42,6.00,6.05,7.26,-32.27,-32.27,5.15
32.24,-38.08,-38.06,-43.22,-43.20,6.00,6.05,7.26,-32.08,-32.06,5.14
32.57,-37.74,-37.74,-42.88,-42.88,6.00,6.05,7.25,-31.74,-31.74,5.14
32.89,-37.37,-37.38,-42.51,-42.52,6.00,6.05,7.23,-31.37,-31.38,5.14
33.22,-37.03,-37.05,-42.17,-42.18,6.00,6.05,7.20,-31.03,-31.05,5.13
33.55,-36.78,-36.80,-41.91,-41.93,6.00,6.05,7.16,-30.78,-30.80,5.13
33.89,-36.64,-36.64,-41.77,-41.77,6.00,6.05,7.12,-30.64,-30.64,5.13
34.23,-36.57,-36.57,-41.69,-41.69,6.00,6.05,7.07,-30.57,-30.57,5.12
34.57,-36.54,-36.55,-41.66,-41.67,6.00,6.06,7.01,-30.54,-30.55,5.12
34.92,-36.57,-36.58,-41.68,-41.69,6.00,6.06,6.95,-30.57,-30.58,5.11
35.27,-36.61,-36.61,-41.72,-41.72,6.00,6.06,6.88,-30.61,-30.61,5.11
35.62,-36.63,-36.62,-41.74,-41.72,6.00,6.06,6.81,-30.63,-30.62,5.10
35.97,-36.57,-36.57,-41.67,-41.67,6.00,6.06,6.74,-30.57,-30.57,5.10
36.33,-36.45,-36.45,-41.54,-41.54,6.00,6.06,6.67,-30.45,-30.45,5.09
36.70,-36.27,-36.26,-41.36,-41.35,6.00,6.06,6.60,-30.27,-30.26,5.09
37.06,-36.03,-36.03,-41.11,-41.11,6.00,6.06,6.52,-30.03,-30.03,5.08
37.43,-35.79,-35.79,-40.87,-40.87,6.00,6.06,6.45,-29.79,-29.79,5.08
37.81,-35.56,-35.58,-40.63,-40.65,6.00,6.07,6.37,-29.56,-29.58,5.07
38.19,-35.40,-35.41,-40.47,-40.48,6.00,6.07,6.30,-29.40,-29.41,5.06
38.57,-35.29,-35.29,-40.35,-40.35,6.00,6.07,6.23,-29.29,-29.29,5.06
38.95,-35.20,-35.20,-40.25,-40.25,6.00,6.07,6.16,-29.20,-29.20,5.05
39.34,-35.10,-35.09,-40.14,-40.13,6.00,6.07,6.09,-29.10,-29.09,5.04
39.74,-34.95,-34.95,-39.99,-39.99,6.00,6.07,6.03,-28.95,-28.95,5.04
40.14,-34.77,-34.77,-39.80,-39.80,6.00,6.07,5.97,-28.77,-28.77,5.03
40.54,-34.55,-34.55,-39.57,-39.57,6.00,6.07,5.91,-28.55,-28.55,5.02
40.94,-34.32,-34.33,-39.33,-39.34,6.00,6.07,5.85,-28.32,-28.33,5.01
41.35,-34.11,-34.11,-39.12,-39.12,6.00,6.07,5.80,-28.11,-28.11,5.00
41.76,-33.91,-33.91,-38.91,-38.91,6.00,6.07,5.75,-27.91,-27.91,5.00
42.18,-33.73,-33.73,-38.72,-38.71,6.00,6.07,5.71,-27.73,-27.73,4.99
42.60,-33.55,-33.55,-38.53,-38.53,6.00,6.08,5.67,-27.55,-27.55,4.98
43.03,-33.38,-33.39,-38.35,-38.35,6.00,6.08,5.63,-27.38,-27.39,4.97
43.46,-33.23,-33.23,-38.19,-38.18,6.00,6.08,5.60,-27.23,-27.23,4.96
43.90,-33.08,-33.08,-38.03,-38.03,6.00,6.08,5.58,-27.08,-27.08,4.95
44.33,-32.94,-32.95,-37.88,-37.88,6.00,6.08,5.55,-26.94,-26.95,4.94
44.78,-32.82,-32.82,-37.75,-37.75,6.00,6.08,5.53,-26.82,-26.82,4.92
45.23,-32.71,-32.71,-37.63,-37.62,6.00,6.08,5.52,-26.71,-26.71,4.91
45.68,-32.60,-32.61,-37.50,-37.51,6.00,6.08,5.51,-26.60,-26.61,4.90
46.13,-32.50,-32.50,-37.39,-37.39,6.00,6.08,5.50,-26.50,-26.50,4.89
46.60,-32.39,-32.39,-37.27,-37.27,6.00,6.08,5.50,-26.39,-26.39,4.88
47.06,-32.27,-32.28,-37.13,-37.14,6.00,6.08,5.50,-26.27,-26.28,4.86
47.53,-32.15,-32.14,-37.00,-36.99,6.00,6.08,5.50,-26.15,-26.14,4.85
48.01,-31.99,-31.99,-36.83,-36.83,6.00,6.08,5.51,-25.99,-25.99,4.83
