frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-45.91,-45.89,-48.35,-48.33,6.00,5.91,2.73,-39.91,-39.89,2.44
20.20,-46.75,-46.78,-49.19,-49.22,6.00,5.91,2.81,-40.75,-40.78,2.44
20.40,-47.56,-47.58,-50.00,-50.02,6.00,5.91,2.88,-41.56,-41.58,2.44
20.61,-48.29,-48.29,-50.73,-50.73,6.00,5.91,2.97,-42.29,-42.29,2.44
20.81,-48.94,-48.93,-51.38,-51.37,6.00,5.91,3.05,-42.94,-42.93,2.44
21.02,-49.45,-49.47,-51.89,-51.91,6.00,5.91,3.14,-43.45,-43.47,2.44
21.23,-49.87,-49.86,-52.31,-52.29,6.00,5.91,3.22,-43.87,-43.86,2.44
21.44,-50.09,-50.08,-52.53,-52.52,6.00,5.91,3.32,-44.09,-44.08,2.44
21.66,-50.12,-50.14,-52.56,-52.57,6.00,5.92,3.41,-44.12,-44.14,2.44
21.87,-50.01,-50.01,-52.44,-52.44,6.00,5.92,3.51,-44.01,-44.01,2.44
22.09,-49.74,-49.72,-52.17,-52.15,6.00,5.92,3.61,-43.74,-43.72,2.43
22.31,-49.25,-49.26,-51.69,-51.70,6.00,5.92,3.71,-43.25,-43.26,2.43
22.54,-48.67,-48.65,-51.10,-51.09,6.00,5.92,3.81,-42.67,-42.65,2.43
22.76,-47.93,-47.93,-50.36,-50.36,6.00,5.92,3.92,-41.93,-41.93,2.43
22.99,-47.12,-47.13,-49.56,-49.56,6.00,5.92,4.03,-41.12,-41.13,2.43
23.22,-46.31,-46.30,-48.74,-48.73,6.00,5.92,4.14,-40.31,-40.30,2.43
23.45,-45.52,-45.54,-47.95,-47.97,6.00,5.92,4.26,-39.52,-39.54,2.43
23.69,-44.87,-44.86,-47.30,-47.29,6.00,5.93,4.38,-38.87,-38.86,2.43
23.92,-44.36,-44.35,-46.79,-46.78,6.00,5.93,4.50,-38.36,-38.35,2.43
24.16,-44.04,-44.08,-46.47,-46.51,6.00,5.93,4.62,-38.04,-38.08,2.43
24.40,-44.07,-44.09,-46.49,-46.51,6.00,5.93,4.74,-38.07,-38.09,2.42
24.65,-44.38,-44.38,-46.80,-46.81,6.00,5.93,4.87,-38.38,-38.38,2.42
24.89,-44.92,-44.92,-47.34,-47.35,6.00,5.93,5.00,-38.92,-38.92,2.42
25.14,-45.62,-45.62,-48.04,-48.04,6.00,5.93,5.13,-39.62,-39.62,2.42
25.39,-46.40,-46.38,-48.82,-48.80,6.00,5.93,5.26,-40.40,-40.38,2.42
25.65,-47.16,-47.17,-49.58,-49.58,6.00,5.93,5.39,-41.16,-41.17,2.42
25.91,-47.90,-47.90,-50.31,-50.32,6.00,5.94,5.52,-41.90,-41.90,2.42
26.16,-48.57,-48.57,-50.98,-50.99,6.00,5.94,5.65,-42.57,-42.57,2.41
