frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.95,-10.95,-19.52,-19.52,6.00,7.64,2.98,-4.95,-4.95,8.57
20.20,-11.22,-11.22,-19.79,-19.79,6.00,7.60,3.06,-5.22,-5.22,8.57
20.40,-11.49,-11.50,-20.06,-20.06,6.00,7.57,3.15,-5.49,-5.50,8.57
20.61,-11.78,-11.78,-20.34,-20.34,6.00,7.53,3.24,-5.78,-5.78,8.57
20.81,-12.07,-12.07,-20.64,-20.63,6.00,7.50,3.33,-6.07,-6.07,8.56
21.02,-12.37,-12.37,-20.94,-20.94,6.00,7.46,3.43,-6.37,-6.37,8.56
21.23,-12.68,-12.69,-21.25,-21.25,6.00,7.43,3.52,-6.68,-6.69,8.56
21.44,-13.02,-13.01,-21.58,-21.57,6.00,7.39,3.62,-7.02,-7.01,8.56
21.66,-13.34,-13.34,-21.90,-21.91,6.00,7.35,3.73,-7.34,-7.34,8.56
21.87,-13.69,-13.69,-22.25,-22.25,6.00,7.32,3.83,-7.69,-7.69,8.56
22.09,-14.04,-14.03,-22.60,-22.59,6.00,7.28,3.94,-8.04,-8.03,8.56
22.31,-14.39,-14.39,-22.95,-22.95,6.00,7.24,4.05,-8.39,-8.39,8.56
22.54,-14.73,-14.73,-23.28,-23.29,6.00,7.20,4.17,-8.73,-8.73,8.56
22.76,-15.08,-15.08,-23.64,-23.64,6.00,7.16,4.29,-9.08,-9.08,8.56
22.99,-15.41,-15.42,-23.97,-23.97,6.00,7.12,4.41,-9.41,-9.42,8.56
23.22,-15.74,-15.74,-24.30,-24.30,6.00,7.08,4.53,-9.74,-9.74,8.56
23.45,-16.04,-16.04,-24.60,-24.60,6.00,7.04,4.66,-10.04,-10.04,8.55
23.69,-16.32,-16.32,-24.87,-24.87,6.00,7.00,4.79,-10.32,-10.32,8.55
23.92,-16.55,-16.56,-25.11,-25.11,6.00,6.96,4.92,-10.55,-10.56,8.55
24.16,-16.76,-16.75,-25.31,-25.30,6.00,6.92,5.06,-10.76,-10.75,8.55
24.40,-16.89,-16.89,-25.44,-25.44,6.00,6.88,5.19,-10.89,-10.89,8.55
24.65,-16.96,-16.97,-25.51,-25.52,6.00,6.84,5.33,-10.96,-10.97,8.55
24.89,-16.98,-16.97,-25.53,-25.52,6.00,6.80,5.47,-10.98,-10.97,8.55
25.14,-16.92,-16.91,-25.47,-25.46,6.00,6.76,5.62,-10.92,-10.91,8.55
25.39,-16.77,-16.78,-25.31,-25.32,6.00,6.71,5.76,-10.77,-10.78,8.54
25.65,-16.57,-16.57,-25.12,-25.11,6.00,6.67,5.91,-10.57,-10.57,8.54
25.91,-16.31,-16.29,-24.85,-24.83,6.00,6.63,6.05,-10.31,-10.29,8.54
26.16,-15.95,-15.96,-24.49,-24.50,6.00,6.59,6.20,-9.95,-9.96,8.54
26.43,-15.57,-15.57,-24.11,-24.11,6.00,6.55,6.34,-9.57,-9.57,8.54
26.69,-15.14,-15.14,-23.68,-23.67,6.00,6.50,6.49,-9.14,-9.14,8.54
26.96,-14.68,-14.68,-23.21,-23.22,6.00,6.46,6.63,-8.68,-8.68,8.54
27.23,-14.19,-14.19,-22.72,-22.72,6.00,6.42,6.77,-8.19,-8.19,8.53
27.50,-13.67,-13.67,-22.21,-22.20,6.00,6.37,6.90,-7.67,-7.67,8.53
27.77,-13.13,-13.14,-21.66,-21.67,6.00,6.33,7.03,-7.13,-7.14,8.53
28.05,-12.61,-12.61,-21.14,-21.14,6.00,6.29,7.16,-6.61,-6.61,8.53
28.33,-12.07,-12.08,-20.59,-20.60,6.00,6.25,7.27,-6.07,-6.08,8.53
28.62,-11.56,-11.55,-20.08,-20.07,6.00,6.21,7.38,-5.56,-5.55,8.52
28.90,-11.02,-11.02,-19.54,-19.54,6.00,6.16,7.48,-5.02,-5.02,8.52
29.19,-10.51,-10.51,-19.03,-19.03,6.00,6.12,7.57,-4.51,-4.51,8.52
29.48,-10.01,-10.01,-18.52,-18.53,6.00,6.08,7.65,-4.01,-4.01,8.52
29.78,-9.54,-9.53,-18.05,-18.04,6.00,6.04,7.72,-3.54,-3.53,8.51
30.08,-9.06,-9.06,-17.57,-17.57,6.00,6.00,7.77,-3.06,-3.06,8.51
30.38,-8.60,-8.60,-17.11,-17.11,6.00,5.97,7.81,-2.60,-2.60,8.51
30.68,-8.14,-8.14,-16.65,-16.65,6.00,5.93,7.83,-2.14,-2.14,8.51
30.99,-7.70,-7.70,-16.20,-16.20,6.00,5.89,7.84,-1.70,-1.70,8.50
31.30,-7.26,-7.26,-15.76,-15.76,6.00,5.86,7.83,-1.26,-1.26,8.50
31.61,-6.83,-6.83,-15.33,-15.33,6.00,5.83,7.81,-0.83,-0.83,8.50
31.93,-6.42,-6.41,-14.91,-14.91,6.00,5.80,7.77,-0.42,-0.41,8.49
32.24,-6.00,-6.00,-14.49,-14.49,6.00,5.77,7.72,0.00,-0.00,8.49
32.57,-5.61,-5.60,-14.09,-14.08,6.00,5.74,7.65,0.39,0.40,8.49
32.89,-5.20,-5.20,-13.68,-13.68,6.00,5.72,7.57,0.80,0.80,8.48
33.22,-4.81,-4.81,-13.29,-13.29,6.00,5.70,7.48,1.19,1.19,8.48
33.55,-4.43,-4.43,-12.90,-12.91,6.00,5.68,7.37,1.57,1.57,8.47
33.89,-4.06,-4.06,-12.53,-12.53,6.00,5.67,7.25,1.94,1.94,8.47
34.23,-3.70,-3.70,-12.17,-12.17,6.00,5.66,7.12,2.30,2.30,8.47
34.57,-3.34,-3.35,-11.80,-11.81,6.00,5.66,6.98,2.66,2.65,8.46
34.92,-3.00,-3.00,-11.45,-11.45,6.00,5.66,6.84,3.00,3.00,8.46
35.27,-2.66,-2.65,-11.11,-11.10,6.00,5.67,6.69,3.34,3.35,8.45
35.62,-2.31,-2.31,-10.76,-10.76,6.00,5.68,6.53,3.69,3.69,8.45
35.97,-1.98,-1.98,-10.42,-10.43,6.00,5.70,6.37,4.02,4.02,8.44
36.33,-1.66,-1.66,-10.10,-10.09,6.00,5.73,6.20,4.34,4.34,8.44
36.70,-1.34,-1.34,-9.78,-9.77,6.00,5.76,6.03,4.66,4.66,8.43
37.06,-1.03,-1.03,-9.45,-9.46,6.00,5.80,5.86,4.97,4.97,8.43
37.43,-0.73,-0.73,-9.15,-9.15,6.00,5.84,5.69,5.27,5.27,8.42
37.81,-0.43,-0.43,-8.85,-8.84,6.00,5.89,5.52,5.57,5.57,8.41
38.19,-0.13,-0.14,-8.54,-8.54,6.00,5.94,5.34,5.87,5.86,8.41
38.57,0.15,0.15,-8.25,-8.25,6.00,5.98,5.17,6.15,6.15,8.40
38.95,0.44,0.44,-7.95,-7.96,6.00,6.02,4.99,6.44,6.44,8.39
39.34,0.71,0.71,-7.68,-7.67,6.01,6.05,4.82,6.73,6.73,8.39
