frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.56,6.56,1.96,1.96,-1.96,-0.91,-0.36,4.60,4.60,4.60
20.20,6.53,6.53,1.90,1.90,-1.90,-0.90,-0.37,4.63,4.63,4.63
20.40,6.51,6.51,1.85,1.85,-1.85,-0.90,-0.38,4.66,4.66,4.66
20.61,6.48,6.48,1.80,1.80,-1.80,-0.90,-0.39,4.68,4.69,4.68
20.81,6.46,6.46,1.75,1.75,-1.75,-0.90,-0.41,4.71,4.71,4.71
21.02,6.43,6.43,1.69,1.70,-1.70,-0.89,-0.42,4.73,4.73,4.74
21.23,6.40,6.40,1.65,1.65,-1.65,-0.89,-0.43,4.75,4.75,4.75
21.44,6.37,6.37,1.61,1.61,-1.61,-0.89,-0.44,4.76,4.76,4.76
21.66,6.34,6.34,1.57,1.57,-1.57,-0.89,-0.46,4.77,4.77,4.77
21.87,6.30,6.30,1.53,1.53,-1.53,-0.88,-0.47,4.77,4.77,4.77
22.09,6.27,6.27,1.49,1.49,-1.49,-0.88,-0.49,4.78,4.78,4.78
22.31,6.23,6.23,1.45,1.45,-1.45,-0.88,-0.50,4.77,4.77,4.78
22.54,6.19,6.19,1.41,1.42,-1.42,-0.87,-0.52,4.77,4.77,4.78
22.76,6.15,6.15,1.37,1.38,-1.38,-0.87,-0.53,4.77,4.77,4.77
22.99,6.12,6.12,1.36,1.35,-1.35,-0.87,-0.55,4.77,4.77,4.76
23.22,6.08,6.08,1.32,1.31,-1.31,-0.86,-0.56,4.77,4.77,4.76
23.45,6.04,6.04,1.28,1.28,-1.27,-0.86,-0.58,4.76,4.77,4.76
23.69,6.00,6.00,1.24,1.24,-1.24,-0.85,-0.60,4.76,4.76,4.76
23.92,5.97,5.97,1.21,1.20,-1.20,-0.85,-0.61,4.77,4.76,4.76
24.16,5.93,5.93,1.16,1.17,-1.17,-0.85,-0.63,4.76,4.76,4.77
24.40,5.90,5.90,1.13,1.13,-1.13,-0.84,-0.65,4.77,4.76,4.77
24.65,5.86,5.86,1.10,1.10,-1.10,-0.84,-0.67,4.76,4.76,4.76
24.89,5.82,5.82,1.06,1.06,-1.06,-0.83,-0.69,4.76,4.76,4.76
25.14,5.79,5.79,1.03,1.03,-1.03,-0.83,-0.70,4.76,4.76,4.76
25.39,5.75,5.75,0.99,1.00,-1.00,-0.82,-0.72,4.75,4.75,4.76
25.65,5.72,5.72,0.97,0.97,-0.97,-0.82,-0.74,4.75,4.75,4.75
25.91,5.68,5.68,0.94,0.94,-0.93,-0.81,-0.76,4.75,4.75,4.74
26.16,5.65,5.65,0.91,0.91,-0.90,-0.81,-0.78,4.75,4.75,4.74
