frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.11,7.11,-0.50,-0.50,0.50,0.17,-0.08,7.61,7.61,7.61
20.20,7.14,7.14,-0.50,-0.50,0.50,0.16,-0.08,7.64,7.64,7.64
20.40,7.17,7.17,-0.50,-0.50,0.50,0.15,-0.08,7.67,7.67,7.67
20.61,7.20,7.20,-0.49,-0.49,0.49,0.15,-0.08,7.69,7.69,7.69
20.81,7.23,7.23,-0.49,-0.49,0.49,0.14,-0.08,7.72,7.72,7.72
21.02,7.26,7.26,-0.49,-0.48,0.48,0.13,-0.08,7.74,7.74,7.74
21.23,7.28,7.28,-0.48,-0.48,0.47,0.13,-0.09,7.75,7.75,7.75
21.44,7.31,7.31,-0.46,-0.46,0.46,0.12,-0.09,7.76,7.76,7.76
21.66,7.33,7.33,-0.45,-0.44,0.44,0.11,-0.09,7.77,7.77,7.77
21.87,7.36,7.36,-0.41,-0.42,0.42,0.11,-0.09,7.78,7.78,7.77
22.09,7.38,7.38,-0.40,-0.40,0.40,0.10,-0.09,7.78,7.78,7.78
22.31,7.41,7.41,-0.37,-0.38,0.38,0.09,-0.09,7.78,7.78,7.78
22.54,7.43,7.43,-0.35,-0.35,0.35,0.08,-0.09,7.78,7.78,7.78
22.76,7.45,7.45,-0.33,-0.33,0.33,0.07,-0.10,7.78,7.78,7.78
22.99,7.47,7.47,-0.30,-0.30,0.31,0.07,-0.10,7.77,7.77,7.77
23.22,7.49,7.49,-0.28,-0.28,0.28,0.06,-0.10,7.77,7.77,7.77
23.45,7.51,7.51,-0.26,-0.26,0.26,0.05,-0.10,7.77,7.77,7.77
23.69,7.53,7.53,-0.24,-0.24,0.24,0.04,-0.10,7.77,7.77,7.77
23.92,7.55,7.54,-0.22,-0.23,0.22,0.03,-0.10,7.77,7.77,7.77
24.16,7.56,7.56,-0.22,-0.21,0.21,0.02,-0.11,7.76,7.77,7.78
24.40,7.58,7.58,-0.20,-0.19,0.19,0.02,-0.11,7.77,7.77,7.77
24.65,7.60,7.59,-0.17,-0.17,0.17,0.01,-0.11,7.77,7.77,7.76
24.89,7.61,7.61,-0.15,-0.15,0.15,-0.00,-0.11,7.76,7.76,7.76
25.14,7.63,7.63,-0.13,-0.14,0.14,-0.01,-0.11,7.76,7.76,7.76
25.39,7.64,7.64,-0.12,-0.12,0.12,-0.02,-0.12,7.76,7.76,7.76
25.65,7.66,7.66,-0.10,-0.10,0.10,-0.03,-0.12,7.76,7.76,7.76
25.91,7.67,7.67,-0.08,-0.08,0.08,-0.04,-0.12,7.75,7.75,7.75
26.16,7.69,7.69,-0.06,-0.06,0.07,-0.05,-0.12,7.76,7.75,7.75
26.43,7.70,7.70,-0.05,-0.05,0.05,-0.06,-0.13,7.75,7.75,7.75
26.69,7.71,7.71,-0.04,-0.04,0.04,-0.07,-0.13,7.75,7.75,7.74
26.96,7.72,7.72,-0.03,-0.03,0.02,-0.08,-0.13,7.74,7.74,7.74
27.23,7.73,7.73,-0.01,-0.01,0.01,-0.09,-0.14,7.74,7.74,7.74
27.50,7.75,7.74,0.01,0.00,-0.01,-0.10,-0.14,7.74,7.73,7.74
27.77,7.75,7.75,0.02,0.02,-0.02,-0.11,-0.15,7.73,7.73,7.73
28.05,7.76,7.76,0.03,0.04,-0.04,-0.13,-0.15,7.72,7.73,7.73
28.33,7.78,7.77,0.06,0.05,-0.05,-0.14,-0.16,7.73,7.72,7.72
28.62,7.79,7.79,0.07,0.07,-0.07,-0.15,-0.16,7.72,7.72,7.72
28.90,7.80,7.80,0.08,0.09,-0.08,-0.16,-0.17,7.71,7.71,7.71
29.19,7.81,7.81,0.11,0.10,-0.10,-0.17,-0.17,7.71,7.71,7.70
29.48,7.82,7.82,0.11,0.12,-0.12,-0.18,-0.18,7.70,7.70,7.71
29.78,7.84,7.83,0.14,0.13,-0.14,-0.20,-0.19,7.70,7.70,7.70
30.08,7.85,7.85,0.15,0.15,-0.15,-0.21,-0.19,7.69,7.69,7.70
30.38,7.86,7.86,0.17,0.18,-0.17,-0.22,-0.20,7.69,7.69,7.68
30.68,7.88,7.87,0.19,0.19,-0.19,-0.24,-0.21,7.69,7.68,7.68
