frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.99,6.99,3.46,3.46,-3.46,-3.74,-0.91,3.53,3.53,3.54
20.20,7.00,7.00,3.44,3.43,-3.43,-3.71,-0.94,3.57,3.57,3.57
20.40,7.00,7.01,3.41,3.41,-3.41,-3.69,-0.97,3.59,3.60,3.60
20.61,7.01,7.01,3.40,3.39,-3.39,-3.66,-1.00,3.63,3.62,3.61
20.81,7.01,7.01,3.37,3.36,-3.36,-3.64,-1.03,3.65,3.65,3.64
21.02,7.00,7.01,3.33,3.34,-3.34,-3.61,-1.06,3.66,3.67,3.67
21.23,7.00,7.00,3.32,3.31,-3.32,-3.58,-1.10,3.68,3.68,3.68
21.44,6.99,6.99,3.30,3.30,-3.30,-3.56,-1.13,3.69,3.69,3.69
21.66,6.98,6.98,3.28,3.28,-3.28,-3.53,-1.17,3.70,3.70,3.70
21.87,6.96,6.96,3.26,3.26,-3.26,-3.50,-1.20,3.70,3.70,3.70
22.09,6.95,6.95,3.24,3.24,-3.24,-3.47,-1.24,3.71,3.71,3.71
22.31,6.93,6.93,3.22,3.22,-3.23,-3.44,-1.28,3.71,3.71,3.71
22.54,6.92,6.92,3.21,3.21,-3.21,-3.41,-1.32,3.71,3.71,3.71
22.76,6.89,6.90,3.18,3.19,-3.19,-3.38,-1.36,3.70,3.71,3.71
22.99,6.87,6.87,3.17,3.17,-3.17,-3.35,-1.40,3.70,3.71,3.70
23.22,6.85,6.85,3.15,3.15,-3.14,-3.31,-1.44,3.71,3.70,3.70
23.45,6.82,6.82,3.12,3.13,-3.12,-3.28,-1.49,3.70,3.70,3.70
23.69,6.79,6.79,3.10,3.10,-3.09,-3.25,-1.53,3.70,3.70,3.70
23.92,6.76,6.76,3.07,3.06,-3.07,-3.21,-1.57,3.70,3.70,3.70
24.16,6.73,6.73,3.03,3.03,-3.04,-3.18,-1.62,3.70,3.70,3.70
