frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-24.04,-24.04,-28.54,-28.54,6.00,5.92,2.67,-18.04,-18.04,4.49
20.20,-23.96,-23.96,-28.49,-28.48,6.00,5.92,2.74,-17.96,-17.96,4.52
20.40,-23.89,-23.89,-28.45,-28.44,6.00,5.92,2.82,-17.89,-17.89,4.55
20.61,-23.83,-23.85,-28.40,-28.42,6.00,5.93,2.90,-17.83,-17.85,4.57
20.81,-23.82,-23.83,-28.43,-28.43,6.00,5.93,2.98,-17.82,-17.83,4.60
21.02,-23.82,-23.82,-28.46,-28.44,6.00,5.93,3.07,-17.82,-17.82,4.63
21.23,-23.80,-23.80,-28.45,-28.44,6.00,5.93,3.15,-17.80,-17.80,4.64
21.44,-23.75,-23.76,-28.40,-28.41,6.00,5.93,3.24,-17.75,-17.76,4.65
21.66,-23.69,-23.69,-28.35,-28.34,6.00,5.93,3.33,-17.69,-17.69,4.66
21.87,-23.60,-23.60,-28.26,-28.26,6.00,5.93,3.43,-17.60,-17.60,4.66
22.09,-23.49,-23.50,-28.16,-28.16,6.00,5.93,3.53,-17.49,-17.50,4.67
22.31,-23.37,-23.38,-28.04,-28.04,6.00,5.94,3.63,-17.37,-17.38,4.67
22.54,-23.25,-23.24,-27.91,-27.91,6.00,5.94,3.73,-17.25,-17.24,4.67
22.76,-23.09,-23.10,-27.76,-27.76,6.00,5.94,3.84,-17.09,-17.10,4.67
22.99,-22.94,-22.93,-27.59,-27.59,6.00,5.94,3.94,-16.94,-16.93,4.66
23.22,-22.75,-22.74,-27.40,-27.40,6.00,5.94,4.05,-16.75,-16.74,4.66
23.45,-22.53,-22.53,-27.19,-27.19,6.00,5.94,4.16,-16.53,-16.53,4.65
23.69,-22.32,-22.32,-26.97,-26.97,6.00,5.94,4.28,-16.32,-16.32,4.65
23.92,-22.10,-22.11,-26.76,-26.77,6.00,5.94,4.40,-16.10,-16.11,4.65
24.16,-21.92,-21.93,-26.59,-26.59,6.00,5.95,4.52,-15.92,-15.93,4.66
24.40,-21.77,-21.78,-26.43,-26.43,6.00,5.95,4.64,-15.77,-15.78,4.66
24.65,-21.64,-21.63,-26.29,-26.29,6.00,5.95,4.76,-15.64,-15.63,4.65
24.89,-21.48,-21.47,-26.13,-26.12,6.00,5.95,4.89,-15.48,-15.47,4.65
25.14,-21.29,-21.29,-25.94,-25.93,6.00,5.95,5.01,-15.29,-15.29,4.65
25.39,-21.07,-21.07,-25.72,-25.72,6.00,5.95,5.14,-15.07,-15.07,4.65
25.65,-20.84,-20.83,-25.48,-25.48,6.00,5.95,5.27,-14.84,-14.83,4.65
25.91,-20.61,-20.60,-25.24,-25.24,6.00,5.96,5.40,-14.61,-14.60,4.64
26.16,-20.38,-20.40,-25.02,-25.03,6.00,5.96,5.53,-14.38,-14.40,4.63
26.43,-20.24,-20.25,-24.87,-24.88,6.00,5.96,5.66,-14.24,-14.25,4.63
26.69,-20.16,-20.17,-24.80,-24.80,6.00,5.96,5.78,-14.16,-14.17,4.63
26.96,-20.13,-20.14,-24.77,-24.77,6.00,5.96,5.91,-14.13,-14.14,4.63
27.23,-20.13,-20.13,-24.76,-24.76,6.00,5.96,6.04,-14.13,-14.13,4.63
27.50,-20.11,-20.11,-24.74,-24.73,6.00,5.97,6.16,-14.11,-14.11,4.63
27.77,-20.05,-20.05,-24.67,-24.67,6.00,5.97,6.28,-14.05,-14.05,4.62
28.05,-19.96,-19.96,-24.58,-24.57,6.00,5.97,6.39,-13.96,-13.96,4.62
28.33,-19.82,-19.82,-24.43,-24.43,6.00,5.97,6.50,-13.82,-13.82,4.60
28.62,-19.67,-19.67,-24.27,-24.27,6.00,5.97,6.61,-13.67,-13.67,4.60
28.90,-19.49,-19.50,-24.09,-24.09,6.00,5.97,6.70,-13.49,-13.50,4.60
29.19,-19.33,-19.33,-23.92,-23.93,6.00,5.98,6.80,-13.33,-13.33,4.59
29.48,-19.18,-19.19,-23.78,-23.78,6.00,5.98,6.88,-13.18,-13.19,4.60
29.78,-19.07,-19.06,-23.65,-23.65,6.00,5.98,6.96,-13.07,-13.06,4.59
30.08,-18.97,-18.97,-23.55,-23.55,6.00,5.98,7.02,-12.97,-12.97,4.58
30.38,-18.89,-18.89,-23.46,-23.47,6.00,5.98,7.09,-12.89,-12.89,4.57
30.68,-18.83,-18.84,-23.40,-23.41,6.00,5.98,7.13,-12.83,-12.84,4.57
30.99,-18.80,-18.79,-23.35,-23.35,6.00,5.99,7.17,-12.80,-12.79,4.56
31.30,-18.73,-18.72,-23.28,-23.27,6.00,5.99,7.20,-12.73,-12.72,4.56
31.61,-18.60,-18.59,-23.16,-23.14,6.00,5.99,7.23,-12.60,-12.59,4.55
31.93,-18.43,-18.42,-22.97,-22.96,6.00,5.99,7.23,-12.43,-12.42,4.54
32.24,-18.21,-18.21,-22.74,-22.75,6.00,5.99,7.24,-12.21,-12.21,4.53
32.57,-18.02,-18.03,-22.54,-22.56,6.00,5.99,7.23,-12.02,-12.03,4.53
32.89,-17.89,-17.91,-22.42,-22.43,6.00,6.00,7.21,-11.89,-11.91,4.52
33.22,-17.84,-17.86,-22.36,-22.37,6.00,6.00,7.19,-11.84,-11.86,4.51
33.55,-17.83,-17.83,-22.34,-22.33,6.00,6.00,7.16,-11.83,-11.83,4.51
33.89,-17.79,-17.77,-22.29,-22.27,6.00,6.00,7.12,-11.79,-11.77,4.49
34.23,-17.65,-17.63,-22.14,-22.12,6.00,6.00,7.07,-11.65,-11.63,4.49
34.57,-17.42,-17.41,-21.90,-21.89,6.00,6.01,7.02,-11.42,-11.41,4.48
34.92,-17.15,-17.17,-21.61,-21.64,6.00,6.01,6.97,-11.15,-11.17,4.47
35.27,-16.96,-16.97,-21.42,-21.43,6.00,6.01,6.91,-10.96,-10.97,4.46
35.62,-16.84,-16.86,-21.28,-21.31,6.00,6.01,6.85,-10.84,-10.86,4.45
35.97,-16.82,-16.84,-21.26,-21.27,6.00,6.01,6.78,-10.82,-10.84,4.43
36.33,-16.85,-16.84,-21.29,-21.27,6.00,6.01,6.72,-10.85,-10.84,4.43
36.70,-16.82,-16.80,-21.24,-21.22,6.00,6.02,6.65,-10.82,-10.80,4.42
37.06,-16.71,-16.69,-21.12,-21.10,6.00,6.02,6.59,-10.71,-10.69,4.40
37.43,-16.49,-16.50,-20.89,-20.90,6.00,6.02,6.52,-10.49,-10.50,4.40
37.81,-16.30,-16.30,-20.68,-20.68,6.00,6.02,6.45,-10.30,-10.30,4.38
38.19,-16.10,-16.12,-20.47,-20.49,6.00,6.02,6.39,-10.10,-10.12,4.37
38.57,-15.99,-15.99,-20.36,-20.36,6.00,6.02,6.33,-9.99,-9.99,4.37
38.95,-15.90,-15.90,-20.25,-20.25,6.00,6.03,6.27,-9.90,-9.90,4.35
39.34,-15.82,-15.82,-20.16,-20.16,6.00,6.03,6.21,-9.82,-9.82,4.34
39.74,-15.73,-15.72,-20.05,-20.04,6.00,6.03,6.15,-9.73,-9.72,4.32
40.14,-15.60,-15.59,-19.91,-19.91,6.00,6.03,6.10,-9.60,-9.59,4.31
40.54,-15.45,-15.45,-19.75,-19.75,6.00,6.03,6.05,-9.45,-9.45,4.30
40.94,-15.29,-15.29,-19.59,-19.58,6.00,6.03,6.00,-9.29,-9.29,4.29
41.35,-15.14,-15.15,-19.42,-19.43,6.00,6.03,5.96,-9.14,-9.15,4.28
41.76,-15.00,-15.01,-19.27,-19.28,6.00,6.04,5.92,-9.00,-9.01,4.27
42.18,-14.88,-14.88,-19.15,-19.14,6.00,6.04,5.89,-8.88,-8.88,4.26
42.60,-14.76,-14.77,-19.01,-19.02,6.00,6.04,5.86,-8.76,-8.77,4.25
43.03,-14.67,-14.68,-18.92,-18.92,6.00,6.04,5.84,-8.67,-8.68,4.24
43.46,-14.60,-14.61,-18.83,-18.83,6.00,6.04,5.82,-8.60,-8.61,4.22
43.90,-14.55,-14.55,-18.74,-18.75,6.00,6.04,5.80,-8.55,-8.55,4.20
44.33,-14.48,-14.47,-18.66,-18.65,6.00,6.04,5.79,-8.48,-8.47,4.18
44.78,-14.38,-14.37,-18.54,-18.53,6.00,6.04,5.78,-8.38,-8.37,4.16
45.23,-14.23,-14.22,-18.37,-18.36,6.00,6.05,5.77,-8.23,-8.22,4.14
45.68,-14.05,-14.05,-18.17,-18.17,6.00,6.05,5.78,-8.05,-8.05,4.12
46.13,-13.87,-13.89,-17.98,-18.00,6.00,6.05,5.78,-7.87,-7.89,4.10
46.60,-13.77,-13.77,-17.86,-17.86,6.00,6.05,5.79,-7.77,-7.77,4.10
47.06,-13.67,-13.67,-17.75,-17.75,6.00,6.05,5.80,-7.67,-7.67,4.08
47.53,-13.59,-13.59,-17.65,-17.65,6.00,6.05,5.82,-7.59,-7.59,4.06
48.01,-13.51,-13.50,-17.55,-17.54,6.00,6.05,5.84,-7.51,-7.50,4.05
48.49,-13.41,-13.41,-17.42,-17.43,6.00,6.05,5.87,-7.41,-7.41,4.01
48.97,-13.31,-13.31,-17.30,-17.30,6.00,6.05,5.89,-7.31,-7.31,3.98
49.46,-13.21,-13.21,-17.17,-17.16,6.00,6.05,5.93,-7.21,-7.21,3.95
49.96,-13.11,-13.10,-17.03,-17.03,6.00,6.05,5.96,-7.11,-7.10,3.92
50.46,-12.99,-12.99,-16.89,-16.89,6.00,6.05,6.00,-6.99,-6.99,3.91
50.96,-12.87,-12.88,-16.76,-16.76,6.00,6.05,6.04,-6.87,-6.88,3.89
51.47,-12.78,-12.78,-16.64,-16.64,6.00,6.05,6.08,-6.78,-6.78,3.85
51.99,-12.70,-12.69,-16.52,-16.52,6.00,6.05,6.13,-6.70,-6.69,3.83
52.51,-12.59,-12.58,-16.40,-16.39,6.00,6.05,6.17,-6.59,-6.58,3.82
53.03,-12.46,-12.47,-16.26,-16.26,6.00,6.05,6.22,-6.46,-6.47,3.79
53.56,-12.35,-12.36,-16.12,-16.12,6.00,6.05,6.27,-6.35,-6.36,3.77
54.10,-12.25,-12.24,-15.99,-15.98,6.00,6.05,6.31,-6.25,-6.24,3.74
54.64,-12.13,-12.12,-15.84,-15.83,6.00,6.04,6.36,-6.13,-6.12,3.71
55.18,-11.99,-12.01,-15.68,-15.70,6.00,6.04,6.41,-5.99,-6.01,3.69
