frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.14,7.14,-1.26,-1.26,1.26,1.24,0.00,8.40,8.40,8.40
20.20,7.18,7.18,-1.22,-1.22,1.22,1.21,0.01,8.40,8.40,8.40
20.40,7.22,7.22,-1.18,-1.18,1.18,1.17,0.01,8.40,8.40,8.40
20.61,7.25,7.26,-1.15,-1.14,1.14,1.14,0.01,8.39,8.40,8.40
20.81,7.29,7.29,-1.11,-1.11,1.10,1.11,0.01,8.40,8.40,8.40
21.02,7.33,7.33,-1.07,-1.07,1.07,1.07,0.01,8.40,8.39,8.40
21.23,7.36,7.37,-1.03,-1.03,1.03,1.04,0.01,8.39,8.40,8.40
21.44,7.40,7.40,-0.99,-0.99,0.99,1.01,0.02,8.40,8.40,8.40
21.66,7.44,7.44,-0.95,-0.96,0.96,0.97,0.02,8.40,8.40,8.40
21.87,7.47,7.48,-0.92,-0.92,0.92,0.94,0.02,8.39,8.40,8.39
22.09,7.51,7.51,-0.88,-0.88,0.89,0.91,0.02,8.40,8.40,8.39
22.31,7.54,7.54,-0.85,-0.85,0.85,0.87,0.03,8.40,8.40,8.39
22.54,7.57,7.57,-0.82,-0.82,0.82,0.84,0.03,8.39,8.39,8.39
22.76,7.60,7.60,-0.79,-0.79,0.79,0.81,0.03,8.39,8.39,8.39
22.99,7.63,7.63,-0.76,-0.76,0.76,0.77,0.03,8.39,8.39,8.39
23.22,7.66,7.66,-0.73,-0.73,0.72,0.74,0.03,8.39,8.39,8.39
23.45,7.69,7.70,-0.70,-0.69,0.69,0.71,0.04,8.38,8.38,8.39
23.69,7.73,7.73,-0.65,-0.66,0.66,0.67,0.04,8.39,8.39,8.39
23.92,7.76,7.77,-0.62,-0.62,0.62,0.64,0.04,8.39,8.39,8.39
24.16,7.80,7.80,-0.58,-0.58,0.59,0.60,0.04,8.39,8.39,8.39
24.40,7.83,7.83,-0.55,-0.55,0.56,0.57,0.05,8.39,8.39,8.38
24.65,7.86,7.86,-0.52,-0.52,0.52,0.54,0.05,8.38,8.39,8.38
24.89,7.89,7.89,-0.49,-0.49,0.49,0.50,0.05,8.38,8.38,8.38
25.14,7.92,7.92,-0.46,-0.46,0.45,0.47,0.05,8.38,8.37,8.38
25.39,7.95,7.96,-0.42,-0.42,0.42,0.44,0.06,8.37,8.37,8.38
25.65,7.99,7.99,-0.38,-0.38,0.38,0.40,0.06,8.37,8.37,8.38
25.91,8.03,8.03,-0.34,-0.35,0.35,0.37,0.06,8.38,8.38,8.38
26.16,8.06,8.07,-0.31,-0.31,0.31,0.33,0.06,8.37,8.38,8.37
26.43,8.10,8.10,-0.27,-0.27,0.28,0.30,0.06,8.38,8.38,8.37
26.69,8.13,8.13,-0.24,-0.24,0.24,0.27,0.06,8.37,8.38,8.37
26.96,8.16,8.16,-0.21,-0.21,0.21,0.23,0.06,8.37,8.37,8.37
27.23,8.19,8.19,-0.17,-0.18,0.18,0.20,0.06,8.37,8.37,8.37
27.50,8.21,8.22,-0.15,-0.15,0.15,0.17,0.06,8.36,8.36,8.37
27.77,8.24,8.24,-0.12,-0.12,0.12,0.13,0.06,8.36,8.36,8.36
28.05,8.27,8.27,-0.09,-0.09,0.09,0.10,0.06,8.36,8.36,8.36
28.33,8.30,8.30,-0.06,-0.06,0.05,0.07,0.06,8.36,8.36,8.36
28.62,8.33,8.33,-0.02,-0.02,0.02,0.03,0.05,8.36,8.36,8.36
28.90,8.36,8.36,0.01,0.01,-0.01,0.00,0.05,8.36,8.36,8.35
29.19,8.39,8.39,0.04,0.04,-0.04,-0.03,0.04,8.35,8.36,8.35
29.48,8.42,8.42,0.07,0.07,-0.07,-0.06,0.04,8.35,8.35,8.35
29.78,8.45,8.45,0.11,0.10,-0.10,-0.10,0.03,8.35,8.35,8.35
30.08,8.47,8.48,0.13,0.13,-0.13,-0.13,0.02,8.34,8.34,8.34
30.38,8.50,8.50,0.16,0.16,-0.16,-0.16,0.02,8.34,8.34,8.34
30.68,8.53,8.53,0.19,0.19,-0.20,-0.19,0.01,8.34,8.34,8.34
30.99,8.56,8.56,0.23,0.23,-0.23,-0.23,-0.00,8.34,8.34,8.34
31.30,8.59,8.59,0.26,0.26,-0.26,-0.26,-0.02,8.33,8.33,8.33
