frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.07,8.08,1.90,1.91,-1.91,-1.81,-0.78,6.17,6.17,6.17
20.20,8.08,8.08,1.91,1.91,-1.91,-1.81,-0.80,6.17,6.17,6.17
20.40,8.08,8.08,1.91,1.91,-1.91,-1.81,-0.83,6.17,6.17,6.17
20.61,8.08,8.08,1.92,1.92,-1.91,-1.81,-0.85,6.17,6.17,6.17
20.81,8.08,8.08,1.92,1.92,-1.92,-1.81,-0.88,6.17,6.17,6.17
21.02,8.08,8.08,1.92,1.92,-1.92,-1.81,-0.90,6.17,6.17,6.17
21.23,8.08,8.08,1.92,1.92,-1.92,-1.81,-0.93,6.17,6.17,6.17
21.44,8.08,8.08,1.92,1.92,-1.92,-1.81,-0.96,6.17,6.17,6.17
21.66,8.08,8.08,1.92,1.92,-1.92,-1.81,-0.99,6.17,6.17,6.17
21.87,8.08,8.08,1.92,1.92,-1.92,-1.81,-1.02,6.17,6.17,6.16
22.09,8.08,8.08,1.92,1.92,-1.92,-1.81,-1.05,6.17,6.16,6.16
22.31,8.07,8.08,1.91,1.91,-1.92,-1.80,-1.08,6.16,6.16,6.16
22.54,8.07,8.07,1.91,1.91,-1.92,-1.80,-1.11,6.16,6.16,6.16
22.76,8.07,8.07,1.91,1.91,-1.92,-1.80,-1.14,6.16,6.16,6.16
22.99,8.07,8.07,1.91,1.92,-1.91,-1.80,-1.18,6.16,6.16,6.16
23.22,8.07,8.07,1.92,1.91,-1.91,-1.80,-1.21,6.16,6.16,6.16
23.45,8.07,8.07,1.92,1.91,-1.91,-1.80,-1.25,6.16,6.16,6.16
23.69,8.06,8.07,1.91,1.91,-1.91,-1.80,-1.28,6.16,6.16,6.16
23.92,8.06,8.06,1.91,1.91,-1.90,-1.80,-1.32,6.16,6.16,6.16
24.16,8.05,8.05,1.90,1.90,-1.90,-1.79,-1.36,6.16,6.16,6.15
24.40,8.04,8.04,1.89,1.89,-1.89,-1.79,-1.39,6.15,6.16,6.15
24.65,8.03,8.03,1.88,1.88,-1.88,-1.79,-1.43,6.15,6.15,6.15
24.89,8.02,8.02,1.87,1.87,-1.88,-1.79,-1.47,6.15,6.15,6.15
25.14,8.01,8.02,1.86,1.87,-1.87,-1.79,-1.51,6.14,6.14,6.15
25.39,8.01,8.01,1.87,1.87,-1.87,-1.78,-1.55,6.14,6.14,6.15
25.65,8.01,8.01,1.87,1.87,-1.87,-1.78,-1.59,6.14,6.14,6.15
25.91,8.01,8.01,1.87,1.87,-1.87,-1.78,-1.63,6.15,6.15,6.14
26.16,8.01,8.01,1.87,1.87,-1.87,-1.78,-1.66,6.15,6.15,6.14
26.43,8.01,8.01,1.87,1.87,-1.86,-1.77,-1.70,6.15,6.15,6.14
26.69,8.00,8.00,1.86,1.86,-1.86,-1.77,-1.74,6.14,6.14,6.14
26.96,7.99,7.99,1.86,1.86,-1.86,-1.77,-1.78,6.14,6.14,6.14
27.23,7.98,7.98,1.85,1.85,-1.85,-1.77,-1.81,6.14,6.14,6.14
27.50,7.97,7.97,1.84,1.84,-1.84,-1.76,-1.85,6.14,6.13,6.13
27.77,7.96,7.96,1.83,1.83,-1.83,-1.76,-1.88,6.14,6.13,6.13
28.05,7.94,7.95,1.81,1.82,-1.82,-1.76,-1.91,6.13,6.13,6.13
28.33,7.93,7.93,1.81,1.81,-1.81,-1.75,-1.94,6.13,6.13,6.13
28.62,7.92,7.92,1.80,1.80,-1.80,-1.75,-1.97,6.12,6.12,6.13
28.90,7.91,7.91,1.79,1.79,-1.79,-1.74,-1.99,6.12,6.12,6.12
29.19,7.90,7.90,1.78,1.78,-1.78,-1.74,-2.02,6.12,6.12,6.12
29.48,7.89,7.89,1.77,1.77,-1.77,-1.73,-2.03,6.12,6.12,6.12
29.78,7.88,7.88,1.77,1.77,-1.77,-1.73,-2.05,6.12,6.12,6.12
30.08,7.87,7.87,1.76,1.76,-1.76,-1.73,-2.07,6.11,6.12,6.11
30.38,7.86,7.86,1.75,1.75,-1.75,-1.72,-2.08,6.11,6.11,6.11
30.68,7.85,7.85,1.75,1.74,-1.74,-1.71,-2.09,6.11,6.11,6.11
30.99,7.83,7.84,1.73,1.73,-1.73,-1.71,-2.09,6.10,6.11,6.11
31.30,7.82,7.82,1.72,1.72,-1.72,-1.70,-2.09,6.10,6.10,6.10
31.61,7.80,7.81,1.70,1.71,-1.71,-1.70,-2.09,6.10,6.10,6.10
31.93,7.79,7.79,1.70,1.70,-1.70,-1.69,-2.09,6.10,6.10,6.10
32.24,7.77,7.78,1.68,1.68,-1.68,-1.68,-2.08,6.09,6.09,6.09
32.57,7.76,7.76,1.67,1.67,-1.67,-1.68,-2.07,6.09,6.09,6.09
32.89,7.74,7.74,1.66,1.66,-1.66,-1.67,-2.06,6.09,6.09,6.09
33.22,7.72,7.72,1.64,1.64,-1.64,-1.66,-2.04,6.08,6.08,6.08
33.55,7.70,7.70,1.63,1.63,-1.63,-1.66,-2.02,6.07,6.08,6.08
33.89,7.68,7.69,1.61,1.61,-1.62,-1.65,-2.00,6.07,6.07,6.07
34.23,7.67,7.67,1.60,1.60,-1.60,-1.64,-1.97,6.07,6.07,6.07
