frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.95,7.95,-1.35,-1.35,1.34,1.17,0.40,9.29,9.29,9.29
20.20,7.96,7.96,-1.33,-1.33,1.33,1.16,0.41,9.29,9.29,9.29
20.40,7.98,7.97,-1.31,-1.32,1.32,1.16,0.42,9.30,9.29,9.29
20.61,7.99,7.99,-1.30,-1.30,1.31,1.16,0.44,9.29,9.29,9.29
20.81,8.00,8.00,-1.29,-1.29,1.30,1.15,0.45,9.29,9.29,9.29
21.02,8.01,8.01,-1.28,-1.28,1.28,1.15,0.46,9.29,9.29,9.29
21.23,8.02,8.02,-1.27,-1.27,1.27,1.14,0.48,9.29,9.29,9.29
21.44,8.03,8.03,-1.26,-1.26,1.26,1.14,0.49,9.29,9.29,9.29
21.66,8.04,8.04,-1.25,-1.25,1.25,1.14,0.51,9.28,9.29,9.29
21.87,8.06,8.05,-1.23,-1.23,1.23,1.13,0.52,9.29,9.29,9.29
22.09,8.07,8.07,-1.22,-1.22,1.22,1.13,0.54,9.29,9.29,9.29
22.31,8.08,8.08,-1.21,-1.21,1.21,1.12,0.56,9.28,9.29,9.29
22.54,8.09,8.09,-1.20,-1.19,1.19,1.12,0.58,9.28,9.28,9.28
22.76,8.11,8.10,-1.18,-1.18,1.18,1.11,0.59,9.29,9.28,9.28
22.99,8.12,8.12,-1.16,-1.17,1.17,1.11,0.61,9.28,9.28,9.28
23.22,8.13,8.13,-1.15,-1.15,1.15,1.11,0.63,9.28,9.28,9.28
23.45,8.14,8.14,-1.14,-1.14,1.14,1.10,0.65,9.28,9.28,9.28
23.69,8.15,8.15,-1.13,-1.13,1.13,1.10,0.67,9.28,9.28,9.28
23.92,8.16,8.16,-1.12,-1.12,1.12,1.09,0.69,9.28,9.28,9.28
24.16,8.17,8.17,-1.11,-1.11,1.11,1.09,0.71,9.28,9.28,9.28
24.40,8.18,8.18,-1.10,-1.10,1.10,1.08,0.73,9.28,9.27,9.28
24.65,8.19,8.19,-1.09,-1.09,1.09,1.08,0.75,9.27,9.27,9.27
24.89,8.20,8.20,-1.08,-1.07,1.08,1.07,0.77,9.27,9.28,9.27
25.14,8.21,8.21,-1.06,-1.06,1.07,1.07,0.79,9.27,9.27,9.27
25.39,8.22,8.21,-1.05,-1.06,1.06,1.06,0.81,9.27,9.27,9.27
25.65,8.22,8.22,-1.05,-1.05,1.05,1.05,0.83,9.26,9.27,9.27
25.91,8.23,8.23,-1.04,-1.04,1.04,1.05,0.85,9.26,9.27,9.27
