frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.31,8.31,1.07,1.07,-1.07,-1.20,-0.36,7.24,7.24,7.24
20.20,8.31,8.31,1.07,1.07,-1.07,-1.19,-0.37,7.24,7.24,7.24
20.40,8.32,8.32,1.08,1.08,-1.08,-1.19,-0.38,7.24,7.24,7.24
20.61,8.32,8.32,1.08,1.08,-1.08,-1.18,-0.39,7.24,7.24,7.24
20.81,8.32,8.32,1.08,1.08,-1.08,-1.17,-0.41,7.24,7.24,7.24
21.02,8.32,8.32,1.08,1.08,-1.08,-1.17,-0.42,7.24,7.24,7.24
21.23,8.32,8.32,1.08,1.08,-1.08,-1.16,-0.43,7.24,7.24,7.24
21.44,8.31,8.31,1.07,1.08,-1.08,-1.15,-0.45,7.23,7.24,7.24
21.66,8.31,8.31,1.07,1.07,-1.07,-1.14,-0.46,7.23,7.23,7.24
21.87,8.31,8.31,1.07,1.07,-1.07,-1.14,-0.48,7.24,7.23,7.23
22.09,8.30,8.30,1.07,1.07,-1.07,-1.13,-0.49,7.23,7.23,7.23
22.31,8.30,8.30,1.07,1.06,-1.06,-1.12,-0.51,7.23,7.23,7.23
22.54,8.29,8.29,1.06,1.06,-1.06,-1.11,-0.52,7.23,7.23,7.23
22.76,8.29,8.29,1.06,1.06,-1.06,-1.10,-0.54,7.23,7.23,7.23
22.99,8.29,8.28,1.06,1.05,-1.06,-1.09,-0.55,7.23,7.23,7.23
23.22,8.28,8.28,1.05,1.05,-1.06,-1.09,-0.57,7.22,7.23,7.23
23.45,8.28,8.28,1.05,1.05,-1.05,-1.08,-0.59,7.23,7.23,7.23
23.69,8.28,8.28,1.05,1.05,-1.05,-1.07,-0.60,7.23,7.23,7.23
23.92,8.28,8.28,1.05,1.05,-1.05,-1.06,-0.62,7.23,7.23,7.23
24.16,8.27,8.27,1.04,1.04,-1.04,-1.05,-0.64,7.23,7.23,7.22
24.40,8.26,8.26,1.04,1.04,-1.03,-1.04,-0.66,7.22,7.23,7.22
24.65,8.25,8.25,1.03,1.03,-1.03,-1.03,-0.68,7.22,7.22,7.22
24.89,8.24,8.24,1.02,1.02,-1.02,-1.02,-0.69,7.22,7.22,7.22
25.14,8.23,8.23,1.01,1.01,-1.01,-1.01,-0.71,7.22,7.22,7.22
25.39,8.22,8.21,1.00,1.00,-1.00,-1.00,-0.73,7.22,7.21,7.22
25.65,8.20,8.20,0.98,0.99,-0.99,-0.99,-0.75,7.21,7.21,7.22
25.91,8.19,8.19,0.97,0.98,-0.98,-0.98,-0.77,7.21,7.21,7.22
26.16,8.19,8.18,0.98,0.97,-0.97,-0.97,-0.79,7.22,7.21,7.21
26.43,8.18,8.18,0.97,0.96,-0.96,-0.96,-0.80,7.22,7.21,7.21
26.69,8.16,8.16,0.95,0.95,-0.95,-0.94,-0.82,7.21,7.21,7.21
26.96,8.15,8.15,0.94,0.94,-0.94,-0.93,-0.84,7.21,7.21,7.21
27.23,8.14,8.13,0.93,0.93,-0.93,-0.92,-0.85,7.21,7.21,7.21
27.50,8.12,8.12,0.91,0.91,-0.92,-0.91,-0.87,7.20,7.20,7.20
27.77,8.10,8.10,0.90,0.90,-0.90,-0.90,-0.88,7.20,7.20,7.20
28.05,8.09,8.09,0.89,0.89,-0.89,-0.88,-0.90,7.20,7.20,7.20
28.33,8.08,8.07,0.88,0.88,-0.88,-0.87,-0.91,7.20,7.20,7.20
28.62,8.06,8.06,0.86,0.87,-0.87,-0.86,-0.92,7.19,7.20,7.20
28.90,8.05,8.05,0.85,0.86,-0.85,-0.84,-0.93,7.20,7.20,7.19
29.19,8.04,8.04,0.85,0.84,-0.84,-0.83,-0.94,7.20,7.20,7.19
29.48,8.02,8.02,0.83,0.83,-0.83,-0.82,-0.94,7.19,7.19,7.19
29.78,8.00,8.00,0.81,0.81,-0.81,-0.80,-0.95,7.19,7.19,7.19
30.08,7.98,7.98,0.80,0.80,-0.80,-0.79,-0.95,7.18,7.18,7.18
30.38,7.96,7.96,0.78,0.78,-0.78,-0.77,-0.95,7.18,7.18,7.18
30.68,7.95,7.95,0.77,0.77,-0.77,-0.76,-0.95,7.18,7.18,7.18
30.99,7.93,7.93,0.75,0.75,-0.75,-0.74,-0.95,7.18,7.18,7.18
31.30,7.91,7.91,0.74,0.74,-0.74,-0.72,-0.95,7.17,7.17,7.17
31.61,7.89,7.89,0.72,0.72,-0.72,-0.71,-0.94,7.17,7.17,7.17
31.93,7.87,7.87,0.70,0.70,-0.70,-0.69,-0.93,7.17,7.17,7.17
32.24,7.85,7.85,0.69,0.69,-0.68,-0.68,-0.92,7.16,7.16,7.16
32.57,7.83,7.83,0.67,0.67,-0.67,-0.66,-0.91,7.16,7.16,7.16
32.89,7.80,7.80,0.64,0.65,-0.65,-0.64,-0.90,7.15,7.16,7.16
33.22,7.78,7.78,0.63,0.63,-0.63,-0.62,-0.88,7.15,7.15,7.15
33.55,7.76,7.76,0.61,0.61,-0.61,-0.61,-0.86,7.15,7.15,7.15
33.89,7.73,7.73,0.59,0.59,-0.59,-0.59,-0.84,7.14,7.14,7.14
34.23,7.71,7.71,0.57,0.57,-0.57,-0.57,-0.82,7.14,7.14,7.14
34.57,7.68,7.68,0.54,0.55,-0.55,-0.55,-0.80,7.13,7.13,7.14
34.92,7.66,7.66,0.53,0.53,-0.53,-0.53,-0.78,7.13,7.13,7.13
35.27,7.63,7.63,0.50,0.51,-0.51,-0.51,-0.75,7.12,7.12,7.13
35.62,7.61,7.61,0.49,0.49,-0.49,-0.49,-0.73,7.12,7.12,7.12
35.97,7.59,7.59,0.47,0.47,-0.47,-0.47,-0.70,7.12,7.12,7.12
36.33,7.56,7.56,0.45,0.45,-0.45,-0.45,-0.67,7.11,7.11,7.11
36.70,7.54,7.54,0.43,0.43,-0.43,-0.43,-0.65,7.11,7.11,7.11
37.06,7.51,7.51,0.41,0.41,-0.41,-0.41,-0.62,7.10,7.10,7.10
37.43,7.48,7.48,0.38,0.39,-0.39,-0.39,-0.59,7.09,7.09,7.09
37.81,7.45,7.45,0.36,0.36,-0.36,-0.37,-0.56,7.09,7.08,7.09
38.19,7.42,7.42,0.34,0.34,-0.34,-0.35,-0.53,7.08,7.08,7.08
38.57,7.39,7.39,0.31,0.32,-0.32,-0.33,-0.50,7.07,7.07,7.08
38.95,7.37,7.37,0.30,0.30,-0.30,-0.30,-0.47,7.07,7.07,7.07
39.34,7.34,7.34,0.28,0.28,-0.28,-0.28,-0.43,7.06,7.06,7.06
39.74,7.31,7.31,0.26,0.26,-0.25,-0.26,-0.40,7.06,7.06,7.05
40.14,7.28,7.28,0.23,0.23,-0.23,-0.24,-0.37,7.05,7.05,7.05
40.54,7.25,7.25,0.21,0.21,-0.21,-0.21,-0.34,7.04,7.04,7.04
40.94,7.22,7.22,0.19,0.19,-0.19,-0.19,-0.31,7.03,7.03,7.03
41.35,7.19,7.19,0.17,0.16,-0.16,-0.17,-0.27,7.02,7.02,7.02
