frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.74,9.74,2.21,2.21,-2.21,-2.33,-1.10,7.53,7.53,7.53
20.20,9.76,9.76,2.23,2.23,-2.23,-2.34,-1.13,7.53,7.53,7.53
20.40,9.78,9.78,2.25,2.25,-2.25,-2.34,-1.16,7.53,7.53,7.53
20.61,9.80,9.80,2.27,2.27,-2.27,-2.35,-1.20,7.53,7.53,7.53
20.81,9.81,9.81,2.28,2.29,-2.28,-2.35,-1.23,7.52,7.53,7.53
21.02,9.83,9.83,2.30,2.30,-2.30,-2.35,-1.27,7.53,7.53,7.53
21.23,9.85,9.84,2.32,2.32,-2.32,-2.36,-1.31,7.53,7.53,7.53
21.44,9.86,9.86,2.33,2.33,-2.33,-2.36,-1.35,7.53,7.53,7.53
21.66,9.87,9.87,2.34,2.35,-2.35,-2.37,-1.39,7.52,7.52,7.52
21.87,9.88,9.88,2.36,2.36,-2.36,-2.37,-1.43,7.52,7.52,7.52
22.09,9.90,9.90,2.38,2.37,-2.37,-2.38,-1.47,7.53,7.52,7.52
22.31,9.91,9.91,2.39,2.39,-2.38,-2.39,-1.51,7.52,7.52,7.52
22.54,9.92,9.92,2.40,2.40,-2.40,-2.39,-1.56,7.52,7.52,7.52
22.76,9.93,9.93,2.41,2.41,-2.41,-2.40,-1.60,7.52,7.52,7.52
22.99,9.94,9.94,2.42,2.42,-2.42,-2.40,-1.65,7.52,7.52,7.52
23.22,9.95,9.95,2.43,2.43,-2.44,-2.41,-1.70,7.51,7.52,7.52
23.45,9.97,9.97,2.45,2.45,-2.45,-2.42,-1.75,7.52,7.52,7.52
23.69,9.98,9.98,2.46,2.46,-2.46,-2.42,-1.79,7.52,7.52,7.52
23.92,9.99,9.99,2.47,2.47,-2.47,-2.43,-1.84,7.52,7.52,7.51
24.16,10.00,10.00,2.48,2.48,-2.48,-2.44,-1.90,7.52,7.52,7.51
24.40,10.00,10.00,2.49,2.49,-2.49,-2.44,-1.95,7.51,7.51,7.51
24.65,10.01,10.01,2.50,2.50,-2.50,-2.45,-2.00,7.51,7.51,7.51
24.89,10.01,10.01,2.50,2.50,-2.50,-2.46,-2.05,7.51,7.51,7.51
25.14,10.02,10.02,2.51,2.51,-2.51,-2.47,-2.11,7.51,7.51,7.51
