frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.97,11.97,3.78,3.78,-3.79,-2.26,-1.37,8.18,8.18,8.19
20.20,11.96,11.95,3.77,3.77,-3.77,-2.26,-1.41,8.19,8.19,8.19
20.40,11.94,11.94,3.75,3.75,-3.75,-2.26,-1.45,8.18,8.19,8.19
20.61,11.93,11.92,3.74,3.74,-3.74,-2.26,-1.49,8.19,8.19,8.19
20.81,11.91,11.91,3.72,3.72,-3.72,-2.26,-1.54,8.19,8.19,8.18
21.02,11.89,11.89,3.70,3.71,-3.70,-2.26,-1.59,8.18,8.19,8.18
21.23,11.88,11.87,3.69,3.69,-3.69,-2.26,-1.63,8.19,8.19,8.18
21.44,11.86,11.86,3.67,3.67,-3.67,-2.26,-1.68,8.19,8.19,8.18
21.66,11.84,11.84,3.66,3.66,-3.65,-2.26,-1.73,8.18,8.18,8.18
21.87,11.82,11.82,3.64,3.64,-3.64,-2.26,-1.78,8.18,8.18,8.18
22.09,11.80,11.80,3.62,3.62,-3.62,-2.26,-1.84,8.18,8.18,8.18
22.31,11.78,11.78,3.60,3.60,-3.61,-2.26,-1.89,8.17,8.17,8.18
22.54,11.77,11.77,3.59,3.59,-3.59,-2.26,-1.95,8.18,8.18,8.18
22.76,11.76,11.76,3.58,3.58,-3.58,-2.25,-2.01,8.18,8.18,8.18
22.99,11.75,11.74,3.57,3.57,-3.57,-2.25,-2.06,8.18,8.18,8.18
23.22,11.73,11.73,3.55,3.56,-3.55,-2.25,-2.12,8.17,8.18,8.18
23.45,11.72,11.72,3.54,3.54,-3.54,-2.25,-2.18,8.18,8.18,8.17
23.69,11.71,11.70,3.53,3.53,-3.53,-2.25,-2.25,8.18,8.18,8.17
23.92,11.69,11.69,3.51,3.52,-3.51,-2.25,-2.31,8.18,8.18,8.17
24.16,11.67,11.67,3.50,3.49,-3.49,-2.25,-2.38,8.18,8.17,8.17
24.40,11.64,11.64,3.47,3.47,-3.47,-2.25,-2.44,8.16,8.17,8.17
24.65,11.62,11.62,3.45,3.45,-3.46,-2.25,-2.51,8.16,8.16,8.17
24.89,11.60,11.60,3.43,3.43,-3.44,-2.24,-2.58,8.16,8.16,8.17
25.14,11.59,11.58,3.42,3.42,-3.42,-2.24,-2.64,8.16,8.16,8.17
25.39,11.57,11.57,3.40,3.41,-3.41,-2.24,-2.71,8.16,8.16,8.16
25.65,11.56,11.56,3.39,3.39,-3.39,-2.24,-2.78,8.17,8.17,8.16
25.91,11.54,11.54,3.38,3.38,-3.37,-2.24,-2.85,8.17,8.17,8.16
26.16,11.52,11.52,3.36,3.36,-3.35,-2.24,-2.91,8.17,8.17,8.16
26.43,11.49,11.49,3.33,3.33,-3.32,-2.24,-2.98,8.17,8.17,8.16
26.69,11.46,11.45,3.30,3.30,-3.30,-2.23,-3.05,8.16,8.16,8.16
26.96,11.42,11.42,3.26,3.27,-3.27,-2.23,-3.11,8.14,8.15,8.16
27.23,11.39,11.39,3.23,3.24,-3.25,-2.23,-3.17,8.14,8.14,8.15
27.50,11.37,11.37,3.22,3.21,-3.23,-2.23,-3.24,8.14,8.14,8.15
27.77,11.35,11.35,3.20,3.20,-3.20,-2.23,-3.29,8.14,8.14,8.15
28.05,11.33,11.33,3.18,3.18,-3.18,-2.22,-3.35,8.15,8.15,8.15
28.33,11.31,11.31,3.16,3.16,-3.15,-2.22,-3.40,8.15,8.15,8.15
28.62,11.29,11.29,3.14,3.14,-3.13,-2.22,-3.45,8.16,8.16,8.14
28.90,11.26,11.26,3.12,3.11,-3.10,-2.22,-3.49,8.15,8.15,8.14
29.19,11.22,11.22,3.08,3.08,-3.08,-2.22,-3.54,8.14,8.14,8.14
29.48,11.18,11.18,3.04,3.04,-3.05,-2.21,-3.57,8.13,8.13,8.14
29.78,11.14,11.14,3.00,3.01,-3.02,-2.21,-3.60,8.12,8.12,8.13
30.08,11.11,11.11,2.98,2.98,-2.99,-2.21,-3.63,8.12,8.12,8.13
30.38,11.09,11.09,2.96,2.96,-2.96,-2.21,-3.65,8.12,8.12,8.13
30.68,11.07,11.07,2.94,2.94,-2.94,-2.20,-3.66,8.13,8.13,8.13
30.99,11.05,11.05,2.93,2.92,-2.91,-2.20,-3.67,8.13,8.13,8.12
31.30,11.02,11.02,2.90,2.90,-2.89,-2.20,-3.67,8.13,8.13,8.12
31.61,10.99,10.99,2.87,2.87,-2.87,-2.20,-3.67,8.12,8.12,8.12
31.93,10.95,10.95,2.84,2.84,-2.84,-2.19,-3.66,8.11,8.11,8.11
32.24,10.92,10.92,2.81,2.81,-2.82,-2.19,-3.65,8.10,8.10,8.11
32.57,10.89,10.89,2.78,2.78,-2.79,-2.19,-3.63,8.10,8.10,8.11
32.89,10.86,10.86,2.75,2.76,-2.76,-2.18,-3.60,8.10,8.10,8.10
33.22,10.84,10.84,2.74,2.74,-2.73,-2.18,-3.57,8.11,8.11,8.10
33.55,10.81,10.80,2.71,2.71,-2.70,-2.18,-3.54,8.11,8.11,8.09
33.89,10.77,10.77,2.68,2.67,-2.66,-2.17,-3.50,8.10,8.10,8.09
34.23,10.72,10.72,2.63,2.63,-2.63,-2.17,-3.45,8.09,8.09,8.09
34.57,10.67,10.67,2.59,2.59,-2.60,-2.16,-3.40,8.07,8.07,8.08
34.92,10.63,10.63,2.55,2.55,-2.57,-2.16,-3.35,8.06,8.06,8.08
35.27,10.60,10.60,2.53,2.52,-2.54,-2.16,-3.30,8.06,8.06,8.07
35.62,10.57,10.57,2.50,2.50,-2.51,-2.15,-3.24,8.06,8.06,8.07
35.97,10.55,10.55,2.48,2.48,-2.48,-2.15,-3.18,8.07,8.07,8.06
36.33,10.52,10.52,2.46,2.46,-2.45,-2.14,-3.12,8.06,8.06,8.06
36.70,10.49,10.49,2.44,2.43,-2.43,-2.14,-3.06,8.06,8.06,8.05
37.06,10.45,10.45,2.40,2.40,-2.40,-2.13,-2.99,8.04,8.05,8.05
37.43,10.42,10.42,2.38,2.37,-2.38,-2.13,-2.93,8.04,8.04,8.04
37.81,10.38,10.38,2.34,2.35,-2.35,-2.12,-2.86,8.03,8.03,8.03
38.19,10.35,10.35,2.32,2.32,-2.31,-2.11,-2.80,8.03,8.03,8.03
38.57,10.31,10.31,2.29,2.28,-2.28,-2.11,-2.73,8.03,8.03,8.02
38.95,10.27,10.26,2.25,2.25,-2.25,-2.10,-2.66,8.02,8.02,8.01
39.34,10.22,10.22,2.21,2.21,-2.21,-2.09,-2.60,8.00,8.01,8.01
39.74,10.18,10.18,2.18,2.18,-2.18,-2.09,-2.53,8.00,8.00,8.00
40.14,10.14,10.14,2.15,2.15,-2.15,-2.08,-2.47,7.99,7.99,7.99
40.54,10.11,10.10,2.12,2.12,-2.13,-2.07,-2.40,7.98,7.98,7.99
40.94,10.07,10.07,2.09,2.09,-2.10,-2.06,-2.34,7.96,7.97,7.98
41.35,10.04,10.04,2.07,2.07,-2.08,-2.06,-2.28,7.95,7.96,7.97
41.76,10.02,10.02,2.06,2.06,-2.06,-2.05,-2.22,7.96,7.96,7.96
42.18,10.00,10.00,2.05,2.05,-2.03,-2.04,-2.16,7.96,7.96,7.95
42.60,9.97,9.97,2.03,2.03,-2.00,-2.03,-2.10,7.96,7.96,7.94
43.03,9.93,9.92,2.00,1.99,-1.97,-2.02,-2.05,7.96,7.95,7.93
43.46,9.87,9.86,1.95,1.94,-1.93,-2.01,-1.99,7.94,7.93,7.92
43.90,9.80,9.80,1.89,1.89,-1.89,-2.00,-1.94,7.91,7.91,7.91
44.33,9.73,9.73,1.83,1.83,-1.85,-1.98,-1.89,7.88,7.88,7.90
44.78,9.68,9.68,1.79,1.79,-1.81,-1.97,-1.84,7.87,7.87,7.89
45.23,9.64,9.64,1.76,1.76,-1.77,-1.96,-1.79,7.87,7.87,7.88
45.68,9.60,9.60,1.73,1.73,-1.73,-1.95,-1.74,7.87,7.87,7.87
46.13,9.56,9.55,1.70,1.70,-1.70,-1.93,-1.70,7.86,7.86,7.85
46.60,9.51,9.51,1.67,1.67,-1.67,-1.92,-1.65,7.84,7.84,7.84
47.06,9.47,9.47,1.64,1.64,-1.64,-1.90,-1.61,7.82,7.82,7.83
47.53,9.43,9.43,1.61,1.62,-1.62,-1.89,-1.57,7.81,7.81,7.81
48.01,9.40,9.40,1.60,1.60,-1.59,-1.87,-1.53,7.80,7.81,7.80
48.49,9.37,9.36,1.58,1.58,-1.57,-1.85,-1.49,7.80,7.79,7.78
48.97,9.33,9.32,1.56,1.55,-1.55,-1.83,-1.45,7.78,7.77,7.77
49.46,9.27,9.27,1.51,1.52,-1.53,-1.81,-1.41,7.74,7.74,7.75
49.96,9.22,9.23,1.48,1.49,-1.51,-1.79,-1.38,7.71,7.72,7.74
50.46,9.19,9.19,1.47,1.47,-1.48,-1.77,-1.35,7.71,7.71,7.72
50.96,9.17,9.16,1.47,1.46,-1.45,-1.75,-1.31,7.72,7.71,7.70
51.47,9.14,9.13,1.45,1.45,-1.42,-1.72,-1.28,7.72,7.71,7.68
51.99,9.08,9.07,1.41,1.41,-1.38,-1.70,-1.25,7.69,7.69,7.67
52.51,9.01,9.00,1.36,1.36,-1.35,-1.67,-1.22,7.66,7.65,7.65
53.03,8.92,8.93,1.29,1.30,-1.32,-1.64,-1.20,7.60,7.61,7.63
53.56,8.87,8.87,1.26,1.26,-1.29,-1.61,-1.17,7.58,7.58,7.61
54.10,8.82,8.82,1.23,1.24,-1.26,-1.58,-1.14,7.56,7.56,7.58
