frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.56,0.56,-7.06,-7.06,6.00,6.12,2.56,6.56,6.56,7.62
20.20,0.60,0.60,-7.02,-7.02,6.00,6.11,2.63,6.60,6.60,7.62
20.40,0.64,0.64,-6.98,-6.98,6.00,6.10,2.71,6.64,6.64,7.62
20.61,0.68,0.68,-6.94,-6.94,6.00,6.09,2.79,6.68,6.68,7.62
20.81,0.71,0.72,-6.91,-6.91,6.00,6.07,2.87,6.71,6.72,7.62
21.02,0.75,0.75,-6.87,-6.87,6.00,6.06,2.95,6.75,6.75,7.62
21.23,0.78,0.78,-6.84,-6.83,6.00,6.05,3.03,6.78,6.78,7.62
21.44,0.82,0.82,-6.80,-6.80,6.00,6.04,3.12,6.82,6.82,7.62
21.66,0.86,0.86,-6.76,-6.76,6.00,6.03,3.21,6.86,6.86,7.62
21.87,0.90,0.91,-6.71,-6.71,6.00,6.01,3.31,6.90,6.91,7.62
22.09,0.95,0.95,-6.66,-6.67,6.00,6.00,3.40,6.95,6.95,7.62
22.31,0.99,0.99,-6.62,-6.62,6.00,5.99,3.50,6.99,6.99,7.61
22.54,1.03,1.03,-6.58,-6.58,6.00,5.98,3.60,7.03,7.03,7.61
22.76,1.07,1.07,-6.54,-6.54,6.00,5.96,3.70,7.07,7.07,7.61
22.99,1.10,1.11,-6.51,-6.51,6.00,5.95,3.81,7.10,7.11,7.61
23.22,1.14,1.14,-6.47,-6.47,6.00,5.94,3.91,7.14,7.14,7.61
23.45,1.18,1.18,-6.43,-6.43,6.00,5.92,4.02,7.18,7.18,7.61
23.69,1.22,1.22,-6.39,-6.39,6.00,5.91,4.14,7.22,7.22,7.61
23.92,1.26,1.26,-6.34,-6.35,6.00,5.90,4.25,7.26,7.26,7.61
24.16,1.30,1.30,-6.30,-6.30,6.00,5.88,4.37,7.30,7.30,7.61
24.40,1.34,1.35,-6.26,-6.26,6.00,5.87,4.49,7.34,7.35,7.61
24.65,1.39,1.39,-6.21,-6.22,6.00,5.85,4.61,7.40,7.39,7.60
24.89,1.42,1.43,-6.18,-6.18,6.01,5.84,4.73,7.43,7.43,7.60
25.14,1.46,1.47,-6.14,-6.14,6.01,5.82,4.85,7.47,7.47,7.60
25.39,1.50,1.50,-6.10,-6.10,6.00,5.81,4.98,7.51,7.50,7.60
25.65,1.54,1.54,-6.06,-6.06,5.99,5.79,5.10,7.54,7.53,7.60
25.91,1.57,1.58,-6.03,-6.02,5.98,5.78,5.23,7.55,7.56,7.60
26.16,1.61,1.61,-5.98,-5.98,5.96,5.76,5.35,7.57,7.57,7.60
26.43,1.65,1.65,-5.94,-5.94,5.94,5.75,5.48,7.59,7.59,7.59
26.69,1.69,1.69,-5.90,-5.90,5.91,5.73,5.60,7.60,7.60,7.59
26.96,1.72,1.73,-5.87,-5.86,5.87,5.71,5.72,7.60,7.60,7.59
27.23,1.76,1.76,-5.83,-5.83,5.84,5.70,5.84,7.60,7.60,7.59
27.50,1.79,1.79,-5.79,-5.79,5.80,5.68,5.96,7.59,7.59,7.59
27.77,1.82,1.82,-5.76,-5.76,5.76,5.66,6.07,7.59,7.59,7.58
28.05,1.85,1.85,-5.73,-5.73,5.73,5.65,6.18,7.58,7.58,7.58
28.33,1.88,1.88,-5.70,-5.70,5.70,5.63,6.28,7.58,7.58,7.58
28.62,1.91,1.92,-5.67,-5.66,5.66,5.61,6.38,7.58,7.58,7.58
28.90,1.95,1.95,-5.62,-5.63,5.63,5.59,6.47,7.59,7.58,7.58
