frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.94,4.94,-2.10,-2.10,2.11,1.78,0.74,7.04,7.04,7.04
20.20,4.95,4.95,-2.09,-2.08,2.09,1.78,0.76,7.04,7.04,7.04
20.40,4.97,4.97,-2.07,-2.07,2.07,1.78,0.79,7.04,7.03,7.04
20.61,4.98,4.98,-2.06,-2.05,2.05,1.78,0.81,7.03,7.03,7.04
20.81,5.00,5.00,-2.04,-2.04,2.03,1.78,0.84,7.03,7.03,7.04
21.02,5.01,5.01,-2.03,-2.02,2.02,1.77,0.86,7.03,7.03,7.03
21.23,5.03,5.03,-2.00,-2.00,2.00,1.77,0.89,7.03,7.03,7.03
21.44,5.05,5.04,-1.98,-1.99,1.99,1.77,0.91,7.03,7.03,7.03
21.66,5.06,5.06,-1.97,-1.97,1.97,1.77,0.94,7.03,7.03,7.03
21.87,5.08,5.08,-1.95,-1.95,1.95,1.77,0.97,7.03,7.03,7.03
22.09,5.10,5.10,-1.93,-1.93,1.94,1.76,1.00,7.04,7.03,7.03
22.31,5.11,5.11,-1.92,-1.92,1.93,1.76,1.03,7.04,7.04,7.03
22.54,5.12,5.12,-1.91,-1.91,1.92,1.76,1.06,7.03,7.03,7.03
22.76,5.12,5.12,-1.91,-1.90,1.91,1.76,1.09,7.02,7.03,7.03
22.99,5.13,5.13,-1.90,-1.90,1.90,1.76,1.12,7.03,7.03,7.03
23.22,5.14,5.13,-1.89,-1.89,1.89,1.75,1.16,7.03,7.02,7.03
23.45,5.14,5.14,-1.89,-1.88,1.88,1.75,1.19,7.02,7.02,7.02
23.69,5.15,5.15,-1.87,-1.87,1.87,1.75,1.22,7.02,7.02,7.02
23.92,5.16,5.16,-1.86,-1.86,1.86,1.75,1.26,7.02,7.02,7.02
24.16,5.18,5.18,-1.84,-1.84,1.84,1.75,1.29,7.02,7.02,7.02
24.40,5.19,5.19,-1.83,-1.83,1.83,1.74,1.33,7.02,7.02,7.02
24.65,5.21,5.21,-1.81,-1.81,1.81,1.74,1.37,7.02,7.02,7.02
24.89,5.22,5.22,-1.80,-1.80,1.80,1.74,1.40,7.02,7.02,7.02
25.14,5.24,5.24,-1.78,-1.78,1.78,1.74,1.44,7.02,7.02,7.02
25.39,5.25,5.25,-1.77,-1.77,1.77,1.73,1.48,7.02,7.02,7.01
25.65,5.26,5.26,-1.75,-1.75,1.76,1.73,1.51,7.02,7.02,7.01
25.91,5.27,5.27,-1.74,-1.74,1.74,1.73,1.55,7.01,7.01,7.01
26.16,5.28,5.28,-1.73,-1.73,1.73,1.73,1.59,7.01,7.01,7.01
26.43,5.28,5.28,-1.73,-1.73,1.72,1.72,1.63,7.00,7.01,7.01
26.69,5.29,5.29,-1.72,-1.72,1.71,1.72,1.66,7.00,7.00,7.01
26.96,5.30,5.30,-1.71,-1.71,1.70,1.72,1.70,7.00,7.00,7.01
27.23,5.31,5.31,-1.69,-1.69,1.69,1.71,1.73,7.00,7.00,7.00
27.50,5.32,5.32,-1.68,-1.68,1.69,1.71,1.77,7.00,7.00,7.00
27.77,5.33,5.33,-1.67,-1.67,1.68,1.71,1.80,7.00,7.00,7.00
28.05,5.33,5.33,-1.67,-1.66,1.67,1.70,1.83,7.00,7.00,7.00
28.33,5.34,5.34,-1.66,-1.66,1.66,1.70,1.86,7.00,7.00,7.00
28.62,5.35,5.34,-1.64,-1.65,1.65,1.70,1.89,7.00,6.99,6.99
28.90,5.35,5.35,-1.64,-1.64,1.64,1.69,1.91,6.99,6.99,6.99
29.19,5.36,5.36,-1.63,-1.63,1.63,1.69,1.94,6.99,6.99,6.99
29.48,5.37,5.37,-1.62,-1.62,1.61,1.69,1.96,6.98,6.98,6.99
29.78,5.38,5.38,-1.60,-1.60,1.60,1.68,1.97,6.98,6.98,6.98
30.08,5.39,5.39,-1.59,-1.59,1.59,1.68,1.99,6.98,6.98,6.98
30.38,5.40,5.40,-1.58,-1.58,1.58,1.68,2.00,6.98,6.98,6.98
30.68,5.41,5.41,-1.57,-1.57,1.57,1.67,2.01,6.98,6.98,6.98
30.99,5.42,5.42,-1.55,-1.56,1.56,1.67,2.02,6.98,6.98,6.97
31.30,5.42,5.42,-1.55,-1.55,1.56,1.66,2.03,6.98,6.98,6.97
31.61,5.42,5.42,-1.55,-1.55,1.55,1.66,2.03,6.97,6.97,6.97
31.93,5.41,5.41,-1.55,-1.55,1.55,1.66,2.03,6.96,6.96,6.96
32.24,5.41,5.41,-1.55,-1.55,1.55,1.65,2.02,6.96,6.96,6.96
32.57,5.40,5.40,-1.56,-1.55,1.55,1.65,2.02,6.95,6.95,6.96
32.89,5.41,5.41,-1.54,-1.55,1.54,1.64,2.01,6.95,6.95,6.95
33.22,5.41,5.41,-1.54,-1.54,1.54,1.64,2.00,6.95,6.95,6.95
33.55,5.41,5.41,-1.54,-1.53,1.53,1.63,1.98,6.94,6.94,6.94
33.89,5.42,5.42,-1.52,-1.52,1.52,1.63,1.96,6.94,6.94,6.94
34.23,5.42,5.42,-1.52,-1.51,1.52,1.62,1.95,6.94,6.94,6.94
34.57,5.43,5.43,-1.50,-1.51,1.51,1.62,1.93,6.94,6.94,6.93
34.92,5.43,5.43,-1.50,-1.50,1.50,1.61,1.90,6.93,6.93,6.93
35.27,5.43,5.43,-1.49,-1.49,1.49,1.61,1.88,6.92,6.92,6.92
35.62,5.43,5.43,-1.49,-1.49,1.49,1.60,1.86,6.92,6.92,6.92
35.97,5.43,5.43,-1.48,-1.48,1.48,1.60,1.83,6.91,6.91,6.91
36.33,5.43,5.43,-1.48,-1.48,1.48,1.59,1.80,6.91,6.91,6.91
36.70,5.43,5.43,-1.47,-1.47,1.47,1.58,1.78,6.90,6.90,6.90
37.06,5.43,5.43,-1.47,-1.47,1.47,1.58,1.75,6.90,6.90,6.90
37.43,5.43,5.43,-1.46,-1.46,1.46,1.57,1.72,6.89,6.89,6.89
37.81,5.43,5.43,-1.46,-1.45,1.46,1.57,1.69,6.89,6.89,6.88
38.19,5.43,5.43,-1.45,-1.45,1.45,1.56,1.67,6.88,6.88,6.88
38.57,5.43,5.43,-1.44,-1.45,1.45,1.55,1.64,6.88,6.87,6.87
38.95,5.42,5.42,-1.45,-1.44,1.44,1.55,1.61,6.86,6.87,6.87
39.34,5.42,5.42,-1.44,-1.44,1.44,1.54,1.58,6.86,6.86,6.86
39.74,5.41,5.41,-1.44,-1.44,1.44,1.53,1.56,6.85,6.85,6.85
40.14,5.41,5.41,-1.43,-1.44,1.43,1.53,1.53,6.84,6.84,6.84
40.54,5.40,5.40,-1.44,-1.43,1.43,1.52,1.51,6.83,6.83,6.84
40.94,5.40,5.40,-1.43,-1.43,1.43,1.51,1.48,6.83,6.83,6.83
41.35,5.40,5.40,-1.42,-1.42,1.42,1.50,1.46,6.82,6.82,6.82
41.76,5.39,5.39,-1.42,-1.42,1.42,1.50,1.44,6.81,6.81,6.81
42.18,5.39,5.39,-1.41,-1.41,1.41,1.49,1.41,6.80,6.80,6.80
42.60,5.38,5.38,-1.41,-1.41,1.41,1.48,1.39,6.79,6.79,6.79
43.03,5.38,5.38,-1.40,-1.41,1.40,1.47,1.37,6.78,6.78,6.78
43.46,5.37,5.37,-1.40,-1.40,1.40,1.46,1.36,6.77,6.77,6.77
43.90,5.37,5.37,-1.39,-1.39,1.39,1.45,1.34,6.76,6.76,6.76
44.33,5.37,5.36,-1.38,-1.39,1.38,1.44,1.32,6.75,6.75,6.75
44.78,5.36,5.36,-1.38,-1.38,1.38,1.43,1.31,6.74,6.74,6.74
45.23,5.36,5.36,-1.37,-1.37,1.37,1.43,1.29,6.73,6.73,6.73
45.68,5.36,5.36,-1.36,-1.36,1.36,1.42,1.28,6.72,6.72,6.72
46.13,5.35,5.35,-1.35,-1.35,1.36,1.41,1.27,6.71,6.70,6.70
46.60,5.34,5.34,-1.35,-1.35,1.35,1.40,1.26,6.69,6.69,6.69
47.06,5.33,5.33,-1.35,-1.34,1.34,1.39,1.25,6.67,6.67,6.68
47.53,5.33,5.32,-1.33,-1.34,1.33,1.37,1.24,6.66,6.66,6.66
48.01,5.32,5.32,-1.33,-1.33,1.33,1.36,1.23,6.65,6.65,6.65
48.49,5.31,5.31,-1.32,-1.32,1.32,1.35,1.22,6.63,6.63,6.63
48.97,5.31,5.31,-1.31,-1.31,1.32,1.34,1.21,6.62,6.62,6.62
49.46,5.30,5.30,-1.30,-1.30,1.31,1.33,1.21,6.61,6.61,6.60
49.96,5.29,5.29,-1.30,-1.30,1.30,1.32,1.20,6.59,6.59,6.59
50.46,5.27,5.27,-1.30,-1.30,1.30,1.31,1.20,6.57,6.57,6.57
50.96,5.26,5.26,-1.29,-1.29,1.29,1.29,1.19,6.55,6.55,6.55
51.47,5.25,5.25,-1.28,-1.29,1.28,1.28,1.19,6.53,6.53,6.53
51.99,5.24,5.24,-1.28,-1.28,1.27,1.27,1.19,6.51,6.51,6.52
52.51,5.23,5.23,-1.27,-1.27,1.26,1.25,1.18,6.49,6.49,6.50
53.03,5.22,5.22,-1.26,-1.26,1.25,1.24,1.18,6.47,6.47,6.48
53.56,5.21,5.21,-1.25,-1.24,1.24,1.23,1.18,6.45,6.45,6.46
54.10,5.21,5.21,-1.22,-1.23,1.23,1.21,1.17,6.44,6.44,6.43
54.64,5.20,5.20,-1.21,-1.21,1.22,1.20,1.17,6.42,6.42,6.41
55.18,5.19,5.19,-1.20,-1.20,1.21,1.18,1.17,6.40,6.40,6.39
55.74,5.17,5.17,-1.20,-1.20,1.20,1.17,1.16,6.37,6.37,6.37
56.29,5.15,5.15,-1.19,-1.19,1.19,1.15,1.16,6.34,6.34,6.34
56.86,5.14,5.14,-1.18,-1.18,1.17,1.13,1.15,6.31,6.31,6.32
57.42,5.13,5.13,-1.16,-1.16,1.15,1.12,1.15,6.28,6.28,6.29
58.00,5.12,5.12,-1.15,-1.15,1.14,1.10,1.14,6.26,6.25,6.27
58.58,5.11,5.11,-1.13,-1.12,1.12,1.08,1.13,6.23,6.23,6.24
59.16,5.11,5.11,-1.10,-1.10,1.10,1.07,1.12,6.21,6.22,6.21
59.76,5.12,5.11,-1.06,-1.07,1.09,1.05,1.11,6.21,6.20,6.18
60.35,5.10,5.10,-1.05,-1.06,1.07,1.03,1.10,6.17,6.17,6.15
60.96,5.07,5.07,-1.05,-1.05,1.06,1.01,1.09,6.13,6.12,6.12
61.57,5.03,5.04,-1.06,-1.05,1.04,0.99,1.07,6.07,6.08,6.09
62.18,5.01,5.01,-1.05,-1.04,1.03,0.97,1.06,6.04,6.04,6.06
62.80,5.01,5.00,-1.01,-1.02,1.01,0.95,1.04,6.02,6.01,6.02
63.43,4.99,4.99,-1.00,-1.00,1.00,0.93,1.02,5.99,5.99,5.99
64.07,4.98,4.98,-0.97,-0.98,0.98,0.91,1.00,5.96,5.96,5.95
64.71,4.96,4.96,-0.96,-0.96,0.96,0.89,0.98,5.92,5.92,5.92
65.35,4.95,4.95,-0.93,-0.94,0.94,0.87,0.95,5.89,5.88,5.88
66.01,4.93,4.93,-0.91,-0.91,0.91,0.84,0.93,5.84,5.84,5.84
66.67,4.91,4.91,-0.89,-0.89,0.89,0.82,0.90,5.80,5.81,5.80
67.33,4.90,4.90,-0.86,-0.87,0.87,0.80,0.87,5.77,5.77,5.76
68.01,4.88,4.87,-0.84,-0.85,0.85,0.77,0.84,5.73,5.72,5.72
68.69,4.85,4.85,-0.83,-0.83,0.82,0.75,0.81,5.67,5.68,5.68
69.37,4.83,4.83,-0.81,-0.80,0.80,0.73,0.78,5.63,5.63,5.64
70.07,4.82,4.82,-0.77,-0.78,0.78,0.70,0.74,5.60,5.59,5.59
70.77,4.81,4.80,-0.74,-0.75,0.75,0.67,0.71,5.56,5.55,5.55
71.48,4.78,4.78,-0.72,-0.72,0.72,0.65,0.67,5.50,5.51,5.50
72.19,4.76,4.76,-0.70,-0.70,0.70,0.62,0.64,5.46,5.45,5.46
72.91,4.73,4.73,-0.68,-0.67,0.67,0.59,0.60,5.40,5.40,5.41
73.64,4.72,4.72,-0.64,-0.64,0.64,0.57,0.56,5.36,5.35,5.36
74.38,4.70,4.70,-0.61,-0.61,0.61,0.54,0.52,5.30,5.30,5.31
75.12,4.69,4.68,-0.57,-0.57,0.57,0.51,0.49,5.26,5.26,5.26
75.87,4.66,4.67,-0.54,-0.54,0.54,0.48,0.45,5.20,5.21,5.20
