frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.76,6.76,-0.52,-0.52,0.51,0.66,0.40,7.27,7.27,7.28
20.20,6.76,6.76,-0.52,-0.52,0.52,0.67,0.41,7.28,7.28,7.28
20.40,6.75,6.75,-0.53,-0.53,0.53,0.67,0.42,7.28,7.28,7.28
20.61,6.75,6.75,-0.53,-0.53,0.54,0.68,0.43,7.29,7.29,7.28
20.81,6.74,6.74,-0.54,-0.54,0.55,0.68,0.45,7.29,7.29,7.28
21.02,6.73,6.73,-0.55,-0.55,0.56,0.69,0.46,7.29,7.29,7.28
21.23,6.72,6.72,-0.56,-0.56,0.56,0.69,0.47,7.28,7.28,7.28
21.44,6.71,6.71,-0.57,-0.57,0.57,0.70,0.49,7.28,7.28,7.28
21.66,6.69,6.69,-0.59,-0.58,0.58,0.71,0.50,7.28,7.28,7.28
21.87,6.68,6.68,-0.60,-0.60,0.59,0.71,0.52,7.28,7.28,7.28
22.09,6.67,6.67,-0.61,-0.61,0.60,0.72,0.53,7.27,7.27,7.28
22.31,6.66,6.66,-0.61,-0.62,0.61,0.72,0.55,7.27,7.27,7.28
22.54,6.65,6.65,-0.62,-0.62,0.61,0.73,0.56,7.27,7.27,7.27
22.76,6.65,6.65,-0.62,-0.62,0.62,0.74,0.58,7.27,7.27,7.27
22.99,6.65,6.65,-0.62,-0.62,0.62,0.74,0.60,7.27,7.27,7.27
23.22,6.65,6.65,-0.62,-0.62,0.62,0.75,0.61,7.27,7.28,7.27
23.45,6.65,6.65,-0.62,-0.62,0.63,0.76,0.63,7.28,7.28,7.27
23.69,6.64,6.64,-0.63,-0.63,0.64,0.76,0.65,7.28,7.28,7.27
23.92,6.62,6.63,-0.65,-0.64,0.65,0.77,0.67,7.27,7.28,7.27
24.16,6.61,6.60,-0.66,-0.66,0.67,0.78,0.68,7.28,7.27,7.27
24.40,6.58,6.58,-0.69,-0.69,0.69,0.79,0.70,7.27,7.27,7.27
24.65,6.55,6.56,-0.71,-0.71,0.71,0.79,0.72,7.26,7.26,7.26
24.89,6.53,6.53,-0.73,-0.73,0.73,0.80,0.74,7.26,7.26,7.26
25.14,6.51,6.51,-0.75,-0.75,0.75,0.81,0.76,7.26,7.26,7.26
25.39,6.49,6.49,-0.77,-0.77,0.77,0.82,0.78,7.26,7.26,7.26
25.65,6.47,6.47,-0.79,-0.79,0.78,0.83,0.80,7.25,7.25,7.26
25.91,6.46,6.46,-0.80,-0.80,0.79,0.83,0.82,7.26,7.26,7.26
26.16,6.45,6.45,-0.81,-0.81,0.81,0.84,0.84,7.26,7.26,7.26
26.43,6.44,6.44,-0.81,-0.82,0.82,0.85,0.86,7.26,7.26,7.25
26.69,6.42,6.42,-0.83,-0.83,0.83,0.86,0.88,7.25,7.26,7.25
26.96,6.41,6.41,-0.84,-0.84,0.85,0.87,0.90,7.26,7.25,7.25
27.23,6.39,6.39,-0.86,-0.86,0.86,0.88,0.92,7.25,7.25,7.25
27.50,6.37,6.37,-0.88,-0.88,0.88,0.89,0.94,7.25,7.25,7.25
27.77,6.35,6.35,-0.90,-0.89,0.89,0.90,0.96,7.24,7.24,7.25
28.05,6.33,6.33,-0.91,-0.91,0.91,0.91,0.97,7.24,7.24,7.24
28.33,6.31,6.31,-0.93,-0.93,0.93,0.92,0.99,7.24,7.24,7.24
