frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.52,5.52,-3.22,-3.22,3.22,3.10,1.32,8.75,8.75,8.74
20.20,5.53,5.53,-3.21,-3.21,3.22,3.10,1.36,8.75,8.75,8.74
20.40,5.53,5.54,-3.21,-3.21,3.21,3.09,1.40,8.74,8.74,8.74
20.61,5.54,5.54,-3.20,-3.20,3.20,3.09,1.44,8.74,8.74,8.74
20.81,5.55,5.55,-3.19,-3.19,3.19,3.09,1.48,8.74,8.74,8.74
21.02,5.55,5.55,-3.19,-3.19,3.18,3.09,1.53,8.73,8.74,8.74
21.23,5.56,5.56,-3.18,-3.18,3.17,3.08,1.57,8.73,8.74,8.74
21.44,5.57,5.57,-3.17,-3.17,3.16,3.08,1.62,8.73,8.74,8.74
21.66,5.59,5.59,-3.15,-3.15,3.15,3.08,1.67,8.74,8.74,8.74
21.87,5.60,5.60,-3.14,-3.14,3.14,3.07,1.72,8.74,8.74,8.74
22.09,5.61,5.61,-3.13,-3.12,3.13,3.07,1.77,8.74,8.74,8.74
22.31,5.62,5.62,-3.11,-3.11,3.11,3.07,1.82,8.74,8.74,8.74
22.54,5.63,5.63,-3.10,-3.10,3.10,3.06,1.87,8.74,8.74,8.74
22.76,5.64,5.64,-3.09,-3.09,3.09,3.06,1.93,8.74,8.74,8.73
22.99,5.65,5.65,-3.08,-3.08,3.09,3.06,1.98,8.74,8.74,8.73
23.22,5.65,5.66,-3.08,-3.08,3.08,3.05,2.04,8.73,8.73,8.73
23.45,5.66,5.66,-3.07,-3.07,3.07,3.05,2.10,8.73,8.73,8.73
23.69,5.66,5.66,-3.07,-3.07,3.06,3.05,2.16,8.72,8.73,8.73
23.92,5.67,5.67,-3.06,-3.06,3.05,3.04,2.22,8.73,8.73,8.73
24.16,5.68,5.68,-3.05,-3.05,3.04,3.04,2.28,8.73,8.73,8.73
24.40,5.69,5.69,-3.03,-3.03,3.03,3.03,2.35,8.73,8.73,8.73
24.65,5.70,5.70,-3.02,-3.02,3.02,3.03,2.41,8.73,8.73,8.73
