frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.64,-3.65,-10.84,-10.84,6.00,6.33,2.78,2.36,2.35,7.19
20.20,-3.54,-3.53,-10.73,-10.73,6.00,6.31,2.86,2.46,2.47,7.19
20.40,-3.43,-3.43,-10.62,-10.62,6.00,6.30,2.94,2.57,2.57,7.19
20.61,-3.33,-3.34,-10.53,-10.53,6.00,6.29,3.02,2.67,2.66,7.19
20.81,-3.25,-3.25,-10.44,-10.45,6.00,6.27,3.11,2.75,2.75,7.19
21.02,-3.19,-3.19,-10.38,-10.38,6.00,6.26,3.20,2.81,2.81,7.19
21.23,-3.13,-3.13,-10.32,-10.32,6.00,6.25,3.29,2.87,2.87,7.19
21.44,-3.07,-3.07,-10.26,-10.26,6.00,6.23,3.38,2.93,2.93,7.19
21.66,-3.01,-3.01,-10.20,-10.20,6.00,6.22,3.48,2.99,2.99,7.19
21.87,-2.94,-2.94,-10.13,-10.13,6.00,6.21,3.58,3.06,3.06,7.19
22.09,-2.86,-2.86,-10.05,-10.05,6.00,6.19,3.68,3.14,3.14,7.19
22.31,-2.77,-2.77,-9.96,-9.96,6.00,6.18,3.79,3.23,3.23,7.19
22.54,-2.67,-2.67,-9.86,-9.86,6.00,6.17,3.89,3.33,3.33,7.19
22.76,-2.57,-2.57,-9.75,-9.75,6.00,6.15,4.01,3.43,3.43,7.18
22.99,-2.46,-2.46,-9.64,-9.64,6.00,6.14,4.12,3.54,3.54,7.18
23.22,-2.35,-2.35,-9.53,-9.53,6.00,6.12,4.23,3.65,3.65,7.18
23.45,-2.24,-2.24,-9.42,-9.42,6.00,6.11,4.35,3.76,3.76,7.18
23.69,-2.13,-2.13,-9.31,-9.31,6.00,6.10,4.47,3.87,3.87,7.18
23.92,-2.03,-2.03,-9.21,-9.21,6.00,6.08,4.60,3.97,3.97,7.18
24.16,-1.95,-1.95,-9.13,-9.12,6.00,6.07,4.72,4.05,4.05,7.18
24.40,-1.87,-1.87,-9.05,-9.05,6.00,6.06,4.85,4.13,4.13,7.18
24.65,-1.81,-1.81,-8.99,-8.99,6.00,6.04,4.98,4.19,4.19,7.18
24.89,-1.76,-1.76,-8.93,-8.94,6.00,6.03,5.11,4.24,4.24,7.17
25.14,-1.71,-1.71,-8.88,-8.88,6.00,6.02,5.25,4.29,4.29,7.17
25.39,-1.65,-1.64,-8.82,-8.82,6.00,6.01,5.38,4.35,4.36,7.17
25.65,-1.56,-1.56,-8.73,-8.73,6.00,6.00,5.52,4.44,4.44,7.17
25.91,-1.46,-1.46,-8.63,-8.63,6.00,5.98,5.65,4.54,4.54,7.17
26.16,-1.35,-1.35,-8.52,-8.51,6.00,5.97,5.79,4.65,4.65,7.17
