frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,17.75,17.75,8.90,8.89,-8.90,-8.27,-4.08,8.86,8.85,8.86
20.20,17.75,17.76,8.90,8.90,-8.90,-8.27,-4.20,8.85,8.86,8.86
20.40,17.76,17.76,8.91,8.90,-8.90,-8.27,-4.31,8.86,8.86,8.86
20.61,17.76,17.76,8.91,8.91,-8.91,-8.27,-4.42,8.86,8.86,8.86
20.81,17.76,17.76,8.91,8.91,-8.91,-8.28,-4.54,8.86,8.86,8.86
21.02,17.76,17.76,8.91,8.91,-8.91,-8.28,-4.67,8.85,8.85,8.85
21.23,17.76,17.76,8.91,8.91,-8.91,-8.28,-4.79,8.85,8.85,8.85
21.44,17.76,17.76,8.91,8.91,-8.91,-8.28,-4.92,8.85,8.85,8.85
21.66,17.76,17.76,8.91,8.91,-8.91,-8.29,-5.05,8.85,8.85,8.85
21.87,17.76,17.76,8.91,8.91,-8.91,-8.29,-5.19,8.85,8.85,8.85
22.09,17.76,17.76,8.91,8.91,-8.91,-8.29,-5.33,8.85,8.85,8.85
22.31,17.76,17.76,8.91,8.91,-8.91,-8.30,-5.48,8.85,8.85,8.85
22.54,17.76,17.76,8.92,8.92,-8.92,-8.30,-5.62,8.85,8.85,8.85
22.76,17.76,17.76,8.92,8.92,-8.92,-8.30,-5.77,8.85,8.85,8.85
22.99,17.76,17.76,8.92,8.92,-8.91,-8.31,-5.93,8.85,8.85,8.85
23.22,17.76,17.76,8.92,8.91,-8.91,-8.31,-6.09,8.85,8.85,8.85
23.45,17.75,17.76,8.91,8.91,-8.91,-8.31,-6.25,8.84,8.85,8.84
23.69,17.75,17.75,8.91,8.91,-8.91,-8.32,-6.42,8.84,8.84,8.84
23.92,17.75,17.75,8.91,8.91,-8.91,-8.32,-6.59,8.84,8.84,8.84
24.16,17.74,17.75,8.90,8.91,-8.91,-8.32,-6.76,8.84,8.84,8.84
24.40,17.74,17.74,8.90,8.90,-8.90,-8.33,-6.94,8.84,8.84,8.84
24.65,17.74,17.74,8.90,8.90,-8.90,-8.33,-7.12,8.84,8.84,8.84
24.89,17.73,17.74,8.90,8.90,-8.90,-8.33,-7.31,8.83,8.84,8.84
25.14,17.73,17.73,8.90,8.90,-8.90,-8.34,-7.49,8.84,8.84,8.84
25.39,17.73,17.73,8.90,8.90,-8.90,-8.34,-7.68,8.84,8.83,8.83
