frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.06,10.06,2.80,2.80,-2.80,-2.59,-0.91,7.26,7.26,7.27
20.20,10.04,10.05,2.78,2.78,-2.78,-2.59,-0.94,7.26,7.26,7.27
20.40,10.03,10.03,2.77,2.77,-2.76,-2.58,-0.97,7.27,7.27,7.26
20.61,10.01,10.01,2.75,2.75,-2.74,-2.57,-1.00,7.27,7.27,7.26
20.81,9.99,9.99,2.73,2.73,-2.72,-2.56,-1.03,7.27,7.27,7.26
21.02,9.97,9.97,2.71,2.71,-2.70,-2.55,-1.06,7.27,7.27,7.26
21.23,9.94,9.95,2.68,2.69,-2.69,-2.54,-1.09,7.26,7.26,7.26
21.44,9.92,9.92,2.66,2.66,-2.67,-2.53,-1.13,7.26,7.26,7.26
21.66,9.90,9.90,2.64,2.64,-2.65,-2.52,-1.16,7.26,7.25,7.26
21.87,9.88,9.89,2.62,2.63,-2.63,-2.51,-1.20,7.25,7.26,7.26
22.09,9.87,9.87,2.62,2.61,-2.61,-2.50,-1.23,7.26,7.26,7.26
22.31,9.85,9.86,2.60,2.60,-2.60,-2.48,-1.27,7.26,7.26,7.26
22.54,9.84,9.84,2.59,2.58,-2.58,-2.47,-1.31,7.26,7.26,7.26
22.76,9.82,9.82,2.57,2.57,-2.57,-2.46,-1.34,7.26,7.26,7.26
22.99,9.80,9.81,2.55,2.55,-2.55,-2.45,-1.38,7.25,7.25,7.25
23.22,9.78,9.79,2.53,2.53,-2.53,-2.44,-1.42,7.25,7.25,7.25
23.45,9.77,9.77,2.52,2.52,-2.52,-2.43,-1.47,7.26,7.25,7.25
23.69,9.75,9.75,2.50,2.50,-2.50,-2.41,-1.51,7.26,7.25,7.25
23.92,9.72,9.73,2.47,2.48,-2.48,-2.40,-1.55,7.25,7.25,7.25
24.16,9.70,9.70,2.45,2.45,-2.46,-2.39,-1.59,7.25,7.25,7.25
24.40,9.68,9.68,2.44,2.44,-2.44,-2.37,-1.64,7.25,7.25,7.25
24.65,9.66,9.66,2.42,2.42,-2.42,-2.36,-1.68,7.25,7.25,7.25
24.89,9.64,9.64,2.40,2.39,-2.39,-2.35,-1.73,7.25,7.25,7.25
25.14,9.61,9.62,2.37,2.37,-2.37,-2.33,-1.77,7.24,7.24,7.24
25.39,9.59,9.59,2.35,2.35,-2.35,-2.32,-1.82,7.24,7.24,7.24
25.65,9.57,9.57,2.33,2.33,-2.33,-2.30,-1.86,7.24,7.24,7.24
25.91,9.55,9.55,2.31,2.31,-2.31,-2.29,-1.91,7.24,7.24,7.24
26.16,9.53,9.53,2.30,2.29,-2.29,-2.27,-1.95,7.24,7.24,7.24
26.43,9.50,9.51,2.27,2.27,-2.27,-2.26,-2.00,7.23,7.24,7.24
