frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.63,7.62,4.18,4.17,-4.18,-4.18,-1.96,3.44,3.44,3.45
20.20,7.65,7.65,4.17,4.17,-4.17,-4.18,-2.02,3.47,3.48,3.48
20.40,7.68,7.68,4.17,4.17,-4.16,-4.19,-2.08,3.51,3.51,3.51
20.61,7.70,7.70,4.17,4.16,-4.15,-4.19,-2.14,3.54,3.54,3.53
20.81,7.72,7.71,4.16,4.15,-4.15,-4.20,-2.20,3.57,3.57,3.56
21.02,7.73,7.73,4.14,4.15,-4.14,-4.20,-2.27,3.58,3.58,3.59
21.23,7.74,7.74,4.14,4.14,-4.14,-4.20,-2.33,3.60,3.60,3.60
21.44,7.75,7.75,4.14,4.14,-4.14,-4.21,-2.40,3.61,3.61,3.61
21.66,7.76,7.76,4.14,4.14,-4.14,-4.21,-2.47,3.62,3.62,3.62
21.87,7.77,7.76,4.15,4.14,-4.14,-4.21,-2.54,3.63,3.62,3.62
22.09,7.77,7.77,4.14,4.15,-4.15,-4.22,-2.62,3.62,3.62,3.63
22.31,7.78,7.78,4.15,4.15,-4.16,-4.22,-2.69,3.62,3.62,3.63
22.54,7.79,7.79,4.16,4.16,-4.17,-4.23,-2.77,3.62,3.62,3.62
22.76,7.80,7.80,4.17,4.18,-4.18,-4.23,-2.85,3.61,3.62,3.62
22.99,7.82,7.82,4.20,4.20,-4.20,-4.23,-2.93,3.62,3.62,3.61
23.22,7.84,7.83,4.22,4.22,-4.22,-4.24,-3.02,3.62,3.61,3.61
23.45,7.86,7.86,4.25,4.25,-4.24,-4.24,-3.10,3.61,3.61,3.61
23.69,7.88,7.88,4.27,4.27,-4.27,-4.25,-3.19,3.61,3.61,3.61
23.92,7.91,7.90,4.30,4.29,-4.29,-4.25,-3.28,3.62,3.61,3.61
24.16,7.93,7.93,4.31,4.31,-4.31,-4.25,-3.37,3.61,3.62,3.62
24.40,7.95,7.95,4.33,4.33,-4.33,-4.26,-3.46,3.62,3.62,3.62
24.65,7.97,7.96,4.36,4.35,-4.35,-4.26,-3.56,3.62,3.61,3.61
24.89,7.98,7.98,4.37,4.37,-4.37,-4.27,-3.65,3.61,3.61,3.61
25.14,7.99,7.99,4.38,4.38,-4.38,-4.27,-3.74,3.60,3.61,3.61
25.39,8.00,8.00,4.39,4.39,-4.40,-4.27,-3.84,3.60,3.60,3.60
25.65,8.01,8.00,4.40,4.40,-4.41,-4.28,-3.94,3.60,3.60,3.60
25.91,8.01,8.01,4.41,4.41,-4.42,-4.28,-4.03,3.59,3.60,3.59
26.16,8.02,8.01,4.43,4.42,-4.42,-4.29,-4.13,3.60,3.59,3.59
26.43,8.02,8.02,4.43,4.43,-4.42,-4.29,-4.22,3.59,3.59,3.59
26.69,8.02,8.02,4.43,4.43,-4.42,-4.29,-4.32,3.59,3.59,3.59
26.96,8.02,8.01,4.43,4.43,-4.42,-4.30,-4.41,3.59,3.59,3.59
27.23,8.01,8.01,4.42,4.42,-4.42,-4.30,-4.50,3.59,3.59,3.59
27.50,8.00,8.00,4.41,4.41,-4.42,-4.31,-4.59,3.58,3.58,3.59
27.77,7.99,7.99,4.41,4.41,-4.42,-4.31,-4.68,3.57,3.57,3.57
28.05,7.98,7.98,4.40,4.41,-4.42,-4.31,-4.76,3.56,3.56,3.57
28.33,7.98,7.98,4.42,4.41,-4.42,-4.32,-4.84,3.56,3.56,3.56
28.62,7.98,7.98,4.42,4.42,-4.42,-4.32,-4.91,3.56,3.56,3.56
28.90,7.98,7.98,4.42,4.42,-4.42,-4.32,-4.98,3.55,3.56,3.56
29.19,7.98,7.98,4.43,4.43,-4.43,-4.33,-5.04,3.55,3.55,3.55
29.48,7.99,7.98,4.43,4.43,-4.43,-4.33,-5.10,3.56,3.55,3.55
29.78,7.98,7.98,4.43,4.44,-4.43,-4.33,-5.15,3.55,3.55,3.54
30.08,7.98,7.97,4.44,4.43,-4.43,-4.34,-5.19,3.55,3.54,3.54
30.38,7.96,7.96,4.43,4.43,-4.43,-4.34,-5.23,3.53,3.53,3.53
30.68,7.95,7.95,4.42,4.42,-4.42,-4.34,-5.26,3.52,3.52,3.53
30.99,7.94,7.93,4.42,4.42,-4.42,-4.34,-5.28,3.52,3.52,3.51
31.30,7.92,7.92,4.40,4.41,-4.41,-4.35,-5.29,3.51,3.51,3.51
31.61,7.91,7.90,4.40,4.40,-4.40,-4.35,-5.30,3.51,3.51,3.51
31.93,7.89,7.89,4.39,4.39,-4.39,-4.35,-5.30,3.50,3.50,3.50
32.24,7.87,7.87,4.38,4.38,-4.38,-4.35,-5.29,3.49,3.49,3.49
32.57,7.85,7.85,4.36,4.36,-4.36,-4.35,-5.27,3.48,3.48,3.48
32.89,7.83,7.83,4.35,4.35,-4.35,-4.36,-5.25,3.47,3.47,3.48
33.22,7.81,7.81,4.34,4.34,-4.34,-4.36,-5.22,3.47,3.47,3.47
33.55,7.79,7.79,4.32,4.33,-4.33,-4.36,-5.18,3.46,3.46,3.46
33.89,7.78,7.77,4.32,4.32,-4.32,-4.36,-5.14,3.46,3.45,3.45
34.23,7.76,7.76,4.31,4.31,-4.31,-4.36,-5.09,3.45,3.45,3.45
34.57,7.74,7.74,4.30,4.30,-4.30,-4.36,-5.04,3.44,3.44,3.44
34.92,7.72,7.72,4.29,4.29,-4.29,-4.36,-4.98,3.43,3.43,3.42
35.27,7.70,7.70,4.28,4.28,-4.28,-4.36,-4.92,3.41,3.41,3.42
35.62,7.68,7.68,4.27,4.27,-4.27,-4.36,-4.86,3.40,3.40,3.41
35.97,7.66,7.66,4.26,4.26,-4.26,-4.36,-4.79,3.40,3.40,3.39
36.33,7.64,7.64,4.25,4.25,-4.25,-4.36,-4.72,3.39,3.39,3.39
36.70,7.61,7.61,4.23,4.24,-4.23,-4.35,-4.66,3.38,3.38,3.37
37.06,7.59,7.58,4.23,4.22,-4.21,-4.35,-4.59,3.37,3.37,3.36
37.43,7.55,7.55,4.19,4.20,-4.19,-4.35,-4.51,3.35,3.36,3.36
37.81,7.52,7.52,4.18,4.17,-4.17,-4.35,-4.44,3.35,3.34,3.34
38.19,7.48,7.48,4.15,4.15,-4.15,-4.34,-4.37,3.33,3.33,3.33
38.57,7.45,7.44,4.12,4.12,-4.13,-4.34,-4.30,3.32,3.31,3.32
38.95,7.41,7.41,4.10,4.10,-4.11,-4.33,-4.24,3.30,3.30,3.31
39.34,7.38,7.38,4.08,4.09,-4.09,-4.33,-4.17,3.28,3.29,3.29
39.74,7.36,7.35,4.08,4.07,-4.08,-4.32,-4.10,3.28,3.28,3.28
40.14,7.33,7.33,4.06,4.06,-4.06,-4.32,-4.04,3.27,3.27,3.27
40.54,7.31,7.31,4.05,4.05,-4.04,-4.31,-3.97,3.26,3.26,3.26
40.94,7.29,7.28,4.04,4.04,-4.03,-4.30,-3.91,3.26,3.25,3.25
41.35,7.26,7.26,4.02,4.02,-4.02,-4.29,-3.86,3.24,3.24,3.23
41.76,7.23,7.23,4.00,4.00,-4.00,-4.28,-3.80,3.23,3.23,3.23
42.18,7.20,7.20,3.97,3.98,-3.98,-4.27,-3.75,3.21,3.22,3.22
42.60,7.18,7.17,3.97,3.96,-3.96,-4.26,-3.69,3.21,3.21,3.21
43.03,7.14,7.14,3.94,3.94,-3.95,-4.25,-3.65,3.19,3.19,3.20
43.46,7.11,7.11,3.93,3.93,-3.93,-4.24,-3.60,3.18,3.18,3.18
43.90,7.07,7.07,3.91,3.91,-3.91,-4.22,-3.56,3.16,3.16,3.15
44.33,7.03,7.03,3.89,3.89,-3.89,-4.21,-3.52,3.13,3.14,3.14
44.78,6.99,6.99,3.87,3.87,-3.87,-4.19,-3.48,3.11,3.12,3.12
