frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.12,-6.12,-8.53,-8.54,6.00,6.29,2.54,-0.12,-0.12,2.42
20.20,-6.05,-6.04,-8.49,-8.48,6.00,6.27,2.62,-0.05,-0.04,2.45
20.40,-5.97,-5.96,-8.44,-8.44,6.00,6.25,2.69,0.03,0.04,2.48
20.61,-5.90,-5.90,-8.39,-8.40,6.00,6.24,2.77,0.10,0.10,2.50
20.81,-5.84,-5.84,-8.36,-8.37,6.00,6.22,2.85,0.16,0.16,2.53
21.02,-5.80,-5.79,-8.35,-8.34,6.00,6.20,2.93,0.20,0.21,2.55
21.23,-5.76,-5.75,-8.32,-8.32,6.00,6.19,3.01,0.24,0.25,2.56
21.44,-5.71,-5.71,-8.28,-8.28,6.00,6.17,3.10,0.29,0.29,2.57
21.66,-5.66,-5.66,-8.24,-8.24,6.00,6.15,3.19,0.34,0.34,2.58
21.87,-5.59,-5.59,-8.18,-8.18,6.00,6.13,3.28,0.41,0.41,2.58
22.09,-5.52,-5.51,-8.11,-8.10,6.00,6.11,3.38,0.48,0.49,2.59
22.31,-5.41,-5.42,-8.01,-8.01,6.00,6.09,3.48,0.59,0.58,2.59
22.54,-5.31,-5.31,-7.90,-7.90,6.00,6.07,3.57,0.69,0.69,2.59
22.76,-5.20,-5.20,-7.78,-7.78,6.00,6.05,3.68,0.80,0.80,2.59
22.99,-5.09,-5.08,-7.67,-7.67,6.00,6.03,3.78,0.91,0.92,2.58
23.22,-4.98,-4.98,-7.55,-7.56,6.00,6.01,3.89,1.02,1.02,2.58
23.45,-4.89,-4.89,-7.46,-7.46,6.00,5.99,4.00,1.11,1.11,2.58
23.69,-4.81,-4.81,-7.38,-7.38,6.00,5.97,4.11,1.19,1.19,2.58
23.92,-4.74,-4.73,-7.31,-7.31,6.00,5.95,4.22,1.26,1.27,2.58
24.16,-4.67,-4.67,-7.25,-7.25,6.00,5.93,4.34,1.33,1.33,2.59
24.40,-4.61,-4.61,-7.19,-7.19,6.00,5.90,4.46,1.39,1.39,2.58
24.65,-4.56,-4.55,-7.13,-7.13,6.00,5.88,4.58,1.44,1.45,2.57
24.89,-4.49,-4.49,-7.07,-7.07,6.00,5.86,4.70,1.51,1.51,2.57
25.14,-4.43,-4.43,-7.00,-7.00,6.00,5.83,4.82,1.57,1.57,2.57
