frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.13,-7.13,-10.88,-10.88,6.00,5.07,2.49,-1.13,-1.13,3.75
20.20,-7.00,-7.00,-10.78,-10.78,6.00,5.07,2.56,-1.00,-1.00,3.77
20.40,-6.88,-6.88,-10.69,-10.69,6.00,5.07,2.63,-0.88,-0.88,3.80
20.61,-6.76,-6.76,-10.59,-10.59,6.00,5.06,2.71,-0.76,-0.76,3.82
20.81,-6.65,-6.65,-10.50,-10.51,6.00,5.06,2.79,-0.65,-0.65,3.85
21.02,-6.54,-6.54,-10.43,-10.42,6.00,5.06,2.87,-0.54,-0.54,3.88
21.23,-6.43,-6.43,-10.32,-10.32,6.00,5.06,2.95,-0.43,-0.43,3.89
21.44,-6.31,-6.31,-10.21,-10.22,6.00,5.05,3.03,-0.31,-0.31,3.90
21.66,-6.18,-6.18,-10.10,-10.09,6.00,5.05,3.12,-0.18,-0.18,3.91
21.87,-6.04,-6.04,-9.95,-9.95,6.00,5.05,3.21,-0.04,-0.04,3.91
22.09,-5.88,-5.89,-9.80,-9.80,6.00,5.05,3.30,0.12,0.11,3.92
22.31,-5.73,-5.73,-9.65,-9.65,6.00,5.04,3.40,0.27,0.27,3.92
22.54,-5.58,-5.58,-9.50,-9.50,6.00,5.04,3.49,0.42,0.42,3.92
22.76,-5.43,-5.44,-9.35,-9.35,6.00,5.04,3.60,0.57,0.56,3.92
22.99,-5.29,-5.29,-9.20,-9.20,6.00,5.03,3.70,0.71,0.71,3.91
23.22,-5.15,-5.15,-9.06,-9.06,6.00,5.03,3.80,0.85,0.85,3.91
23.45,-5.00,-5.00,-8.91,-8.91,6.00,5.03,3.91,1.00,1.00,3.91
23.69,-4.85,-4.85,-8.76,-8.76,6.00,5.02,4.02,1.15,1.15,3.91
23.92,-4.69,-4.69,-8.59,-8.60,6.00,5.02,4.13,1.31,1.31,3.90
24.16,-4.53,-4.53,-8.44,-8.44,6.00,5.02,4.24,1.47,1.47,3.91
24.40,-4.37,-4.37,-8.28,-8.28,6.00,5.01,4.36,1.63,1.63,3.91
24.65,-4.21,-4.21,-8.12,-8.12,6.00,5.01,4.48,1.79,1.79,3.90
24.89,-4.06,-4.06,-7.96,-7.96,6.00,5.00,4.59,1.94,1.94,3.90
25.14,-3.92,-3.92,-7.82,-7.82,6.00,5.00,4.71,2.08,2.08,3.90
25.39,-3.80,-3.80,-7.70,-7.70,6.00,5.00,4.83,2.20,2.20,3.90
25.65,-3.69,-3.69,-7.59,-7.58,6.00,4.99,4.96,2.31,2.31,3.90
