frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.20,-4.20,-4.65,-4.65,4.64,5.00,2.21,0.44,0.44,0.46
20.20,-4.21,-4.20,-4.69,-4.69,4.69,5.00,2.28,0.48,0.49,0.49
20.40,-4.21,-4.21,-4.72,-4.72,4.73,4.99,2.34,0.53,0.52,0.52
20.61,-4.22,-4.22,-4.75,-4.76,4.77,4.98,2.41,0.56,0.55,0.54
20.81,-4.24,-4.23,-4.80,-4.80,4.81,4.98,2.48,0.58,0.58,0.57
21.02,-4.26,-4.25,-4.85,-4.84,4.84,4.97,2.55,0.59,0.59,0.60
21.23,-4.27,-4.27,-4.87,-4.88,4.87,4.96,2.63,0.60,0.60,0.60
21.44,-4.29,-4.28,-4.90,-4.90,4.89,4.96,2.70,0.60,0.61,0.61
21.66,-4.30,-4.29,-4.92,-4.91,4.91,4.95,2.78,0.61,0.62,0.62
21.87,-4.30,-4.30,-4.92,-4.92,4.92,4.94,2.86,0.63,0.63,0.62
22.09,-4.30,-4.30,-4.93,-4.93,4.93,4.94,2.95,0.63,0.63,0.63
22.31,-4.30,-4.30,-4.93,-4.93,4.93,4.93,3.03,0.63,0.63,0.63
22.54,-4.30,-4.30,-4.93,-4.93,4.92,4.92,3.12,0.63,0.63,0.63
22.76,-4.30,-4.29,-4.93,-4.92,4.91,4.91,3.21,0.62,0.62,0.63
22.99,-4.29,-4.29,-4.91,-4.91,4.90,4.91,3.30,0.62,0.62,0.62
23.22,-4.28,-4.27,-4.89,-4.89,4.89,4.90,3.39,0.62,0.62,0.62
23.45,-4.26,-4.26,-4.87,-4.87,4.88,4.89,3.49,0.62,0.62,0.62
23.69,-4.25,-4.24,-4.86,-4.86,4.87,4.88,3.59,0.62,0.63,0.62
23.92,-4.24,-4.24,-4.85,-4.86,4.87,4.88,3.69,0.63,0.63,0.62
24.16,-4.24,-4.24,-4.86,-4.86,4.87,4.87,3.79,0.63,0.63,0.63
24.40,-4.25,-4.24,-4.87,-4.86,4.87,4.86,3.89,0.63,0.63,0.62
24.65,-4.26,-4.26,-4.87,-4.88,4.88,4.85,4.00,0.63,0.62,0.61
24.89,-4.28,-4.28,-4.89,-4.89,4.90,4.84,4.10,0.62,0.62,0.61
25.14,-4.31,-4.30,-4.92,-4.91,4.91,4.84,4.21,0.61,0.61,0.61
25.39,-4.33,-4.33,-4.94,-4.94,4.92,4.83,4.32,0.60,0.60,0.61
25.65,-4.35,-4.34,-4.96,-4.95,4.94,4.82,4.43,0.59,0.59,0.61
25.91,-4.36,-4.36,-4.95,-4.96,4.95,4.81,4.54,0.59,0.59,0.60
26.16,-4.37,-4.36,-4.96,-4.96,4.96,4.80,4.65,0.59,0.60,0.60
26.43,-4.37,-4.37,-4.96,-4.96,4.97,4.79,4.75,0.60,0.60,0.60
26.69,-4.37,-4.37,-4.96,-4.97,4.98,4.78,4.86,0.61,0.61,0.60
26.96,-4.39,-4.38,-4.98,-4.98,4.99,4.77,4.97,0.61,0.61,0.59
27.23,-4.41,-4.41,-5.00,-5.00,5.01,4.77,5.07,0.61,0.60,0.59
27.50,-4.44,-4.44,-5.03,-5.03,5.03,4.76,5.17,0.59,0.59,0.59
27.77,-4.48,-4.47,-5.06,-5.06,5.05,4.75,5.27,0.57,0.58,0.58
28.05,-4.51,-4.50,-5.08,-5.08,5.07,4.74,5.36,0.57,0.57,0.58
28.33,-4.53,-4.53,-5.09,-5.10,5.09,4.73,5.45,0.56,0.56,0.57
28.62,-4.55,-4.54,-5.11,-5.11,5.11,4.72,5.53,0.56,0.56,0.57
28.90,-4.55,-4.55,-5.11,-5.11,5.11,4.71,5.61,0.57,0.56,0.56
29.19,-4.56,-4.55,-5.11,-5.11,5.12,4.70,5.68,0.56,0.56,0.55
29.48,-4.56,-4.55,-5.12,-5.11,5.11,4.69,5.74,0.55,0.56,0.56
29.78,-4.55,-4.55,-5.09,-5.10,5.09,4.68,5.80,0.55,0.54,0.55
30.08,-4.54,-4.54,-5.08,-5.08,5.07,4.67,5.85,0.53,0.53,0.55
30.38,-4.52,-4.51,-5.05,-5.05,5.04,4.66,5.89,0.52,0.53,0.54
30.68,-4.48,-4.47,-5.01,-5.01,5.00,4.65,5.92,0.52,0.52,0.53
30.99,-4.43,-4.43,-4.95,-4.95,4.95,4.64,5.95,0.52,0.52,0.52
31.30,-4.38,-4.38,-4.90,-4.90,4.90,4.63,5.96,0.52,0.52,0.52
31.61,-4.33,-4.33,-4.84,-4.84,4.85,4.62,5.97,0.52,0.52,0.52
31.93,-4.28,-4.28,-4.78,-4.78,4.79,4.60,5.96,0.51,0.51,0.50
32.24,-4.23,-4.24,-4.73,-4.73,4.73,4.59,5.95,0.50,0.50,0.49
32.57,-4.20,-4.19,-4.69,-4.68,4.68,4.58,5.93,0.48,0.48,0.49
32.89,-4.16,-4.15,-4.64,-4.64,4.63,4.57,5.90,0.48,0.48,0.49
33.22,-4.12,-4.11,-4.59,-4.59,4.59,4.56,5.86,0.47,0.48,0.47
33.55,-4.08,-4.08,-4.55,-4.55,4.56,4.55,5.82,0.48,0.48,0.47
33.89,-4.06,-4.06,-4.51,-4.52,4.53,4.54,5.77,0.48,0.48,0.46
34.23,-4.05,-4.05,-4.50,-4.50,4.51,4.52,5.72,0.47,0.47,0.46
34.57,-4.05,-4.05,-4.49,-4.49,4.50,4.51,5.65,0.46,0.45,0.44
34.92,-4.07,-4.06,-4.49,-4.50,4.50,4.50,5.59,0.44,0.44,0.43
35.27,-4.09,-4.08,-4.51,-4.51,4.50,4.49,5.52,0.42,0.42,0.43
35.62,-4.11,-4.10,-4.52,-4.51,4.51,4.48,5.44,0.40,0.41,0.41
35.97,-4.12,-4.11,-4.51,-4.52,4.51,4.46,5.37,0.39,0.40,0.40
36.33,-4.12,-4.12,-4.51,-4.51,4.51,4.45,5.29,0.39,0.39,0.39
36.70,-4.13,-4.12,-4.51,-4.50,4.50,4.44,5.21,0.37,0.37,0.38
37.06,-4.12,-4.12,-4.48,-4.49,4.48,4.42,5.13,0.36,0.36,0.37
37.43,-4.11,-4.10,-4.47,-4.46,4.45,4.41,5.05,0.34,0.34,0.36
37.81,-4.08,-4.07,-4.42,-4.42,4.41,4.40,4.97,0.33,0.34,0.35
38.19,-4.04,-4.04,-4.37,-4.38,4.37,4.38,4.88,0.33,0.33,0.33
38.57,-4.00,-4.00,-4.32,-4.32,4.32,4.37,4.80,0.33,0.33,0.33
38.95,-3.96,-3.96,-4.27,-4.27,4.28,4.36,4.72,0.33,0.32,0.31
39.34,-3.93,-3.93,-4.22,-4.23,4.24,4.34,4.65,0.31,0.31,0.30
39.74,-3.91,-3.91,-4.19,-4.19,4.20,4.33,4.57,0.30,0.30,0.28
40.14,-3.90,-3.89,-4.17,-4.17,4.17,4.31,4.50,0.28,0.28,0.28
40.54,-3.89,-3.88,-4.15,-4.15,4.15,4.30,4.42,0.27,0.27,0.26
40.94,-3.88,-3.88,-4.13,-4.13,4.14,4.29,4.35,0.27,0.26,0.26
41.35,-3.89,-3.88,-4.13,-4.13,4.14,4.27,4.29,0.25,0.25,0.24
41.76,-3.90,-3.90,-4.13,-4.13,4.14,4.26,4.22,0.24,0.24,0.23
42.18,-3.92,-3.92,-4.14,-4.14,4.13,4.24,4.16,0.22,0.22,0.23
42.60,-3.94,-3.93,-4.15,-4.15,4.13,4.23,4.10,0.20,0.20,0.21
43.03,-3.95,-3.94,-4.15,-4.15,4.13,4.21,4.05,0.19,0.19,0.20
43.46,-3.96,-3.95,-4.14,-4.14,4.13,4.19,3.99,0.18,0.18,0.19
43.90,-3.96,-3.96,-4.12,-4.13,4.13,4.18,3.94,0.17,0.17,0.16
44.33,-3.98,-3.97,-4.12,-4.12,4.13,4.16,3.90,0.15,0.15,0.14
44.78,-3.99,-3.99,-4.11,-4.11,4.13,4.14,3.85,0.14,0.14,0.12
45.23,-4.01,-4.00,-4.11,-4.11,4.12,4.13,3.81,0.12,0.12,0.11
45.68,-4.02,-4.02,-4.10,-4.11,4.12,4.11,3.77,0.10,0.10,0.09
46.13,-4.04,-4.04,-4.10,-4.11,4.10,4.09,3.74,0.07,0.06,0.07
46.60,-4.06,-4.05,-4.11,-4.11,4.08,4.08,3.71,0.03,0.03,0.06
47.06,-4.06,-4.05,-4.09,-4.09,4.05,4.06,3.68,-0.00,0.01,0.04
47.53,-4.03,-4.02,-4.04,-4.04,4.02,4.04,3.65,-0.01,-0.00,0.02
48.01,-3.98,-3.98,-3.98,-3.98,3.98,4.02,3.63,0.00,0.00,0.01
48.49,-3.94,-3.94,-3.91,-3.92,3.94,4.00,3.61,0.00,-0.00,-0.02
48.97,-3.92,-3.92,-3.86,-3.86,3.89,3.98,3.59,-0.02,-0.02,-0.05
49.46,-3.91,-3.91,-3.82,-3.83,3.85,3.96,3.57,-0.06,-0.06,-0.08
49.96,-3.92,-3.91,-3.80,-3.80,3.81,3.95,3.56,-0.11,-0.10,-0.12
50.46,-3.92,-3.91,-3.79,-3.78,3.78,3.93,3.54,-0.14,-0.14,-0.13
50.96,-3.92,-3.91,-3.76,-3.76,3.75,3.90,3.53,-0.17,-0.17,-0.15
51.47,-3.91,-3.91,-3.72,-3.73,3.72,3.88,3.53,-0.18,-0.19,-0.18
51.99,-3.91,-3.90,-3.70,-3.70,3.70,3.86,3.52,-0.21,-0.21,-0.21
52.51,-3.90,-3.90,-3.67,-3.67,3.67,3.84,3.51,-0.22,-0.23,-0.22
53.03,-3.90,-3.89,-3.65,-3.65,3.64,3.82,3.51,-0.25,-0.25,-0.25
53.56,-3.89,-3.89,-3.62,-3.62,3.61,3.80,3.50,-0.27,-0.27,-0.27
54.10,-3.89,-3.88,-3.59,-3.59,3.59,3.78,3.50,-0.30,-0.29,-0.30
54.64,-3.88,-3.88,-3.55,-3.55,3.56,3.75,3.49,-0.32,-0.32,-0.32
55.18,-3.88,-3.88,-3.53,-3.53,3.54,3.73,3.49,-0.34,-0.34,-0.35
55.74,-3.89,-3.88,-3.51,-3.51,3.51,3.71,3.48,-0.37,-0.37,-0.38
56.29,-3.90,-3.89,-3.50,-3.49,3.50,3.68,3.48,-0.40,-0.39,-0.39
56.86,-3.90,-3.90,-3.47,-3.48,3.48,3.66,3.47,-0.41,-0.42,-0.42
57.42,-3.91,-3.91,-3.46,-3.46,3.47,3.63,3.47,-0.44,-0.44,-0.45
58.00,-3.92,-3.92,-3.45,-3.45,3.46,3.61,3.46,-0.46,-0.46,-0.47
58.58,-3.94,-3.93,-3.45,-3.44,3.44,3.58,3.45,-0.50,-0.49,-0.49
59.16,-3.95,-3.94,-3.44,-3.43,3.42,3.55,3.43,-0.52,-0.52,-0.51
59.76,-3.95,-3.94,-3.42,-3.41,3.40,3.53,3.42,-0.55,-0.55,-0.53
60.35,-3.94,-3.94,-3.37,-3.38,3.37,3.50,3.40,-0.57,-0.57,-0.56
60.96,-3.93,-3.93,-3.34,-3.34,3.33,3.47,3.38,-0.59,-0.60,-0.58
61.57,-3.93,-3.92,-3.30,-3.30,3.29,3.44,3.36,-0.63,-0.63,-0.63
62.18,-3.92,-3.91,-3.25,-3.25,3.26,3.41,3.34,-0.66,-0.65,-0.66
62.80,-3.90,-3.90,-3.21,-3.21,3.22,3.39,3.31,-0.67,-0.68,-0.69
63.43,-3.89,-3.89,-3.16,-3.17,3.19,3.35,3.28,-0.70,-0.70,-0.72
64.07,-3.89,-3.89,-3.14,-3.14,3.16,3.32,3.25,-0.73,-0.73,-0.75
64.71,-3.91,-3.90,-3.13,-3.13,3.13,3.29,3.21,-0.77,-0.77,-0.77
65.35,-3.92,-3.92,-3.11,-3.12,3.11,3.26,3.18,-0.81,-0.81,-0.80
66.01,-3.94,-3.93,-3.11,-3.10,3.08,3.23,3.14,-0.85,-0.85,-0.83
66.67,-3.93,-3.93,-3.07,-3.07,3.05,3.20,3.09,-0.87,-0.87,-0.86
67.33,-3.92,-3.92,-3.03,-3.03,3.02,3.16,3.05,-0.89,-0.90,-0.89
68.01,-3.91,-3.90,-2.99,-2.99,2.99,3.13,3.00,-0.92,-0.92,-0.92
68.69,-3.90,-3.90,-2.95,-2.95,2.95,3.09,2.95,-0.94,-0.95,-0.95
69.37,-3.89,-3.89,-2.90,-2.91,2.91,3.06,2.90,-0.97,-0.98,-0.98
70.07,-3.89,-3.88,-2.87,-2.87,2.87,3.02,2.85,-1.02,-1.01,-1.01
70.77,-3.87,-3.87,-2.83,-2.83,2.83,2.98,2.79,-1.04,-1.04,-1.04
71.48,-3.86,-3.86,-2.78,-2.79,2.79,2.95,2.74,-1.07,-1.07,-1.07
72.19,-3.87,-3.86,-2.76,-2.75,2.75,2.91,2.68,-1.11,-1.11,-1.11
72.91,-3.87,-3.86,-2.72,-2.72,2.72,2.87,2.63,-1.15,-1.14,-1.14
73.64,-3.86,-3.86,-2.67,-2.68,2.68,2.83,2.57,-1.18,-1.18,-1.18
74.38,-3.86,-3.86,-2.65,-2.64,2.65,2.79,2.52,-1.21,-1.21,-1.21
75.12,-3.86,-3.85,-2.61,-2.61,2.61,2.75,2.46,-1.24,-1.24,-1.25
75.87,-3.86,-3.86,-2.58,-2.58,2.58,2.71,2.40,-1.28,-1.28,-1.28
76.63,-3.86,-3.85,-2.55,-2.55,2.55,2.67,2.35,-1.31,-1.31,-1.31
77.40,-3.86,-3.86,-2.52,-2.52,2.52,2.62,2.29,-1.34,-1.34,-1.34
78.17,-3.86,-3.86,-2.48,-2.49,2.49,2.58,2.23,-1.37,-1.37,-1.38
78.95,-3.87,-3.86,-2.46,-2.46,2.45,2.54,2.18,-1.41,-1.41,-1.40
79.74,-3.87,-3.86,-2.43,-2.43,2.42,2.49,2.13,-1.44,-1.44,-1.44
80.54,-3.86,-3.86,-2.39,-2.39,2.39,2.45,2.07,-1.47,-1.47,-1.47
81.35,-3.86,-3.86,-2.35,-2.35,2.35,2.40,2.02,-1.50,-1.50,-1.50
82.16,-3.86,-3.86,-2.32,-2.32,2.32,2.35,1.97,-1.54,-1.54,-1.54
82.98,-3.86,-3.86,-2.29,-2.28,2.28,2.31,1.92,-1.58,-1.58,-1.57
83.81,-3.86,-3.85,-2.24,-2.24,2.24,2.26,1.87,-1.62,-1.61,-1.61
84.65,-3.85,-3.85,-2.19,-2.20,2.20,2.21,1.83,-1.65,-1.65,-1.65
85.50,-3.84,-3.84,-2.16,-2.16,2.16,2.16,1.78,-1.68,-1.68,-1.68
86.35,-3.84,-3.83,-2.12,-2.11,2.12,2.11,1.73,-1.72,-1.72,-1.72
87.22,-3.84,-3.83,-2.08,-2.07,2.08,2.06,1.69,-1.76,-1.75,-1.76
88.09,-3.83,-3.83,-2.03,-2.03,2.04,2.01,1.65,-1.79,-1.79,-1.80
88.97,-3.83,-3.83,-2.00,-1.99,2.00,1.96,1.61,-1.83,-1.83,-1.83
89.86,-3.84,-3.83,-1.96,-1.96,1.96,1.91,1.57,-1.88,-1.87,-1.87
90.76,-3.84,-3.84,-1.91,-1.92,1.92,1.86,1.53,-1.92,-1.92,-1.92
91.66,-3.84,-3.84,-1.88,-1.88,1.88,1.81,1.49,-1.96,-1.96,-1.96
92.58,-3.85,-3.84,-1.84,-1.83,1.84,1.76,1.45,-2.01,-2.00,-2.01
93.51,-3.84,-3.84,-1.79,-1.80,1.79,1.71,1.42,-2.04,-2.05,-2.04
94.44,-3.85,-3.85,-1.76,-1.76,1.75,1.65,1.39,-2.10,-2.10,-2.09
95.39,-3.86,-3.85,-1.72,-1.71,1.70,1.60,1.35,-2.15,-2.14,-2.13
96.34,-3.85,-3.84,-1.66,-1.66,1.66,1.55,1.32,-2.19,-2.18,-2.19
97.30,-3.83,-3.83,-1.59,-1.60,1.61,1.49,1.29,-2.21,-2.22,-2.23
98.28,-3.83,-3.83,-1.55,-1.55,1.56,1.44,1.26,-2.26,-2.26,-2.28
99.26,-3.84,-3.83,-1.51,-1.51,1.52,1.39,1.23,-2.32,-2.31,-2.32
100.25,-3.84,-3.84,-1.47,-1.47,1.47,1.33,1.20,-2.37,-2.37,-2.37
101.25,-3.85,-3.84,-1.43,-1.43,1.42,1.28,1.17,-2.42,-2.42,-2.41
102.27,-3.85,-3.84,-1.39,-1.38,1.38,1.22,1.15,-2.47,-2.47,-2.46
103.29,-3.85,-3.84,-1.33,-1.33,1.33,1.17,1.12,-2.51,-2.51,-2.52
104.32,-3.84,-3.84,-1.28,-1.28,1.29,1.12,1.10,-2.55,-2.55,-2.55
105.37,-3.84,-3.84,-1.24,-1.24,1.24,1.06,1.07,-2.60,-2.60,-2.60
106.42,-3.84,-3.84,-1.19,-1.19,1.19,1.01,1.05,-2.64,-2.64,-2.65
107.48,-3.84,-3.84,-1.14,-1.14,1.14,0.96,1.02,-2.69,-2.70,-2.69
108.56,-3.85,-3.84,-1.10,-1.10,1.10,0.90,1.00,-2.75,-2.74,-2.75
109.64,-3.85,-3.84,-1.05,-1.05,1.05,0.85,0.98,-2.80,-2.79,-2.79
110.74,-3.84,-3.84,-1.00,-1.00,1.00,0.80,0.95,-2.84,-2.84,-2.84
111.85,-3.85,-3.84,-0.96,-0.95,0.95,0.74,0.93,-2.90,-2.89,-2.89
112.97,-3.85,-3.84,-0.89,-0.90,0.90,0.69,0.91,-2.95,-2.95,-2.95
114.10,-3.85,-3.85,-0.85,-0.85,0.85,0.64,0.89,-3.00,-3.00,-3.00
115.24,-3.85,-3.84,-0.79,-0.79,0.80,0.59,0.86,-3.05,-3.05,-3.05
116.39,-3.85,-3.85,-0.74,-0.74,0.74,0.54,0.84,-3.10,-3.10,-3.11
117.55,-3.85,-3.85,-0.69,-0.69,0.69,0.49,0.82,-3.15,-3.16,-3.16
118.73,-3.86,-3.85,-0.64,-0.64,0.64,0.43,0.79,-3.22,-3.21,-3.21
119.92,-3.86,-3.85,-0.60,-0.59,0.59,0.38,0.77,-3.27,-3.26,-3.26
121.12,-3.85,-3.85,-0.54,-0.54,0.54,0.34,0.75,-3.31,-3.31,-3.31
122.33,-3.85,-3.84,-0.48,-0.49,0.49,0.29,0.72,-3.36,-3.36,-3.36
123.55,-3.85,-3.84,-0.44,-0.43,0.44,0.24,0.70,-3.41,-3.40,-3.40
124.79,-3.84,-3.84,-0.38,-0.39,0.39,0.19,0.67,-3.45,-3.46,-3.45
126.03,-3.85,-3.84,-0.34,-0.34,0.34,0.14,0.64,-3.51,-3.51,-3.51
127.29,-3.85,-3.84,-0.29,-0.29,0.28,0.10,0.62,-3.56,-3.56,-3.56
128.57,-3.85,-3.85,-0.23,-0.23,0.23,0.05,0.59,-3.61,-3.61,-3.61
129.85,-3.85,-3.85,-0.18,-0.18,0.18,0.01,0.56,-3.66,-3.66,-3.66
131.15,-3.85,-3.85,-0.13,-0.13,0.13,-0.04,0.53,-3.71,-3.71,-3.71
132.46,-3.85,-3.84,-0.09,-0.09,0.09,-0.08,0.50,-3.76,-3.76,-3.76
133.79,-3.84,-3.84,-0.04,-0.04,0.04,-0.12,0.47,-3.80,-3.80,-3.80
135.12,-3.84,-3.84,0.02,0.01,-0.01,-0.17,0.44,-3.84,-3.84,-3.85
136.48,-3.84,-3.84,0.05,0.05,-0.05,-0.21,0.41,-3.89,-3.89,-3.89
137.84,-3.85,-3.84,0.09,0.09,-0.09,-0.25,0.38,-3.94,-3.94,-3.93
139.22,-3.85,-3.84,0.14,0.13,-0.14,-0.29,0.35,-3.98,-3.98,-3.98
140.61,-3.85,-3.84,0.18,0.18,-0.18,-0.33,0.31,-4.02,-4.02,-4.03
142.02,-3.84,-3.84,0.21,0.22,-0.22,-0.36,0.28,-4.05,-4.05,-4.05
143.44,-3.84,-3.84,0.25,0.26,-0.25,-0.40,0.24,-4.09,-4.09,-4.09
144.87,-3.84,-3.83,0.30,0.29,-0.29,-0.44,0.21,-4.13,-4.13,-4.13
146.32,-3.84,-3.84,0.33,0.33,-0.33,-0.47,0.17,-4.17,-4.17,-4.17
147.78,-3.84,-3.84,0.36,0.37,-0.37,-0.51,0.14,-4.20,-4.20,-4.20
149.26,-3.84,-3.84,0.40,0.41,-0.41,-0.54,0.10,-4.24,-4.24,-4.24
150.75,-3.84,-3.84,0.45,0.44,-0.45,-0.58,0.07,-4.28,-4.28,-4.28
152.26,-3.84,-3.84,0.49,0.49,-0.48,-0.61,0.03,-4.32,-4.32,-4.32
153.78,-3.84,-3.84,0.52,0.52,-0.52,-0.64,-0.01,-4.36,-4.36,-4.36
155.32,-3.84,-3.83,0.57,0.56,-0.56,-0.67,-0.04,-4.40,-4.40,-4.40
156.88,-3.84,-3.84,0.60,0.60,-0.60,-0.70,-0.08,-4.44,-4.44,-4.43
158.44,-3.84,-3.84,0.64,0.64,-0.64,-0.73,-0.12,-4.48,-4.48,-4.48
160.03,-3.85,-3.84,0.67,0.68,-0.68,-0.76,-0.16,-4.53,-4.52,-4.52
161.63,-3.84,-3.84,0.73,0.72,-0.72,-0.79,-0.20,-4.56,-4.56,-4.56
163.24,-3.84,-3.84,0.77,0.76,-0.76,-0.82,-0.24,-4.59,-4.60,-4.60
164.88,-3.84,-3.83,0.80,0.80,-0.80,-0.84,-0.28,-4.63,-4.63,-4.63
166.53,-3.84,-3.84,0.84,0.84,-0.84,-0.87,-0.32,-4.67,-4.67,-4.67
168.19,-3.84,-3.84,0.87,0.87,-0.87,-0.89,-0.36,-4.71,-4.71,-4.71
169.87,-3.84,-3.84,0.91,0.91,-0.91,-0.92,-0.40,-4.75,-4.75,-4.75
171.57,-3.84,-3.84,0.95,0.95,-0.95,-0.94,-0.44,-4.79,-4.79,-4.78
173.29,-3.84,-3.84,0.98,0.98,-0.99,-0.96,-0.49,-4.83,-4.83,-4.82
175.02,-3.84,-3.83,1.02,1.03,-1.03,-0.99,-0.53,-4.86,-4.86,-4.86
176.77,-3.83,-3.83,1.07,1.07,-1.07,-1.01,-0.57,-4.89,-4.90,-4.90
178.54,-3.83,-3.83,1.12,1.11,-1.11,-1.03,-0.62,-4.93,-4.94,-4.94
180.32,-3.83,-3.83,1.15,1.15,-1.15,-1.05,-0.66,-4.97,-4.98,-4.98
182.13,-3.84,-3.83,1.17,1.18,-1.19,-1.07,-0.71,-5.02,-5.02,-5.01
