frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.13,-5.13,-5.65,-5.65,5.62,5.57,2.60,0.49,0.49,0.52
20.20,-5.12,-5.12,-5.67,-5.67,5.66,5.59,2.68,0.54,0.54,0.55
20.40,-5.11,-5.11,-5.69,-5.69,5.70,5.62,2.76,0.59,0.59,0.58
20.61,-5.11,-5.11,-5.71,-5.72,5.74,5.64,2.84,0.63,0.63,0.60
20.81,-5.11,-5.12,-5.74,-5.75,5.77,5.67,2.92,0.66,0.65,0.63
21.02,-5.13,-5.13,-5.79,-5.78,5.80,5.70,3.00,0.67,0.67,0.66
21.23,-5.15,-5.15,-5.82,-5.82,5.83,5.72,3.08,0.68,0.68,0.67
21.44,-5.17,-5.18,-5.85,-5.85,5.85,5.75,3.17,0.68,0.68,0.68
21.66,-5.20,-5.20,-5.89,-5.88,5.88,5.77,3.26,0.68,0.68,0.69
21.87,-5.22,-5.22,-5.91,-5.91,5.91,5.79,3.36,0.69,0.69,0.69
22.09,-5.24,-5.24,-5.94,-5.93,5.93,5.82,3.45,0.68,0.68,0.70
22.31,-5.25,-5.25,-5.95,-5.95,5.93,5.84,3.55,0.68,0.68,0.69
22.54,-5.25,-5.25,-5.95,-5.95,5.93,5.86,3.65,0.68,0.68,0.69
22.76,-5.24,-5.24,-5.94,-5.93,5.92,5.88,3.76,0.68,0.68,0.69
22.99,-5.22,-5.22,-5.90,-5.91,5.90,5.90,3.86,0.68,0.68,0.68
23.22,-5.19,-5.20,-5.87,-5.88,5.88,5.91,3.97,0.69,0.69,0.68
23.45,-5.17,-5.17,-5.85,-5.85,5.87,5.93,4.08,0.69,0.69,0.68
23.69,-5.15,-5.15,-5.83,-5.83,5.85,5.95,4.20,0.70,0.70,0.68
23.92,-5.14,-5.14,-5.82,-5.83,5.84,5.96,4.31,0.70,0.70,0.68
24.16,-5.14,-5.14,-5.83,-5.83,5.84,5.97,4.43,0.70,0.70,0.69
24.40,-5.15,-5.15,-5.84,-5.84,5.84,5.98,4.55,0.69,0.69,0.69
24.65,-5.17,-5.17,-5.85,-5.85,5.85,5.99,4.68,0.68,0.68,0.68
24.89,-5.19,-5.19,-5.87,-5.87,5.86,6.00,4.80,0.67,0.67,0.68
25.14,-5.20,-5.21,-5.88,-5.88,5.87,6.00,4.92,0.67,0.66,0.67
25.39,-5.22,-5.22,-5.90,-5.89,5.87,6.01,5.05,0.65,0.66,0.67
25.65,-5.22,-5.22,-5.90,-5.89,5.88,6.01,5.18,0.65,0.66,0.67
25.91,-5.21,-5.21,-5.87,-5.88,5.87,6.01,5.30,0.66,0.66,0.66
26.16,-5.20,-5.20,-5.86,-5.86,5.87,6.01,5.43,0.67,0.67,0.66
26.43,-5.19,-5.19,-5.85,-5.85,5.87,6.01,5.56,0.68,0.67,0.66
26.69,-5.19,-5.19,-5.85,-5.85,5.86,6.00,5.68,0.67,0.67,0.66
26.96,-5.19,-5.20,-5.85,-5.85,5.86,6.00,5.81,0.67,0.66,0.66
27.23,-5.20,-5.20,-5.86,-5.86,5.86,5.99,5.93,0.65,0.65,0.66
27.50,-5.21,-5.21,-5.87,-5.86,5.85,5.98,6.05,0.64,0.64,0.65
27.77,-5.21,-5.22,-5.86,-5.86,5.85,5.97,6.16,0.64,0.63,0.64
28.05,-5.22,-5.22,-5.86,-5.85,5.84,5.96,6.27,0.62,0.63,0.64
28.33,-5.21,-5.21,-5.84,-5.85,5.84,5.94,6.38,0.63,0.63,0.63
28.62,-5.20,-5.21,-5.83,-5.83,5.84,5.93,6.48,0.64,0.63,0.63
28.90,-5.20,-5.20,-5.83,-5.82,5.84,5.91,6.57,0.64,0.64,0.63
29.19,-5.20,-5.20,-5.82,-5.82,5.84,5.89,6.66,0.64,0.64,0.62
29.48,-5.21,-5.22,-5.84,-5.83,5.85,5.87,6.73,0.63,0.63,0.62
29.78,-5.23,-5.23,-5.84,-5.85,5.86,5.85,6.81,0.62,0.62,0.61
30.08,-5.26,-5.26,-5.87,-5.87,5.87,5.83,6.86,0.61,0.61,0.61
30.38,-5.28,-5.28,-5.88,-5.88,5.88,5.80,6.92,0.60,0.60,0.60
30.68,-5.30,-5.30,-5.90,-5.89,5.89,5.78,6.95,0.58,0.59,0.60
30.99,-5.31,-5.31,-5.90,-5.90,5.89,5.75,6.99,0.58,0.58,0.58
31.30,-5.30,-5.31,-5.88,-5.89,5.88,5.73,7.00,0.58,0.57,0.58
31.61,-5.29,-5.29,-5.87,-5.87,5.86,5.70,7.01,0.56,0.56,0.58
31.93,-5.27,-5.27,-5.84,-5.83,5.82,5.68,7.01,0.55,0.55,0.57
