frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.68,14.67,8.23,8.23,-8.23,-8.38,-3.97,6.44,6.44,6.44
20.20,14.68,14.68,8.20,8.21,-8.21,-8.38,-4.08,6.47,6.48,6.47
20.40,14.69,14.69,8.18,8.19,-8.18,-8.38,-4.19,6.50,6.50,6.50
20.61,14.70,14.69,8.17,8.17,-8.16,-8.38,-4.30,6.53,6.53,6.52
20.81,14.70,14.70,8.14,8.15,-8.15,-8.38,-4.42,6.55,6.55,6.55
21.02,14.71,14.70,8.12,8.13,-8.13,-8.38,-4.54,6.57,6.57,6.58
21.23,14.71,14.71,8.12,8.12,-8.12,-8.38,-4.66,6.58,6.58,6.59
21.44,14.72,14.72,8.12,8.12,-8.12,-8.38,-4.79,6.60,6.60,6.60
21.66,14.73,14.73,8.12,8.12,-8.12,-8.38,-4.92,6.61,6.61,6.61
21.87,14.74,14.74,8.13,8.12,-8.12,-8.38,-5.05,6.61,6.61,6.61
22.09,14.75,14.75,8.13,8.13,-8.13,-8.38,-5.19,6.62,6.62,6.62
22.31,14.76,14.76,8.14,8.14,-8.14,-8.39,-5.33,6.62,6.62,6.62
22.54,14.77,14.77,8.15,8.15,-8.15,-8.39,-5.48,6.62,6.62,6.62
22.76,14.78,14.78,8.16,8.16,-8.16,-8.39,-5.63,6.62,6.62,6.62
22.99,14.79,14.78,8.18,8.17,-8.17,-8.39,-5.78,6.62,6.61,6.61
23.22,14.79,14.79,8.18,8.18,-8.18,-8.39,-5.93,6.61,6.61,6.61
23.45,14.79,14.79,8.18,8.19,-8.18,-8.39,-6.09,6.60,6.61,6.60
23.69,14.80,14.79,8.19,8.19,-8.19,-8.39,-6.26,6.61,6.60,6.60
23.92,14.80,14.80,8.19,8.19,-8.20,-8.39,-6.42,6.60,6.60,6.60
24.16,14.81,14.81,8.19,8.20,-8.20,-8.39,-6.59,6.60,6.60,6.61
24.40,14.82,14.82,8.21,8.21,-8.21,-8.39,-6.77,6.60,6.60,6.61
24.65,14.83,14.83,8.23,8.22,-8.22,-8.39,-6.94,6.60,6.60,6.60
24.89,14.84,14.84,8.24,8.24,-8.24,-8.39,-7.12,6.60,6.60,6.60
25.14,14.85,14.85,8.25,8.25,-8.25,-8.39,-7.31,6.60,6.60,6.60
25.39,14.86,14.86,8.26,8.26,-8.26,-8.39,-7.49,6.59,6.60,6.60
25.65,14.88,14.87,8.28,8.28,-8.28,-8.39,-7.68,6.60,6.59,6.60
25.91,14.89,14.88,8.30,8.29,-8.29,-8.40,-7.87,6.60,6.59,6.59
26.16,14.89,14.89,8.30,8.31,-8.30,-8.40,-8.06,6.59,6.59,6.58
26.43,14.90,14.89,8.31,8.31,-8.31,-8.40,-8.24,6.59,6.59,6.58
26.69,14.90,14.90,8.31,8.31,-8.31,-8.40,-8.43,6.58,6.58,6.58
26.96,14.90,14.90,8.32,8.32,-8.32,-8.40,-8.62,6.58,6.58,6.58
27.23,14.90,14.90,8.32,8.32,-8.32,-8.40,-8.81,6.57,6.57,6.58
27.50,14.90,14.90,8.32,8.32,-8.33,-8.40,-8.99,6.57,6.57,6.58
27.77,14.90,14.90,8.33,8.33,-8.33,-8.40,-9.17,6.57,6.57,6.57
28.05,14.90,14.90,8.33,8.33,-8.33,-8.40,-9.34,6.56,6.56,6.57
28.33,14.90,14.90,8.34,8.34,-8.34,-8.40,-9.51,6.56,6.56,6.55
28.62,14.90,14.90,8.34,8.35,-8.34,-8.40,-9.67,6.55,6.55,6.55
28.90,14.90,14.90,8.35,8.35,-8.35,-8.40,-9.82,6.55,6.55,6.55
29.19,14.90,14.90,8.36,8.35,-8.35,-8.40,-9.96,6.54,6.54,6.54
29.48,14.90,14.90,8.35,8.35,-8.36,-8.40,-10.09,6.54,6.54,6.55
29.78,14.90,14.90,8.36,8.36,-8.36,-8.40,-10.21,6.53,6.53,6.54
30.08,14.90,14.90,8.36,8.36,-8.37,-8.40,-10.31,6.53,6.53,6.53
30.38,14.90,14.90,8.37,8.37,-8.37,-8.40,-10.40,6.53,6.53,6.52
30.68,14.90,14.89,8.38,8.38,-8.37,-8.40,-10.47,6.52,6.52,6.52
30.99,14.89,14.89,8.38,8.38,-8.38,-8.40,-10.53,6.51,6.51,6.51
31.30,14.89,14.89,8.38,8.38,-8.38,-8.40,-10.56,6.50,6.50,6.51
31.61,14.89,14.88,8.38,8.38,-8.39,-8.40,-10.59,6.50,6.50,6.50
31.93,14.88,14.88,8.39,8.39,-8.39,-8.40,-10.59,6.49,6.49,6.49
32.24,14.88,14.88,8.40,8.39,-8.39,-8.40,-10.59,6.48,6.48,6.48
32.57,14.88,14.87,8.40,8.40,-8.40,-8.40,-10.56,6.48,6.48,6.48
32.89,14.87,14.87,8.39,8.40,-8.40,-8.40,-10.53,6.47,6.47,6.47
