frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.57,-0.58,-2.04,-2.05,2.01,3.10,1.29,1.44,1.44,1.47
20.20,-0.59,-0.59,-2.09,-2.09,2.08,3.10,1.33,1.49,1.50,1.50
20.40,-0.60,-0.60,-2.13,-2.13,2.15,3.09,1.36,1.55,1.55,1.53
20.61,-0.61,-0.62,-2.16,-2.18,2.21,3.09,1.41,1.59,1.58,1.55
20.81,-0.65,-0.65,-2.23,-2.23,2.26,3.08,1.45,1.60,1.61,1.58
21.02,-0.68,-0.68,-2.29,-2.29,2.30,3.08,1.49,1.62,1.61,1.61
21.23,-0.72,-0.72,-2.34,-2.34,2.34,3.08,1.54,1.61,1.61,1.62
21.44,-0.75,-0.75,-2.38,-2.38,2.36,3.07,1.58,1.61,1.61,1.63
21.66,-0.77,-0.77,-2.41,-2.41,2.39,3.07,1.63,1.62,1.62,1.64
21.87,-0.78,-0.78,-2.42,-2.42,2.40,3.07,1.68,1.62,1.62,1.64
22.09,-0.78,-0.78,-2.43,-2.42,2.41,3.06,1.73,1.62,1.63,1.65
22.31,-0.76,-0.77,-2.41,-2.41,2.40,3.06,1.78,1.64,1.64,1.65
22.54,-0.75,-0.75,-2.40,-2.40,2.40,3.05,1.83,1.65,1.65,1.65
22.76,-0.74,-0.74,-2.39,-2.38,2.40,3.05,1.89,1.66,1.66,1.64
22.99,-0.73,-0.74,-2.37,-2.38,2.40,3.05,1.94,1.67,1.66,1.63
23.22,-0.75,-0.75,-2.39,-2.39,2.42,3.04,2.00,1.66,1.66,1.63
23.45,-0.78,-0.78,-2.42,-2.41,2.44,3.04,2.06,1.65,1.66,1.63
23.69,-0.82,-0.83,-2.45,-2.46,2.47,3.03,2.12,1.64,1.64,1.63
23.92,-0.87,-0.87,-2.50,-2.50,2.50,3.03,2.18,1.62,1.63,1.63
24.16,-0.91,-0.91,-2.55,-2.55,2.53,3.02,2.24,1.61,1.62,1.64
