frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.72,9.72,2.92,2.91,-2.92,-2.93,-1.18,6.80,6.80,6.80
20.20,9.70,9.70,2.90,2.90,-2.90,-2.92,-1.21,6.80,6.80,6.80
20.40,9.69,9.69,2.89,2.88,-2.88,-2.91,-1.25,6.81,6.80,6.80
20.61,9.67,9.67,2.87,2.87,-2.87,-2.91,-1.29,6.80,6.80,6.80
20.81,9.66,9.66,2.86,2.86,-2.86,-2.90,-1.32,6.80,6.80,6.80
21.02,9.65,9.65,2.85,2.85,-2.85,-2.89,-1.36,6.80,6.80,6.80
21.23,9.64,9.64,2.84,2.84,-2.84,-2.88,-1.40,6.80,6.80,6.80
21.44,9.63,9.63,2.83,2.83,-2.83,-2.87,-1.45,6.80,6.80,6.80
21.66,9.62,9.62,2.82,2.82,-2.83,-2.86,-1.49,6.79,6.80,6.80
21.87,9.62,9.62,2.82,2.82,-2.82,-2.85,-1.53,6.80,6.80,6.80
22.09,9.62,9.62,2.82,2.82,-2.82,-2.84,-1.58,6.80,6.79,6.80
22.31,9.62,9.62,2.82,2.82,-2.83,-2.83,-1.63,6.79,6.79,6.80
22.54,9.62,9.62,2.82,2.82,-2.83,-2.82,-1.68,6.79,6.79,6.79
22.76,9.62,9.62,2.83,2.83,-2.83,-2.81,-1.73,6.78,6.79,6.79
22.99,9.63,9.63,2.84,2.84,-2.84,-2.80,-1.78,6.79,6.79,6.79
23.22,9.64,9.63,2.85,2.84,-2.84,-2.79,-1.83,6.80,6.80,6.79
23.45,9.63,9.63,2.84,2.84,-2.83,-2.78,-1.88,6.80,6.80,6.79
23.69,9.62,9.62,2.83,2.83,-2.82,-2.77,-1.93,6.80,6.80,6.79
23.92,9.60,9.60,2.81,2.81,-2.80,-2.76,-1.99,6.80,6.80,6.79
24.16,9.57,9.57,2.78,2.78,-2.78,-2.75,-2.04,6.79,6.79,6.79
24.40,9.54,9.54,2.75,2.75,-2.75,-2.74,-2.10,6.79,6.78,6.79
24.65,9.50,9.50,2.71,2.72,-2.73,-2.73,-2.16,6.77,6.77,6.78
24.89,9.47,9.47,2.69,2.69,-2.70,-2.72,-2.22,6.77,6.77,6.78
25.14,9.45,9.45,2.67,2.67,-2.68,-2.70,-2.27,6.77,6.77,6.78
25.39,9.44,9.44,2.66,2.66,-2.67,-2.69,-2.33,6.77,6.77,6.78
25.65,9.43,9.43,2.65,2.65,-2.65,-2.68,-2.39,6.78,6.78,6.78
25.91,9.43,9.43,2.65,2.65,-2.64,-2.67,-2.45,6.79,6.79,6.78
26.16,9.42,9.42,2.64,2.64,-2.63,-2.65,-2.51,6.79,6.79,6.78
26.43,9.40,9.40,2.62,2.63,-2.61,-2.64,-2.57,6.79,6.79,6.77
26.69,9.38,9.38,2.61,2.61,-2.60,-2.62,-2.62,6.77,6.77,6.77
26.96,9.36,9.36,2.59,2.59,-2.60,-2.61,-2.68,6.76,6.76,6.77
27.23,9.34,9.34,2.57,2.57,-2.59,-2.60,-2.73,6.75,6.75,6.77
27.50,9.33,9.33,2.56,2.56,-2.58,-2.58,-2.78,6.75,6.75,6.77
27.77,9.33,9.33,2.56,2.56,-2.57,-2.57,-2.83,6.76,6.76,6.77
28.05,9.33,9.33,2.57,2.57,-2.56,-2.55,-2.88,6.77,6.77,6.76
28.33,9.33,9.33,2.57,2.57,-2.55,-2.54,-2.92,6.78,6.78,6.76
28.62,9.32,9.31,2.56,2.55,-2.53,-2.52,-2.97,6.79,6.78,6.76
28.90,9.29,9.29,2.53,2.53,-2.52,-2.51,-3.00,6.77,6.77,6.76
29.19,9.25,9.25,2.49,2.50,-2.50,-2.49,-3.04,6.75,6.75,6.75
29.48,9.22,9.22,2.47,2.47,-2.48,-2.47,-3.07,6.73,6.73,6.75
29.78,9.19,9.19,2.44,2.44,-2.47,-2.46,-3.10,6.72,6.72,6.75
30.08,9.18,9.18,2.43,2.44,-2.46,-2.44,-3.12,6.72,6.73,6.75
30.38,9.18,9.18,2.43,2.44,-2.44,-2.42,-3.14,6.73,6.74,6.74
30.68,9.19,9.18,2.45,2.44,-2.43,-2.40,-3.15,6.76,6.75,6.74
30.99,9.18,9.18,2.44,2.44,-2.42,-2.39,-3.16,6.76,6.76,6.74
31.30,9.17,9.17,2.43,2.43,-2.41,-2.37,-3.16,6.76,6.76,6.74
31.61,9.14,9.13,2.41,2.40,-2.39,-2.35,-3.16,6.75,6.74,6.73
31.93,9.09,9.09,2.36,2.37,-2.37,-2.33,-3.15,6.72,6.73,6.73
32.24,9.05,9.05,2.32,2.33,-2.34,-2.31,-3.13,6.71,6.71,6.73
32.57,9.02,9.02,2.30,2.29,-2.31,-2.29,-3.12,6.70,6.70,6.72
32.89,8.99,8.99,2.27,2.27,-2.28,-2.27,-3.10,6.71,6.71,6.72
33.22,8.97,8.97,2.25,2.26,-2.25,-2.25,-3.07,6.72,6.72,6.72
33.55,8.95,8.94,2.24,2.23,-2.21,-2.23,-3.04,6.73,6.73,6.71
33.89,8.91,8.91,2.20,2.20,-2.18,-2.21,-3.00,6.73,6.73,6.71
34.23,8.86,8.86,2.16,2.16,-2.15,-2.19,-2.97,6.71,6.71,6.70
34.57,8.81,8.81,2.11,2.11,-2.12,-2.17,-2.92,6.69,6.69,6.70
34.92,8.77,8.77,2.08,2.08,-2.10,-2.15,-2.88,6.67,6.68,6.69
35.27,8.74,8.74,2.05,2.05,-2.07,-2.13,-2.83,6.67,6.67,6.69
35.62,8.72,8.72,2.04,2.04,-2.05,-2.10,-2.78,6.66,6.67,6.68
35.97,8.71,8.71,2.03,2.03,-2.04,-2.08,-2.73,6.67,6.67,6.68
36.33,8.71,8.71,2.04,2.03,-2.02,-2.06,-2.68,6.68,6.68,6.67
36.70,8.70,8.70,2.03,2.03,-2.01,-2.03,-2.62,6.69,6.69,6.67
37.06,8.68,8.68,2.02,2.02,-1.99,-2.01,-2.57,6.68,6.68,6.66
37.43,8.65,8.65,1.99,1.99,-1.98,-1.99,-2.51,6.67,6.67,6.66
37.81,8.61,8.61,1.96,1.96,-1.96,-1.96,-2.46,6.65,6.65,6.65
38.19,8.56,8.56,1.92,1.92,-1.93,-1.94,-2.40,6.63,6.63,6.64
38.57,8.52,8.52,1.88,1.89,-1.90,-1.92,-2.34,6.62,6.62,6.64
38.95,8.49,8.49,1.86,1.86,-1.87,-1.89,-2.28,6.62,6.62,6.63
39.34,8.47,8.46,1.84,1.84,-1.83,-1.87,-2.23,6.64,6.63,6.62
39.74,8.43,8.43,1.81,1.81,-1.79,-1.84,-2.17,6.63,6.63,6.62
40.14,8.39,8.38,1.78,1.78,-1.76,-1.82,-2.11,6.63,6.62,6.61
40.54,8.33,8.33,1.73,1.73,-1.73,-1.79,-2.06,6.60,6.61,6.60
40.94,8.28,8.28,1.69,1.69,-1.70,-1.77,-2.01,6.58,6.59,6.59
41.35,8.24,8.24,1.65,1.65,-1.67,-1.74,-1.95,6.57,6.57,6.58
41.76,8.20,8.21,1.62,1.63,-1.65,-1.71,-1.90,6.55,6.56,6.58
42.18,8.19,8.18,1.62,1.62,-1.64,-1.69,-1.85,6.55,6.55,6.57
42.60,8.17,8.17,1.61,1.62,-1.63,-1.66,-1.80,6.54,6.55,6.56
43.03,8.17,8.17,1.62,1.62,-1.62,-1.64,-1.75,6.55,6.54,6.55
43.46,8.16,8.16,1.62,1.62,-1.61,-1.61,-1.70,6.55,6.55,6.54
43.90,8.15,8.15,1.62,1.63,-1.60,-1.58,-1.65,6.55,6.55,6.53
44.33,8.14,8.13,1.62,1.61,-1.58,-1.56,-1.61,6.55,6.54,6.52
44.78,8.09,8.09,1.58,1.58,-1.56,-1.53,-1.56,6.53,6.53,6.51
45.23,8.03,8.03,1.54,1.53,-1.53,-1.51,-1.52,6.50,6.50,6.49
45.68,7.96,7.96,1.48,1.48,-1.49,-1.48,-1.48,6.47,6.47,6.48
46.13,7.90,7.91,1.43,1.44,-1.45,-1.46,-1.44,6.44,6.45,6.47
46.60,7.86,7.86,1.40,1.40,-1.41,-1.43,-1.40,6.45,6.44,6.46
47.06,7.82,7.82,1.38,1.37,-1.38,-1.41,-1.36,6.44,6.44,6.44
