frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.38,3.38,-5.67,-5.67,5.66,4.85,1.60,9.04,9.04,9.05
20.20,3.45,3.45,-5.60,-5.60,5.60,4.82,1.65,9.05,9.05,9.05
20.40,3.51,3.52,-5.54,-5.54,5.54,4.78,1.70,9.05,9.05,9.05
20.61,3.58,3.58,-5.47,-5.47,5.48,4.75,1.75,9.06,9.06,9.05
20.81,3.65,3.65,-5.40,-5.40,5.41,4.72,1.81,9.07,9.06,9.05
21.02,3.71,3.71,-5.34,-5.34,5.35,4.68,1.86,9.06,9.06,9.05
21.23,3.77,3.77,-5.28,-5.28,5.29,4.65,1.92,9.06,9.06,9.05
21.44,3.82,3.82,-5.23,-5.23,5.23,4.61,1.97,9.05,9.05,9.05
21.66,3.87,3.87,-5.18,-5.17,5.17,4.57,2.03,9.04,9.05,9.05
21.87,3.93,3.93,-5.12,-5.12,5.12,4.54,2.09,9.05,9.04,9.05
22.09,3.98,3.98,-5.07,-5.06,5.06,4.50,2.16,9.04,9.04,9.05
22.31,4.04,4.04,-5.00,-5.00,4.99,4.47,2.22,9.04,9.04,9.05
22.54,4.11,4.11,-4.94,-4.94,4.93,4.43,2.29,9.04,9.04,9.04
22.76,4.18,4.18,-4.86,-4.86,4.86,4.40,2.35,9.04,9.04,9.04
22.99,4.25,4.25,-4.79,-4.79,4.79,4.36,2.42,9.04,9.04,9.04
23.22,4.32,4.32,-4.72,-4.72,4.72,4.32,2.49,9.04,9.04,9.04
23.45,4.39,4.39,-4.65,-4.65,4.65,4.29,2.57,9.04,9.04,9.04
23.69,4.46,4.46,-4.58,-4.58,4.59,4.25,2.64,9.05,9.05,9.04
23.92,4.52,4.52,-4.52,-4.52,4.52,4.21,2.72,9.04,9.04,9.04
24.16,4.58,4.58,-4.46,-4.46,4.46,4.17,2.79,9.04,9.04,9.04
24.40,4.63,4.63,-4.40,-4.40,4.40,4.14,2.87,9.03,9.03,9.04
24.65,4.68,4.69,-4.35,-4.35,4.35,4.10,2.95,9.03,9.03,9.03
24.89,4.74,4.74,-4.29,-4.30,4.29,4.06,3.03,9.03,9.03,9.03
25.14,4.79,4.79,-4.24,-4.24,4.24,4.02,3.11,9.03,9.03,9.03
25.39,4.84,4.84,-4.19,-4.19,4.19,3.99,3.19,9.03,9.03,9.03
25.65,4.89,4.89,-4.14,-4.14,4.14,3.95,3.27,9.03,9.03,9.03
25.91,4.94,4.94,-4.09,-4.09,4.10,3.91,3.35,9.04,9.03,9.03
26.16,4.98,4.98,-4.04,-4.05,4.05,3.87,3.43,9.03,9.03,9.03
26.43,5.02,5.02,-4.00,-4.00,4.00,3.83,3.51,9.02,9.02,9.02
26.69,5.06,5.06,-3.96,-3.96,3.95,3.80,3.59,9.01,9.01,9.02
26.96,5.11,5.11,-3.91,-3.91,3.90,3.76,3.66,9.01,9.01,9.02
