frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.21,5.21,0.54,0.54,-0.54,-0.26,-0.28,4.67,4.67,4.67
20.20,5.22,5.22,0.55,0.55,-0.55,-0.26,-0.29,4.67,4.67,4.67
20.40,5.23,5.23,0.56,0.56,-0.56,-0.26,-0.30,4.66,4.67,4.67
20.61,5.25,5.24,0.58,0.58,-0.58,-0.26,-0.31,4.67,4.67,4.67
20.81,5.26,5.26,0.59,0.59,-0.59,-0.27,-0.32,4.67,4.67,4.67
21.02,5.28,5.28,0.61,0.61,-0.61,-0.27,-0.33,4.67,4.67,4.67
21.23,5.30,5.29,0.63,0.63,-0.63,-0.27,-0.34,4.67,4.67,4.67
21.44,5.31,5.31,0.64,0.65,-0.65,-0.27,-0.35,4.66,4.67,4.66
21.66,5.33,5.33,0.66,0.66,-0.67,-0.27,-0.36,4.66,4.66,4.66
21.87,5.35,5.35,0.69,0.68,-0.69,-0.27,-0.37,4.66,4.66,4.66
22.09,5.37,5.37,0.71,0.71,-0.71,-0.27,-0.38,4.66,4.66,4.66
22.31,5.39,5.39,0.73,0.73,-0.74,-0.27,-0.39,4.65,4.65,4.66
22.54,5.42,5.41,0.76,0.75,-0.76,-0.27,-0.40,4.66,4.65,4.66
22.76,5.44,5.44,0.78,0.78,-0.78,-0.27,-0.41,4.65,4.66,4.66
22.99,5.47,5.47,0.81,0.81,-0.80,-0.27,-0.42,4.66,4.66,4.66
23.22,5.49,5.49,0.83,0.83,-0.82,-0.27,-0.44,4.67,4.67,4.66
23.45,5.50,5.50,0.84,0.84,-0.83,-0.27,-0.45,4.67,4.67,4.66
23.69,5.50,5.50,0.84,0.84,-0.83,-0.27,-0.46,4.67,4.67,4.66
23.92,5.49,5.49,0.83,0.83,-0.83,-0.27,-0.48,4.66,4.66,4.65
24.16,5.47,5.47,0.81,0.82,-0.82,-0.28,-0.49,4.65,4.65,4.65
24.40,5.45,5.45,0.80,0.80,-0.81,-0.28,-0.50,4.64,4.65,4.65
24.65,5.44,5.43,0.79,0.78,-0.79,-0.28,-0.52,4.65,4.64,4.65
24.89,5.42,5.42,0.77,0.77,-0.78,-0.28,-0.53,4.64,4.64,4.65
25.14,5.41,5.41,0.76,0.76,-0.77,-0.28,-0.54,4.64,4.64,4.65
25.39,5.41,5.40,0.76,0.76,-0.76,-0.28,-0.56,4.65,4.64,4.65
25.65,5.40,5.40,0.75,0.76,-0.75,-0.28,-0.57,4.65,4.65,4.64
25.91,5.40,5.40,0.75,0.75,-0.74,-0.28,-0.59,4.65,4.65,4.64
26.16,5.39,5.39,0.75,0.75,-0.74,-0.28,-0.60,4.65,4.65,4.64
26.43,5.38,5.38,0.74,0.74,-0.73,-0.28,-0.61,4.64,4.65,4.64
26.69,5.37,5.37,0.73,0.73,-0.73,-0.28,-0.62,4.64,4.64,4.64
26.96,5.36,5.36,0.72,0.72,-0.73,-0.28,-0.64,4.63,4.63,4.64
27.23,5.35,5.35,0.71,0.72,-0.73,-0.29,-0.65,4.62,4.62,4.64
27.50,5.36,5.36,0.72,0.72,-0.73,-0.29,-0.66,4.63,4.63,4.63
27.77,5.37,5.37,0.74,0.73,-0.74,-0.29,-0.67,4.63,4.63,4.63
28.05,5.38,5.37,0.75,0.75,-0.74,-0.29,-0.68,4.64,4.64,4.63
28.33,5.38,5.38,0.75,0.75,-0.74,-0.29,-0.69,4.64,4.64,4.63
28.62,5.38,5.38,0.75,0.75,-0.74,-0.29,-0.70,4.63,4.64,4.62
28.90,5.38,5.37,0.75,0.75,-0.75,-0.29,-0.71,4.63,4.63,4.62
29.19,5.37,5.37,0.75,0.75,-0.75,-0.29,-0.72,4.62,4.62,4.62
29.48,5.36,5.36,0.74,0.74,-0.75,-0.29,-0.72,4.61,4.61,4.62
29.78,5.35,5.35,0.73,0.73,-0.75,-0.29,-0.73,4.60,4.60,4.62
30.08,5.35,5.35,0.73,0.74,-0.75,-0.29,-0.73,4.60,4.60,4.61
30.38,5.36,5.36,0.75,0.75,-0.75,-0.30,-0.74,4.61,4.61,4.61
30.68,5.37,5.36,0.76,0.76,-0.75,-0.30,-0.74,4.62,4.61,4.61
30.99,5.37,5.37,0.76,0.76,-0.75,-0.30,-0.74,4.62,4.62,4.60
31.30,5.36,5.36,0.76,0.76,-0.75,-0.30,-0.74,4.61,4.61,4.60
31.61,5.35,5.35,0.75,0.75,-0.74,-0.30,-0.74,4.61,4.61,4.60
31.93,5.33,5.33,0.73,0.73,-0.73,-0.30,-0.73,4.60,4.60,4.59
32.24,5.31,5.31,0.72,0.72,-0.72,-0.30,-0.73,4.59,4.59,4.59
32.57,5.29,5.29,0.70,0.70,-0.71,-0.30,-0.72,4.58,4.58,4.59
32.89,5.27,5.27,0.68,0.69,-0.69,-0.30,-0.72,4.57,4.57,4.58
33.22,5.26,5.26,0.68,0.68,-0.69,-0.31,-0.71,4.57,4.57,4.58
33.55,5.25,5.25,0.67,0.67,-0.68,-0.31,-0.70,4.57,4.57,4.58
33.89,5.25,5.24,0.68,0.67,-0.68,-0.31,-0.69,4.57,4.57,4.57
34.23,5.24,5.24,0.67,0.67,-0.67,-0.31,-0.68,4.57,4.57,4.57
34.57,5.24,5.24,0.67,0.67,-0.66,-0.31,-0.67,4.57,4.57,4.56
34.92,5.23,5.23,0.67,0.67,-0.65,-0.31,-0.65,4.57,4.57,4.56
35.27,5.21,5.21,0.65,0.65,-0.64,-0.31,-0.64,4.57,4.57,4.55
35.62,5.19,5.19,0.64,0.64,-0.63,-0.31,-0.62,4.56,4.56,4.55
35.97,5.16,5.16,0.61,0.61,-0.61,-0.31,-0.61,4.55,4.55,4.54
36.33,5.13,5.13,0.59,0.59,-0.59,-0.31,-0.59,4.53,4.53,4.54
36.70,5.10,5.10,0.56,0.56,-0.58,-0.32,-0.58,4.52,4.52,4.53
37.06,5.08,5.08,0.55,0.55,-0.57,-0.32,-0.56,4.51,4.51,4.53
37.43,5.07,5.07,0.55,0.55,-0.56,-0.32,-0.55,4.51,4.51,4.52
37.81,5.07,5.07,0.55,0.55,-0.55,-0.32,-0.53,4.51,4.51,4.52
38.19,5.07,5.07,0.56,0.56,-0.55,-0.32,-0.51,4.52,4.52,4.51
38.57,5.06,5.06,0.55,0.56,-0.54,-0.32,-0.49,4.52,4.52,4.50
38.95,5.05,5.04,0.55,0.55,-0.53,-0.32,-0.48,4.52,4.52,4.50
39.34,5.02,5.02,0.53,0.53,-0.51,-0.32,-0.46,4.50,4.50,4.49
39.74,4.98,4.98,0.50,0.50,-0.50,-0.32,-0.44,4.48,4.48,4.48
40.14,4.95,4.95,0.47,0.47,-0.49,-0.32,-0.42,4.46,4.46,4.47
40.54,4.92,4.92,0.45,0.46,-0.48,-0.33,-0.41,4.44,4.45,4.47
40.94,4.91,4.91,0.45,0.45,-0.47,-0.33,-0.39,4.44,4.44,4.46
41.35,4.91,4.91,0.46,0.46,-0.46,-0.33,-0.37,4.45,4.45,4.45
41.76,4.91,4.90,0.47,0.46,-0.46,-0.33,-0.35,4.45,4.45,4.44
42.18,4.90,4.90,0.47,0.47,-0.46,-0.33,-0.34,4.44,4.44,4.43
42.60,4.89,4.89,0.46,0.46,-0.46,-0.33,-0.32,4.43,4.43,4.42
43.03,4.87,4.87,0.45,0.46,-0.45,-0.33,-0.30,4.41,4.42,4.41
43.46,4.86,4.86,0.45,0.45,-0.45,-0.33,-0.29,4.41,4.41,4.40
43.90,4.84,4.83,0.45,0.44,-0.44,-0.33,-0.27,4.40,4.40,4.39
44.33,4.81,4.81,0.43,0.43,-0.42,-0.33,-0.25,4.38,4.38,4.38
44.78,4.78,4.78,0.41,0.41,-0.41,-0.33,-0.24,4.37,4.37,4.37
45.23,4.75,4.75,0.39,0.39,-0.39,-0.33,-0.22,4.35,4.36,4.36
45.68,4.72,4.72,0.37,0.37,-0.38,-0.33,-0.21,4.34,4.34,4.35
46.13,4.70,4.69,0.36,0.36,-0.36,-0.33,-0.19,4.34,4.33,4.33
46.60,4.67,4.67,0.35,0.34,-0.34,-0.33,-0.17,4.32,4.32,4.32
47.06,4.64,4.64,0.33,0.33,-0.33,-0.33,-0.16,4.31,4.31,4.31
47.53,4.61,4.61,0.31,0.32,-0.32,-0.33,-0.14,4.29,4.29,4.29
48.01,4.59,4.58,0.31,0.30,-0.31,-0.33,-0.13,4.28,4.28,4.28
48.49,4.56,4.56,0.29,0.30,-0.30,-0.33,-0.11,4.26,4.26,4.27
48.97,4.54,4.54,0.29,0.29,-0.29,-0.33,-0.10,4.25,4.25,4.25
49.46,4.52,4.51,0.28,0.28,-0.28,-0.33,-0.09,4.24,4.24,4.23
49.96,4.49,4.49,0.27,0.27,-0.27,-0.33,-0.07,4.22,4.22,4.22
50.46,4.46,4.46,0.26,0.26,-0.25,-0.32,-0.06,4.21,4.21,4.20
50.96,4.43,4.42,0.24,0.24,-0.23,-0.32,-0.05,4.19,4.19,4.18
51.47,4.39,4.38,0.22,0.22,-0.21,-0.32,-0.03,4.17,4.17,4.17
51.99,4.34,4.34,0.19,0.20,-0.19,-0.32,-0.02,4.14,4.15,4.15
52.51,4.30,4.30,0.17,0.17,-0.17,-0.32,-0.01,4.12,4.12,4.13
53.03,4.26,4.26,0.15,0.15,-0.16,-0.31,0.00,4.10,4.10,4.11
53.56,4.22,4.22,0.13,0.13,-0.14,-0.31,0.01,4.08,4.08,4.09
54.10,4.19,4.19,0.12,0.12,-0.13,-0.31,0.02,4.06,4.06,4.07
54.64,4.16,4.16,0.11,0.12,-0.12,-0.30,0.03,4.04,4.04,4.04
55.18,4.14,4.14,0.12,0.12,-0.12,-0.30,0.04,4.02,4.02,4.02
55.74,4.12,4.12,0.12,0.12,-0.12,-0.29,0.04,4.00,4.00,4.00
56.29,4.10,4.10,0.12,0.12,-0.12,-0.29,0.05,3.98,3.98,3.97
56.86,4.08,4.08,0.13,0.13,-0.12,-0.28,0.05,3.96,3.95,3.95
57.42,4.05,4.05,0.12,0.13,-0.12,-0.28,0.06,3.92,3.93,3.92
58.00,4.03,4.02,0.13,0.13,-0.12,-0.27,0.06,3.90,3.90,3.90
58.58,4.00,3.99,0.13,0.12,-0.12,-0.27,0.06,3.87,3.87,3.87
59.16,3.96,3.96,0.12,0.12,-0.12,-0.26,0.06,3.83,3.84,3.84
59.76,3.93,3.93,0.12,0.12,-0.12,-0.25,0.06,3.81,3.81,3.81
60.35,3.90,3.90,0.11,0.11,-0.12,-0.25,0.06,3.78,3.78,3.78
60.96,3.87,3.87,0.12,0.12,-0.11,-0.24,0.06,3.76,3.76,3.75
61.57,3.84,3.83,0.12,0.11,-0.11,-0.23,0.05,3.73,3.73,3.72
62.18,3.80,3.80,0.11,0.11,-0.11,-0.22,0.04,3.69,3.69,3.69
62.80,3.76,3.76,0.10,0.10,-0.10,-0.21,0.04,3.65,3.65,3.66
63.43,3.72,3.72,0.10,0.10,-0.10,-0.20,0.03,3.61,3.61,3.62
64.07,3.68,3.68,0.09,0.10,-0.10,-0.19,0.02,3.58,3.58,3.59
64.71,3.65,3.65,0.10,0.10,-0.10,-0.18,0.00,3.55,3.55,3.55
65.35,3.62,3.61,0.10,0.10,-0.10,-0.17,-0.01,3.52,3.52,3.51
66.01,3.58,3.58,0.10,0.10,-0.10,-0.16,-0.03,3.48,3.48,3.47
66.67,3.54,3.54,0.10,0.10,-0.09,-0.15,-0.04,3.44,3.44,3.44
67.33,3.49,3.49,0.09,0.10,-0.09,-0.14,-0.06,3.39,3.40,3.40
68.01,3.45,3.44,0.09,0.09,-0.09,-0.13,-0.08,3.35,3.35,3.35
68.69,3.40,3.40,0.09,0.09,-0.09,-0.11,-0.10,3.30,3.31,3.31
69.37,3.36,3.36,0.09,0.09,-0.09,-0.10,-0.12,3.26,3.26,3.27
70.07,3.32,3.32,0.09,0.09,-0.09,-0.09,-0.15,3.22,3.22,3.23
70.77,3.28,3.28,0.10,0.10,-0.10,-0.08,-0.17,3.18,3.18,3.18
71.48,3.24,3.23,0.10,0.10,-0.10,-0.07,-0.20,3.14,3.14,3.13
72.19,3.19,3.19,0.10,0.10,-0.10,-0.06,-0.22,3.09,3.09,3.09
72.91,3.14,3.14,0.10,0.10,-0.10,-0.06,-0.25,3.04,3.04,3.04
73.64,3.09,3.09,0.10,0.10,-0.10,-0.05,-0.28,2.99,2.99,2.99
74.38,3.04,3.03,0.10,0.09,-0.09,-0.04,-0.31,2.94,2.94,2.94
75.12,2.98,2.98,0.09,0.09,-0.09,-0.03,-0.34,2.89,2.89,2.89
75.87,2.92,2.92,0.08,0.09,-0.09,-0.03,-0.37,2.83,2.83,2.84
76.63,2.87,2.87,0.09,0.09,-0.09,-0.02,-0.40,2.78,2.78,2.78
77.40,2.82,2.82,0.09,0.09,-0.09,-0.02,-0.44,2.73,2.72,2.73
78.17,2.77,2.77,0.09,0.09,-0.09,-0.02,-0.47,2.67,2.67,2.67
78.95,2.71,2.71,0.09,0.09,-0.10,-0.02,-0.51,2.61,2.62,2.62
79.74,2.66,2.65,0.10,0.10,-0.10,-0.02,-0.54,2.56,2.56,2.56
80.54,2.60,2.60,0.10,0.10,-0.10,-0.02,-0.58,2.50,2.50,2.50
81.35,2.54,2.54,0.10,0.10,-0.09,-0.02,-0.61,2.44,2.44,2.44
82.16,2.48,2.47,0.10,0.09,-0.09,-0.02,-0.65,2.39,2.38,2.38
82.98,2.40,2.40,0.08,0.08,-0.08,-0.03,-0.69,2.32,2.32,2.32
83.81,2.33,2.33,0.07,0.07,-0.07,-0.04,-0.73,2.26,2.26,2.26
84.65,2.25,2.24,0.05,0.05,-0.05,-0.05,-0.77,2.20,2.20,2.20
