frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.42,0.43,-7.35,-7.35,6.00,6.28,2.25,6.42,6.43,7.77
20.20,0.48,0.48,-7.29,-7.30,6.00,6.25,2.32,6.48,6.48,7.77
20.40,0.53,0.53,-7.24,-7.24,6.00,6.21,2.39,6.53,6.53,7.77
20.61,0.58,0.59,-7.19,-7.19,6.00,6.17,2.46,6.58,6.59,7.77
20.81,0.64,0.64,-7.13,-7.13,6.00,6.14,2.53,6.64,6.64,7.77
21.02,0.71,0.71,-7.06,-7.06,6.00,6.10,2.61,6.71,6.71,7.77
21.23,0.78,0.78,-6.99,-6.99,6.00,6.06,2.68,6.78,6.78,7.77
21.44,0.85,0.85,-6.92,-6.92,6.00,6.03,2.76,6.85,6.85,7.77
21.66,0.93,0.93,-6.84,-6.84,6.00,5.99,2.84,6.93,6.93,7.77
21.87,1.00,1.01,-6.76,-6.76,6.00,5.95,2.93,7.00,7.01,7.77
22.09,1.08,1.08,-6.68,-6.69,6.00,5.91,3.01,7.08,7.08,7.77
22.31,1.14,1.15,-6.62,-6.62,6.00,5.87,3.10,7.14,7.15,7.77
22.54,1.21,1.21,-6.55,-6.56,6.00,5.83,3.19,7.21,7.21,7.77
22.76,1.26,1.26,-6.50,-6.50,6.00,5.80,3.28,7.26,7.26,7.76
22.99,1.32,1.32,-6.44,-6.44,6.00,5.76,3.38,7.32,7.32,7.76
23.22,1.37,1.37,-6.39,-6.39,6.00,5.72,3.48,7.38,7.38,7.76
23.45,1.43,1.43,-6.33,-6.33,6.01,5.68,3.57,7.44,7.44,7.76
23.69,1.49,1.49,-6.27,-6.27,6.01,5.64,3.68,7.50,7.50,7.76
23.92,1.55,1.56,-6.21,-6.20,6.01,5.60,3.78,7.56,7.56,7.76
24.16,1.62,1.62,-6.14,-6.14,6.00,5.56,3.88,7.62,7.62,7.76
24.40,1.69,1.69,-6.06,-6.06,5.98,5.52,3.99,7.67,7.67,7.76
