frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.03,15.03,8.53,8.54,-8.54,-8.64,-3.56,6.49,6.49,6.50
20.20,15.02,15.02,8.53,8.52,-8.52,-8.61,-3.66,6.50,6.49,6.50
20.40,15.00,15.00,8.51,8.51,-8.51,-8.59,-3.76,6.49,6.50,6.49
20.61,14.99,14.99,8.50,8.49,-8.49,-8.57,-3.87,6.50,6.50,6.49
20.81,14.97,14.97,8.48,8.48,-8.47,-8.55,-3.97,6.50,6.50,6.49
21.02,14.95,14.95,8.46,8.46,-8.46,-8.53,-4.08,6.49,6.50,6.49
21.23,14.93,14.93,8.44,8.44,-8.44,-8.50,-4.19,6.49,6.49,6.49
21.44,14.91,14.91,8.42,8.42,-8.42,-8.48,-4.31,6.49,6.49,6.49
21.66,14.89,14.89,8.40,8.40,-8.40,-8.46,-4.43,6.49,6.49,6.49
21.87,14.87,14.87,8.38,8.38,-8.38,-8.43,-4.55,6.49,6.49,6.49
22.09,14.84,14.84,8.35,8.35,-8.36,-8.41,-4.68,6.48,6.49,6.49
22.31,14.82,14.82,8.33,8.33,-8.34,-8.39,-4.81,6.48,6.49,6.49
22.54,14.80,14.80,8.31,8.31,-8.32,-8.36,-4.94,6.49,6.48,6.49
22.76,14.78,14.78,8.29,8.29,-8.30,-8.34,-5.08,6.48,6.49,6.49
22.99,14.76,14.76,8.28,8.28,-8.28,-8.31,-5.21,6.49,6.49,6.49
23.22,14.74,14.74,8.26,8.26,-8.26,-8.29,-5.36,6.49,6.49,6.48
23.45,14.72,14.72,8.24,8.24,-8.23,-8.26,-5.50,6.49,6.49,6.48
23.69,14.70,14.70,8.22,8.22,-8.21,-8.24,-5.66,6.49,6.48,6.48
23.92,14.67,14.67,8.19,8.19,-8.19,-8.21,-5.81,6.48,6.48,6.48
24.16,14.65,14.65,8.17,8.17,-8.17,-8.19,-5.96,6.48,6.48,6.48
24.40,14.63,14.63,8.15,8.15,-8.15,-8.16,-6.12,6.48,6.48,6.48
24.65,14.60,14.60,8.12,8.13,-8.13,-8.13,-6.28,6.47,6.48,6.48
24.89,14.58,14.58,8.10,8.10,-8.10,-8.11,-6.45,6.48,6.48,6.48
25.14,14.56,14.56,8.09,8.08,-8.08,-8.08,-6.62,6.48,6.47,6.47
25.39,14.53,14.53,8.06,8.06,-8.06,-8.05,-6.78,6.47,6.47,6.47
25.65,14.51,14.51,8.04,8.04,-8.04,-8.03,-6.95,6.47,6.47,6.47
25.91,14.49,14.49,8.02,8.02,-8.02,-8.00,-7.12,6.47,6.47,6.47
26.16,14.46,14.47,7.99,8.00,-8.00,-7.97,-7.30,6.46,6.47,6.47
26.43,14.44,14.44,7.97,7.97,-7.97,-7.94,-7.47,6.47,6.47,6.47
26.69,14.42,14.42,7.96,7.95,-7.95,-7.92,-7.64,6.47,6.46,6.47
26.96,14.39,14.40,7.93,7.93,-7.93,-7.89,-7.81,6.46,6.46,6.46
27.23,14.37,14.37,7.91,7.91,-7.91,-7.86,-7.97,6.46,6.46,6.46
27.50,14.35,14.35,7.89,7.89,-7.89,-7.83,-8.14,6.46,6.46,6.46
27.77,14.32,14.32,7.86,7.87,-7.86,-7.80,-8.30,6.46,6.46,6.46
28.05,14.30,14.30,7.84,7.84,-7.84,-7.77,-8.45,6.46,6.46,6.46
28.33,14.27,14.27,7.82,7.82,-7.82,-7.74,-8.60,6.45,6.45,6.45
28.62,14.24,14.25,7.79,7.79,-7.79,-7.71,-8.74,6.45,6.45,6.45
28.90,14.22,14.22,7.77,7.77,-7.77,-7.68,-8.87,6.45,6.45,6.45
29.19,14.19,14.19,7.74,7.74,-7.74,-7.65,-8.99,6.45,6.45,6.45
29.48,14.16,14.16,7.72,7.72,-7.71,-7.62,-9.09,6.45,6.45,6.44
29.78,14.13,14.13,7.69,7.69,-7.69,-7.59,-9.19,6.45,6.44,6.44
30.08,14.09,14.10,7.65,7.66,-7.66,-7.56,-9.27,6.44,6.44,6.44
30.38,14.06,14.06,7.62,7.62,-7.63,-7.53,-9.35,6.44,6.44,6.44
30.68,14.03,14.03,7.60,7.59,-7.59,-7.50,-9.40,6.44,6.43,6.43
30.99,13.99,13.99,7.56,7.56,-7.56,-7.47,-9.44,6.43,6.43,6.43
31.30,13.96,13.96,7.53,7.53,-7.53,-7.44,-9.45,6.43,6.43,6.43
31.61,13.92,13.92,7.50,7.50,-7.50,-7.41,-9.47,6.42,6.43,6.42
31.93,13.89,13.89,7.47,7.47,-7.47,-7.38,-9.45,6.43,6.42,6.42
32.24,13.85,13.85,7.43,7.43,-7.43,-7.34,-9.43,6.42,6.42,6.42
32.57,13.81,13.81,7.40,7.40,-7.40,-7.31,-9.39,6.41,6.41,6.41
32.89,13.77,13.77,7.36,7.36,-7.36,-7.28,-9.34,6.41,6.41,6.41
33.22,13.74,13.74,7.33,7.33,-7.33,-7.25,-9.26,6.41,6.41,6.41
33.55,13.70,13.70,7.30,7.30,-7.30,-7.21,-9.19,6.40,6.40,6.40
33.89,13.66,13.66,7.26,7.26,-7.26,-7.18,-9.10,6.40,6.40,6.40
34.23,13.62,13.62,7.23,7.23,-7.23,-7.15,-9.00,6.39,6.39,6.40
34.57,13.58,13.58,7.19,7.19,-7.19,-7.12,-8.89,6.39,6.39,6.39
34.92,13.55,13.55,7.16,7.16,-7.16,-7.08,-8.78,6.39,6.39,6.39
35.27,13.51,13.51,7.13,7.13,-7.13,-7.05,-8.65,6.38,6.38,6.38
35.62,13.47,13.47,7.09,7.10,-7.09,-7.02,-8.53,6.38,6.38,6.38
35.97,13.43,13.43,7.06,7.06,-7.06,-6.98,-8.40,6.37,6.37,6.37
36.33,13.39,13.39,7.02,7.02,-7.02,-6.95,-8.27,6.37,6.37,6.37
36.70,13.35,13.35,6.99,6.99,-6.99,-6.91,-8.14,6.36,6.36,6.36
37.06,13.31,13.31,6.96,6.95,-6.95,-6.88,-8.00,6.36,6.36,6.36
37.43,13.27,13.27,6.92,6.92,-6.92,-6.85,-7.87,6.35,6.35,6.35
37.81,13.22,13.22,6.88,6.88,-6.88,-6.81,-7.74,6.34,6.34,6.34
38.19,13.18,13.18,6.84,6.84,-6.85,-6.78,-7.61,6.34,6.34,6.34
38.57,13.14,13.14,6.81,6.81,-6.81,-6.74,-7.48,6.33,6.33,6.33
38.95,13.09,13.09,6.77,6.77,-6.77,-6.71,-7.35,6.32,6.33,6.32
39.34,13.05,13.05,6.73,6.73,-6.73,-6.67,-7.23,6.32,6.32,6.32
39.74,13.00,13.00,6.69,6.69,-6.69,-6.64,-7.11,6.31,6.31,6.31
40.14,12.95,12.95,6.65,6.65,-6.65,-6.60,-6.99,6.30,6.30,6.30
40.54,12.90,12.90,6.61,6.61,-6.61,-6.57,-6.88,6.29,6.29,6.29
40.94,12.85,12.85,6.56,6.57,-6.57,-6.53,-6.77,6.28,6.28,6.29
41.35,12.80,12.80,6.52,6.52,-6.52,-6.49,-6.66,6.28,6.28,6.28
41.76,12.75,12.75,6.48,6.48,-6.48,-6.46,-6.56,6.27,6.27,6.27
42.18,12.70,12.70,6.44,6.44,-6.44,-6.42,-6.46,6.26,6.26,6.26
42.60,12.65,12.65,6.40,6.40,-6.40,-6.39,-6.37,6.25,6.25,6.25
43.03,12.59,12.59,6.35,6.35,-6.35,-6.35,-6.29,6.24,6.24,6.24
43.46,12.54,12.54,6.31,6.31,-6.31,-6.31,-6.20,6.23,6.23,6.23
43.90,12.48,12.48,6.26,6.26,-6.27,-6.28,-6.12,6.21,6.22,6.22
44.33,12.43,12.43,6.22,6.22,-6.23,-6.24,-6.05,6.21,6.21,6.21
44.78,12.38,12.38,6.18,6.18,-6.18,-6.20,-5.98,6.20,6.19,6.20
