frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.83,10.84,3.99,3.99,-3.99,-3.98,-1.33,6.84,6.84,6.84
20.20,10.81,10.81,3.97,3.97,-3.97,-3.96,-1.37,6.84,6.84,6.84
20.40,10.79,10.79,3.95,3.95,-3.95,-3.94,-1.41,6.84,6.84,6.84
20.61,10.76,10.77,3.93,3.93,-3.93,-3.92,-1.45,6.84,6.84,6.84
20.81,10.74,10.74,3.91,3.90,-3.91,-3.89,-1.49,6.84,6.84,6.84
21.02,10.71,10.72,3.88,3.88,-3.88,-3.87,-1.54,6.83,6.84,6.84
21.23,10.69,10.69,3.86,3.85,-3.86,-3.85,-1.58,6.84,6.83,6.84
21.44,10.66,10.66,3.83,3.83,-3.83,-3.83,-1.63,6.83,6.83,6.84
21.66,10.63,10.64,3.80,3.80,-3.80,-3.81,-1.68,6.83,6.84,6.83
21.87,10.61,10.61,3.78,3.78,-3.78,-3.78,-1.73,6.84,6.84,6.83
22.09,10.58,10.58,3.75,3.75,-3.75,-3.76,-1.78,6.84,6.84,6.83
22.31,10.55,10.55,3.72,3.72,-3.72,-3.74,-1.84,6.84,6.83,6.83
22.54,10.51,10.52,3.68,3.69,-3.69,-3.71,-1.89,6.83,6.83,6.83
22.76,10.48,10.49,3.65,3.65,-3.65,-3.69,-1.95,6.83,6.83,6.83
22.99,10.45,10.45,3.62,3.62,-3.62,-3.67,-2.00,6.83,6.83,6.83
23.22,10.42,10.42,3.60,3.59,-3.59,-3.64,-2.06,6.83,6.83,6.83
23.45,10.38,10.39,3.56,3.56,-3.56,-3.62,-2.12,6.82,6.82,6.83
23.69,10.35,10.36,3.53,3.53,-3.53,-3.59,-2.18,6.82,6.82,6.83
23.92,10.33,10.33,3.51,3.50,-3.51,-3.56,-2.24,6.83,6.82,6.83
24.16,10.30,10.30,3.48,3.48,-3.48,-3.54,-2.31,6.83,6.83,6.82
24.40,10.27,10.27,3.45,3.45,-3.45,-3.51,-2.37,6.83,6.83,6.82
24.65,10.24,10.24,3.42,3.42,-3.42,-3.48,-2.44,6.83,6.82,6.82
24.89,10.20,10.21,3.38,3.39,-3.39,-3.46,-2.50,6.82,6.82,6.82
25.14,10.17,10.17,3.35,3.36,-3.36,-3.43,-2.57,6.82,6.82,6.82
25.39,10.14,10.14,3.33,3.32,-3.33,-3.40,-2.63,6.82,6.82,6.82
25.65,10.11,10.11,3.30,3.29,-3.29,-3.37,-2.70,6.82,6.82,6.82
25.91,10.07,10.08,3.26,3.26,-3.26,-3.34,-2.76,6.81,6.81,6.81
26.16,10.04,10.04,3.23,3.23,-3.23,-3.31,-2.83,6.81,6.81,6.81
26.43,10.01,10.01,3.20,3.20,-3.20,-3.29,-2.89,6.81,6.81,6.81
26.69,9.98,9.98,3.17,3.18,-3.17,-3.26,-2.96,6.81,6.81,6.81
26.96,9.95,9.95,3.15,3.15,-3.14,-3.22,-3.02,6.81,6.81,6.81
27.23,9.92,9.92,3.12,3.12,-3.11,-3.19,-3.08,6.81,6.81,6.81
27.50,9.88,9.89,3.08,3.08,-3.08,-3.16,-3.14,6.80,6.81,6.80
27.77,9.85,9.85,3.05,3.05,-3.05,-3.13,-3.19,6.80,6.80,6.80
28.05,9.81,9.82,3.01,3.02,-3.02,-3.10,-3.25,6.80,6.80,6.80
28.33,9.78,9.78,2.99,2.98,-2.99,-3.07,-3.30,6.80,6.80,6.80
28.62,9.74,9.75,2.95,2.95,-2.95,-3.03,-3.34,6.79,6.79,6.80
28.90,9.71,9.71,2.92,2.92,-2.92,-3.00,-3.39,6.79,6.79,6.79
29.19,9.68,9.68,2.89,2.89,-2.89,-2.97,-3.43,6.80,6.79,6.79
29.48,9.64,9.65,2.85,2.86,-2.86,-2.93,-3.46,6.79,6.79,6.79
29.78,9.61,9.61,2.83,2.82,-2.82,-2.90,-3.49,6.79,6.79,6.79
30.08,9.57,9.57,2.79,2.79,-2.79,-2.87,-3.51,6.78,6.78,6.78
30.38,9.53,9.54,2.75,2.76,-2.76,-2.83,-3.53,6.78,6.78,6.78
30.68,9.50,9.50,2.73,2.72,-2.72,-2.80,-3.54,6.78,6.78,6.78
30.99,9.46,9.46,2.69,2.69,-2.69,-2.76,-3.55,6.78,6.77,6.78
31.30,9.42,9.43,2.65,2.65,-2.65,-2.73,-3.55,6.77,6.77,6.77
31.61,9.38,9.39,2.61,2.62,-2.62,-2.69,-3.54,6.77,6.77,6.77
31.93,9.35,9.35,2.59,2.58,-2.58,-2.65,-3.53,6.77,6.77,6.77
32.24,9.31,9.31,2.55,2.55,-2.55,-2.62,-3.52,6.76,6.76,6.76
32.57,9.27,9.27,2.52,2.51,-2.52,-2.58,-3.49,6.76,6.76,6.76
32.89,9.23,9.23,2.48,2.48,-2.48,-2.54,-3.47,6.75,6.75,6.76
33.22,9.19,9.20,2.44,2.45,-2.45,-2.51,-3.43,6.75,6.75,6.75
33.55,9.16,9.16,2.42,2.41,-2.41,-2.47,-3.40,6.75,6.75,6.75
33.89,9.12,9.12,2.38,2.38,-2.38,-2.43,-3.35,6.75,6.75,6.74
34.23,9.08,9.08,2.34,2.35,-2.34,-2.39,-3.31,6.74,6.74,6.74
34.57,9.04,9.04,2.31,2.31,-2.31,-2.36,-3.26,6.74,6.74,6.74
34.92,9.00,9.00,2.27,2.27,-2.27,-2.32,-3.20,6.73,6.73,6.73
35.27,8.96,8.96,2.24,2.24,-2.24,-2.28,-3.15,6.73,6.72,6.73
35.62,8.92,8.92,2.20,2.20,-2.21,-2.24,-3.09,6.72,6.72,6.72
35.97,8.88,8.88,2.17,2.17,-2.17,-2.20,-3.02,6.71,6.71,6.72
36.33,8.84,8.85,2.13,2.14,-2.14,-2.16,-2.96,6.71,6.71,6.71
36.70,8.81,8.81,2.11,2.11,-2.10,-2.12,-2.89,6.71,6.71,6.71
37.06,8.77,8.77,2.07,2.07,-2.07,-2.09,-2.83,6.70,6.70,6.70
37.43,8.73,8.73,2.04,2.04,-2.04,-2.05,-2.76,6.69,6.70,6.69
37.81,8.69,8.69,2.01,2.01,-2.01,-2.01,-2.69,6.69,6.69,6.69
38.19,8.65,8.65,1.97,1.97,-1.97,-1.97,-2.62,6.68,6.68,6.68
38.57,8.61,8.61,1.94,1.94,-1.94,-1.93,-2.55,6.68,6.68,6.67
38.95,8.57,8.57,1.91,1.91,-1.90,-1.89,-2.48,6.67,6.67,6.67
39.34,8.53,8.53,1.87,1.87,-1.87,-1.85,-2.41,6.66,6.66,6.66
39.74,8.48,8.49,1.83,1.83,-1.83,-1.82,-2.34,6.65,6.65,6.65
40.14,8.44,8.44,1.80,1.80,-1.80,-1.78,-2.27,6.64,6.64,6.65
40.54,8.40,8.40,1.77,1.77,-1.77,-1.74,-2.21,6.64,6.64,6.64
40.94,8.36,8.36,1.73,1.73,-1.73,-1.70,-2.14,6.63,6.63,6.63
41.35,8.32,8.32,1.70,1.70,-1.70,-1.67,-2.07,6.62,6.62,6.62
41.76,8.28,8.28,1.67,1.67,-1.67,-1.63,-2.01,6.61,6.61,6.61
42.18,8.24,8.24,1.64,1.64,-1.64,-1.59,-1.94,6.61,6.61,6.60
42.60,8.20,8.20,1.61,1.61,-1.61,-1.56,-1.88,6.60,6.59,6.59
43.03,8.15,8.16,1.57,1.57,-1.57,-1.52,-1.82,6.58,6.58,6.58
43.46,8.11,8.12,1.54,1.54,-1.54,-1.48,-1.76,6.57,6.57,6.57
43.90,8.07,8.07,1.51,1.51,-1.51,-1.45,-1.70,6.57,6.56,6.56
44.33,8.03,8.03,1.48,1.48,-1.48,-1.41,-1.64,6.56,6.56,6.55
44.78,7.98,7.99,1.44,1.45,-1.44,-1.38,-1.58,6.54,6.54,6.54
45.23,7.94,7.94,1.41,1.41,-1.41,-1.35,-1.53,6.53,6.53,6.53
45.68,7.89,7.90,1.38,1.38,-1.38,-1.31,-1.47,6.51,6.52,6.52
46.13,7.85,7.85,1.35,1.35,-1.35,-1.28,-1.42,6.50,6.50,6.51
46.60,7.81,7.81,1.32,1.32,-1.32,-1.25,-1.37,6.49,6.49,6.49
47.06,7.77,7.77,1.29,1.29,-1.29,-1.22,-1.32,6.48,6.48,6.48
47.53,7.73,7.73,1.27,1.27,-1.27,-1.19,-1.27,6.47,6.47,6.47
48.01,7.69,7.69,1.24,1.24,-1.24,-1.16,-1.22,6.45,6.45,6.45
48.49,7.65,7.65,1.22,1.22,-1.22,-1.13,-1.17,6.44,6.44,6.44
48.97,7.61,7.61,1.19,1.19,-1.19,-1.11,-1.13,6.42,6.42,6.42
49.46,7.57,7.57,1.17,1.17,-1.17,-1.08,-1.08,6.41,6.41,6.41
49.96,7.53,7.53,1.14,1.14,-1.14,-1.06,-1.04,6.39,6.39,6.39
50.46,7.49,7.49,1.12,1.12,-1.12,-1.03,-1.00,6.38,6.38,6.37
50.96,7.44,7.45,1.09,1.09,-1.09,-1.01,-0.96,6.35,6.36,6.35
51.47,7.40,7.40,1.07,1.06,-1.07,-0.99,-0.92,6.34,6.33,6.34
51.99,7.35,7.36,1.04,1.04,-1.04,-0.96,-0.88,6.31,6.31,6.32
52.51,7.31,7.31,1.02,1.02,-1.02,-0.94,-0.85,6.29,6.29,6.30
53.03,7.27,7.28,1.00,1.00,-1.00,-0.93,-0.81,6.27,6.28,6.28
53.56,7.24,7.24,0.99,0.98,-0.98,-0.91,-0.78,6.26,6.26,6.26
54.10,7.20,7.20,0.97,0.97,-0.96,-0.89,-0.75,6.24,6.24,6.24
54.64,7.16,7.16,0.95,0.95,-0.94,-0.88,-0.71,6.22,6.22,6.21
55.18,7.12,7.12,0.93,0.93,-0.93,-0.86,-0.69,6.20,6.19,6.19
55.74,7.07,7.08,0.91,0.91,-0.91,-0.85,-0.66,6.16,6.17,6.17
56.29,7.03,7.03,0.89,0.89,-0.90,-0.84,-0.63,6.14,6.14,6.14
56.86,6.99,7.00,0.87,0.88,-0.88,-0.83,-0.61,6.11,6.12,6.12
57.42,6.96,6.96,0.87,0.87,-0.87,-0.82,-0.59,6.10,6.10,6.09
58.00,6.92,6.92,0.86,0.86,-0.85,-0.81,-0.57,6.07,6.07,6.07
58.58,6.88,6.88,0.84,0.84,-0.84,-0.80,-0.55,6.04,6.04,6.04
59.16,6.84,6.84,0.83,0.83,-0.83,-0.80,-0.53,6.01,6.01,6.01
59.76,6.80,6.80,0.82,0.82,-0.82,-0.79,-0.51,5.98,5.98,5.98
60.35,6.76,6.76,0.81,0.81,-0.81,-0.79,-0.50,5.95,5.95,5.95
60.96,6.72,6.73,0.80,0.80,-0.81,-0.79,-0.49,5.92,5.92,5.92
61.57,6.69,6.69,0.80,0.80,-0.80,-0.79,-0.48,5.90,5.89,5.89
62.18,6.65,6.65,0.79,0.79,-0.79,-0.79,-0.48,5.86,5.86,5.86
62.80,6.61,6.61,0.79,0.79,-0.78,-0.79,-0.47,5.83,5.83,5.83
63.43,6.57,6.57,0.78,0.78,-0.78,-0.79,-0.47,5.80,5.79,5.79
64.07,6.52,6.53,0.77,0.77,-0.77,-0.80,-0.47,5.75,5.76,5.76
64.71,6.48,6.48,0.76,0.76,-0.76,-0.80,-0.47,5.72,5.72,5.72
65.35,6.44,6.44,0.76,0.76,-0.76,-0.81,-0.47,5.68,5.68,5.68
66.01,6.40,6.40,0.76,0.76,-0.76,-0.82,-0.48,5.65,5.65,5.65
66.67,6.36,6.36,0.76,0.76,-0.76,-0.82,-0.48,5.61,5.61,5.61
67.33,6.32,6.32,0.76,0.75,-0.76,-0.83,-0.49,5.56,5.56,5.57
68.01,6.27,6.28,0.75,0.75,-0.77,-0.84,-0.50,5.51,5.51,5.53
68.69,6.24,6.25,0.76,0.76,-0.77,-0.85,-0.51,5.47,5.48,5.48
69.37,6.22,6.22,0.78,0.78,-0.78,-0.87,-0.53,5.45,5.44,5.44
70.07,6.19,6.19,0.80,0.80,-0.78,-0.88,-0.54,5.41,5.41,5.40
70.77,6.15,6.15,0.80,0.80,-0.78,-0.89,-0.56,5.37,5.37,5.35
71.48,6.10,6.10,0.80,0.80,-0.79,-0.91,-0.58,5.32,5.31,5.31
72.19,6.04,6.05,0.79,0.79,-0.79,-0.92,-0.60,5.25,5.26,5.26
72.91,5.99,5.99,0.78,0.78,-0.79,-0.94,-0.62,5.20,5.20,5.21
73.64,5.94,5.95,0.78,0.79,-0.80,-0.95,-0.64,5.15,5.15,5.16
74.38,5.90,5.91,0.79,0.80,-0.80,-0.97,-0.66,5.10,5.10,5.11
75.12,5.87,5.87,0.81,0.81,-0.81,-0.99,-0.69,5.06,5.06,5.06
75.87,5.83,5.83,0.83,0.83,-0.82,-1.00,-0.72,5.01,5.01,5.01
76.63,5.79,5.79,0.84,0.84,-0.84,-1.02,-0.74,4.96,4.96,4.95
77.40,5.75,5.75,0.85,0.85,-0.85,-1.04,-0.77,4.90,4.90,4.90
78.17,5.71,5.71,0.87,0.87,-0.87,-1.06,-0.80,4.84,4.84,4.84
78.95,5.67,5.67,0.89,0.89,-0.89,-1.08,-0.83,4.78,4.78,4.79
79.74,5.63,5.64,0.90,0.91,-0.91,-1.10,-0.86,4.73,4.73,4.73
80.54,5.60,5.60,0.93,0.93,-0.93,-1.12,-0.89,4.68,4.67,4.67
81.35,5.56,5.56,0.95,0.95,-0.95,-1.14,-0.93,4.62,4.62,4.61
82.16,5.52,5.52,0.97,0.97,-0.97,-1.16,-0.96,4.55,4.56,4.55
82.98,5.48,5.48,0.99,0.99,-0.99,-1.18,-0.99,4.49,4.49,4.49
83.81,5.44,5.44,1.01,1.01,-1.02,-1.20,-1.03,4.43,4.43,4.43
84.65,5.40,5.40,1.04,1.04,-1.04,-1.22,-1.07,4.36,4.36,4.37
85.50,5.36,5.37,1.06,1.06,-1.07,-1.25,-1.10,4.30,4.30,4.30
86.35,5.33,5.33,1.10,1.09,-1.09,-1.27,-1.14,4.24,4.24,4.24
87.22,5.29,5.29,1.12,1.12,-1.12,-1.29,-1.18,4.18,4.17,4.17
88.09,5.25,5.26,1.15,1.15,-1.15,-1.31,-1.22,4.11,4.11,4.11
88.97,5.21,5.22,1.17,1.18,-1.18,-1.33,-1.26,4.04,4.04,4.04
89.86,5.18,5.18,1.21,1.21,-1.21,-1.36,-1.31,3.98,3.97,3.97
90.76,5.14,5.14,1.24,1.24,-1.24,-1.38,-1.35,3.91,3.91,3.91
91.66,5.10,5.10,1.27,1.27,-1.27,-1.40,-1.39,3.84,3.84,3.84
92.58,5.06,5.06,1.30,1.30,-1.30,-1.42,-1.44,3.77,3.77,3.77
93.51,5.02,5.03,1.33,1.33,-1.33,-1.44,-1.48,3.69,3.70,3.70
94.44,4.99,4.99,1.37,1.36,-1.36,-1.47,-1.53,3.63,3.63,3.63
95.39,4.95,4.95,1.40,1.40,-1.40,-1.49,-1.58,3.56,3.56,3.56
96.34,4.91,4.92,1.43,1.43,-1.43,-1.51,-1.62,3.48,3.48,3.49
97.30,4.88,4.88,1.47,1.47,-1.47,-1.53,-1.67,3.42,3.41,3.41
98.28,4.84,4.85,1.50,1.50,-1.50,-1.56,-1.72,3.34,3.34,3.34
99.26,4.81,4.81,1.54,1.54,-1.54,-1.58,-1.77,3.27,3.27,3.27
100.25,4.77,4.78,1.58,1.58,-1.58,-1.60,-1.82,3.20,3.20,3.20
101.25,4.74,4.74,1.62,1.62,-1.61,-1.62,-1.87,3.13,3.13,3.12
102.27,4.70,4.70,1.65,1.65,-1.65,-1.65,-1.92,3.05,3.05,3.05
