frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,8.97,1.19,1.20,-1.20,-0.74,-0.48,7.77,7.77,7.77
20.20,8.97,8.97,1.20,1.20,-1.20,-0.74,-0.49,7.77,7.77,7.77
20.40,8.97,8.97,1.20,1.19,-1.19,-0.74,-0.50,7.78,7.77,7.77
20.61,8.97,8.97,1.20,1.19,-1.19,-0.74,-0.52,7.78,7.77,7.77
20.81,8.96,8.96,1.19,1.19,-1.19,-0.74,-0.54,7.77,7.77,7.77
21.02,8.96,8.96,1.19,1.19,-1.19,-0.74,-0.55,7.77,7.77,7.77
21.23,8.96,8.96,1.19,1.19,-1.19,-0.74,-0.57,7.77,7.77,7.77
21.44,8.96,8.96,1.19,1.19,-1.19,-0.74,-0.59,7.77,7.77,7.77
21.66,8.95,8.95,1.18,1.18,-1.18,-0.74,-0.60,7.77,7.77,7.77
21.87,8.95,8.95,1.18,1.18,-1.18,-0.74,-0.62,7.77,7.77,7.77
22.09,8.95,8.95,1.18,1.18,-1.18,-0.74,-0.64,7.77,7.77,7.77
22.31,8.95,8.95,1.18,1.18,-1.18,-0.74,-0.66,7.77,7.77,7.77
22.54,8.94,8.94,1.17,1.18,-1.18,-0.74,-0.68,7.76,7.76,7.77
22.76,8.94,8.94,1.17,1.17,-1.18,-0.74,-0.70,7.76,7.76,7.76
22.99,8.94,8.94,1.18,1.18,-1.18,-0.74,-0.72,7.76,7.76,7.76
23.22,8.94,8.94,1.18,1.18,-1.17,-0.74,-0.74,7.76,7.76,7.76
23.45,8.94,8.94,1.18,1.17,-1.17,-0.74,-0.76,7.77,7.76,7.76
23.69,8.93,8.93,1.17,1.17,-1.17,-0.74,-0.79,7.76,7.76,7.76
23.92,8.93,8.93,1.17,1.17,-1.17,-0.74,-0.81,7.76,7.76,7.76
24.16,8.93,8.92,1.17,1.17,-1.17,-0.74,-0.83,7.76,7.76,7.76
24.40,8.92,8.92,1.16,1.16,-1.16,-0.74,-0.85,7.76,7.76,7.76
24.65,8.91,8.91,1.15,1.16,-1.16,-0.74,-0.88,7.75,7.76,7.76
24.89,8.91,8.91,1.15,1.15,-1.15,-0.74,-0.90,7.76,7.75,7.75
25.14,8.90,8.90,1.15,1.15,-1.15,-0.74,-0.92,7.75,7.75,7.75
25.39,8.90,8.90,1.15,1.15,-1.15,-0.74,-0.95,7.75,7.75,7.75
25.65,8.89,8.89,1.14,1.14,-1.14,-0.74,-0.97,7.75,7.75,7.75
25.91,8.89,8.89,1.14,1.14,-1.14,-0.74,-0.99,7.75,7.75,7.75
26.16,8.88,8.88,1.13,1.14,-1.14,-0.74,-1.02,7.74,7.75,7.75
26.43,8.88,8.88,1.13,1.13,-1.13,-0.74,-1.04,7.75,7.75,7.75
26.69,8.88,8.87,1.14,1.13,-1.13,-0.74,-1.06,7.75,7.74,7.74
26.96,8.87,8.87,1.13,1.13,-1.13,-0.74,-1.09,7.74,7.74,7.74
27.23,8.86,8.86,1.12,1.12,-1.12,-0.74,-1.11,7.74,7.74,7.74
27.50,8.86,8.85,1.12,1.12,-1.12,-0.74,-1.13,7.74,7.74,7.74
27.77,8.85,8.85,1.11,1.11,-1.11,-0.74,-1.15,7.74,7.74,7.74
28.05,8.84,8.84,1.10,1.11,-1.11,-0.74,-1.17,7.73,7.74,7.73
