frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.59,10.59,2.90,2.90,-2.90,-2.75,-0.98,7.69,7.69,7.69
20.20,10.56,10.56,2.87,2.86,-2.86,-2.74,-1.01,7.70,7.70,7.69
20.40,10.52,10.52,2.83,2.83,-2.82,-2.73,-1.04,7.70,7.70,7.69
20.61,10.49,10.49,2.80,2.80,-2.79,-2.72,-1.07,7.70,7.70,7.69
20.81,10.45,10.45,2.76,2.76,-2.76,-2.71,-1.10,7.69,7.69,7.69
21.02,10.42,10.42,2.73,2.73,-2.74,-2.70,-1.13,7.68,7.68,7.69
21.23,10.39,10.39,2.70,2.70,-2.72,-2.69,-1.17,7.67,7.67,7.69
21.44,10.38,10.38,2.69,2.69,-2.71,-2.68,-1.20,7.67,7.68,7.69
21.66,10.38,10.38,2.69,2.69,-2.70,-2.66,-1.24,7.68,7.68,7.69
21.87,10.38,10.38,2.69,2.70,-2.70,-2.65,-1.28,7.68,7.68,7.69
22.09,10.39,10.39,2.70,2.70,-2.70,-2.64,-1.32,7.69,7.69,7.69
22.31,10.40,10.40,2.71,2.71,-2.71,-2.63,-1.36,7.69,7.69,7.68
22.54,10.40,10.40,2.72,2.72,-2.71,-2.62,-1.40,7.69,7.69,7.68
22.76,10.40,10.40,2.72,2.72,-2.71,-2.61,-1.44,7.69,7.69,7.68
22.99,10.40,10.40,2.72,2.72,-2.71,-2.59,-1.48,7.69,7.69,7.68
23.22,10.39,10.39,2.71,2.71,-2.70,-2.58,-1.52,7.69,7.68,7.68
23.45,10.37,10.37,2.69,2.69,-2.69,-2.57,-1.57,7.68,7.68,7.68
23.69,10.35,10.35,2.67,2.67,-2.67,-2.56,-1.61,7.68,7.68,7.68
23.92,10.33,10.33,2.65,2.65,-2.64,-2.54,-1.66,7.68,7.68,7.68
24.16,10.30,10.30,2.62,2.62,-2.62,-2.53,-1.71,7.68,7.68,7.68
24.40,10.26,10.26,2.58,2.59,-2.59,-2.52,-1.75,7.67,7.68,7.67
24.65,10.23,10.23,2.56,2.55,-2.56,-2.50,-1.80,7.67,7.67,7.67
24.89,10.20,10.20,2.53,2.53,-2.53,-2.49,-1.85,7.67,7.67,7.67
25.14,10.17,10.17,2.50,2.50,-2.51,-2.47,-1.90,7.66,7.66,7.67
25.39,10.15,10.15,2.48,2.48,-2.49,-2.46,-1.95,7.66,7.66,7.67
25.65,10.13,10.13,2.46,2.46,-2.47,-2.44,-2.00,7.66,7.66,7.67
25.91,10.12,10.12,2.45,2.45,-2.45,-2.43,-2.05,7.67,7.67,7.67
26.16,10.11,10.11,2.44,2.44,-2.44,-2.41,-2.09,7.67,7.67,7.67
26.43,10.10,10.10,2.44,2.43,-2.43,-2.40,-2.14,7.67,7.67,7.66
26.69,10.08,10.08,2.42,2.42,-2.41,-2.38,-2.19,7.67,7.67,7.66
26.96,10.06,10.06,2.40,2.40,-2.40,-2.36,-2.23,7.66,7.66,7.66
27.23,10.04,10.04,2.38,2.38,-2.38,-2.35,-2.28,7.66,7.66,7.66
27.50,10.02,10.02,2.36,2.36,-2.36,-2.33,-2.32,7.66,7.66,7.66
27.77,10.00,10.00,2.34,2.34,-2.34,-2.31,-2.36,7.66,7.65,7.65
28.05,9.97,9.97,2.32,2.32,-2.32,-2.29,-2.40,7.64,7.65,7.65
28.33,9.95,9.95,2.30,2.30,-2.30,-2.27,-2.44,7.64,7.65,7.65
28.62,9.93,9.93,2.28,2.28,-2.29,-2.26,-2.47,7.64,7.65,7.65
28.90,9.92,9.91,2.27,2.27,-2.27,-2.24,-2.50,7.65,7.65,7.65
29.19,9.89,9.89,2.25,2.25,-2.24,-2.22,-2.53,7.64,7.65,7.64
29.48,9.87,9.87,2.23,2.23,-2.22,-2.20,-2.55,7.65,7.65,7.64
29.78,9.84,9.84,2.20,2.20,-2.20,-2.18,-2.57,7.64,7.64,7.64
30.08,9.81,9.81,2.17,2.17,-2.17,-2.16,-2.59,7.64,7.64,7.64
30.38,9.78,9.78,2.15,2.15,-2.15,-2.14,-2.60,7.63,7.63,7.63
30.68,9.75,9.75,2.12,2.12,-2.12,-2.12,-2.61,7.63,7.63,7.63
30.99,9.72,9.72,2.09,2.09,-2.09,-2.10,-2.61,7.63,7.63,7.63
31.30,9.68,9.68,2.06,2.06,-2.06,-2.07,-2.61,7.62,7.62,7.62
31.61,9.65,9.65,2.03,2.03,-2.03,-2.05,-2.61,7.62,7.62,7.62
31.93,9.62,9.62,2.00,2.00,-2.00,-2.03,-2.60,7.62,7.62,7.62
32.24,9.58,9.58,1.96,1.97,-1.97,-2.01,-2.59,7.61,7.61,7.61
32.57,9.55,9.55,1.94,1.94,-1.94,-1.99,-2.57,7.61,7.61,7.61
32.89,9.52,9.52,1.91,1.91,-1.91,-1.96,-2.55,7.61,7.61,7.61
33.22,9.49,9.49,1.89,1.88,-1.88,-1.94,-2.52,7.61,7.61,7.60
33.55,9.45,9.45,1.85,1.85,-1.85,-1.91,-2.49,7.60,7.60,7.60
33.89,9.42,9.42,1.82,1.82,-1.82,-1.89,-2.46,7.60,7.60,7.60
34.23,9.38,9.38,1.79,1.79,-1.79,-1.87,-2.42,7.59,7.59,7.59
34.57,9.35,9.35,1.76,1.76,-1.76,-1.84,-2.38,7.59,7.59,7.59
34.92,9.31,9.31,1.73,1.73,-1.73,-1.81,-2.34,7.58,7.58,7.58
35.27,9.28,9.28,1.70,1.70,-1.70,-1.79,-2.30,7.58,7.58,7.58
35.62,9.24,9.24,1.67,1.67,-1.67,-1.76,-2.25,7.57,7.57,7.57
35.97,9.21,9.21,1.64,1.64,-1.64,-1.74,-2.20,7.57,7.57,7.57
36.33,9.17,9.17,1.61,1.61,-1.61,-1.71,-2.15,7.56,7.56,7.56
36.70,9.14,9.14,1.58,1.58,-1.58,-1.68,-2.10,7.56,7.56,7.56
37.06,9.11,9.11,1.56,1.56,-1.56,-1.66,-2.05,7.55,7.55,7.55
37.43,9.08,9.08,1.53,1.53,-1.54,-1.63,-1.99,7.54,7.54,7.55
37.81,9.05,9.05,1.51,1.51,-1.52,-1.60,-1.94,7.53,7.54,7.54
38.19,9.03,9.03,1.50,1.50,-1.50,-1.57,-1.89,7.53,7.53,7.53
38.57,9.01,9.01,1.48,1.48,-1.48,-1.54,-1.83,7.53,7.53,7.53
38.95,8.98,8.98,1.46,1.46,-1.45,-1.51,-1.78,7.53,7.53,7.52
39.34,8.95,8.95,1.44,1.43,-1.43,-1.48,-1.72,7.52,7.52,7.51
39.74,8.91,8.91,1.40,1.41,-1.40,-1.45,-1.67,7.51,7.51,7.51
40.14,8.87,8.87,1.37,1.37,-1.37,-1.42,-1.61,7.50,7.50,7.50
40.54,8.83,8.83,1.34,1.34,-1.33,-1.39,-1.56,7.50,7.49,7.49
40.94,8.78,8.78,1.30,1.30,-1.30,-1.36,-1.51,7.48,7.48,7.48
41.35,8.74,8.74,1.27,1.27,-1.28,-1.33,-1.46,7.46,7.47,7.47
41.76,8.71,8.71,1.24,1.24,-1.25,-1.30,-1.40,7.46,7.45,7.46
42.18,8.68,8.68,1.22,1.22,-1.24,-1.27,-1.35,7.44,7.44,7.46
42.60,8.66,8.66,1.21,1.21,-1.23,-1.24,-1.30,7.43,7.43,7.45
43.03,8.64,8.64,1.20,1.21,-1.22,-1.21,-1.25,7.42,7.43,7.44
43.46,8.64,8.63,1.21,1.21,-1.21,-1.18,-1.20,7.43,7.42,7.43
43.90,8.62,8.62,1.20,1.21,-1.20,-1.15,-1.16,7.42,7.43,7.42
44.33,8.61,8.60,1.20,1.20,-1.18,-1.12,-1.11,7.43,7.42,7.41
44.78,8.57,8.57,1.18,1.18,-1.15,-1.08,-1.06,7.42,7.42,7.39
45.23,8.52,8.52,1.14,1.14,-1.11,-1.05,-1.02,7.41,7.41,7.38
45.68,8.46,8.45,1.09,1.08,-1.07,-1.02,-0.97,7.39,7.39,7.37
46.13,8.38,8.38,1.02,1.02,-1.02,-0.99,-0.93,7.36,7.36,7.36
46.60,8.30,8.30,0.95,0.96,-0.97,-0.96,-0.89,7.33,7.33,7.35
47.06,8.23,8.23,0.90,0.90,-0.93,-0.93,-0.84,7.30,7.30,7.33
47.53,8.17,8.17,0.85,0.85,-0.89,-0.89,-0.80,7.28,7.28,7.32
48.01,8.13,8.13,0.83,0.83,-0.85,-0.86,-0.76,7.28,7.28,7.30
48.49,8.11,8.11,0.82,0.82,-0.82,-0.83,-0.72,7.29,7.28,7.29
48.97,8.09,8.09,0.82,0.81,-0.79,-0.80,-0.68,7.29,7.29,7.27
49.46,8.06,8.06,0.80,0.80,-0.77,-0.77,-0.65,7.29,7.29,7.26
49.96,8.02,8.01,0.78,0.77,-0.74,-0.74,-0.61,7.28,7.28,7.24
50.46,7.95,7.95,0.73,0.72,-0.71,-0.71,-0.58,7.24,7.24,7.22
50.96,7.88,7.88,0.67,0.67,-0.68,-0.68,-0.54,7.20,7.19,7.21
51.47,7.80,7.81,0.61,0.62,-0.65,-0.65,-0.51,7.15,7.16,7.19
51.99,7.76,7.76,0.59,0.59,-0.63,-0.62,-0.47,7.13,7.14,7.17
52.51,7.73,7.73,0.58,0.58,-0.60,-0.59,-0.44,7.13,7.13,7.15
53.03,7.71,7.71,0.58,0.58,-0.57,-0.57,-0.41,7.14,7.14,7.13
53.56,7.69,7.68,0.58,0.57,-0.54,-0.54,-0.38,7.15,7.14,7.11
54.10,7.64,7.64,0.55,0.55,-0.52,-0.51,-0.35,7.12,7.12,7.09
54.64,7.58,7.58,0.51,0.51,-0.50,-0.48,-0.33,7.08,7.08,7.07
55.18,7.51,7.51,0.46,0.46,-0.47,-0.46,-0.30,7.03,7.03,7.04
55.74,7.44,7.45,0.42,0.42,-0.45,-0.43,-0.27,6.99,7.00,7.02
56.29,7.39,7.39,0.39,0.40,-0.42,-0.41,-0.25,6.97,6.97,7.00
56.86,7.36,7.36,0.39,0.38,-0.39,-0.39,-0.23,6.97,6.97,6.97
57.42,7.32,7.32,0.37,0.38,-0.36,-0.36,-0.21,6.96,6.96,6.95
58.00,7.29,7.28,0.37,0.36,-0.34,-0.34,-0.19,6.95,6.94,6.92
58.58,7.22,7.22,0.33,0.33,-0.32,-0.32,-0.17,6.90,6.91,6.89
59.16,7.16,7.16,0.29,0.30,-0.30,-0.30,-0.15,6.86,6.86,6.86
59.76,7.10,7.10,0.26,0.27,-0.28,-0.28,-0.14,6.82,6.82,6.84
60.35,7.06,7.06,0.25,0.25,-0.27,-0.27,-0.12,6.79,6.79,6.81
60.96,7.03,7.03,0.25,0.25,-0.26,-0.25,-0.11,6.77,6.76,6.78
61.57,7.00,7.00,0.26,0.25,-0.26,-0.23,-0.10,6.74,6.74,6.74
62.18,6.97,6.97,0.26,0.26,-0.25,-0.22,-0.09,6.72,6.72,6.71
62.80,6.94,6.94,0.26,0.26,-0.25,-0.21,-0.09,6.69,6.69,6.68
63.43,6.91,6.91,0.26,0.26,-0.25,-0.19,-0.08,6.66,6.66,6.64
64.07,6.87,6.87,0.26,0.26,-0.25,-0.18,-0.08,6.62,6.62,6.61
64.71,6.82,6.82,0.25,0.25,-0.24,-0.17,-0.08,6.58,6.58,6.57
65.35,6.77,6.77,0.23,0.23,-0.24,-0.16,-0.07,6.53,6.53,6.54
66.01,6.72,6.72,0.22,0.22,-0.23,-0.16,-0.08,6.49,6.49,6.50
66.67,6.68,6.68,0.22,0.22,-0.23,-0.15,-0.08,6.45,6.45,6.46
67.33,6.64,6.64,0.22,0.22,-0.22,-0.15,-0.08,6.41,6.42,6.42
68.01,6.61,6.60,0.23,0.22,-0.22,-0.14,-0.09,6.39,6.38,6.38
68.69,6.56,6.56,0.22,0.22,-0.22,-0.14,-0.09,6.34,6.34,6.34
69.37,6.51,6.51,0.22,0.22,-0.22,-0.14,-0.10,6.29,6.29,6.29
70.07,6.47,6.47,0.22,0.22,-0.22,-0.14,-0.11,6.25,6.25,6.25
70.77,6.42,6.42,0.22,0.22,-0.21,-0.14,-0.12,6.20,6.20,6.20
71.48,6.37,6.37,0.21,0.21,-0.21,-0.14,-0.13,6.16,6.16,6.16
