frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.40,3.40,-2.35,-2.35,2.34,2.29,0.97,5.74,5.74,5.74
20.20,3.41,3.41,-2.34,-2.33,2.33,2.29,1.00,5.74,5.74,5.74
20.40,3.42,3.42,-2.33,-2.32,2.33,2.28,1.03,5.74,5.75,5.74
20.61,3.43,3.43,-2.31,-2.31,2.32,2.28,1.06,5.75,5.75,5.74
20.81,3.44,3.43,-2.30,-2.31,2.31,2.28,1.09,5.75,5.75,5.74
21.02,3.44,3.44,-2.30,-2.30,2.31,2.28,1.13,5.74,5.75,5.74
21.23,3.44,3.44,-2.30,-2.30,2.30,2.28,1.16,5.74,5.74,5.74
21.44,3.45,3.44,-2.29,-2.30,2.29,2.27,1.20,5.74,5.74,5.74
21.66,3.45,3.45,-2.29,-2.29,2.29,2.27,1.23,5.74,5.74,5.74
21.87,3.45,3.45,-2.29,-2.29,2.28,2.27,1.27,5.73,5.73,5.74
22.09,3.46,3.46,-2.28,-2.28,2.28,2.27,1.31,5.73,5.73,5.74
22.31,3.47,3.47,-2.27,-2.27,2.27,2.27,1.35,5.74,5.74,5.74
22.54,3.48,3.48,-2.26,-2.26,2.26,2.26,1.38,5.74,5.74,5.74
22.76,3.48,3.48,-2.26,-2.25,2.26,2.26,1.43,5.73,5.74,5.73
22.99,3.49,3.49,-2.25,-2.25,2.25,2.26,1.47,5.74,5.73,5.73
23.22,3.49,3.49,-2.24,-2.24,2.24,2.26,1.51,5.73,5.73,5.73
23.45,3.50,3.50,-2.23,-2.24,2.24,2.25,1.55,5.74,5.73,5.73
23.69,3.50,3.50,-2.23,-2.23,2.23,2.25,1.60,5.73,5.73,5.73
23.92,3.50,3.50,-2.23,-2.23,2.23,2.25,1.65,5.73,5.73,5.73
24.16,3.50,3.50,-2.23,-2.23,2.23,2.25,1.69,5.72,5.73,5.73
24.40,3.51,3.50,-2.22,-2.22,2.22,2.24,1.74,5.73,5.73,5.73
24.65,3.51,3.51,-2.22,-2.22,2.21,2.24,1.79,5.72,5.72,5.73
24.89,3.52,3.51,-2.21,-2.21,2.21,2.24,1.83,5.73,5.72,5.72
25.14,3.52,3.52,-2.21,-2.20,2.20,2.23,1.88,5.72,5.72,5.72
25.39,3.53,3.53,-2.19,-2.19,2.19,2.23,1.93,5.72,5.72,5.72
25.65,3.54,3.53,-2.18,-2.19,2.19,2.23,1.98,5.72,5.72,5.72
25.91,3.54,3.54,-2.18,-2.18,2.18,2.22,2.03,5.72,5.72,5.72
26.16,3.55,3.55,-2.17,-2.17,2.17,2.22,2.08,5.72,5.72,5.72
26.43,3.55,3.55,-2.17,-2.16,2.17,2.22,2.13,5.71,5.72,5.72
26.69,3.56,3.55,-2.16,-2.16,2.16,2.21,2.17,5.72,5.71,5.71
26.96,3.56,3.56,-2.15,-2.15,2.15,2.21,2.22,5.71,5.71,5.71
27.23,3.56,3.56,-2.15,-2.15,2.15,2.21,2.26,5.70,5.71,5.71
27.50,3.57,3.56,-2.14,-2.14,2.14,2.20,2.31,5.71,5.71,5.71
27.77,3.57,3.57,-2.14,-2.14,2.14,2.20,2.35,5.70,5.71,5.71
28.05,3.58,3.58,-2.13,-2.13,2.13,2.20,2.39,5.71,5.71,5.70
28.33,3.58,3.58,-2.12,-2.12,2.13,2.19,2.43,5.70,5.70,5.70
28.62,3.58,3.58,-2.12,-2.12,2.12,2.19,2.47,5.70,5.70,5.70
28.90,3.58,3.58,-2.12,-2.12,2.12,2.18,2.50,5.69,5.69,5.70
29.19,3.58,3.58,-2.12,-2.11,2.11,2.18,2.53,5.69,5.69,5.70
29.48,3.59,3.58,-2.11,-2.11,2.11,2.18,2.56,5.70,5.69,5.69
29.78,3.59,3.59,-2.10,-2.10,2.10,2.17,2.58,5.69,5.69,5.69
30.08,3.59,3.59,-2.10,-2.10,2.10,2.17,2.60,5.69,5.69,5.69
30.38,3.59,3.59,-2.10,-2.10,2.10,2.16,2.62,5.69,5.69,5.69
30.68,3.59,3.59,-2.09,-2.09,2.09,2.16,2.63,5.68,5.68,5.68
30.99,3.59,3.59,-2.09,-2.09,2.09,2.15,2.65,5.68,5.68,5.68
31.30,3.59,3.59,-2.09,-2.09,2.09,2.15,2.65,5.68,5.68,5.68
31.61,3.59,3.59,-2.09,-2.09,2.09,2.14,2.65,5.67,5.67,5.67
31.93,3.59,3.59,-2.08,-2.08,2.08,2.14,2.65,5.67,5.67,5.67
32.24,3.59,3.59,-2.08,-2.08,2.08,2.13,2.65,5.67,5.67,5.67
32.57,3.59,3.59,-2.08,-2.08,2.07,2.13,2.64,5.66,5.66,5.66
32.89,3.59,3.59,-2.07,-2.07,2.07,2.12,2.63,5.66,5.66,5.66
33.22,3.59,3.59,-2.07,-2.07,2.07,2.12,2.61,5.66,5.66,5.66
33.55,3.59,3.59,-2.06,-2.06,2.07,2.11,2.59,5.65,5.65,5.65
