frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.84,5.84,1.80,1.81,-1.81,-1.60,-0.39,4.02,4.03,4.03
20.20,5.81,5.80,1.78,1.77,-1.77,-1.58,-0.41,4.04,4.03,4.03
20.40,5.77,5.77,1.74,1.74,-1.73,-1.57,-0.42,4.04,4.04,4.03
20.61,5.73,5.73,1.70,1.70,-1.69,-1.56,-0.43,4.04,4.04,4.03
20.81,5.69,5.69,1.66,1.66,-1.65,-1.54,-0.45,4.03,4.03,4.03
21.02,5.65,5.65,1.62,1.62,-1.62,-1.53,-0.46,4.03,4.03,4.03
21.23,5.61,5.61,1.58,1.58,-1.58,-1.51,-0.47,4.03,4.03,4.03
21.44,5.57,5.57,1.54,1.54,-1.54,-1.50,-0.49,4.02,4.03,4.03
21.66,5.54,5.53,1.51,1.51,-1.51,-1.48,-0.50,4.03,4.03,4.03
21.87,5.50,5.50,1.47,1.47,-1.47,-1.47,-0.52,4.03,4.03,4.03
22.09,5.47,5.46,1.44,1.44,-1.44,-1.45,-0.53,4.03,4.02,4.03
22.31,5.43,5.43,1.40,1.41,-1.41,-1.43,-0.55,4.02,4.02,4.02
22.54,5.40,5.40,1.37,1.38,-1.38,-1.42,-0.57,4.02,4.02,4.02
22.76,5.38,5.37,1.35,1.35,-1.35,-1.40,-0.59,4.03,4.02,4.02
22.99,5.35,5.35,1.33,1.33,-1.32,-1.38,-0.60,4.02,4.02,4.02
23.22,5.32,5.32,1.30,1.30,-1.30,-1.37,-0.62,4.02,4.02,4.02
23.45,5.30,5.29,1.28,1.27,-1.28,-1.35,-0.64,4.02,4.02,4.02
23.69,5.27,5.27,1.25,1.25,-1.25,-1.33,-0.66,4.02,4.02,4.02
23.92,5.25,5.25,1.23,1.23,-1.23,-1.31,-0.68,4.02,4.02,4.02
24.16,5.23,5.23,1.21,1.21,-1.21,-1.29,-0.70,4.02,4.02,4.02
24.40,5.21,5.20,1.19,1.19,-1.19,-1.28,-0.72,4.02,4.02,4.02
24.65,5.18,5.18,1.16,1.17,-1.17,-1.26,-0.74,4.01,4.01,4.01
24.89,5.16,5.16,1.14,1.15,-1.15,-1.24,-0.76,4.01,4.01,4.01
25.14,5.14,5.14,1.13,1.12,-1.12,-1.22,-0.78,4.01,4.01,4.01
25.39,5.12,5.11,1.11,1.10,-1.10,-1.20,-0.80,4.01,4.01,4.01
25.65,5.09,5.09,1.08,1.08,-1.08,-1.18,-0.82,4.01,4.01,4.01
25.91,5.07,5.07,1.06,1.06,-1.06,-1.16,-0.84,4.01,4.01,4.01
26.16,5.05,5.05,1.04,1.04,-1.04,-1.14,-0.86,4.01,4.01,4.01
26.43,5.03,5.02,1.02,1.02,-1.02,-1.12,-0.87,4.01,4.00,4.00
