frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.96,9.96,3.35,3.35,-3.36,-2.56,-1.38,6.60,6.61,6.61
20.20,9.95,9.95,3.34,3.34,-3.34,-2.56,-1.42,6.61,6.61,6.61
20.40,9.94,9.93,3.33,3.33,-3.32,-2.56,-1.46,6.62,6.61,6.61
20.61,9.92,9.92,3.31,3.31,-3.31,-2.57,-1.51,6.61,6.61,6.61
20.81,9.90,9.90,3.29,3.30,-3.30,-2.57,-1.55,6.60,6.60,6.61
21.02,9.89,9.88,3.28,3.28,-3.29,-2.57,-1.60,6.60,6.60,6.60
21.23,9.87,9.87,3.26,3.27,-3.28,-2.57,-1.65,6.59,6.60,6.60
21.44,9.87,9.87,3.27,3.26,-3.27,-2.57,-1.70,6.60,6.59,6.60
21.66,9.87,9.87,3.27,3.27,-3.27,-2.57,-1.75,6.60,6.60,6.60
21.87,9.87,9.87,3.27,3.27,-3.27,-2.57,-1.80,6.60,6.60,6.60
22.09,9.88,9.88,3.28,3.27,-3.27,-2.57,-1.85,6.61,6.60,6.60
22.31,9.88,9.88,3.28,3.28,-3.27,-2.57,-1.91,6.60,6.61,6.60
22.54,9.88,9.88,3.28,3.28,-3.27,-2.57,-1.96,6.60,6.61,6.60
22.76,9.88,9.88,3.28,3.28,-3.27,-2.57,-2.02,6.61,6.60,6.60
22.99,9.87,9.87,3.27,3.27,-3.27,-2.57,-2.08,6.60,6.60,6.60
23.22,9.86,9.86,3.26,3.26,-3.26,-2.57,-2.14,6.60,6.60,6.60
23.45,9.84,9.84,3.24,3.25,-3.25,-2.57,-2.20,6.59,6.59,6.60
23.69,9.83,9.83,3.24,3.24,-3.24,-2.57,-2.26,6.59,6.59,6.59
23.92,9.82,9.82,3.23,3.23,-3.23,-2.57,-2.32,6.59,6.59,6.59
24.16,9.81,9.81,3.22,3.21,-3.21,-2.57,-2.39,6.60,6.60,6.59
24.40,9.79,9.79,3.20,3.20,-3.19,-2.57,-2.45,6.60,6.60,6.59
24.65,9.77,9.77,3.18,3.18,-3.17,-2.57,-2.52,6.60,6.60,6.59
24.89,9.75,9.75,3.16,3.16,-3.16,-2.57,-2.59,6.59,6.59,6.59
25.14,9.73,9.73,3.14,3.14,-3.14,-2.57,-2.66,6.59,6.58,6.59
25.39,9.71,9.71,3.12,3.12,-3.14,-2.57,-2.72,6.57,6.57,6.59
25.65,9.70,9.70,3.12,3.12,-3.14,-2.57,-2.79,6.56,6.57,6.58
25.91,9.70,9.70,3.12,3.12,-3.14,-2.58,-2.86,6.56,6.56,6.58
26.16,9.72,9.72,3.14,3.14,-3.15,-2.58,-2.93,6.57,6.57,6.58
26.43,9.74,9.74,3.16,3.16,-3.16,-2.58,-3.00,6.58,6.58,6.58
26.69,9.76,9.76,3.18,3.18,-3.17,-2.58,-3.06,6.59,6.59,6.58
26.96,9.78,9.78,3.20,3.20,-3.18,-2.58,-3.13,6.60,6.60,6.58
27.23,9.78,9.78,3.21,3.20,-3.18,-2.58,-3.19,6.60,6.59,6.57
27.50,9.77,9.77,3.20,3.19,-3.18,-2.58,-3.25,6.59,6.58,6.57
27.77,9.74,9.74,3.17,3.17,-3.17,-2.58,-3.31,6.56,6.57,6.57
28.05,9.72,9.72,3.15,3.15,-3.16,-2.58,-3.37,6.56,6.56,6.57
28.33,9.70,9.70,3.13,3.13,-3.15,-2.58,-3.42,6.55,6.55,6.57
28.62,9.68,9.68,3.12,3.12,-3.13,-2.58,-3.47,6.55,6.56,6.56
28.90,9.67,9.67,3.11,3.11,-3.11,-2.58,-3.52,6.56,6.56,6.56
29.19,9.65,9.65,3.09,3.09,-3.08,-2.58,-3.56,6.57,6.57,6.56
29.48,9.63,9.63,3.07,3.07,-3.06,-2.58,-3.60,6.57,6.57,6.56
29.78,9.60,9.60,3.05,3.04,-3.03,-2.58,-3.63,6.57,6.56,6.55
30.08,9.56,9.56,3.01,3.01,-3.01,-2.58,-3.66,6.55,6.55,6.55
30.38,9.53,9.53,2.98,2.98,-2.99,-2.58,-3.68,6.54,6.54,6.55
30.68,9.49,9.49,2.94,2.95,-2.96,-2.58,-3.70,6.53,6.53,6.55
30.99,9.47,9.47,2.93,2.93,-2.94,-2.58,-3.71,6.53,6.53,6.54
31.30,9.46,9.46,2.92,2.92,-2.92,-2.58,-3.72,6.54,6.53,6.54
31.61,9.45,9.45,2.91,2.91,-2.91,-2.58,-3.72,6.54,6.54,6.54
31.93,9.44,9.44,2.91,2.90,-2.89,-2.59,-3.72,6.55,6.55,6.53
32.24,9.42,9.42,2.89,2.89,-2.87,-2.59,-3.71,6.55,6.54,6.53
32.57,9.39,9.39,2.86,2.86,-2.86,-2.59,-3.69,6.53,6.53,6.53
32.89,9.36,9.36,2.84,2.84,-2.84,-2.59,-3.67,6.52,6.52,6.52
33.22,9.34,9.33,2.82,2.82,-2.83,-2.59,-3.65,6.51,6.51,6.52
33.55,9.31,9.31,2.79,2.80,-2.81,-2.59,-3.62,6.50,6.50,6.52
33.89,9.30,9.30,2.79,2.79,-2.80,-2.59,-3.58,6.50,6.50,6.51
34.23,9.29,9.29,2.78,2.78,-2.78,-2.59,-3.55,6.51,6.51,6.51
34.57,9.28,9.28,2.78,2.77,-2.77,-2.59,-3.50,6.51,6.51,6.50
34.92,9.26,9.26,2.76,2.76,-2.76,-2.59,-3.46,6.50,6.51,6.50
35.27,9.25,9.24,2.76,2.75,-2.74,-2.59,-3.41,6.51,6.50,6.49
35.62,9.22,9.22,2.73,2.73,-2.73,-2.59,-3.36,6.49,6.49,6.49
35.97,9.20,9.20,2.72,2.71,-2.71,-2.59,-3.31,6.48,6.48,6.48
