frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.71,-0.71,-5.78,-5.78,5.79,5.74,2.26,5.07,5.07,5.07
20.20,-0.69,-0.70,-5.76,-5.77,5.77,5.73,2.32,5.07,5.07,5.07
20.40,-0.68,-0.68,-5.75,-5.75,5.75,5.72,2.39,5.06,5.06,5.07
20.61,-0.66,-0.66,-5.73,-5.73,5.72,5.71,2.46,5.06,5.06,5.07
20.81,-0.64,-0.64,-5.71,-5.71,5.70,5.70,2.53,5.06,5.06,5.07
21.02,-0.61,-0.62,-5.68,-5.68,5.68,5.68,2.61,5.07,5.06,5.06
21.23,-0.59,-0.59,-5.66,-5.65,5.66,5.67,2.68,5.06,5.06,5.06
21.44,-0.56,-0.57,-5.63,-5.63,5.63,5.66,2.76,5.07,5.07,5.06
21.66,-0.54,-0.54,-5.61,-5.61,5.61,5.64,2.84,5.06,5.06,5.06
21.87,-0.52,-0.52,-5.58,-5.58,5.58,5.63,2.92,5.06,5.06,5.06
22.09,-0.49,-0.50,-5.55,-5.56,5.56,5.62,3.01,5.06,5.06,5.06
22.31,-0.47,-0.47,-5.53,-5.53,5.53,5.60,3.09,5.06,5.06,5.06
22.54,-0.44,-0.45,-5.50,-5.51,5.51,5.59,3.18,5.06,5.06,5.06
22.76,-0.42,-0.42,-5.48,-5.48,5.48,5.58,3.27,5.06,5.06,5.06
22.99,-0.40,-0.40,-5.46,-5.46,5.46,5.56,3.37,5.05,5.06,5.06
23.22,-0.37,-0.38,-5.43,-5.43,5.43,5.55,3.46,5.06,5.06,5.06
23.45,-0.35,-0.35,-5.41,-5.41,5.41,5.53,3.56,5.06,5.06,5.05
23.69,-0.33,-0.33,-5.39,-5.39,5.39,5.52,3.66,5.05,5.05,5.05
23.92,-0.31,-0.31,-5.37,-5.37,5.37,5.50,3.76,5.05,5.05,5.05
24.16,-0.29,-0.29,-5.35,-5.35,5.34,5.49,3.87,5.05,5.05,5.05
24.40,-0.27,-0.27,-5.32,-5.32,5.32,5.47,3.97,5.05,5.05,5.05
24.65,-0.25,-0.25,-5.30,-5.30,5.30,5.46,4.08,5.05,5.05,5.05
24.89,-0.23,-0.24,-5.28,-5.28,5.29,5.44,4.19,5.05,5.05,5.05
25.14,-0.22,-0.22,-5.27,-5.27,5.27,5.43,4.30,5.04,5.05,5.05
25.39,-0.20,-0.20,-5.25,-5.25,5.25,5.41,4.41,5.04,5.04,5.04
25.65,-0.18,-0.19,-5.23,-5.23,5.23,5.40,4.52,5.05,5.04,5.04
25.91,-0.17,-0.17,-5.22,-5.21,5.21,5.38,4.63,5.04,5.04,5.04
26.16,-0.15,-0.15,-5.19,-5.19,5.19,5.36,4.74,5.04,5.04,5.04
26.43,-0.13,-0.14,-5.17,-5.17,5.17,5.35,4.85,5.04,5.04,5.04
26.69,-0.11,-0.12,-5.15,-5.15,5.15,5.33,4.96,5.04,5.04,5.04
26.96,-0.10,-0.10,-5.14,-5.14,5.14,5.31,5.07,5.03,5.04,5.04
27.23,-0.08,-0.08,-5.12,-5.12,5.12,5.30,5.17,5.03,5.03,5.03
27.50,-0.06,-0.07,-5.10,-5.10,5.10,5.28,5.27,5.04,5.03,5.03
27.77,-0.05,-0.05,-5.08,-5.08,5.08,5.26,5.37,5.03,5.03,5.03
28.05,-0.03,-0.04,-5.06,-5.06,5.06,5.25,5.47,5.03,5.03,5.03
28.33,-0.02,-0.02,-5.05,-5.05,5.05,5.23,5.56,5.02,5.02,5.03
28.62,-0.00,-0.01,-5.03,-5.03,5.03,5.21,5.65,5.02,5.02,5.02
28.90,0.01,0.01,-5.01,-5.01,5.01,5.19,5.73,5.02,5.02,5.02
29.19,0.03,0.02,-4.99,-4.99,4.99,5.18,5.80,5.02,5.02,5.02
