frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.90,0.90,-3.58,-3.58,3.59,3.16,1.27,4.48,4.49,4.48
20.20,0.92,0.91,-3.56,-3.57,3.57,3.16,1.31,4.48,4.48,4.48
20.40,0.93,0.93,-3.55,-3.55,3.54,3.15,1.35,4.47,4.47,4.48
20.61,0.95,0.95,-3.53,-3.53,3.52,3.15,1.39,4.47,4.47,4.48
20.81,0.97,0.97,-3.51,-3.51,3.50,3.14,1.43,4.47,4.47,4.48
21.02,1.00,0.99,-3.48,-3.48,3.48,3.14,1.47,4.48,4.47,4.48
21.23,1.02,1.02,-3.46,-3.46,3.46,3.13,1.52,4.47,4.47,4.48
21.44,1.04,1.04,-3.44,-3.43,3.43,3.13,1.56,4.47,4.48,4.47
21.66,1.07,1.06,-3.41,-3.41,3.41,3.12,1.61,4.48,4.47,4.47
21.87,1.09,1.09,-3.38,-3.38,3.38,3.12,1.66,4.47,4.47,4.47
22.09,1.11,1.11,-3.36,-3.36,3.36,3.11,1.71,4.47,4.47,4.47
22.31,1.14,1.13,-3.33,-3.34,3.34,3.11,1.76,4.48,4.47,4.47
22.54,1.16,1.16,-3.31,-3.31,3.31,3.10,1.81,4.47,4.47,4.47
22.76,1.18,1.18,-3.29,-3.29,3.29,3.10,1.86,4.47,4.47,4.47
22.99,1.20,1.20,-3.27,-3.27,3.27,3.09,1.92,4.47,4.47,4.47
23.22,1.22,1.22,-3.25,-3.25,3.25,3.09,1.98,4.47,4.47,4.47
23.45,1.24,1.24,-3.23,-3.23,3.23,3.08,2.03,4.46,4.46,4.47
23.69,1.26,1.26,-3.21,-3.21,3.21,3.08,2.09,4.46,4.46,4.47
23.92,1.28,1.28,-3.19,-3.19,3.19,3.07,2.15,4.46,4.46,4.46
24.16,1.30,1.30,-3.17,-3.16,3.17,3.06,2.21,4.46,4.46,4.46
24.40,1.32,1.32,-3.14,-3.14,3.15,3.06,2.27,4.46,4.46,4.46
24.65,1.34,1.33,-3.12,-3.13,3.13,3.05,2.33,4.46,4.46,4.46
24.89,1.35,1.35,-3.11,-3.11,3.11,3.04,2.40,4.46,4.46,4.46
25.14,1.37,1.37,-3.09,-3.09,3.09,3.04,2.46,4.46,4.46,4.46
25.39,1.39,1.38,-3.07,-3.07,3.07,3.03,2.52,4.46,4.45,4.46
25.65,1.40,1.40,-3.06,-3.05,3.05,3.02,2.59,4.45,4.45,4.45
25.91,1.42,1.42,-3.04,-3.04,3.04,3.02,2.65,4.45,4.45,4.45
26.16,1.44,1.43,-3.01,-3.02,3.02,3.01,2.72,4.46,4.45,4.45
26.43,1.45,1.45,-3.00,-3.00,3.00,3.00,2.78,4.45,4.45,4.45
26.69,1.47,1.47,-2.98,-2.98,2.98,3.00,2.84,4.45,4.45,4.45
26.96,1.48,1.48,-2.97,-2.97,2.97,2.99,2.90,4.44,4.45,4.45
27.23,1.50,1.50,-2.95,-2.95,2.95,2.98,2.96,4.45,4.45,4.44
27.50,1.51,1.51,-2.94,-2.93,2.93,2.97,3.02,4.44,4.44,4.44
27.77,1.53,1.52,-2.91,-2.92,2.92,2.96,3.07,4.45,4.44,4.44
28.05,1.54,1.54,-2.90,-2.90,2.90,2.96,3.13,4.44,4.44,4.44
28.33,1.55,1.55,-2.89,-2.89,2.88,2.95,3.18,4.43,4.44,4.44
28.62,1.57,1.56,-2.87,-2.87,2.87,2.94,3.22,4.44,4.43,4.43
28.90,1.58,1.58,-2.85,-2.85,2.85,2.93,3.27,4.43,4.43,4.43
29.19,1.60,1.59,-2.83,-2.84,2.84,2.92,3.31,4.43,4.43,4.43
29.48,1.61,1.61,-2.82,-2.82,2.82,2.91,3.34,4.43,4.43,4.43
29.78,1.62,1.62,-2.81,-2.80,2.80,2.90,3.37,4.42,4.43,4.43
30.08,1.64,1.63,-2.79,-2.79,2.79,2.89,3.40,4.43,4.42,4.42
30.38,1.65,1.65,-2.77,-2.77,2.77,2.88,3.42,4.42,4.42,4.42
30.68,1.66,1.66,-2.76,-2.76,2.76,2.87,3.44,4.42,4.42,4.42
30.99,1.67,1.67,-2.75,-2.75,2.74,2.86,3.45,4.41,4.41,4.41
