frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.79,6.79,-1.45,-1.45,1.45,1.15,0.41,8.24,8.24,8.24
20.20,6.80,6.80,-1.44,-1.44,1.44,1.15,0.42,8.24,8.24,8.24
20.40,6.81,6.81,-1.43,-1.43,1.42,1.15,0.44,8.23,8.23,8.24
20.61,6.82,6.82,-1.42,-1.41,1.41,1.14,0.45,8.23,8.23,8.24
20.81,6.84,6.84,-1.39,-1.40,1.40,1.14,0.46,8.24,8.23,8.24
21.02,6.85,6.85,-1.38,-1.38,1.38,1.14,0.48,8.23,8.23,8.23
21.23,6.87,6.87,-1.36,-1.37,1.36,1.14,0.49,8.24,8.23,8.23
21.44,6.88,6.88,-1.35,-1.35,1.35,1.13,0.51,8.23,8.23,8.23
21.66,6.90,6.90,-1.33,-1.33,1.33,1.13,0.52,8.23,8.23,8.23
21.87,6.92,6.92,-1.31,-1.31,1.32,1.13,0.54,8.24,8.23,8.23
22.09,6.93,6.93,-1.30,-1.30,1.30,1.12,0.55,8.23,8.23,8.23
22.31,6.95,6.95,-1.28,-1.28,1.28,1.12,0.57,8.23,8.23,8.23
22.54,6.96,6.96,-1.27,-1.27,1.27,1.12,0.59,8.23,8.23,8.23
22.76,6.98,6.98,-1.25,-1.25,1.25,1.12,0.61,8.23,8.23,8.23
22.99,6.99,6.99,-1.24,-1.23,1.23,1.11,0.62,8.23,8.23,8.23
23.22,7.01,7.01,-1.22,-1.22,1.22,1.11,0.64,8.23,8.23,8.23
23.45,7.02,7.02,-1.20,-1.21,1.21,1.10,0.66,8.23,8.22,8.23
23.69,7.03,7.03,-1.19,-1.19,1.19,1.10,0.68,8.22,8.22,8.22
23.92,7.04,7.04,-1.18,-1.18,1.18,1.10,0.70,8.22,8.22,8.22
24.16,7.06,7.06,-1.16,-1.16,1.16,1.09,0.72,8.23,8.22,8.22
24.40,7.07,7.07,-1.15,-1.15,1.15,1.09,0.74,8.22,8.22,8.22
24.65,7.08,7.08,-1.14,-1.14,1.14,1.08,0.76,8.22,8.22,8.22
24.89,7.09,7.09,-1.13,-1.13,1.13,1.08,0.78,8.22,8.22,8.22
25.14,7.10,7.10,-1.12,-1.12,1.11,1.08,0.80,8.21,8.21,8.22
25.39,7.11,7.11,-1.10,-1.10,1.10,1.07,0.82,8.21,8.21,8.22
25.65,7.13,7.13,-1.08,-1.09,1.09,1.07,0.84,8.22,8.21,8.21
25.91,7.14,7.14,-1.07,-1.07,1.07,1.06,0.87,8.21,8.21,8.21
26.16,7.15,7.15,-1.06,-1.06,1.06,1.06,0.89,8.21,8.21,8.21
26.43,7.16,7.16,-1.05,-1.05,1.05,1.05,0.91,8.21,8.21,8.21
26.69,7.17,7.17,-1.04,-1.04,1.04,1.05,0.93,8.21,8.21,8.21
26.96,7.18,7.18,-1.03,-1.03,1.02,1.04,0.95,8.20,8.20,8.21
27.23,7.19,7.19,-1.01,-1.01,1.01,1.04,0.97,8.20,8.20,8.20
27.50,7.20,7.20,-1.00,-1.00,1.00,1.03,0.98,8.20,8.20,8.20
27.77,7.21,7.21,-0.99,-0.99,0.99,1.02,1.00,8.20,8.20,8.20
28.05,7.22,7.22,-0.98,-0.98,0.98,1.02,1.02,8.20,8.20,8.20
28.33,7.22,7.22,-0.98,-0.97,0.97,1.01,1.04,8.19,8.20,8.20
28.62,7.23,7.23,-0.96,-0.96,0.96,1.00,1.05,8.19,8.19,8.19
28.90,7.24,7.24,-0.95,-0.96,0.95,1.00,1.06,8.19,8.19,8.19
29.19,7.24,7.24,-0.95,-0.94,0.94,0.99,1.08,8.18,8.19,8.19
29.48,7.25,7.25,-0.94,-0.94,0.94,0.98,1.09,8.19,8.19,8.19
29.78,7.26,7.26,-0.92,-0.93,0.93,0.98,1.10,8.19,8.18,8.18
30.08,7.26,7.26,-0.92,-0.92,0.92,0.97,1.11,8.18,8.18,8.18
30.38,7.27,7.27,-0.91,-0.91,0.91,0.96,1.11,8.18,8.18,8.18
30.68,7.27,7.27,-0.91,-0.90,0.90,0.95,1.12,8.17,8.18,8.18
30.99,7.28,7.28,-0.89,-0.89,0.90,0.95,1.12,8.18,8.17,8.17
31.30,7.28,7.28,-0.89,-0.89,0.89,0.94,1.13,8.17,8.17,8.17
31.61,7.28,7.28,-0.89,-0.88,0.88,0.93,1.13,8.16,8.17,8.17
31.93,7.28,7.28,-0.88,-0.88,0.88,0.93,1.12,8.16,8.16,8.16
32.24,7.29,7.29,-0.87,-0.87,0.87,0.92,1.12,8.16,8.16,8.16
32.57,7.29,7.29,-0.87,-0.87,0.87,0.91,1.12,8.16,8.16,8.16
32.89,7.29,7.29,-0.86,-0.86,0.86,0.90,1.11,8.15,8.15,8.15
33.22,7.29,7.29,-0.86,-0.86,0.86,0.90,1.10,8.15,8.15,8.15
33.55,7.29,7.29,-0.85,-0.85,0.85,0.89,1.09,8.14,8.14,8.15
33.89,7.30,7.30,-0.84,-0.84,0.84,0.88,1.08,8.14,8.14,8.14
34.23,7.30,7.30,-0.84,-0.84,0.84,0.88,1.07,8.14,8.14,8.14
34.57,7.30,7.30,-0.83,-0.83,0.83,0.87,1.06,8.13,8.13,8.13
34.92,7.30,7.30,-0.83,-0.83,0.83,0.87,1.05,8.13,8.13,8.13
35.27,7.30,7.30,-0.82,-0.82,0.82,0.86,1.03,8.12,8.12,8.12
35.62,7.30,7.30,-0.82,-0.82,0.82,0.85,1.02,8.12,8.12,8.12
35.97,7.30,7.30,-0.81,-0.81,0.81,0.85,1.00,8.11,8.11,8.11
36.33,7.30,7.30,-0.81,-0.81,0.81,0.84,0.99,8.11,8.11,8.11
36.70,7.30,7.30,-0.80,-0.80,0.80,0.84,0.97,8.10,8.10,8.10
37.06,7.30,7.30,-0.80,-0.80,0.80,0.84,0.95,8.10,8.10,8.10
37.43,7.30,7.30,-0.79,-0.79,0.79,0.83,0.93,8.09,8.09,8.09
37.81,7.30,7.30,-0.78,-0.78,0.79,0.83,0.92,8.09,8.09,8.09
38.19,7.30,7.30,-0.78,-0.78,0.78,0.82,0.90,8.08,8.08,8.08
38.57,7.29,7.29,-0.78,-0.78,0.78,0.82,0.88,8.07,8.07,8.07
38.95,7.29,7.29,-0.77,-0.77,0.77,0.81,0.87,8.06,8.06,8.07
39.34,7.29,7.29,-0.77,-0.77,0.77,0.81,0.85,8.06,8.06,8.06
39.74,7.29,7.29,-0.76,-0.76,0.76,0.80,0.83,8.06,8.05,8.05
40.14,7.28,7.28,-0.76,-0.76,0.76,0.80,0.82,8.04,8.04,8.04
40.54,7.28,7.28,-0.75,-0.76,0.76,0.79,0.80,8.04,8.04,8.04
40.94,7.27,7.27,-0.76,-0.75,0.75,0.79,0.79,8.02,8.03,8.03
41.35,7.27,7.27,-0.75,-0.75,0.75,0.78,0.77,8.02,8.02,8.02
41.76,7.26,7.26,-0.75,-0.75,0.75,0.77,0.76,8.01,8.01,8.01
42.18,7.26,7.26,-0.74,-0.74,0.74,0.77,0.74,8.00,8.00,8.00
42.60,7.25,7.25,-0.74,-0.74,0.74,0.76,0.73,7.99,7.99,7.99
43.03,7.24,7.24,-0.74,-0.74,0.74,0.75,0.72,7.98,7.98,7.98
