frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.84,8.84,1.62,1.62,-1.63,-0.84,-0.58,7.21,7.21,7.22
20.20,8.84,8.84,1.62,1.62,-1.62,-0.84,-0.60,7.21,7.21,7.22
20.40,8.84,8.84,1.62,1.62,-1.62,-0.83,-0.62,7.22,7.22,7.22
20.61,8.83,8.83,1.61,1.62,-1.61,-0.83,-0.64,7.22,7.22,7.21
20.81,8.83,8.83,1.61,1.61,-1.61,-0.83,-0.66,7.22,7.22,7.21
21.02,8.82,8.82,1.61,1.61,-1.60,-0.83,-0.68,7.22,7.22,7.21
21.23,8.81,8.81,1.60,1.60,-1.59,-0.83,-0.70,7.21,7.22,7.21
21.44,8.80,8.80,1.59,1.59,-1.59,-0.83,-0.72,7.21,7.21,7.21
21.66,8.79,8.79,1.58,1.58,-1.58,-0.83,-0.74,7.21,7.21,7.21
21.87,8.78,8.78,1.57,1.57,-1.57,-0.83,-0.77,7.21,7.21,7.21
22.09,8.77,8.77,1.56,1.56,-1.56,-0.83,-0.79,7.21,7.21,7.21
22.31,8.76,8.76,1.55,1.55,-1.55,-0.83,-0.81,7.21,7.21,7.21
22.54,8.75,8.75,1.54,1.54,-1.55,-0.83,-0.84,7.20,7.21,7.21
22.76,8.75,8.75,1.54,1.54,-1.54,-0.83,-0.86,7.21,7.21,7.21
22.99,8.74,8.74,1.53,1.53,-1.53,-0.83,-0.89,7.21,7.21,7.21
23.22,8.73,8.73,1.52,1.53,-1.52,-0.83,-0.91,7.21,7.21,7.20
23.45,8.72,8.72,1.52,1.52,-1.51,-0.83,-0.94,7.20,7.20,7.20
23.69,8.71,8.71,1.51,1.51,-1.51,-0.83,-0.97,7.20,7.20,7.20
23.92,8.70,8.70,1.50,1.50,-1.50,-0.83,-0.99,7.20,7.20,7.20
24.16,8.69,8.69,1.49,1.49,-1.49,-0.83,-1.02,7.20,7.20,7.20
24.40,8.68,8.68,1.48,1.48,-1.48,-0.83,-1.05,7.20,7.20,7.20
24.65,8.67,8.67,1.47,1.47,-1.47,-0.83,-1.08,7.20,7.20,7.20
24.89,8.66,8.66,1.46,1.46,-1.46,-0.83,-1.11,7.20,7.20,7.20
25.14,8.65,8.65,1.45,1.45,-1.45,-0.82,-1.14,7.20,7.20,7.20
25.39,8.64,8.64,1.44,1.45,-1.45,-0.82,-1.17,7.19,7.19,7.19
25.65,8.63,8.63,1.44,1.44,-1.44,-0.82,-1.20,7.19,7.19,7.19
25.91,8.62,8.62,1.43,1.43,-1.43,-0.82,-1.23,7.19,7.19,7.19
26.16,8.61,8.61,1.42,1.42,-1.42,-0.82,-1.25,7.19,7.19,7.19
26.43,8.61,8.60,1.42,1.41,-1.41,-0.82,-1.28,7.20,7.19,7.19
26.69,8.59,8.59,1.40,1.41,-1.41,-0.82,-1.31,7.18,7.19,7.19
26.96,8.58,8.58,1.39,1.40,-1.40,-0.82,-1.34,7.18,7.18,7.18
27.23,8.57,8.57,1.39,1.39,-1.39,-0.82,-1.36,7.18,7.18,7.18
27.50,8.56,8.56,1.38,1.38,-1.38,-0.82,-1.39,7.18,7.18,7.18
27.77,8.55,8.55,1.37,1.37,-1.37,-0.82,-1.41,7.18,7.18,7.18
28.05,8.54,8.54,1.36,1.36,-1.36,-0.82,-1.44,7.18,7.18,7.18
28.33,8.53,8.53,1.35,1.35,-1.35,-0.82,-1.46,7.18,7.17,7.17
28.62,8.51,8.51,1.34,1.34,-1.34,-0.81,-1.48,7.17,7.17,7.17
