frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.64,7.64,-0.54,-0.54,0.55,-0.05,-0.14,8.19,8.19,8.18
20.20,7.66,7.66,-0.52,-0.52,0.52,-0.05,-0.15,8.18,8.18,8.18
20.40,7.68,7.68,-0.50,-0.50,0.50,-0.05,-0.15,8.18,8.18,8.18
20.61,7.70,7.70,-0.48,-0.48,0.47,-0.06,-0.15,8.17,8.18,8.18
20.81,7.73,7.73,-0.45,-0.45,0.45,-0.06,-0.16,8.18,8.18,8.18
21.02,7.75,7.75,-0.43,-0.43,0.42,-0.06,-0.16,8.17,8.18,8.18
21.23,7.78,7.78,-0.40,-0.40,0.39,-0.07,-0.17,8.18,8.18,8.18
21.44,7.81,7.81,-0.37,-0.37,0.37,-0.07,-0.17,8.18,8.18,8.18
21.66,7.84,7.84,-0.34,-0.34,0.33,-0.07,-0.18,8.17,8.17,8.18
21.87,7.87,7.87,-0.30,-0.30,0.30,-0.08,-0.18,8.17,8.17,8.18
22.09,7.90,7.90,-0.27,-0.27,0.27,-0.08,-0.18,8.17,8.17,8.17
22.31,7.94,7.94,-0.23,-0.24,0.24,-0.08,-0.19,8.18,8.18,8.17
22.54,7.97,7.97,-0.20,-0.20,0.21,-0.09,-0.19,8.18,8.18,8.17
22.76,8.00,8.00,-0.17,-0.17,0.18,-0.09,-0.20,8.18,8.18,8.17
22.99,8.02,8.02,-0.15,-0.15,0.15,-0.10,-0.21,8.17,8.17,8.17
23.22,8.05,8.05,-0.12,-0.12,0.12,-0.10,-0.21,8.17,8.17,8.17
23.45,8.07,8.07,-0.10,-0.10,0.10,-0.10,-0.22,8.17,8.17,8.17
23.69,8.09,8.09,-0.08,-0.07,0.07,-0.11,-0.22,8.16,8.16,8.17
23.92,8.12,8.12,-0.05,-0.05,0.05,-0.11,-0.23,8.17,8.16,8.17
24.16,8.14,8.14,-0.02,-0.02,0.02,-0.12,-0.23,8.16,8.16,8.17
24.40,8.17,8.17,0.01,0.00,-0.00,-0.12,-0.24,8.17,8.16,8.16
24.65,8.19,8.19,0.03,0.03,-0.03,-0.13,-0.25,8.16,8.16,8.16
24.89,8.21,8.22,0.05,0.05,-0.05,-0.13,-0.25,8.16,8.16,8.16
25.14,8.24,8.24,0.08,0.08,-0.07,-0.13,-0.26,8.17,8.16,8.16
25.39,8.26,8.26,0.10,0.10,-0.09,-0.14,-0.26,8.17,8.16,8.16
25.65,8.27,8.27,0.11,0.12,-0.11,-0.14,-0.27,8.16,8.16,8.16
25.91,8.29,8.29,0.13,0.13,-0.13,-0.15,-0.28,8.16,8.16,8.16
26.16,8.30,8.30,0.15,0.15,-0.15,-0.15,-0.28,8.15,8.15,8.15
26.43,8.32,8.32,0.17,0.17,-0.17,-0.16,-0.29,8.15,8.15,8.15
26.69,8.34,8.34,0.19,0.19,-0.19,-0.16,-0.30,8.15,8.15,8.15
26.96,8.36,8.36,0.21,0.21,-0.21,-0.17,-0.30,8.15,8.15,8.15
27.23,8.38,8.38,0.23,0.24,-0.24,-0.17,-0.31,8.14,8.15,8.15
27.50,8.41,8.41,0.26,0.26,-0.26,-0.18,-0.32,8.15,8.15,8.15
27.77,8.43,8.43,0.29,0.29,-0.28,-0.19,-0.32,8.15,8.15,8.14
28.05,8.45,8.45,0.31,0.31,-0.30,-0.19,-0.33,8.15,8.14,8.14
28.33,8.46,8.46,0.32,0.32,-0.33,-0.20,-0.33,8.14,8.14,8.14
28.62,8.48,8.48,0.34,0.34,-0.35,-0.20,-0.34,8.13,8.14,8.14
28.90,8.50,8.50,0.37,0.36,-0.37,-0.21,-0.35,8.13,8.13,8.14
29.19,8.52,8.52,0.39,0.38,-0.39,-0.21,-0.35,8.13,8.13,8.13
29.48,8.53,8.54,0.40,0.40,-0.41,-0.22,-0.36,8.13,8.13,8.13
