frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.46,8.46,1.39,1.39,-1.39,-1.03,-0.66,7.07,7.07,7.07
20.20,8.46,8.46,1.39,1.40,-1.40,-1.03,-0.68,7.06,7.07,7.07
20.40,8.47,8.47,1.40,1.40,-1.40,-1.03,-0.70,7.07,7.07,7.07
20.61,8.48,8.47,1.41,1.41,-1.41,-1.03,-0.72,7.07,7.07,7.07
20.81,8.48,8.48,1.41,1.42,-1.41,-1.03,-0.74,7.07,7.07,7.06
21.02,8.48,8.48,1.42,1.42,-1.42,-1.03,-0.76,7.06,7.07,7.06
21.23,8.49,8.48,1.43,1.42,-1.42,-1.03,-0.78,7.07,7.06,7.06
21.44,8.49,8.49,1.43,1.43,-1.43,-1.03,-0.81,7.06,7.06,7.06
21.66,8.49,8.49,1.43,1.43,-1.43,-1.03,-0.83,7.06,7.06,7.06
21.87,8.50,8.49,1.44,1.43,-1.44,-1.03,-0.86,7.06,7.06,7.06
22.09,8.50,8.50,1.44,1.44,-1.44,-1.03,-0.88,7.06,7.06,7.06
22.31,8.50,8.50,1.44,1.44,-1.44,-1.03,-0.91,7.05,7.06,7.06
22.54,8.51,8.51,1.45,1.45,-1.45,-1.03,-0.94,7.06,7.06,7.06
22.76,8.51,8.51,1.45,1.45,-1.45,-1.03,-0.96,7.06,7.06,7.06
22.99,8.52,8.52,1.46,1.46,-1.46,-1.03,-0.99,7.06,7.06,7.06
23.22,8.52,8.52,1.46,1.46,-1.46,-1.03,-1.02,7.06,7.06,7.06
23.45,8.52,8.52,1.46,1.47,-1.46,-1.03,-1.05,7.06,7.06,7.05
23.69,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.08,7.05,7.05,7.05
23.92,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.11,7.05,7.05,7.05
24.16,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.14,7.05,7.05,7.05
24.40,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.18,7.05,7.05,7.05
24.65,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.21,7.05,7.05,7.05
24.89,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.24,7.05,7.05,7.05
25.14,8.52,8.52,1.47,1.47,-1.47,-1.03,-1.27,7.05,7.05,7.05
25.39,8.52,8.52,1.47,1.48,-1.47,-1.03,-1.30,7.05,7.05,7.04
25.65,8.52,8.52,1.48,1.48,-1.47,-1.03,-1.34,7.04,7.04,7.04
25.91,8.52,8.52,1.48,1.47,-1.47,-1.03,-1.37,7.04,7.04,7.04
26.16,8.51,8.51,1.47,1.47,-1.47,-1.03,-1.40,7.03,7.04,7.04
26.43,8.51,8.51,1.47,1.47,-1.47,-1.03,-1.43,7.04,7.04,7.04
26.69,8.51,8.51,1.47,1.47,-1.47,-1.03,-1.47,7.04,7.04,7.04
26.96,8.51,8.51,1.47,1.47,-1.47,-1.03,-1.50,7.04,7.04,7.03
27.23,8.50,8.50,1.47,1.47,-1.47,-1.03,-1.53,7.03,7.04,7.03
27.50,8.50,8.50,1.47,1.46,-1.46,-1.03,-1.56,7.04,7.03,7.03
27.77,8.49,8.49,1.46,1.46,-1.46,-1.03,-1.58,7.03,7.03,7.03
28.05,8.48,8.48,1.45,1.46,-1.46,-1.02,-1.61,7.02,7.03,7.03
28.33,8.48,8.48,1.45,1.45,-1.45,-1.02,-1.63,7.03,7.02,7.03
28.62,8.47,8.47,1.45,1.44,-1.45,-1.02,-1.66,7.02,7.02,7.02
28.90,8.46,8.46,1.44,1.44,-1.44,-1.02,-1.68,7.02,7.02,7.02
29.19,8.45,8.45,1.43,1.43,-1.44,-1.02,-1.70,7.01,7.02,7.02
29.48,8.45,8.45,1.43,1.43,-1.43,-1.02,-1.71,7.02,7.02,7.02
29.78,8.44,8.44,1.43,1.43,-1.42,-1.02,-1.73,7.01,7.01,7.01
30.08,8.43,8.43,1.42,1.42,-1.42,-1.02,-1.74,7.01,7.01,7.01
30.38,8.42,8.42,1.41,1.41,-1.41,-1.02,-1.75,7.01,7.01,7.01
30.68,8.41,8.41,1.40,1.40,-1.40,-1.02,-1.76,7.01,7.01,7.01
30.99,8.40,8.40,1.40,1.39,-1.39,-1.02,-1.76,7.01,7.00,7.00
31.30,8.38,8.38,1.38,1.38,-1.38,-1.02,-1.76,7.00,7.00,7.00
31.61,8.37,8.37,1.37,1.37,-1.37,-1.02,-1.76,6.99,6.99,7.00
31.93,8.36,8.35,1.37,1.36,-1.36,-1.01,-1.76,7.00,6.99,6.99
32.24,8.34,8.34,1.35,1.35,-1.35,-1.01,-1.75,6.99,6.99,6.99
32.57,8.33,8.33,1.34,1.34,-1.34,-1.01,-1.74,6.99,6.99,6.99
32.89,8.32,8.32,1.34,1.33,-1.33,-1.01,-1.73,6.99,6.98,6.98
33.22,8.30,8.30,1.32,1.32,-1.32,-1.01,-1.72,6.98,6.98,6.98
33.55,8.29,8.29,1.31,1.31,-1.31,-1.01,-1.70,6.98,6.97,6.97
33.89,8.27,8.27,1.30,1.30,-1.30,-1.01,-1.68,6.97,6.97,6.97
34.23,8.26,8.26,1.29,1.29,-1.29,-1.01,-1.66,6.97,6.97,6.97
34.57,8.24,8.24,1.28,1.28,-1.28,-1.00,-1.64,6.96,6.96,6.96
34.92,8.23,8.23,1.27,1.27,-1.27,-1.00,-1.62,6.96,6.96,6.96
35.27,8.21,8.21,1.26,1.26,-1.26,-1.00,-1.59,6.95,6.95,6.95
35.62,8.19,8.19,1.24,1.24,-1.24,-1.00,-1.56,6.95,6.95,6.95
35.97,8.17,8.17,1.23,1.23,-1.23,-1.00,-1.54,6.94,6.94,6.94
36.33,8.16,8.15,1.22,1.22,-1.22,-1.00,-1.51,6.94,6.93,6.94
36.70,8.14,8.14,1.21,1.21,-1.21,-0.99,-1.48,6.93,6.93,6.93
37.06,8.12,8.12,1.19,1.20,-1.20,-0.99,-1.45,6.92,6.93,6.93
37.43,8.11,8.11,1.19,1.19,-1.18,-0.99,-1.42,6.92,6.92,6.92
37.81,8.09,8.09,1.17,1.17,-1.17,-0.99,-1.39,6.92,6.92,6.91
38.19,8.07,8.07,1.16,1.16,-1.16,-0.98,-1.35,6.91,6.91,6.91
38.57,8.05,8.05,1.15,1.15,-1.15,-0.98,-1.32,6.90,6.90,6.90
38.95,8.03,8.03,1.13,1.14,-1.13,-0.98,-1.29,6.89,6.90,6.89
39.34,8.01,8.01,1.12,1.12,-1.12,-0.98,-1.26,6.89,6.89,6.89
39.74,7.99,7.99,1.11,1.11,-1.10,-0.97,-1.23,6.88,6.88,6.88
40.14,7.96,7.96,1.09,1.09,-1.09,-0.97,-1.20,6.87,6.87,6.87
40.54,7.94,7.94,1.07,1.07,-1.07,-0.97,-1.17,6.87,6.86,6.86
40.94,7.91,7.91,1.05,1.05,-1.06,-0.96,-1.14,6.85,6.86,6.86
41.35,7.89,7.89,1.04,1.04,-1.04,-0.96,-1.11,6.85,6.85,6.85
41.76,7.86,7.86,1.02,1.02,-1.02,-0.96,-1.08,6.84,6.84,6.84
42.18,7.84,7.84,1.01,1.01,-1.00,-0.95,-1.05,6.83,6.83,6.83
42.60,7.81,7.81,0.99,0.99,-0.99,-0.95,-1.02,6.82,6.82,6.82
43.03,7.78,7.78,0.97,0.97,-0.97,-0.94,-1.00,6.81,6.81,6.81
43.46,7.76,7.75,0.96,0.95,-0.96,-0.94,-0.97,6.80,6.80,6.80
43.90,7.73,7.73,0.94,0.94,-0.94,-0.93,-0.95,6.79,6.79,6.79
44.33,7.70,7.70,0.92,0.92,-0.92,-0.93,-0.92,6.78,6.78,6.78
44.78,7.68,7.68,0.91,0.91,-0.91,-0.92,-0.90,6.77,6.77,6.77
45.23,7.65,7.65,0.89,0.89,-0.89,-0.92,-0.87,6.76,6.76,6.76
45.68,7.62,7.62,0.87,0.88,-0.87,-0.91,-0.85,6.75,6.75,6.75
46.13,7.59,7.59,0.86,0.86,-0.86,-0.90,-0.83,6.73,6.73,6.73
46.60,7.56,7.56,0.84,0.84,-0.84,-0.90,-0.81,6.72,6.72,6.72
47.06,7.53,7.53,0.82,0.82,-0.82,-0.89,-0.79,6.71,6.71,6.71
47.53,7.50,7.50,0.81,0.81,-0.81,-0.88,-0.77,6.69,6.69,6.69
48.01,7.47,7.47,0.79,0.79,-0.79,-0.88,-0.75,6.68,6.68,6.68
48.49,7.44,7.44,0.78,0.77,-0.78,-0.87,-0.73,6.66,6.66,6.66
48.97,7.41,7.41,0.76,0.76,-0.76,-0.86,-0.71,6.65,6.65,6.65
49.46,7.38,7.38,0.75,0.75,-0.75,-0.85,-0.70,6.63,6.63,6.63
49.96,7.36,7.36,0.74,0.74,-0.74,-0.84,-0.68,6.62,6.62,6.62
50.46,7.33,7.33,0.73,0.73,-0.72,-0.83,-0.66,6.61,6.60,6.60
50.96,7.29,7.29,0.71,0.71,-0.71,-0.82,-0.65,6.58,6.58,6.58
51.47,7.26,7.26,0.70,0.70,-0.70,-0.81,-0.64,6.56,6.56,6.56
51.99,7.23,7.23,0.68,0.68,-0.69,-0.80,-0.62,6.54,6.54,6.54
52.51,7.20,7.20,0.67,0.67,-0.68,-0.79,-0.61,6.52,6.52,6.53
53.03,7.17,7.17,0.66,0.66,-0.66,-0.78,-0.60,6.50,6.50,6.51
53.56,7.14,7.14,0.65,0.65,-0.65,-0.77,-0.59,6.48,6.48,6.49
54.10,7.11,7.11,0.65,0.65,-0.64,-0.76,-0.57,6.46,6.46,6.46
54.64,7.08,7.08,0.64,0.64,-0.64,-0.75,-0.56,6.44,6.44,6.44
55.18,7.05,7.05,0.63,0.63,-0.63,-0.74,-0.55,6.42,6.42,6.42
55.74,7.02,7.02,0.62,0.62,-0.62,-0.73,-0.55,6.40,6.40,6.40
56.29,6.98,6.98,0.61,0.61,-0.61,-0.72,-0.54,6.37,6.37,6.37
56.86,6.95,6.95,0.60,0.60,-0.60,-0.70,-0.53,6.35,6.35,6.35
57.42,6.92,6.91,0.60,0.59,-0.60,-0.69,-0.52,6.32,6.32,6.32
58.00,6.88,6.88,0.58,0.59,-0.59,-0.68,-0.52,6.29,6.30,6.29
58.58,6.85,6.85,0.58,0.58,-0.58,-0.67,-0.51,6.27,6.27,6.27
59.16,6.82,6.82,0.58,0.58,-0.58,-0.66,-0.51,6.24,6.24,6.24
59.76,6.78,6.78,0.57,0.57,-0.57,-0.65,-0.50,6.21,6.21,6.21
60.35,6.75,6.75,0.57,0.57,-0.57,-0.64,-0.50,6.18,6.18,6.18
60.96,6.71,6.71,0.56,0.56,-0.56,-0.63,-0.50,6.15,6.15,6.15
61.57,6.68,6.68,0.56,0.56,-0.56,-0.63,-0.50,6.12,6.12,6.12
62.18,6.65,6.65,0.56,0.56,-0.56,-0.62,-0.50,6.09,6.09,6.09
62.80,6.61,6.61,0.56,0.56,-0.55,-0.61,-0.50,6.06,6.06,6.05
63.43,6.57,6.57,0.55,0.55,-0.55,-0.61,-0.50,6.02,6.02,6.02
64.07,6.53,6.53,0.55,0.55,-0.55,-0.61,-0.50,5.98,5.98,5.98
64.71,6.49,6.49,0.54,0.54,-0.54,-0.61,-0.50,5.95,5.95,5.95
65.35,6.45,6.45,0.54,0.54,-0.54,-0.61,-0.51,5.91,5.91,5.91
66.01,6.41,6.41,0.54,0.54,-0.54,-0.61,-0.51,5.87,5.87,5.87
66.67,6.37,6.37,0.54,0.54,-0.54,-0.61,-0.51,5.83,5.83,5.83
