frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.83,8.83,3.10,3.10,-3.10,-2.14,-1.21,5.72,5.72,5.72
20.20,8.82,8.82,3.09,3.09,-3.09,-2.14,-1.25,5.72,5.72,5.72
20.40,8.81,8.81,3.08,3.08,-3.08,-2.14,-1.29,5.72,5.72,5.72
20.61,8.80,8.80,3.08,3.08,-3.08,-2.14,-1.33,5.72,5.72,5.72
20.81,8.79,8.79,3.07,3.07,-3.07,-2.14,-1.36,5.72,5.72,5.72
21.02,8.78,8.78,3.06,3.06,-3.06,-2.14,-1.41,5.72,5.72,5.72
21.23,8.77,8.77,3.05,3.05,-3.05,-2.14,-1.45,5.72,5.72,5.72
21.44,8.76,8.76,3.04,3.04,-3.04,-2.14,-1.49,5.72,5.72,5.72
21.66,8.75,8.75,3.03,3.03,-3.03,-2.14,-1.53,5.72,5.72,5.72
21.87,8.74,8.74,3.02,3.02,-3.02,-2.14,-1.58,5.72,5.72,5.72
22.09,8.73,8.73,3.01,3.01,-3.01,-2.14,-1.63,5.72,5.72,5.72
22.31,8.72,8.72,3.00,3.00,-3.00,-2.14,-1.68,5.72,5.72,5.72
22.54,8.71,8.71,2.99,2.99,-2.99,-2.13,-1.73,5.72,5.72,5.71
22.76,8.70,8.69,2.98,2.98,-2.98,-2.13,-1.78,5.72,5.72,5.71
22.99,8.68,8.68,2.96,2.97,-2.97,-2.13,-1.83,5.71,5.71,5.71
23.22,8.67,8.67,2.96,2.95,-2.95,-2.13,-1.88,5.71,5.71,5.71
23.45,8.65,8.65,2.94,2.94,-2.94,-2.13,-1.94,5.71,5.71,5.71
23.69,8.64,8.63,2.93,2.92,-2.92,-2.13,-1.99,5.71,5.71,5.71
23.92,8.62,8.62,2.91,2.91,-2.91,-2.13,-2.05,5.71,5.71,5.71
24.16,8.60,8.60,2.89,2.89,-2.90,-2.13,-2.11,5.70,5.71,5.71
24.40,8.59,8.59,2.88,2.88,-2.88,-2.13,-2.16,5.70,5.70,5.71
24.65,8.58,8.57,2.87,2.87,-2.87,-2.13,-2.22,5.71,5.70,5.70
24.89,8.56,8.56,2.85,2.86,-2.86,-2.13,-2.28,5.70,5.70,5.70
25.14,8.55,8.55,2.84,2.84,-2.84,-2.13,-2.34,5.70,5.70,5.70
25.39,8.54,8.53,2.84,2.83,-2.83,-2.13,-2.40,5.71,5.70,5.70
25.65,8.52,8.52,2.82,2.82,-2.82,-2.13,-2.46,5.70,5.70,5.70
25.91,8.51,8.50,2.81,2.81,-2.81,-2.13,-2.52,5.70,5.70,5.70
26.16,8.49,8.49,2.79,2.79,-2.80,-2.13,-2.58,5.69,5.69,5.70
26.43,8.48,8.48,2.78,2.78,-2.79,-2.13,-2.64,5.69,5.69,5.69
26.69,8.47,8.47,2.77,2.77,-2.77,-2.12,-2.70,5.69,5.69,5.69
26.96,8.46,8.46,2.77,2.77,-2.76,-2.12,-2.76,5.69,5.69,5.69
27.23,8.45,8.44,2.76,2.75,-2.75,-2.12,-2.81,5.69,5.69,5.69
27.50,8.43,8.43,2.74,2.74,-2.74,-2.12,-2.87,5.68,5.69,5.69
27.77,8.42,8.42,2.73,2.73,-2.73,-2.12,-2.92,5.68,5.68,5.69
28.05,8.41,8.40,2.72,2.72,-2.72,-2.12,-2.97,5.69,5.68,5.68
28.33,8.39,8.39,2.71,2.71,-2.71,-2.12,-3.01,5.68,5.68,5.68
28.62,8.38,8.38,2.70,2.70,-2.70,-2.12,-3.06,5.68,5.68,5.68
28.90,8.36,8.36,2.68,2.68,-2.68,-2.12,-3.10,5.67,5.68,5.68
29.19,8.35,8.34,2.67,2.67,-2.67,-2.12,-3.13,5.68,5.67,5.67
29.48,8.33,8.33,2.65,2.65,-2.66,-2.11,-3.17,5.67,5.67,5.67
29.78,8.31,8.31,2.64,2.64,-2.64,-2.11,-3.19,5.66,5.67,5.67
30.08,8.30,8.29,2.63,2.63,-2.63,-2.11,-3.22,5.67,5.67,5.67
30.38,8.28,8.28,2.61,2.61,-2.61,-2.11,-3.24,5.66,5.66,5.66
30.68,8.26,8.26,2.60,2.60,-2.60,-2.11,-3.25,5.66,5.66,5.66
30.99,8.24,8.24,2.58,2.58,-2.58,-2.11,-3.26,5.66,5.66,5.66
31.30,8.22,8.22,2.56,2.56,-2.56,-2.11,-3.26,5.66,5.66,5.66
31.61,8.20,8.19,2.54,2.54,-2.54,-2.10,-3.27,5.66,5.65,5.65
31.93,8.17,8.17,2.52,2.52,-2.52,-2.10,-3.26,5.65,5.65,5.65
32.24,8.15,8.15,2.50,2.50,-2.50,-2.10,-3.25,5.65,5.65,5.65
32.57,8.12,8.12,2.48,2.48,-2.48,-2.10,-3.23,5.64,5.64,5.64
32.89,8.10,8.09,2.46,2.46,-2.46,-2.10,-3.21,5.64,5.64,5.64
33.22,8.07,8.07,2.43,2.44,-2.44,-2.10,-3.19,5.63,5.63,5.63
33.55,8.05,8.05,2.42,2.42,-2.42,-2.09,-3.16,5.63,5.63,5.63
33.89,8.03,8.02,2.40,2.40,-2.40,-2.09,-3.13,5.63,5.63,5.63
34.23,8.00,8.00,2.37,2.38,-2.38,-2.09,-3.09,5.62,5.62,5.62
34.57,7.98,7.98,2.36,2.36,-2.36,-2.09,-3.05,5.62,5.62,5.62
34.92,7.96,7.96,2.34,2.34,-2.34,-2.08,-3.01,5.62,5.61,5.61
35.27,7.94,7.93,2.33,2.33,-2.32,-2.08,-2.97,5.61,5.61,5.61
35.62,7.91,7.91,2.30,2.31,-2.31,-2.08,-2.92,5.60,5.60,5.60
35.97,7.89,7.89,2.29,2.29,-2.29,-2.08,-2.87,5.60,5.60,5.60
36.33,7.87,7.87,2.27,2.27,-2.27,-2.07,-2.82,5.59,5.59,5.59
36.70,7.85,7.84,2.26,2.26,-2.26,-2.07,-2.77,5.59,5.59,5.59
37.06,7.82,7.82,2.23,2.24,-2.24,-2.07,-2.72,5.58,5.58,5.58
37.43,7.80,7.80,2.22,2.22,-2.22,-2.06,-2.67,5.58,5.58,5.58
37.81,7.78,7.77,2.21,2.20,-2.20,-2.06,-2.61,5.57,5.57,5.57
38.19,7.75,7.75,2.18,2.19,-2.19,-2.05,-2.56,5.56,5.57,5.56
38.57,7.73,7.72,2.17,2.17,-2.17,-2.05,-2.50,5.56,5.56,5.56
38.95,7.70,7.70,2.15,2.15,-2.15,-2.04,-2.45,5.55,5.55,5.55
39.34,7.67,7.67,2.12,2.13,-2.13,-2.04,-2.40,5.54,5.55,5.54
39.74,7.65,7.64,2.11,2.11,-2.11,-2.04,-2.34,5.54,5.54,5.54
40.14,7.62,7.61,2.09,2.08,-2.08,-2.03,-2.29,5.53,5.53,5.53
40.54,7.58,7.58,2.06,2.06,-2.06,-2.02,-2.24,5.52,5.52,5.52
40.94,7.55,7.55,2.03,2.04,-2.04,-2.02,-2.19,5.51,5.51,5.51
41.35,7.52,7.52,2.01,2.01,-2.01,-2.01,-2.14,5.50,5.50,5.50
41.76,7.49,7.48,1.99,1.99,-1.99,-2.01,-2.10,5.50,5.49,5.50
42.18,7.45,7.45,1.96,1.96,-1.97,-2.00,-2.05,5.48,5.48,5.49
42.60,7.42,7.42,1.94,1.94,-1.94,-1.99,-2.00,5.47,5.47,5.48
43.03,7.39,7.39,1.92,1.92,-1.92,-1.99,-1.96,5.47,5.47,5.47
43.46,7.36,7.36,1.90,1.90,-1.90,-1.98,-1.92,5.46,5.46,5.46
43.90,7.33,7.33,1.88,1.88,-1.88,-1.97,-1.88,5.45,5.45,5.45
44.33,7.30,7.29,1.86,1.86,-1.86,-1.96,-1.84,5.44,5.44,5.44
44.78,7.26,7.26,1.83,1.84,-1.84,-1.95,-1.80,5.42,5.43,5.42
45.23,7.23,7.23,1.81,1.81,-1.81,-1.94,-1.76,5.41,5.41,5.41
45.68,7.20,7.19,1.80,1.79,-1.79,-1.93,-1.72,5.41,5.40,5.40
46.13,7.16,7.16,1.77,1.77,-1.77,-1.92,-1.69,5.39,5.39,5.39
46.60,7.13,7.12,1.75,1.75,-1.75,-1.91,-1.66,5.38,5.38,5.38
47.06,7.09,7.09,1.72,1.72,-1.73,-1.89,-1.63,5.36,5.36,5.36
47.53,7.05,7.05,1.70,1.70,-1.70,-1.88,-1.60,5.34,5.35,5.35
48.01,7.02,7.02,1.68,1.68,-1.68,-1.87,-1.57,5.33,5.33,5.33
48.49,6.99,6.98,1.67,1.66,-1.67,-1.85,-1.54,5.32,5.32,5.32
48.97,6.95,6.95,1.64,1.65,-1.65,-1.84,-1.51,5.30,5.31,5.30
49.46,6.92,6.92,1.63,1.63,-1.63,-1.82,-1.49,5.29,5.29,5.29
49.96,6.89,6.88,1.61,1.61,-1.61,-1.80,-1.47,5.28,5.27,5.27
50.46,6.85,6.85,1.59,1.60,-1.59,-1.78,-1.44,5.25,5.26,5.26
50.96,6.82,6.81,1.58,1.58,-1.57,-1.77,-1.42,5.24,5.24,5.24
51.47,6.78,6.78,1.56,1.56,-1.56,-1.74,-1.40,5.22,5.22,5.22
51.99,6.74,6.74,1.54,1.54,-1.54,-1.72,-1.38,5.20,5.20,5.20
52.51,6.71,6.70,1.53,1.52,-1.52,-1.70,-1.37,5.18,5.18,5.18
53.03,6.67,6.67,1.51,1.51,-1.51,-1.68,-1.35,5.16,5.16,5.16
53.56,6.64,6.64,1.50,1.49,-1.49,-1.65,-1.33,5.14,5.14,5.14
54.10,6.60,6.60,1.48,1.48,-1.48,-1.62,-1.32,5.12,5.12,5.12
54.64,6.57,6.56,1.47,1.47,-1.46,-1.60,-1.31,5.10,5.10,5.10
55.18,6.53,6.53,1.45,1.45,-1.45,-1.57,-1.29,5.08,5.07,5.08
55.74,6.49,6.49,1.44,1.44,-1.44,-1.54,-1.28,5.05,5.05,5.05
56.29,6.45,6.45,1.42,1.42,-1.42,-1.51,-1.27,5.02,5.03,5.03
56.86,6.42,6.41,1.41,1.41,-1.41,-1.48,-1.26,5.01,5.00,5.00
57.42,6.38,6.38,1.40,1.40,-1.40,-1.45,-1.25,4.98,4.98,4.98
58.00,6.34,6.34,1.39,1.39,-1.38,-1.41,-1.24,4.95,4.95,4.95
58.58,6.30,6.30,1.37,1.37,-1.37,-1.38,-1.23,4.92,4.92,4.92
59.16,6.26,6.26,1.36,1.36,-1.36,-1.35,-1.22,4.89,4.89,4.90
59.76,6.22,6.22,1.35,1.35,-1.35,-1.32,-1.21,4.86,4.86,4.87
60.35,6.18,6.18,1.34,1.34,-1.35,-1.29,-1.21,4.83,4.83,4.84
60.96,6.15,6.14,1.34,1.34,-1.34,-1.27,-1.20,4.81,4.81,4.81
61.57,6.11,6.11,1.33,1.33,-1.33,-1.24,-1.20,4.78,4.78,4.77
62.18,6.07,6.07,1.32,1.32,-1.32,-1.22,-1.19,4.75,4.75,4.74
62.80,6.03,6.02,1.32,1.32,-1.31,-1.20,-1.19,4.71,4.71,4.71
63.43,5.98,5.98,1.30,1.30,-1.30,-1.19,-1.18,4.67,4.68,4.67
64.07,5.94,5.94,1.30,1.30,-1.30,-1.18,-1.18,4.64,4.64,4.64
