frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.36,5.87,5.87,5.87
20.20,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.37,5.87,5.87,5.87
20.40,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.39,5.87,5.87,5.87
20.61,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.40,5.87,5.87,5.87
20.81,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.41,5.87,5.87,5.87
21.02,6.67,6.67,0.80,0.80,-0.80,-0.45,-0.42,5.87,5.87,5.87
21.23,6.67,6.66,0.80,0.80,-0.80,-0.45,-0.44,5.87,5.87,5.87
21.44,6.66,6.66,0.79,0.80,-0.80,-0.45,-0.45,5.86,5.86,5.87
21.66,6.66,6.66,0.79,0.79,-0.80,-0.45,-0.46,5.86,5.86,5.86
21.87,6.66,6.66,0.79,0.79,-0.80,-0.45,-0.48,5.86,5.86,5.86
22.09,6.66,6.66,0.79,0.79,-0.80,-0.45,-0.49,5.86,5.86,5.86
22.31,6.66,6.66,0.80,0.80,-0.80,-0.45,-0.51,5.86,5.86,5.86
22.54,6.66,6.66,0.80,0.80,-0.79,-0.45,-0.52,5.86,5.86,5.86
22.76,6.66,6.66,0.80,0.80,-0.79,-0.45,-0.54,5.86,5.86,5.86
22.99,6.66,6.65,0.80,0.79,-0.79,-0.45,-0.55,5.86,5.86,5.86
23.22,6.65,6.65,0.79,0.79,-0.79,-0.45,-0.57,5.85,5.86,5.86
23.45,6.65,6.65,0.79,0.79,-0.79,-0.45,-0.59,5.86,5.86,5.86
23.69,6.65,6.64,0.79,0.79,-0.79,-0.45,-0.60,5.86,5.85,5.86
23.92,6.64,6.64,0.78,0.79,-0.79,-0.45,-0.62,5.85,5.86,5.86
24.16,6.64,6.64,0.78,0.78,-0.78,-0.45,-0.64,5.85,5.85,5.85
24.40,6.64,6.63,0.78,0.78,-0.78,-0.45,-0.66,5.86,5.85,5.85
24.65,6.63,6.63,0.78,0.78,-0.78,-0.45,-0.67,5.85,5.85,5.85
24.89,6.63,6.63,0.78,0.78,-0.78,-0.45,-0.69,5.85,5.85,5.85
25.14,6.63,6.62,0.78,0.77,-0.78,-0.45,-0.71,5.85,5.85,5.85
25.39,6.62,6.62,0.77,0.77,-0.77,-0.45,-0.73,5.84,5.85,5.85
25.65,6.62,6.62,0.77,0.77,-0.77,-0.45,-0.75,5.84,5.85,5.85
25.91,6.62,6.62,0.77,0.77,-0.77,-0.45,-0.76,5.85,5.84,5.84
26.16,6.62,6.62,0.77,0.77,-0.77,-0.45,-0.78,5.85,5.85,5.84
26.43,6.61,6.61,0.77,0.77,-0.77,-0.45,-0.80,5.84,5.84,5.84
26.69,6.61,6.60,0.77,0.77,-0.77,-0.45,-0.82,5.84,5.84,5.84
26.96,6.60,6.60,0.76,0.76,-0.76,-0.45,-0.83,5.83,5.84,5.84
27.23,6.60,6.60,0.76,0.76,-0.76,-0.45,-0.85,5.84,5.84,5.84
27.50,6.60,6.59,0.76,0.76,-0.76,-0.45,-0.87,5.84,5.83,5.83
27.77,6.59,6.59,0.76,0.76,-0.76,-0.45,-0.88,5.83,5.83,5.83
28.05,6.58,6.58,0.75,0.75,-0.75,-0.44,-0.90,5.83,5.83,5.83
28.33,6.58,6.57,0.75,0.75,-0.75,-0.44,-0.91,5.83,5.83,5.83
