frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.66,2.66,-3.37,-3.38,3.37,2.58,0.63,6.03,6.03,6.03
20.20,2.73,2.73,-3.30,-3.30,3.30,2.56,0.65,6.03,6.03,6.03
20.40,2.80,2.80,-3.23,-3.23,3.24,2.53,0.67,6.03,6.03,6.03
20.61,2.87,2.87,-3.16,-3.17,3.17,2.50,0.69,6.03,6.03,6.03
20.81,2.93,2.93,-3.10,-3.10,3.10,2.47,0.71,6.03,6.03,6.03
21.02,3.00,3.00,-3.03,-3.03,3.03,2.44,0.73,6.03,6.03,6.03
21.23,3.06,3.06,-2.97,-2.97,2.97,2.41,0.75,6.03,6.03,6.03
21.44,3.13,3.13,-2.90,-2.90,2.90,2.38,0.78,6.03,6.03,6.03
21.66,3.19,3.19,-2.84,-2.84,2.84,2.35,0.80,6.02,6.03,6.03
21.87,3.26,3.26,-2.77,-2.77,2.77,2.32,0.83,6.03,6.03,6.03
22.09,3.32,3.32,-2.71,-2.71,2.71,2.29,0.85,6.03,6.03,6.03
22.31,3.38,3.38,-2.65,-2.65,2.65,2.26,0.88,6.03,6.03,6.03
22.54,3.44,3.44,-2.59,-2.58,2.59,2.23,0.91,6.02,6.03,6.03
22.76,3.50,3.50,-2.52,-2.53,2.53,2.20,0.93,6.02,6.02,6.02
22.99,3.56,3.56,-2.46,-2.47,2.47,2.17,0.96,6.03,6.02,6.02
23.22,3.61,3.61,-2.41,-2.41,2.41,2.14,0.99,6.02,6.02,6.02
23.45,3.67,3.67,-2.35,-2.35,2.35,2.11,1.02,6.02,6.02,6.02
23.69,3.73,3.72,-2.29,-2.30,2.29,2.08,1.05,6.02,6.02,6.02
23.92,3.78,3.78,-2.24,-2.24,2.24,2.05,1.08,6.02,6.02,6.02
24.16,3.83,3.83,-2.19,-2.18,2.18,2.02,1.11,6.01,6.02,6.02
24.40,3.89,3.89,-2.13,-2.13,2.13,1.99,1.14,6.02,6.02,6.02
24.65,3.94,3.94,-2.08,-2.08,2.08,1.96,1.18,6.02,6.02,6.02
24.89,3.99,3.99,-2.02,-2.02,2.03,1.94,1.21,6.02,6.02,6.01
25.14,4.04,4.04,-1.97,-1.97,1.97,1.91,1.24,6.01,6.01,6.01
25.39,4.09,4.09,-1.92,-1.93,1.92,1.88,1.27,6.01,6.01,6.01
25.65,4.13,4.13,-1.88,-1.88,1.88,1.85,1.30,6.00,6.01,6.01
25.91,4.18,4.18,-1.83,-1.83,1.83,1.82,1.34,6.01,6.01,6.01
