frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.63,4.63,-0.92,-0.91,0.92,-0.03,-0.07,5.55,5.55,5.55
20.20,4.67,4.67,-0.88,-0.88,0.88,-0.03,-0.08,5.55,5.55,5.55
20.40,4.71,4.71,-0.83,-0.84,0.84,-0.03,-0.08,5.55,5.55,5.55
20.61,4.75,4.75,-0.79,-0.80,0.79,-0.03,-0.08,5.55,5.54,5.55
20.81,4.78,4.79,-0.76,-0.76,0.76,-0.03,-0.08,5.54,5.54,5.55
21.02,4.82,4.82,-0.72,-0.72,0.72,-0.03,-0.09,5.54,5.54,5.54
21.23,4.86,4.86,-0.68,-0.68,0.68,-0.03,-0.09,5.54,5.54,5.54
21.44,4.90,4.90,-0.64,-0.64,0.64,-0.03,-0.09,5.54,5.54,5.54
21.66,4.94,4.94,-0.60,-0.60,0.60,-0.04,-0.09,5.54,5.55,5.54
21.87,4.98,4.98,-0.56,-0.56,0.57,-0.04,-0.10,5.55,5.55,5.54
22.09,5.01,5.01,-0.53,-0.53,0.53,-0.04,-0.10,5.54,5.54,5.54
22.31,5.04,5.04,-0.50,-0.50,0.50,-0.04,-0.10,5.54,5.54,5.54
22.54,5.07,5.07,-0.47,-0.47,0.47,-0.04,-0.11,5.54,5.54,5.54
22.76,5.10,5.10,-0.44,-0.44,0.43,-0.04,-0.11,5.54,5.54,5.54
22.99,5.13,5.13,-0.40,-0.40,0.40,-0.04,-0.11,5.54,5.54,5.54
23.22,5.16,5.16,-0.37,-0.37,0.37,-0.05,-0.12,5.53,5.53,5.54
23.45,5.19,5.19,-0.34,-0.34,0.34,-0.05,-0.12,5.53,5.53,5.54
23.69,5.22,5.22,-0.31,-0.31,0.31,-0.05,-0.12,5.53,5.53,5.53
23.92,5.25,5.25,-0.28,-0.28,0.28,-0.05,-0.13,5.53,5.53,5.53
24.16,5.28,5.28,-0.25,-0.25,0.25,-0.05,-0.13,5.53,5.53,5.53
24.40,5.31,5.31,-0.22,-0.22,0.22,-0.05,-0.13,5.53,5.53,5.53
24.65,5.34,5.34,-0.19,-0.19,0.19,-0.06,-0.14,5.53,5.53,5.53
24.89,5.36,5.37,-0.17,-0.16,0.16,-0.06,-0.14,5.53,5.53,5.53
25.14,5.39,5.39,-0.13,-0.14,0.14,-0.06,-0.15,5.53,5.53,5.53
25.39,5.41,5.41,-0.11,-0.11,0.11,-0.06,-0.15,5.53,5.53,5.53
25.65,5.43,5.43,-0.09,-0.09,0.09,-0.06,-0.15,5.52,5.52,5.52
25.91,5.45,5.45,-0.07,-0.07,0.07,-0.07,-0.16,5.52,5.52,5.52
26.16,5.47,5.47,-0.05,-0.05,0.05,-0.07,-0.16,5.52,5.52,5.52
26.43,5.49,5.49,-0.03,-0.03,0.03,-0.07,-0.16,5.52,5.52,5.52
26.69,5.51,5.51,-0.01,-0.01,0.00,-0.07,-0.17,5.52,5.52,5.52
26.96,5.53,5.53,0.02,0.02,-0.02,-0.08,-0.17,5.52,5.52,5.52
27.23,5.55,5.55,0.04,0.04,-0.04,-0.08,-0.17,5.52,5.51,5.51
27.50,5.57,5.57,0.06,0.06,-0.06,-0.08,-0.18,5.52,5.51,5.51
27.77,5.58,5.59,0.07,0.08,-0.08,-0.09,-0.18,5.51,5.51,5.51
28.05,5.60,5.60,0.09,0.09,-0.10,-0.09,-0.18,5.51,5.51,5.51
28.33,5.62,5.62,0.12,0.11,-0.11,-0.09,-0.18,5.51,5.51,5.51
28.62,5.63,5.64,0.13,0.13,-0.13,-0.10,-0.19,5.50,5.51,5.50
28.90,5.65,5.65,0.15,0.15,-0.15,-0.10,-0.19,5.51,5.50,5.50
