frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.22,5.21,0.46,0.46,-0.45,0.39,0.98,4.76,4.76,4.76
20.20,5.10,5.10,0.34,0.34,-0.34,0.44,1.00,4.75,4.76,4.76
20.40,4.99,4.99,0.23,0.23,-0.23,0.49,1.03,4.75,4.75,4.76
20.61,4.88,4.88,0.12,0.12,-0.12,0.54,1.06,4.75,4.75,4.76
20.81,4.78,4.77,0.02,0.02,-0.02,0.59,1.09,4.76,4.75,4.76
21.02,4.67,4.67,-0.09,-0.09,0.09,0.64,1.13,4.75,4.75,4.75
21.23,4.57,4.57,-0.19,-0.19,0.19,0.69,1.16,4.76,4.76,4.75
21.44,4.47,4.47,-0.29,-0.29,0.29,0.73,1.19,4.75,4.75,4.75
21.66,4.37,4.37,-0.38,-0.39,0.39,0.78,1.23,4.76,4.75,4.75
21.87,4.27,4.27,-0.49,-0.49,0.48,0.83,1.26,4.75,4.75,4.75
22.09,4.17,4.17,-0.58,-0.58,0.58,0.89,1.30,4.75,4.75,4.75
22.31,4.08,4.08,-0.67,-0.67,0.67,0.94,1.33,4.75,4.75,4.75
22.54,3.99,3.99,-0.76,-0.76,0.77,0.99,1.37,4.75,4.75,4.75
22.76,3.90,3.90,-0.85,-0.85,0.86,1.04,1.41,4.75,4.75,4.75
22.99,3.81,3.81,-0.94,-0.94,0.94,1.09,1.45,4.75,4.75,4.75
23.22,3.72,3.72,-1.03,-1.03,1.03,1.14,1.49,4.74,4.74,4.75
23.45,3.63,3.63,-1.12,-1.11,1.10,1.19,1.53,4.73,4.74,4.74
23.69,3.56,3.56,-1.19,-1.19,1.18,1.25,1.58,4.74,4.73,4.74
23.92,3.49,3.48,-1.26,-1.26,1.25,1.30,1.62,4.74,4.73,4.74
24.16,3.42,3.42,-1.33,-1.32,1.32,1.35,1.67,4.73,4.74,4.74
24.40,3.36,3.36,-1.38,-1.38,1.38,1.41,1.71,4.74,4.74,4.74
24.65,3.30,3.30,-1.44,-1.44,1.45,1.46,1.76,4.75,4.75,4.74
24.89,3.24,3.23,-1.50,-1.51,1.52,1.52,1.80,4.76,4.75,4.74
25.14,3.16,3.16,-1.58,-1.58,1.59,1.58,1.85,4.75,4.75,4.74
25.39,3.08,3.08,-1.66,-1.66,1.67,1.63,1.90,4.74,4.74,4.73
25.65,2.99,2.99,-1.75,-1.74,1.75,1.69,1.95,4.73,4.73,4.73
25.91,2.91,2.90,-1.82,-1.83,1.82,1.75,1.99,4.73,4.73,4.73
26.16,2.82,2.82,-1.91,-1.91,1.90,1.81,2.04,4.72,4.72,4.73
26.43,2.74,2.74,-1.99,-1.99,1.98,1.87,2.09,4.72,4.72,4.73
26.69,2.67,2.66,-2.06,-2.06,2.06,1.94,2.14,4.72,4.72,4.73
26.96,2.60,2.60,-2.13,-2.13,2.13,2.00,2.18,4.73,4.72,4.73
27.23,2.53,2.53,-2.20,-2.19,2.19,2.06,2.23,4.72,4.72,4.72
27.50,2.47,2.47,-2.25,-2.26,2.26,2.13,2.27,4.72,4.72,4.72
27.77,2.41,2.41,-2.31,-2.31,2.31,2.19,2.32,4.72,4.72,4.72
28.05,2.35,2.35,-2.37,-2.37,2.37,2.25,2.36,4.72,4.72,4.72
28.33,2.30,2.30,-2.42,-2.42,2.42,2.31,2.40,4.71,4.71,4.72
28.62,2.25,2.24,-2.47,-2.47,2.46,2.37,2.44,4.71,4.71,4.71
28.90,2.20,2.20,-2.51,-2.51,2.51,2.43,2.48,4.71,4.71,4.71
29.19,2.16,2.16,-2.55,-2.55,2.55,2.48,2.51,4.71,4.71,4.71
29.48,2.13,2.12,-2.58,-2.58,2.59,2.53,2.55,4.72,4.71,4.71
29.78,2.09,2.09,-2.62,-2.62,2.62,2.57,2.58,4.71,4.71,4.70
30.08,2.05,2.05,-2.65,-2.65,2.66,2.61,2.61,4.71,4.71,4.70
30.38,2.01,2.01,-2.69,-2.69,2.69,2.64,2.63,4.70,4.70,4.70
30.68,1.98,1.98,-2.72,-2.72,2.71,2.67,2.66,4.69,4.69,4.70
30.99,1.95,1.95,-2.75,-2.74,2.74,2.69,2.68,4.68,4.69,4.69
31.30,1.93,1.93,-2.76,-2.76,2.76,2.71,2.70,4.68,4.68,4.69
31.61,1.91,1.91,-2.78,-2.78,2.77,2.73,2.71,4.68,4.68,4.69
31.93,1.90,1.90,-2.79,-2.79,2.78,2.75,2.72,4.68,4.68,4.68
32.24,1.89,1.89,-2.79,-2.79,2.80,2.76,2.73,4.68,4.68,4.68
32.57,1.88,1.88,-2.80,-2.80,2.81,2.78,2.74,4.69,4.68,4.68
32.89,1.86,1.86,-2.82,-2.81,2.82,2.79,2.75,4.68,4.68,4.67
33.22,1.85,1.84,-2.82,-2.83,2.84,2.81,2.75,4.69,4.68,4.67
33.55,1.82,1.82,-2.85,-2.85,2.86,2.82,2.75,4.67,4.67,4.67
