frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.27,9.27,3.32,3.32,-3.34,-2.88,-1.45,5.93,5.93,5.95
20.20,9.25,9.25,3.30,3.30,-3.30,-2.88,-1.49,5.95,5.95,5.95
20.40,9.23,9.23,3.28,3.28,-3.27,-2.88,-1.53,5.96,5.96,5.95
20.61,9.21,9.21,3.26,3.26,-3.24,-2.88,-1.58,5.97,5.97,5.95
20.81,9.18,9.18,3.23,3.23,-3.22,-2.88,-1.62,5.96,5.96,5.95
21.02,9.15,9.15,3.20,3.21,-3.20,-2.88,-1.67,5.95,5.96,5.95
21.23,9.13,9.13,3.18,3.18,-3.18,-2.88,-1.72,5.95,5.94,5.95
21.44,9.11,9.11,3.16,3.16,-3.17,-2.88,-1.77,5.94,5.94,5.95
21.66,9.10,9.10,3.16,3.16,-3.17,-2.88,-1.83,5.93,5.93,5.95
21.87,9.10,9.10,3.16,3.16,-3.17,-2.88,-1.88,5.93,5.93,5.94
22.09,9.11,9.11,3.17,3.17,-3.18,-2.88,-1.94,5.94,5.94,5.94
22.31,9.13,9.13,3.19,3.19,-3.19,-2.88,-1.99,5.95,5.94,5.94
22.54,9.15,9.15,3.21,3.21,-3.20,-2.88,-2.05,5.95,5.95,5.94
22.76,9.17,9.17,3.23,3.23,-3.21,-2.88,-2.11,5.96,5.95,5.94
22.99,9.18,9.18,3.24,3.24,-3.23,-2.88,-2.17,5.95,5.95,5.94
23.22,9.19,9.19,3.25,3.25,-3.25,-2.88,-2.23,5.94,5.94,5.94
23.45,9.19,9.20,3.25,3.26,-3.26,-2.87,-2.30,5.93,5.93,5.94
23.69,9.21,9.21,3.27,3.27,-3.28,-2.87,-2.36,5.93,5.93,5.94
23.92,9.22,9.22,3.28,3.29,-3.30,-2.87,-2.43,5.93,5.93,5.94
24.16,9.24,9.24,3.31,3.31,-3.31,-2.87,-2.50,5.93,5.93,5.93
24.40,9.26,9.26,3.33,3.33,-3.33,-2.87,-2.57,5.93,5.93,5.93
24.65,9.28,9.28,3.35,3.35,-3.35,-2.87,-2.64,5.93,5.93,5.93
