frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-11.57,-11.60,-11.38,-11.41,6.00,6.52,2.82,-5.57,-5.60,-0.19
20.20,-11.42,-11.39,-11.26,-11.23,6.00,6.51,2.90,-5.42,-5.39,-0.16
20.40,-11.23,-11.20,-11.09,-11.06,6.00,6.50,2.98,-5.23,-5.20,-0.13
20.61,-11.02,-11.02,-10.91,-10.92,6.00,6.48,3.07,-5.02,-5.02,-0.11
20.81,-10.84,-10.84,-10.75,-10.76,6.00,6.47,3.15,-4.84,-4.84,-0.08
21.02,-10.71,-10.72,-10.65,-10.66,6.00,6.46,3.24,-4.71,-4.72,-0.05
21.23,-10.65,-10.66,-10.60,-10.62,6.00,6.45,3.34,-4.65,-4.66,-0.04
21.44,-10.65,-10.65,-10.61,-10.62,6.00,6.44,3.43,-4.65,-4.65,-0.04
21.66,-10.66,-10.65,-10.63,-10.62,6.00,6.42,3.53,-4.66,-4.65,-0.03
21.87,-10.62,-10.60,-10.59,-10.58,6.00,6.41,3.63,-4.62,-4.60,-0.03
22.09,-10.49,-10.47,-10.47,-10.45,6.00,6.40,3.73,-4.49,-4.47,-0.02
22.31,-10.28,-10.28,-10.26,-10.26,6.00,6.38,3.84,-4.28,-4.28,-0.02
22.54,-10.05,-10.06,-10.03,-10.04,6.00,6.37,3.95,-4.05,-4.06,-0.02
22.76,-9.84,-9.85,-9.82,-9.82,6.00,6.36,4.06,-3.84,-3.85,-0.02
22.99,-9.66,-9.66,-9.63,-9.64,6.00,6.34,4.18,-3.66,-3.66,-0.03
23.22,-9.51,-9.51,-9.48,-9.48,6.00,6.33,4.30,-3.51,-3.51,-0.03
23.45,-9.38,-9.38,-9.35,-9.34,6.00,6.31,4.42,-3.38,-3.38,-0.03
23.69,-9.26,-9.26,-9.23,-9.22,6.00,6.30,4.54,-3.26,-3.26,-0.03
23.92,-9.15,-9.15,-9.11,-9.12,6.00,6.28,4.66,-3.15,-3.15,-0.03
24.16,-9.06,-9.06,-9.03,-9.03,6.00,6.27,4.79,-3.06,-3.06,-0.02
