frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.55,-18.57,-21.97,-21.99,6.00,6.41,2.68,-12.55,-12.57,3.42
20.20,-18.43,-18.41,-21.88,-21.86,6.00,6.40,2.75,-12.43,-12.41,3.45
20.40,-18.29,-18.27,-21.77,-21.75,6.00,6.39,2.83,-12.29,-12.27,3.48
20.61,-18.15,-18.17,-21.65,-21.67,6.00,6.38,2.91,-12.15,-12.17,3.50
20.81,-18.07,-18.08,-21.60,-21.62,6.00,6.37,2.99,-12.07,-12.08,3.53
21.02,-18.04,-18.04,-21.60,-21.60,6.00,6.36,3.08,-12.04,-12.04,3.56
21.23,-18.03,-18.03,-21.60,-21.60,6.00,6.35,3.17,-12.03,-12.03,3.57
21.44,-17.99,-17.98,-21.57,-21.56,6.00,6.34,3.26,-11.99,-11.98,3.58
21.66,-17.90,-17.88,-21.49,-21.46,6.00,6.32,3.35,-11.90,-11.88,3.59
21.87,-17.71,-17.70,-21.29,-21.29,6.00,6.31,3.45,-11.71,-11.70,3.59
22.09,-17.47,-17.47,-21.06,-21.07,6.00,6.30,3.55,-11.47,-11.47,3.60
22.31,-17.23,-17.23,-20.82,-20.83,6.00,6.29,3.65,-11.23,-11.23,3.60
22.54,-17.01,-17.02,-20.61,-20.61,6.00,6.28,3.75,-11.01,-11.02,3.60
22.76,-16.84,-16.86,-20.43,-20.45,6.00,6.27,3.86,-10.84,-10.86,3.60
22.99,-16.74,-16.74,-20.32,-20.33,6.00,6.26,3.97,-10.74,-10.74,3.58
23.22,-16.67,-16.66,-20.25,-20.25,6.00,6.25,4.08,-10.67,-10.66,3.58
23.45,-16.59,-16.58,-20.17,-20.16,6.00,6.23,4.20,-10.59,-10.58,3.58
23.69,-16.47,-16.46,-20.05,-20.04,6.00,6.22,4.32,-10.47,-10.46,3.58
23.92,-16.31,-16.31,-19.89,-19.89,6.00,6.21,4.43,-10.31,-10.31,3.58
24.16,-16.13,-16.13,-19.72,-19.72,6.00,6.20,4.56,-10.13,-10.13,3.59
