frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.58,0.58,-4.74,-4.74,4.76,3.15,1.40,5.35,5.35,5.33
20.20,0.61,0.62,-4.71,-4.71,4.71,3.15,1.44,5.33,5.33,5.33
20.40,0.66,0.66,-4.66,-4.67,4.66,3.15,1.48,5.33,5.32,5.33
20.61,0.70,0.70,-4.62,-4.62,4.61,3.15,1.53,5.31,5.31,5.33
20.81,0.75,0.76,-4.57,-4.57,4.55,3.14,1.57,5.31,5.31,5.32
21.02,0.81,0.82,-4.51,-4.51,4.50,3.14,1.62,5.31,5.31,5.32
21.23,0.88,0.88,-4.44,-4.44,4.44,3.14,1.67,5.33,5.32,5.32
21.44,0.94,0.94,-4.38,-4.38,4.38,3.14,1.72,5.33,5.33,5.32
21.66,1.00,1.00,-4.32,-4.32,4.32,3.13,1.77,5.32,5.32,5.32
21.87,1.06,1.06,-4.26,-4.26,4.25,3.13,1.82,5.32,5.32,5.32
22.09,1.12,1.13,-4.20,-4.19,4.19,3.13,1.87,5.31,5.32,5.32
22.31,1.19,1.19,-4.12,-4.13,4.13,3.13,1.93,5.32,5.32,5.32
22.54,1.25,1.25,-4.07,-4.06,4.07,3.12,1.98,5.32,5.32,5.32
22.76,1.31,1.31,-4.00,-4.01,4.01,3.12,2.04,5.33,5.32,5.32
22.99,1.36,1.36,-3.95,-3.96,3.96,3.12,2.10,5.32,5.32,5.32
23.22,1.40,1.41,-3.91,-3.91,3.91,3.11,2.16,5.31,5.32,5.32
23.45,1.45,1.45,-3.86,-3.86,3.86,3.11,2.22,5.31,5.31,5.31
23.69,1.50,1.50,-3.81,-3.81,3.81,3.11,2.29,5.31,5.31,5.31
23.92,1.54,1.55,-3.77,-3.76,3.76,3.10,2.35,5.31,5.31,5.31
24.16,1.59,1.59,-3.72,-3.72,3.71,3.10,2.42,5.31,5.31,5.31
24.40,1.64,1.64,-3.67,-3.67,3.67,3.10,2.48,5.31,5.31,5.31
24.65,1.68,1.69,-3.63,-3.62,3.62,3.09,2.55,5.30,5.31,5.31
24.89,1.73,1.74,-3.57,-3.57,3.57,3.09,2.62,5.31,5.31,5.31
25.14,1.78,1.78,-3.52,-3.53,3.53,3.08,2.69,5.31,5.31,5.31
25.39,1.82,1.82,-3.48,-3.48,3.49,3.08,2.76,5.31,5.31,5.30
25.65,1.85,1.86,-3.45,-3.44,3.45,3.07,2.82,5.30,5.30,5.30
25.91,1.89,1.89,-3.41,-3.41,3.41,3.07,2.89,5.30,5.30,5.30
26.16,1.93,1.93,-3.37,-3.37,3.37,3.07,2.96,5.30,5.30,5.30
26.43,1.96,1.96,-3.34,-3.33,3.33,3.06,3.03,5.30,5.30,5.30
26.69,1.99,2.00,-3.30,-3.30,3.30,3.05,3.10,5.29,5.30,5.30
26.96,2.03,2.03,-3.26,-3.27,3.27,3.05,3.17,5.30,5.30,5.30
27.23,2.06,2.06,-3.23,-3.23,3.23,3.04,3.23,5.30,5.30,5.29
27.50,2.08,2.09,-3.21,-3.20,3.20,3.04,3.29,5.29,5.29,5.29
27.77,2.12,2.11,-3.17,-3.18,3.17,3.03,3.35,5.29,5.28,5.29
28.05,2.13,2.14,-3.15,-3.14,3.14,3.03,3.41,5.27,5.29,5.29
28.33,2.17,2.17,-3.11,-3.11,3.11,3.02,3.47,5.29,5.28,5.29
28.62,2.21,2.20,-3.07,-3.08,3.08,3.01,3.52,5.29,5.29,5.28
28.90,2.22,2.23,-3.06,-3.05,3.05,3.00,3.57,5.28,5.28,5.28
29.19,2.26,2.26,-3.01,-3.02,3.02,3.00,3.62,5.29,5.28,5.28
29.48,2.26,2.28,-3.01,-3.00,3.00,2.99,3.66,5.26,5.27,5.28
29.78,2.31,2.31,-2.96,-2.97,2.97,2.98,3.69,5.28,5.28,5.27
30.08,2.32,2.33,-2.95,-2.94,2.94,2.97,3.73,5.27,5.27,5.27
30.38,2.36,2.36,-2.90,-2.91,2.92,2.97,3.75,5.28,5.27,5.27
30.68,2.36,2.37,-2.90,-2.89,2.89,2.96,3.77,5.25,5.26,5.27
30.99,2.40,2.40,-2.86,-2.87,2.86,2.95,3.79,5.27,5.26,5.26
31.30,2.40,2.41,-2.86,-2.84,2.84,2.94,3.80,5.24,5.25,5.26
31.61,2.45,2.44,-2.80,-2.81,2.82,2.93,3.81,5.27,5.26,5.26
31.93,2.45,2.47,-2.80,-2.79,2.79,2.92,3.81,5.25,5.26,5.25
32.24,2.49,2.48,-2.76,-2.76,2.77,2.91,3.81,5.26,5.25,5.25
32.57,2.50,2.50,-2.74,-2.75,2.75,2.90,3.80,5.25,5.25,5.25
32.89,2.50,2.52,-2.74,-2.72,2.72,2.88,3.78,5.23,5.24,5.24
33.22,2.54,2.53,-2.69,-2.71,2.70,2.87,3.76,5.25,5.23,5.24
33.55,2.54,2.55,-2.69,-2.68,2.68,2.86,3.74,5.23,5.23,5.23
33.89,2.56,2.57,-2.67,-2.66,2.66,2.85,3.71,5.23,5.23,5.23
34.23,2.59,2.58,-2.63,-2.65,2.64,2.84,3.69,5.24,5.22,5.23
34.57,2.59,2.60,-2.63,-2.62,2.62,2.82,3.65,5.22,5.22,5.22
34.92,2.61,2.62,-2.60,-2.60,2.60,2.81,3.62,5.22,5.22,5.22
35.27,2.64,2.63,-2.57,-2.58,2.58,2.79,3.58,5.23,5.21,5.21
35.62,2.64,2.65,-2.56,-2.56,2.56,2.78,3.54,5.21,5.21,5.21
35.97,2.64,2.66,-2.56,-2.54,2.55,2.77,3.49,5.19,5.21,5.20
36.33,2.68,2.67,-2.51,-2.53,2.53,2.75,3.45,5.21,5.20,5.20
36.70,2.68,2.68,-2.51,-2.51,2.51,2.73,3.40,5.19,5.19,5.19
37.06,2.68,2.69,-2.50,-2.50,2.49,2.72,3.36,5.18,5.18,5.19
37.43,2.68,2.70,-2.50,-2.48,2.48,2.70,3.31,5.16,5.18,5.18
37.81,2.73,2.72,-2.44,-2.46,2.46,2.69,3.27,5.19,5.18,5.17
38.19,2.73,2.73,-2.43,-2.44,2.44,2.67,3.22,5.18,5.17,5.17
38.57,2.73,2.74,-2.43,-2.43,2.42,2.65,3.17,5.16,5.16,5.16
38.95,2.73,2.74,-2.42,-2.42,2.40,2.64,3.13,5.14,5.14,5.15
39.34,2.74,2.75,-2.40,-2.40,2.39,2.62,3.09,5.13,5.14,5.15
39.74,2.77,2.77,-2.37,-2.37,2.37,2.60,3.04,5.15,5.14,5.14
40.14,2.78,2.78,-2.35,-2.35,2.36,2.59,3.00,5.15,5.15,5.13
40.54,2.78,2.79,-2.34,-2.34,2.36,2.57,2.96,5.14,5.14,5.13
40.94,2.78,2.77,-2.33,-2.34,2.35,2.55,2.92,5.13,5.12,5.12
41.35,2.75,2.76,-2.35,-2.35,2.35,2.54,2.89,5.10,5.10,5.11
41.76,2.73,2.74,-2.37,-2.36,2.35,2.52,2.85,5.08,5.09,5.10
42.18,2.73,2.74,-2.36,-2.35,2.35,2.50,2.82,5.08,5.08,5.09
42.60,2.73,2.73,-2.35,-2.35,2.35,2.49,2.79,5.09,5.08,5.08
43.03,2.73,2.72,-2.34,-2.35,2.36,2.47,2.76,5.09,5.08,5.07
43.46,2.69,2.71,-2.37,-2.36,2.36,2.46,2.73,5.05,5.06,5.06
43.90,2.68,2.69,-2.37,-2.36,2.36,2.45,2.71,5.04,5.05,5.05
44.33,2.68,2.67,-2.36,-2.37,2.36,2.44,2.69,5.04,5.03,5.04
44.78,2.66,2.66,-2.37,-2.36,2.36,2.43,2.66,5.03,5.03,5.03
45.23,2.64,2.65,-2.37,-2.36,2.37,2.42,2.65,5.01,5.02,5.02
45.68,2.64,2.63,-2.36,-2.37,2.37,2.41,2.63,5.02,5.01,5.01
46.13,2.62,2.62,-2.37,-2.37,2.38,2.40,2.61,5.00,5.00,4.99
46.60,2.59,2.60,-2.39,-2.38,2.38,2.39,2.60,4.97,4.98,4.98
47.06,2.59,2.58,-2.37,-2.39,2.38,2.39,2.59,4.98,4.96,4.97
47.53,2.55,2.56,-2.40,-2.39,2.38,2.39,2.58,4.94,4.95,4.95
48.01,2.54,2.55,-2.39,-2.39,2.39,2.38,2.58,4.93,4.94,4.94
48.49,2.54,2.53,-2.38,-2.39,2.39,2.38,2.57,4.94,4.92,4.92
48.97,2.50,2.52,-2.40,-2.39,2.40,2.38,2.57,4.90,4.91,4.91
49.46,2.50,2.50,-2.39,-2.39,2.40,2.39,2.57,4.90,4.90,4.89
49.96,2.47,2.47,-2.40,-2.40,2.40,2.39,2.57,4.88,4.88,4.88
50.46,2.45,2.45,-2.41,-2.41,2.41,2.39,2.57,4.86,4.86,4.86
50.96,2.42,2.43,-2.42,-2.42,2.41,2.40,2.57,4.84,4.84,4.84
51.47,2.40,2.41,-2.42,-2.42,2.42,2.40,2.57,4.82,4.82,4.82
51.99,2.38,2.38,-2.42,-2.42,2.42,2.41,2.58,4.81,4.80,4.81
52.51,2.36,2.36,-2.42,-2.43,2.43,2.42,2.59,4.79,4.79,4.79
53.03,2.32,2.33,-2.44,-2.43,2.44,2.42,2.59,4.76,4.77,4.77
53.56,2.31,2.30,-2.43,-2.44,2.44,2.43,2.60,4.75,4.74,4.75
54.10,2.26,2.28,-2.46,-2.45,2.45,2.44,2.61,4.71,4.72,4.72
54.64,2.25,2.25,-2.45,-2.45,2.45,2.45,2.61,4.70,4.70,4.70
55.18,2.22,2.22,-2.46,-2.46,2.46,2.46,2.62,4.68,4.68,4.68
55.74,2.19,2.20,-2.46,-2.46,2.46,2.47,2.63,4.65,4.66,4.66
56.29,2.17,2.17,-2.46,-2.46,2.46,2.48,2.63,4.64,4.63,4.63
56.86,2.13,2.14,-2.47,-2.46,2.47,2.48,2.64,4.60,4.61,4.61
57.42,2.12,2.11,-2.46,-2.47,2.47,2.49,2.64,4.59,4.58,4.58
58.00,2.08,2.08,-2.47,-2.47,2.47,2.50,2.65,4.56,4.55,4.55
58.58,2.03,2.05,-2.49,-2.47,2.48,2.51,2.65,4.51,4.53,4.53
59.16,2.03,2.02,-2.47,-2.48,2.48,2.52,2.65,4.51,4.50,4.50
59.76,1.98,1.98,-2.49,-2.49,2.49,2.53,2.65,4.47,4.47,4.47
60.35,1.94,1.95,-2.50,-2.49,2.49,2.53,2.65,4.43,4.44,4.44
60.96,1.91,1.91,-2.50,-2.50,2.50,2.54,2.65,4.41,4.41,4.41
61.57,1.88,1.88,-2.49,-2.50,2.50,2.55,2.64,4.38,4.38,4.38
62.18,1.84,1.84,-2.50,-2.51,2.50,2.55,2.64,4.35,4.34,4.35
62.80,1.79,1.80,-2.52,-2.51,2.51,2.56,2.63,4.30,4.31,4.31
63.43,1.76,1.76,-2.52,-2.52,2.51,2.56,2.62,4.28,4.28,4.28
64.07,1.73,1.73,-2.51,-2.52,2.52,2.57,2.60,4.25,4.25,4.24
64.71,1.68,1.69,-2.52,-2.52,2.53,2.57,2.59,4.21,4.21,4.21
65.35,1.64,1.64,-2.53,-2.53,2.53,2.57,2.57,4.18,4.17,4.17
66.01,1.59,1.59,-2.54,-2.54,2.54,2.57,2.56,4.13,4.13,4.13
66.67,1.54,1.55,-2.55,-2.55,2.54,2.58,2.54,4.09,4.09,4.09
67.33,1.50,1.50,-2.55,-2.55,2.55,2.58,2.52,4.05,4.05,4.05
68.01,1.45,1.45,-2.56,-2.56,2.56,2.58,2.49,4.01,4.01,4.01
68.69,1.40,1.41,-2.57,-2.56,2.56,2.58,2.47,3.97,3.97,3.97
69.37,1.36,1.36,-2.56,-2.57,2.57,2.58,2.45,3.93,3.93,3.93
70.07,1.31,1.31,-2.57,-2.57,2.57,2.58,2.42,3.88,3.88,3.88
70.77,1.26,1.27,-2.57,-2.57,2.57,2.57,2.39,3.84,3.84,3.84
71.48,1.22,1.22,-2.57,-2.57,2.57,2.57,2.37,3.80,3.79,3.79
72.19,1.17,1.17,-2.57,-2.57,2.57,2.57,2.34,3.74,3.74,3.74
72.91,1.12,1.13,-2.57,-2.57,2.57,2.57,2.31,3.69,3.70,3.70
73.64,1.08,1.08,-2.56,-2.57,2.57,2.56,2.29,3.65,3.64,3.65
74.38,1.03,1.03,-2.56,-2.56,2.56,2.56,2.26,3.60,3.60,3.60
75.12,0.98,0.99,-2.56,-2.56,2.56,2.55,2.24,3.54,3.55,3.55
75.87,0.94,0.94,-2.55,-2.55,2.56,2.55,2.21,3.50,3.50,3.49
76.63,0.89,0.89,-2.55,-2.55,2.55,2.54,2.18,3.45,3.44,3.44
77.40,0.84,0.84,-2.54,-2.54,2.55,2.54,2.16,3.39,3.39,3.39
78.17,0.78,0.79,-2.55,-2.54,2.55,2.53,2.14,3.33,3.33,3.33
78.95,0.73,0.73,-2.54,-2.54,2.54,2.53,2.11,3.27,3.27,3.27
79.74,0.67,0.68,-2.54,-2.54,2.54,2.52,2.09,3.21,3.21,3.22
80.54,0.62,0.62,-2.54,-2.53,2.53,2.51,2.07,3.15,3.15,3.16
81.35,0.57,0.57,-2.53,-2.53,2.52,2.50,2.05,3.10,3.10,3.10
82.16,0.52,0.52,-2.52,-2.51,2.52,2.50,2.04,3.04,3.04,3.04
82.98,0.47,0.47,-2.50,-2.50,2.51,2.49,2.02,2.98,2.98,2.98
83.81,0.42,0.42,-2.49,-2.50,2.50,2.48,2.01,2.92,2.92,2.92
84.65,0.36,0.36,-2.49,-2.49,2.49,2.47,1.99,2.86,2.85,2.85
85.50,0.30,0.31,-2.49,-2.48,2.48,2.46,1.98,2.78,2.79,2.79
86.35,0.24,0.25,-2.48,-2.47,2.47,2.45,1.97,2.71,2.72,2.73
87.22,0.21,0.20,-2.45,-2.46,2.45,2.45,1.96,2.67,2.66,2.66
88.09,0.15,0.15,-2.44,-2.44,2.44,2.44,1.95,2.59,2.59,2.59
88.97,0.10,0.10,-2.42,-2.42,2.42,2.43,1.95,2.53,2.53,2.53
89.86,0.04,0.05,-2.42,-2.41,2.41,2.42,1.94,2.45,2.46,2.46
90.76,0.01,0.01,-2.38,-2.38,2.39,2.41,1.94,2.40,2.40,2.39
91.66,-0.04,-0.04,-2.36,-2.37,2.37,2.39,1.94,2.34,2.33,2.32
92.58,-0.10,-0.10,-2.35,-2.35,2.36,2.38,1.94,2.26,2.26,2.25
93.51,-0.17,-0.16,-2.35,-2.35,2.34,2.37,1.94,2.17,2.18,2.18
94.44,-0.23,-0.22,-2.34,-2.33,2.32,2.36,1.94,2.10,2.10,2.11
95.39,-0.27,-0.27,-2.31,-2.31,2.31,2.34,1.95,2.04,2.04,2.04
96.34,-0.32,-0.32,-2.29,-2.29,2.29,2.33,1.95,1.98,1.98,1.97
97.30,-0.37,-0.37,-2.27,-2.27,2.28,2.31,1.96,1.91,1.91,1.90
98.28,-0.43,-0.43,-2.26,-2.26,2.27,2.30,1.97,1.84,1.84,1.83
99.26,-0.50,-0.49,-2.25,-2.25,2.25,2.28,1.98,1.76,1.76,1.76
100.25,-0.55,-0.55,-2.23,-2.24,2.24,2.26,1.98,1.69,1.68,1.68
101.25,-0.62,-0.62,-2.23,-2.23,2.22,2.25,1.99,1.60,1.61,1.61
102.27,-0.68,-0.68,-2.22,-2.22,2.21,2.23,2.01,1.53,1.53,1.54
103.29,-0.74,-0.73,-2.20,-2.20,2.19,2.21,2.02,1.45,1.46,1.47
104.32,-0.79,-0.78,-2.18,-2.18,2.17,2.18,2.03,1.39,1.39,1.39
105.37,-0.83,-0.83,-2.15,-2.15,2.16,2.16,2.04,1.33,1.33,1.32
106.42,-0.88,-0.88,-2.12,-2.13,2.14,2.14,2.05,1.26,1.26,1.25
107.48,-0.94,-0.94,-2.11,-2.11,2.12,2.12,2.06,1.18,1.18,1.17
108.56,-1.00,-1.00,-2.10,-2.10,2.10,2.09,2.07,1.10,1.10,1.10
109.64,-1.06,-1.05,-2.08,-2.08,2.08,2.07,2.09,1.02,1.02,1.03
110.74,-1.11,-1.10,-2.06,-2.06,2.06,2.04,2.09,0.95,0.95,0.96
111.85,-1.15,-1.15,-2.03,-2.04,2.03,2.02,2.10,0.89,0.88,0.88
112.97,-1.21,-1.20,-2.02,-2.01,2.01,1.99,2.11,0.81,0.81,0.81
114.10,-1.25,-1.25,-1.99,-1.99,1.99,1.97,2.12,0.74,0.74,0.74
115.24,-1.30,-1.30,-1.96,-1.97,1.97,1.94,2.12,0.67,0.67,0.67
116.39,-1.35,-1.34,-1.94,-1.94,1.94,1.92,2.13,0.59,0.60,0.60
