frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.74,-4.75,-6.76,-6.77,6.00,5.82,2.43,1.26,1.25,2.02
20.20,-4.73,-4.71,-6.78,-6.76,6.00,5.80,2.50,1.27,1.29,2.05
20.40,-4.68,-4.68,-6.76,-6.76,6.00,5.79,2.57,1.32,1.32,2.08
20.61,-4.64,-4.64,-6.74,-6.74,6.00,5.77,2.64,1.36,1.36,2.10
20.81,-4.59,-4.59,-6.72,-6.72,6.00,5.75,2.72,1.41,1.41,2.13
21.02,-4.56,-4.56,-6.72,-6.71,6.00,5.73,2.80,1.44,1.44,2.16
21.23,-4.52,-4.52,-6.69,-6.69,6.00,5.71,2.88,1.48,1.48,2.17
21.44,-4.49,-4.49,-6.67,-6.67,6.00,5.69,2.96,1.51,1.51,2.18
21.66,-4.47,-4.46,-6.66,-6.65,6.00,5.67,3.05,1.53,1.54,2.19
21.87,-4.43,-4.44,-6.62,-6.63,6.00,5.65,3.14,1.57,1.56,2.19
22.09,-4.42,-4.41,-6.61,-6.60,6.00,5.63,3.23,1.58,1.59,2.19
22.31,-4.38,-4.38,-6.57,-6.58,6.00,5.61,3.32,1.62,1.62,2.19
22.54,-4.34,-4.35,-6.53,-6.55,6.00,5.59,3.42,1.66,1.65,2.19
22.76,-4.33,-4.32,-6.52,-6.51,6.00,5.57,3.52,1.67,1.68,2.19
22.99,-4.28,-4.29,-6.46,-6.47,6.00,5.55,3.61,1.72,1.71,2.18
23.22,-4.25,-4.25,-6.43,-6.43,6.00,5.53,3.72,1.75,1.75,2.18
23.45,-4.21,-4.20,-6.39,-6.38,6.00,5.51,3.82,1.79,1.80,2.18
23.69,-4.16,-4.17,-6.34,-6.35,6.00,5.49,3.93,1.84,1.83,2.18
23.92,-4.13,-4.13,-6.31,-6.31,6.00,5.47,4.04,1.87,1.87,2.18
24.16,-4.10,-4.09,-6.29,-6.27,6.00,5.45,4.15,1.90,1.91,2.19
24.40,-4.04,-4.05,-6.23,-6.23,6.01,5.43,4.26,1.97,1.96,2.19
24.65,-4.01,-4.01,-6.19,-6.19,6.01,5.40,4.38,2.00,2.00,2.18
24.89,-3.96,-3.96,-6.14,-6.14,6.01,5.38,4.50,2.05,2.04,2.18
25.14,-3.93,-3.93,-6.10,-6.10,6.00,5.36,4.61,2.07,2.08,2.17
25.39,-3.89,-3.89,-6.06,-6.06,5.99,5.34,4.73,2.10,2.10,2.17
25.65,-3.84,-3.84,-6.01,-6.01,5.97,5.32,4.85,2.13,2.13,2.17
25.91,-3.79,-3.79,-5.95,-5.95,5.94,5.30,4.97,2.15,2.15,2.16
26.16,-3.73,-3.74,-5.89,-5.90,5.90,5.27,5.09,2.17,2.16,2.16
26.43,-3.70,-3.69,-5.86,-5.85,5.85,5.25,5.21,2.15,2.17,2.16
26.69,-3.64,-3.63,-5.80,-5.79,5.80,5.23,5.32,2.16,2.16,2.16
26.96,-3.56,-3.57,-5.72,-5.73,5.73,5.21,5.44,2.17,2.16,2.16
27.23,-3.51,-3.51,-5.67,-5.66,5.66,5.18,5.55,2.15,2.15,2.16
27.50,-3.44,-3.43,-5.59,-5.59,5.58,5.16,5.66,2.14,2.15,2.15
27.77,-3.36,-3.36,-5.50,-5.51,5.51,5.14,5.77,2.15,2.14,2.14
28.05,-3.28,-3.29,-5.42,-5.43,5.43,5.11,5.87,2.15,2.14,2.14
28.33,-3.22,-3.21,-5.35,-5.35,5.35,5.09,5.97,2.13,2.14,2.13
28.62,-3.15,-3.14,-5.28,-5.27,5.28,5.07,6.06,2.13,2.13,2.13
28.90,-3.07,-3.08,-5.20,-5.20,5.20,5.04,6.14,2.13,2.13,2.13
29.19,-3.01,-3.01,-5.13,-5.13,5.13,5.02,6.22,2.12,2.12,2.12
29.48,-2.96,-2.95,-5.08,-5.07,5.07,4.99,6.29,2.11,2.12,2.12
29.78,-2.89,-2.89,-5.00,-5.00,5.00,4.97,6.35,2.11,2.11,2.11
30.08,-2.83,-2.84,-4.94,-4.94,4.94,4.94,6.40,2.11,2.11,2.11
30.38,-2.78,-2.78,-4.88,-4.88,4.89,4.92,6.44,2.11,2.10,2.10
30.68,-2.75,-2.74,-4.85,-4.83,4.84,4.90,6.47,2.09,2.10,2.10
30.99,-2.70,-2.70,-4.78,-4.79,4.79,4.87,6.49,2.09,2.09,2.08
31.30,-2.66,-2.67,-4.74,-4.75,4.75,4.85,6.50,2.09,2.08,2.08
31.61,-2.66,-2.64,-4.74,-4.72,4.72,4.82,6.50,2.06,2.08,2.08
31.93,-2.61,-2.62,-4.68,-4.69,4.70,4.79,6.49,2.09,2.07,2.07
32.24,-2.61,-2.61,-4.66,-4.67,4.68,4.77,6.47,2.07,2.06,2.05
32.57,-2.61,-2.61,-4.66,-4.66,4.66,4.74,6.43,2.05,2.06,2.05
32.89,-2.61,-2.61,-4.66,-4.66,4.65,4.72,6.40,2.04,2.04,2.05
33.22,-2.61,-2.61,-4.65,-4.65,4.64,4.69,6.34,2.03,2.03,2.04
33.55,-2.61,-2.61,-4.64,-4.64,4.63,4.67,6.29,2.02,2.02,2.03
33.89,-2.61,-2.61,-4.63,-4.63,4.63,4.64,6.22,2.02,2.02,2.02
34.23,-2.61,-2.61,-4.63,-4.62,4.63,4.61,6.15,2.02,2.02,2.02
34.57,-2.61,-2.61,-4.61,-4.62,4.63,4.58,6.07,2.02,2.02,2.01
34.92,-2.61,-2.62,-4.60,-4.62,4.63,4.56,5.99,2.02,2.00,1.99
35.27,-2.65,-2.64,-4.64,-4.62,4.62,4.53,5.90,1.97,1.98,1.99
35.62,-2.66,-2.65,-4.63,-4.63,4.62,4.50,5.80,1.96,1.96,1.98
35.97,-2.66,-2.66,-4.62,-4.63,4.62,4.47,5.71,1.96,1.95,1.96
36.33,-2.66,-2.66,-4.62,-4.61,4.61,4.45,5.61,1.95,1.95,1.96
36.70,-2.66,-2.66,-4.60,-4.60,4.61,4.42,5.51,1.95,1.95,1.94
37.06,-2.66,-2.66,-4.59,-4.59,4.60,4.39,5.40,1.94,1.94,1.93
37.43,-2.66,-2.66,-4.59,-4.58,4.59,4.36,5.30,1.93,1.93,1.93
37.81,-2.66,-2.66,-4.57,-4.57,4.57,4.33,5.20,1.91,1.91,1.91
38.19,-2.66,-2.66,-4.56,-4.56,4.56,4.30,5.09,1.90,1.89,1.90
38.57,-2.66,-2.66,-4.55,-4.54,4.53,4.27,4.99,1.87,1.88,1.89
38.95,-2.65,-2.64,-4.53,-4.52,4.51,4.24,4.89,1.86,1.87,1.88
39.34,-2.61,-2.62,-4.47,-4.48,4.48,4.21,4.79,1.87,1.86,1.86
39.74,-2.59,-2.59,-4.44,-4.44,4.44,4.18,4.69,1.85,1.85,1.85
40.14,-2.56,-2.56,-4.40,-4.40,4.40,4.15,4.59,1.84,1.85,1.84
40.54,-2.53,-2.53,-4.36,-4.36,4.36,4.12,4.50,1.83,1.83,1.83
40.94,-2.50,-2.50,-4.32,-4.32,4.32,4.09,4.40,1.82,1.82,1.82
41.35,-2.47,-2.46,-4.27,-4.27,4.27,4.05,4.31,1.80,1.81,1.80
41.76,-2.42,-2.42,-4.22,-4.22,4.22,4.02,4.23,1.80,1.80,1.80
42.18,-2.38,-2.39,-4.17,-4.17,4.17,3.99,4.14,1.79,1.79,1.79
42.60,-2.35,-2.35,-4.12,-4.12,4.12,3.95,4.06,1.77,1.77,1.77
43.03,-2.31,-2.31,-4.08,-4.07,4.06,3.92,3.98,1.75,1.76,1.77
43.46,-2.26,-2.26,-4.01,-4.01,4.00,3.88,3.90,1.74,1.74,1.75
43.90,-2.21,-2.21,-3.93,-3.94,3.94,3.85,3.83,1.73,1.72,1.72
44.33,-2.17,-2.17,-3.87,-3.87,3.87,3.81,3.76,1.70,1.71,1.70
44.78,-2.12,-2.12,-3.81,-3.81,3.81,3.77,3.69,1.69,1.69,1.69
45.23,-2.07,-2.07,-3.74,-3.74,3.74,3.74,3.63,1.67,1.67,1.67
45.68,-2.02,-2.02,-3.67,-3.67,3.67,3.70,3.57,1.65,1.66,1.65
46.13,-1.96,-1.97,-3.59,-3.60,3.61,3.66,3.51,1.65,1.64,1.63
46.60,-1.93,-1.92,-3.55,-3.54,3.54,3.62,3.45,1.61,1.62,1.62
47.06,-1.88,-1.88,-3.48,-3.48,3.48,3.58,3.40,1.60,1.60,1.60
47.53,-1.84,-1.84,-3.42,-3.43,3.42,3.54,3.35,1.58,1.58,1.58
48.01,-1.80,-1.80,-3.37,-3.36,3.36,3.50,3.30,1.56,1.56,1.57
48.49,-1.76,-1.76,-3.30,-3.30,3.30,3.46,3.25,1.54,1.54,1.54
48.97,-1.73,-1.73,-3.24,-3.24,3.24,3.42,3.21,1.51,1.51,1.51
49.46,-1.70,-1.70,-3.18,-3.18,3.18,3.37,3.17,1.48,1.48,1.48
49.96,-1.68,-1.67,-3.13,-3.13,3.13,3.33,3.13,1.45,1.46,1.45
50.46,-1.63,-1.64,-3.07,-3.07,3.08,3.29,3.09,1.45,1.44,1.43
50.96,-1.63,-1.62,-3.04,-3.02,3.03,3.24,3.06,1.40,1.41,1.41
51.47,-1.59,-1.60,-2.97,-2.98,2.99,3.20,3.02,1.40,1.39,1.38
51.99,-1.59,-1.59,-2.95,-2.95,2.95,3.15,2.99,1.36,1.35,1.36
52.51,-1.59,-1.58,-2.93,-2.92,2.91,3.11,2.96,1.32,1.33,1.34
53.03,-1.57,-1.57,-2.89,-2.88,2.88,3.06,2.93,1.31,1.31,1.32
53.56,-1.54,-1.55,-2.83,-2.84,2.84,3.02,2.90,1.30,1.29,1.29
54.10,-1.54,-1.54,-2.81,-2.81,2.81,2.97,2.87,1.27,1.28,1.27
54.64,-1.54,-1.54,-2.78,-2.78,2.79,2.93,2.85,1.25,1.25,1.24
55.18,-1.54,-1.54,-2.75,-2.75,2.76,2.89,2.82,1.22,1.22,1.21
