frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.91,7.91,3.94,3.93,-3.93,-4.04,-1.86,3.98,3.97,3.97
20.20,7.91,7.92,3.91,3.91,-3.92,-4.04,-1.92,3.99,4.00,4.00
20.40,7.92,7.93,3.89,3.90,-3.90,-4.04,-1.97,4.02,4.03,4.03
20.61,7.96,7.94,3.91,3.89,-3.89,-4.04,-2.03,4.07,4.05,4.05
20.81,7.96,7.97,3.88,3.89,-3.88,-4.04,-2.09,4.08,4.08,4.08
21.02,7.98,7.99,3.87,3.88,-3.88,-4.04,-2.15,4.10,4.11,4.11
21.23,8.01,8.00,3.89,3.87,-3.88,-4.04,-2.21,4.13,4.12,4.12
21.44,8.01,8.01,3.88,3.88,-3.88,-4.04,-2.28,4.13,4.13,4.13
21.66,8.01,8.03,3.87,3.89,-3.89,-4.04,-2.34,4.12,4.14,4.14
21.87,8.05,8.03,3.91,3.89,-3.90,-4.04,-2.41,4.15,4.14,4.14
22.09,8.05,8.05,3.90,3.91,-3.91,-4.04,-2.48,4.14,4.14,4.15
22.31,8.06,8.07,3.91,3.92,-3.93,-4.04,-2.55,4.13,4.14,4.15
22.54,8.10,8.09,3.95,3.94,-3.95,-4.05,-2.62,4.15,4.14,4.14
22.76,8.10,8.11,3.96,3.97,-3.97,-4.05,-2.70,4.13,4.14,4.14
22.99,8.15,8.14,4.02,4.00,-4.00,-4.05,-2.78,4.15,4.14,4.13
23.22,8.16,8.16,4.03,4.03,-4.03,-4.05,-2.86,4.13,4.14,4.13
23.45,8.19,8.20,4.06,4.07,-4.06,-4.05,-2.94,4.13,4.14,4.13
23.69,8.23,8.22,4.10,4.09,-4.09,-4.05,-3.02,4.14,4.13,4.13
23.92,8.26,8.26,4.13,4.12,-4.12,-4.05,-3.10,4.14,4.14,4.13
24.16,8.29,8.29,4.15,4.16,-4.16,-4.05,-3.19,4.13,4.13,4.14
24.40,8.32,8.32,4.18,4.18,-4.19,-4.05,-3.27,4.13,4.13,4.14
24.65,8.35,8.35,4.22,4.22,-4.22,-4.05,-3.36,4.13,4.13,4.13
24.89,8.38,8.39,4.25,4.26,-4.26,-4.05,-3.45,4.12,4.13,4.13
25.14,8.43,8.42,4.30,4.29,-4.29,-4.05,-3.54,4.14,4.12,4.13
