frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.52,-5.52,-5.82,-5.82,5.83,6.00,2.44,0.31,0.31,0.30
20.20,-5.51,-5.51,-5.84,-5.84,5.85,5.98,2.51,0.34,0.34,0.33
20.40,-5.51,-5.50,-5.87,-5.86,5.86,5.96,2.58,0.35,0.36,0.36
20.61,-5.47,-5.48,-5.85,-5.87,5.86,5.95,2.66,0.39,0.38,0.38
20.81,-5.47,-5.46,-5.88,-5.88,5.87,5.93,2.73,0.40,0.41,0.41
21.02,-5.45,-5.45,-5.89,-5.88,5.87,5.91,2.82,0.42,0.42,0.44
21.23,-5.42,-5.43,-5.87,-5.88,5.87,5.90,2.90,0.45,0.44,0.45
21.44,-5.42,-5.41,-5.88,-5.87,5.86,5.88,2.98,0.44,0.46,0.46
21.66,-5.37,-5.38,-5.84,-5.85,5.85,5.86,3.07,0.48,0.47,0.47
21.87,-5.37,-5.36,-5.84,-5.83,5.83,5.85,3.16,0.46,0.47,0.47
22.09,-5.33,-5.34,-5.81,-5.81,5.82,5.83,3.25,0.49,0.48,0.48
22.31,-5.33,-5.32,-5.81,-5.80,5.80,5.81,3.34,0.47,0.48,0.48
22.54,-5.31,-5.30,-5.79,-5.78,5.78,5.79,3.44,0.47,0.48,0.48
22.76,-5.28,-5.29,-5.75,-5.76,5.77,5.77,3.54,0.49,0.48,0.48
22.99,-5.28,-5.28,-5.74,-5.75,5.76,5.76,3.64,0.48,0.48,0.46
23.22,-5.28,-5.28,-5.74,-5.74,5.74,5.74,3.74,0.46,0.47,0.46
23.45,-5.28,-5.28,-5.74,-5.74,5.73,5.72,3.84,0.45,0.45,0.46
23.69,-5.27,-5.27,-5.73,-5.73,5.72,5.70,3.95,0.45,0.46,0.46
23.92,-5.26,-5.25,-5.72,-5.72,5.72,5.68,4.06,0.46,0.46,0.46
24.16,-5.23,-5.24,-5.70,-5.71,5.71,5.66,4.17,0.48,0.47,0.47
24.40,-5.23,-5.23,-5.70,-5.70,5.70,5.64,4.29,0.47,0.47,0.47
24.65,-5.23,-5.23,-5.69,-5.69,5.70,5.62,4.40,0.47,0.47,0.46
24.89,-5.23,-5.23,-5.69,-5.69,5.69,5.61,4.52,0.46,0.46,0.46
25.14,-5.23,-5.23,-5.69,-5.69,5.68,5.59,4.64,0.45,0.45,0.46
25.39,-5.23,-5.23,-5.69,-5.69,5.67,5.57,4.76,0.44,0.44,0.46
25.65,-5.23,-5.22,-5.68,-5.67,5.66,5.55,4.88,0.44,0.44,0.46
25.91,-5.21,-5.21,-5.65,-5.66,5.66,5.53,5.00,0.45,0.45,0.44
26.16,-5.19,-5.20,-5.63,-5.64,5.65,5.51,5.12,0.46,0.45,0.44
26.43,-5.19,-5.19,-5.63,-5.63,5.64,5.49,5.24,0.45,0.45,0.44
26.69,-5.19,-5.19,-5.63,-5.63,5.63,5.47,5.35,0.45,0.45,0.44
26.96,-5.19,-5.19,-5.63,-5.63,5.63,5.44,5.47,0.44,0.44,0.44
27.23,-5.19,-5.19,-5.63,-5.63,5.62,5.42,5.58,0.43,0.43,0.44
27.50,-5.19,-5.19,-5.63,-5.62,5.62,5.40,5.69,0.43,0.43,0.44
27.77,-5.19,-5.19,-5.61,-5.62,5.61,5.38,5.80,0.43,0.43,0.43
28.05,-5.19,-5.19,-5.61,-5.61,5.61,5.36,5.90,0.42,0.42,0.42
28.33,-5.19,-5.19,-5.60,-5.61,5.61,5.34,6.00,0.42,0.42,0.41
28.62,-5.19,-5.19,-5.60,-5.60,5.61,5.32,6.09,0.42,0.42,0.41
28.90,-5.19,-5.19,-5.60,-5.60,5.60,5.30,6.18,0.41,0.41,0.41
29.19,-5.19,-5.19,-5.59,-5.59,5.59,5.28,6.26,0.41,0.41,0.40
29.48,-5.19,-5.19,-5.60,-5.59,5.59,5.25,6.32,0.40,0.40,0.41
29.78,-5.19,-5.19,-5.58,-5.59,5.58,5.23,6.39,0.39,0.38,0.39
30.08,-5.19,-5.19,-5.58,-5.58,5.57,5.21,6.44,0.38,0.38,0.39
30.38,-5.19,-5.17,-5.57,-5.56,5.55,5.19,6.48,0.37,0.38,0.38
30.68,-5.14,-5.16,-5.52,-5.53,5.54,5.16,6.51,0.40,0.38,0.38
30.99,-5.14,-5.14,-5.51,-5.51,5.52,5.14,6.54,0.38,0.38,0.37
31.30,-5.14,-5.14,-5.50,-5.50,5.50,5.12,6.55,0.36,0.37,0.36
31.61,-5.14,-5.13,-5.50,-5.49,5.48,5.10,6.55,0.34,0.35,0.36
31.93,-5.11,-5.11,-5.46,-5.46,5.46,5.07,6.54,0.35,0.35,0.35
32.24,-5.09,-5.10,-5.43,-5.44,5.44,5.05,6.52,0.35,0.34,0.34
32.57,-5.09,-5.08,-5.42,-5.41,5.42,5.03,6.49,0.33,0.34,0.33
32.89,-5.07,-5.07,-5.40,-5.40,5.40,5.00,6.45,0.33,0.33,0.33
33.22,-5.05,-5.05,-5.37,-5.38,5.37,4.98,6.40,0.32,0.32,0.32
33.55,-5.05,-5.04,-5.37,-5.35,5.35,4.96,6.35,0.30,0.31,0.32
33.89,-5.00,-5.01,-5.30,-5.32,5.32,4.93,6.28,0.32,0.30,0.30
34.23,-5.00,-4.99,-5.30,-5.29,5.29,4.91,6.22,0.29,0.29,0.30
34.57,-4.96,-4.96,-5.25,-5.25,5.25,4.89,6.14,0.29,0.29,0.29
34.92,-4.94,-4.94,-5.21,-5.22,5.22,4.86,6.06,0.28,0.28,0.27
35.27,-4.91,-4.91,-5.18,-5.18,5.18,4.84,5.97,0.27,0.27,0.27
35.62,-4.88,-4.88,-5.14,-5.14,5.14,4.81,5.88,0.26,0.26,0.26
35.97,-4.86,-4.85,-5.10,-5.10,5.10,4.79,5.78,0.24,0.25,0.24
36.33,-4.82,-4.83,-5.06,-5.06,5.07,4.76,5.69,0.25,0.24,0.24
36.70,-4.81,-4.80,-5.04,-5.03,5.03,4.74,5.59,0.22,0.23,0.23
37.06,-4.77,-4.77,-4.98,-4.99,4.99,4.71,5.49,0.22,0.21,0.21
37.43,-4.75,-4.75,-4.96,-4.95,4.95,4.69,5.39,0.20,0.20,0.21
37.81,-4.72,-4.72,-4.91,-4.91,4.91,4.66,5.29,0.19,0.19,0.19
38.19,-4.68,-4.69,-4.86,-4.87,4.87,4.64,5.19,0.19,0.18,0.18
38.57,-4.66,-4.66,-4.83,-4.83,4.83,4.61,5.09,0.17,0.17,0.17
38.95,-4.63,-4.62,-4.79,-4.78,4.78,4.59,4.99,0.15,0.16,0.16
39.34,-4.59,-4.59,-4.73,-4.74,4.74,4.56,4.90,0.15,0.14,0.14
